,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,4685,4497.6,4784.2,4567.9,4712.0,4551.9,4720.0,4656.0,4621.7,4954.0,4506.6,4715.0,4836.3,4539.5,4737.1,,4765.7,4760.0,4824.4,4737.3,4746.0,4455.9,4809.2,4753.0,4647.0,4740.0,4720.5,4733.6,,4441.9,4693.5,4742.0,,4618.4,4765.8,4714.0,4655.5,4766.0,4413.2,,4613.6,4733.4,4721.4,4598.0,,4747.0,4486.5,4768.7,4297.6,4604.1,-187.4,99.2,-117.1,27.0,-133.1,35.0,-29.0,-63.3,269.0,-178.4,30.0,151.3,-145.5,52.1,,80.7,75.0,139.4,52.3,61.0,-229.1,124.2,68.0,-38.0,55.0,35.5,48.6,,-243.1,8.5,57.0,,-66.6,80.8,29.0,-29.5,81.0,-271.8,,-71.4,48.4,36.4,-87.0,,62.0,-198.5,83.7,-387.4,-80.9,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,False,True,True,,True,True,True,True,True,False,,True,True,True,True,,True,False,True,False,True
Alaska,200,237.3,253.6,249.0,222.0,242.0,228.0,228.0,216.1,225.0,197.5,209.0,236.1,244.7,225.7,,203.7,,210.7,213.3,269.0,220.2,222.7,241.0,230.6,270.0,235.6,237.8,,197.3,260.8,238.0,,,290.5,223.0,211.4,220.0,219.0,,233.6,245.3,270.2,220.0,,250.0,213.0,218.9,195.5,219.7,37.3,53.6,49.0,22.0,42.0,28.0,28.0,16.1,25.0,-2.5,9.0,36.1,44.7,25.7,,3.7,,10.7,13.3,69.0,20.2,22.7,41.0,30.6,70.0,35.6,37.8,,-2.7,60.8,38.0,,,90.5,23.0,11.4,20.0,19.0,,33.6,45.3,70.2,20.0,,50.0,13.0,18.9,-4.5,19.7,False,False,True,False,True,True,True,True,True,True,True,False,True,,True,,True,True,False,True,True,False,True,False,True,False,,True,False,False,,,False,True,True,True,True,,True,False,False,True,,False,True,True,True,True
Arizona,8424,8112.9,8503.8,8128.9,8218.0,8116.0,8213.0,8212.0,8223.1,8181.0,7763.7,7562.0,8429.8,8385.2,8260.4,,7899.4,8282.0,8298.1,8115.4,8326.0,8100.9,8275.8,8924.0,8292.9,8305.0,8041.0,8345.8,,7977.4,8321.5,7920.0,,7962.6,8564.1,8336.0,8468.7,8213.0,8069.5,,7992.0,8076.4,8270.4,8370.0,,8391.0,8305.5,8067.6,7571.9,8147.5,-311.1,79.8,-295.1,-206.0,-308.0,-211.0,-212.0,-200.9,-243.0,-660.3,-862.0,5.8,-38.8,-163.6,,-524.6,-142.0,-125.9,-308.6,-98.0,-323.1,-148.2,500.0,-131.1,-119.0,-383.0,-78.2,,-446.6,-102.5,-504.0,,-461.4,140.1,-88.0,44.7,-211.0,-354.5,,-432.0,-347.6,-153.6,-54.0,,-33.0,-118.5,-356.4,-852.1,-276.5,True,True,True,True,True,True,True,True,False,False,True,True,True,,False,True,True,True,True,False,True,False,True,True,False,True,,False,True,False,,False,True,True,True,True,False,,False,False,True,True,,True,True,False,False,True
Arkansas,3441,3474.3,3766.4,3465.6,3551.0,3493.0,3384.0,3241.0,3367.0,3391.0,3010.0,3318.0,3386.2,3485.9,3331.5,,3121.9,3461.0,3348.2,3190.8,3434.0,3165.7,3338.4,3359.5,3486.6,3381.0,3354.1,3470.2,,3053.8,3483.4,3458.0,,3324.7,3568.9,3416.0,3493.7,3437.0,3564.0,,3233.6,3379.7,3443.4,3548.0,,3411.0,3415.0,3468.0,3133.7,3293.8,33.3,325.4,24.6,110.0,52.0,-57.0,-200.0,-74.0,-50.0,-431.0,-123.0,-54.8,44.9,-109.5,,-319.1,20.0,-92.8,-250.2,-7.0,-275.3,-102.6,-81.5,45.6,-60.0,-86.9,29.2,,-387.2,42.4,17.0,,-116.3,127.9,-25.0,52.7,-4.0,123.0,,-207.4,-61.3,2.4,107.0,,-30.0,-26.0,27.0,-307.3,-147.2,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,False,True,False,False,False,False,False,False,True,,False,False,True,,False,False,True,False,True,False,,False,False,True,False,,True,True,True,False,False
California,24225,23105.1,24453.0,23135.9,24033.0,23134.2,23629.0,23800.0,23607.7,24630.0,22170.8,22049.0,23139.8,23520.0,24136.2,,23440.4,23555.0,23603.0,24001.2,23469.0,23592.0,24036.1,24381.0,24342.6,23740.0,23044.7,23830.7,,22077.8,24217.0,26981.5,,22394.9,23800.4,23687.0,26974.6,24140.0,23159.6,23630.0,22955.8,23105.2,23929.3,24160.0,,24261.0,24148.5,,21712.4,23524.5,-1113.9,234.0,-1083.1,-186.0,-1084.8,-590.0,-419.0,-611.3,411.0,-2048.2,-2170.0,-1079.2,-699.0,-82.8,,-778.6,-664.0,-616.0,-217.8,-750.0,-627.0,-182.9,162.0,123.6,-479.0,-1174.3,-388.3,,-2141.2,-2.0,2762.5,,-1824.1,-418.6,-532.0,2755.6,-79.0,-1059.4,-589.0,-1263.2,-1113.8,-289.7,-59.0,,42.0,-70.5,,-2506.6,-694.5,True,True,True,True,True,True,True,True,False,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,False,True,,False,True,False,,False,True,True,False,True,True,True,False,True,True,True,,True,True,,False,True
Colorado,4592,5076.0,5351.4,4859.9,4976.0,4899.0,4724.0,4449.0,4682.2,4590.0,4269.9,4511.0,5385.2,4841.2,4677.1,,4046.2,5287.0,4710.0,4353.7,4828.0,4443.6,4617.3,4919.0,4941.0,4829.0,4937.7,4997.0,,4481.4,5010.2,5175.0,,4423.5,5122.9,4638.0,3966.4,4767.0,4207.3,,4660.4,5010.4,4761.4,4644.0,,4740.0,5103.0,4317.2,4137.5,4265.4,484.0,759.4,267.9,384.0,307.0,132.0,-143.0,90.2,-2.0,-322.1,-81.0,793.2,249.2,85.1,,-545.8,695.0,118.0,-238.3,236.0,-148.4,25.3,327.0,349.0,237.0,345.7,405.0,,-110.6,418.2,583.0,,-168.5,530.9,46.0,-625.6,175.0,-384.7,,68.4,418.4,169.4,52.0,,148.0,511.0,-274.8,-454.5,-326.6,False,True,True,True,True,True,True,True,True,True,False,True,True,,False,False,True,True,True,True,True,True,True,True,True,True,,True,True,False,,True,False,True,False,True,True,,True,True,True,True,,True,False,True,True,True
Connecticut,5791,5766.0,5862.9,5795.6,5871.0,5797.0,5856.0,5885.0,5777.4,5944.0,5698.3,5606.0,5818.2,5885.7,5970.3,,5903.4,5895.0,5870.9,5895.4,5850.0,5670.4,5992.1,5900.0,5754.1,5883.0,5902.0,5938.1,,5566.4,5873.1,5857.5,,5782.6,5775.0,5934.0,5849.2,5608.0,5730.9,,5794.4,5923.0,5838.7,5845.0,,5828.0,5760.0,5987.7,5423.5,6001.3,-25.0,71.9,4.6,80.0,6.0,65.0,94.0,-13.6,153.0,-92.7,-185.0,27.2,94.7,179.3,,112.4,104.0,79.9,104.4,59.0,-120.6,201.1,109.0,-36.9,92.0,111.0,147.1,,-224.6,82.1,66.5,,-8.4,-16.0,143.0,58.2,-183.0,-60.1,,3.4,132.0,47.7,54.0,,37.0,-31.0,196.7,-367.5,210.3,False,True,False,True,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,True,True,False,False,False,False,,True,False,False,False,,False,False,False,False,False
Delaware,1017,858.7,907.3,877.8,878.0,881.0,887.0,911.0,885.1,870.0,842.0,870.0,874.9,882.3,913.1,,852.2,909.0,868.9,887.2,915.0,890.0,902.0,867.0,870.4,908.0,886.7,898.6,,837.4,892.2,857.0,,,875.8,902.0,1022.6,883.0,886.9,,884.3,912.5,936.9,892.0,,905.0,856.0,874.7,836.5,870.9,-74.3,-25.7,-55.2,-55.0,-52.0,-46.0,-22.0,-47.9,-63.0,-91.0,-63.0,-58.1,-50.7,-19.9,,-80.8,-24.0,-64.1,-45.8,-18.0,-43.0,-31.0,-66.0,-62.6,-25.0,-46.3,-34.4,,-95.6,-40.8,-76.0,,,-57.2,-31.0,89.6,-50.0,-46.1,,-48.7,-20.5,3.9,-41.0,,-28.0,-77.0,-58.3,-96.5,-62.1,True,True,True,True,True,True,True,True,False,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,False,,,True,True,False,True,True,,True,True,True,True,,True,False,True,False,True
District of Columbia,762,748.4,758.7,749.0,756.0,749.0,754.0,764.0,760.1,762.0,744.1,725.0,750.9,765.5,768.9,,737.3,745.0,756.2,753.7,754.0,747.3,759.2,757.0,745.2,766.0,,,,728.7,758.0,785.0,,,751.0,759.0,775.2,759.0,742.7,,762.5,,760.0,751.0,,757.0,755.0,751.2,724.4,753.2,-13.6,-3.3,-13.0,-6.0,-13.0,-8.0,2.0,-1.9,0.0,-17.9,-37.0,-11.1,3.5,6.9,,-24.7,-17.0,-5.8,-8.3,-8.0,-14.7,-2.8,-5.0,-16.8,4.0,,,,-33.3,-4.0,23.0,,,-11.0,-3.0,13.2,-3.0,-19.3,,0.5,,-2.0,-11.0,,-5.0,-7.0,-10.8,-37.6,-8.8,True,True,True,True,True,True,True,True,False,False,True,True,True,,False,False,True,True,True,False,True,True,False,True,,,,False,True,False,,,True,True,True,True,False,,True,,True,True,,True,True,True,False,True
Florida,21135,21145.6,21529.6,21168.8,21498.0,21187.2,21416.0,21702.0,21307.5,21444.0,20873.9,20823.0,21913.0,21416.4,21540.0,,20866.3,21427.0,21409.3,21286.2,21633.0,21732.8,21364.7,21201.0,21537.1,21469.0,21607.9,21543.0,,21206.5,21481.5,22325.5,,21520.3,21452.7,21362.0,23003.6,21417.0,21140.9,,21130.8,21624.1,21289.4,21373.0,,21350.0,21721.0,,20551.4,21405.6,10.6,394.6,33.8,363.0,52.2,281.0,567.0,172.5,309.0,-261.1,-312.0,778.0,281.4,405.0,,-268.7,292.0,274.3,151.2,498.0,597.8,229.7,66.0,402.1,334.0,472.9,408.0,,71.5,346.5,1190.5,,385.3,317.7,227.0,1868.6,282.0,5.9,,-4.2,489.1,154.4,238.0,,215.0,586.0,,-583.6,270.6,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,True,,True,False,False,False,,False,False,,False,False
