,mean_rank
SteveMcConnell-CovidComplete,12.7
COVIDhub-ensemble,13.4
Caltech-CS156,14.5
USC-SI_kJalpha,15.0
UMass-MechBayes,15.2
LNQ-ens1,16.6
Karlen-pypm,17.3
UA-EpiCovDA,17.4
UChicagoCHATTOPADHYAY-UnIT,17.6
LANL-GrowthRate,17.7
JCB-PRM,17.9
Google_Harvard-CPF,18.2
Columbia_UNC-SurvCon,18.6
GT-DeepCOVID,18.9
epiforecasts-ensemble1,19.2
CEID-Walk,19.6
CovidAnalytics-DELPHI,19.6
UCLA-SuEIR,19.9
COVIDhub-baseline,20.2
CU-select,20.8
MIT_CritData-GBCF,20.9
JHUAPL-Bucky,21.0
UCSB-ACTS,21.2
MOBS-GLEAM_COVID,21.2
OliverWyman-Navigator,21.2
CMU-TimeSeries,21.2
JHU_CSSE-DECOM,21.5
UT-Mobility,22.0
IowaStateLW-STEM,24.6
UCSD_NEU-DeepGLEAM,24.6
Microsoft-DeepSTIA,24.9
Wadhwani_AI-BayesOpt,25.5
BPagano-RtDriven,25.6
RobertWalraven-ESG,26.0
JHU_IDD-CovidSP,26.3
PSI-DRAFT,26.7
NotreDame-mobility,27.5
TTU-squider,28.4
DDS-NBDS,29.0
IHME-CurveFit,29.2
Covid19Sim-Simulator,29.9
WalmartLabsML-LogForecasting,34.5
