,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4685,3233.9,2686.8,3277.7,3259.0,,3144.8,-1451.1,-1998.2,-1407.3,-1426.0,,-1540.2,False,True,True,,False
Alaska,200,81.7,70.0,174.9,,,78.2,-118.3,-130.0,-25.1,,,-121.8,False,True,,,False
Arizona,8424,6690.1,5879.8,7457.6,6503.0,,6620.1,-1733.9,-2544.2,-966.4,-1921.0,,-1803.9,False,True,False,,False
Arkansas,3441,2812.3,2845.3,3364.8,2932.0,,2351.8,-628.7,-595.7,-76.2,-509.0,,-1089.2,True,True,True,,False
California,24225,22561.7,20345.5,21358.3,20070.0,,20488.5,-1663.3,-3879.5,-2866.7,-4155.0,,-3736.5,False,False,False,,False
Colorado,4592,2388.1,2454.0,2698.2,2349.0,,2202.3,-2203.9,-2138.0,-1893.8,-2243.0,,-2389.7,True,True,False,,False
Connecticut,5791,4655.3,4773.3,4754.9,4657.0,,4586.6,-1135.7,-1017.7,-1036.1,-1134.0,,-1204.4,True,True,True,,False
Delaware,895,787.3,827.1,812.4,697.0,,686.4,-107.7,-67.9,-82.6,-198.0,,-208.6,True,True,False,,False
District of Columbia,762,714.0,745.5,677.0,653.0,,657.0,-48.0,-16.5,-85.0,-109.0,,-105.0,True,False,False,,False
Florida,21135,22247.7,20063.5,21094.2,19080.5,,19092.7,1112.7,-1071.5,-40.8,-2054.5,,-2042.3,True,True,False,,False
Georgia,10685,9723.1,8497.2,9277.1,8994.0,,9403.7,-961.9,-2187.8,-1407.9,-1691.0,,-1281.3,False,False,False,,False
Hawaii,285,440.6,1139.5,228.5,,,215.3,155.6,854.5,-56.5,,,-69.7,False,True,,,True
Idaho,1354,742.9,1161.4,920.8,730.0,,708.9,-611.1,-192.6,-433.2,-624.0,,-645.1,True,True,False,,False
Illinois,17224,11352.1,12506.9,10654.9,10461.0,,10375.8,-5871.9,-4717.1,-6569.1,-6763.0,,-6848.2,True,False,False,,False
Indiana,7801,4788.6,5021.1,5014.0,4658.0,,4280.8,-3012.4,-2779.9,-2787.0,-3143.0,,-3520.2,True,True,False,,False
Iowa,3743,2228.9,2741.0,2208.0,1991.0,,2052.7,-1514.1,-1002.0,-1535.0,-1752.0,,-1690.3,True,False,False,,False
Kansas,2503,1342.1,1753.9,1306.4,1052.0,,1129.6,-1152.9,-741.1,-1188.6,-1443.0,,-1365.4,True,False,False,,False
Kentucky,2534,1825.6,2425.6,1871.2,1794.0,,1936.6,-708.4,-108.4,-662.8,-740.0,,-597.4,True,True,False,,True
Louisiana,7272,6905.0,6704.3,6365.4,6464.0,,7149.1,-367.0,-567.7,-906.6,-808.0,,-122.9,False,False,False,,True
Maine,319,165.7,156.6,170.3,180.0,,150.5,-153.3,-162.4,-148.7,-139.0,,-168.5,False,True,True,,False
Maryland,5680,4230.7,4003.0,4437.3,4228.0,,4181.0,-1449.3,-1677.0,-1242.7,-1452.0,,-1499.0,False,True,False,,False
Massachusetts,12010,10766.9,10588.9,13754.6,10139.0,,9986.1,-1243.1,-1421.1,1744.6,-1871.0,,-2023.9,False,False,False,,False
Michigan,12690,8072.6,8928.5,8071.3,7773.0,,7573.5,-4617.4,-3761.5,-4618.7,-4917.0,,-5116.5,True,False,False,,False
Minnesota,5166,2998.6,4274.4,2878.6,2881.0,,2956.8,-2167.4,-891.6,-2287.4,-2285.0,,-2209.2,True,False,False,,False
Mississippi,4565,4127.6,3406.8,4134.8,4180.0,,3938.1,-437.4,-1158.2,-430.2,-385.0,,-626.9,False,True,True,,False
Missouri,5470,3763.0,3322.0,4425.4,3525.0,,2683.5,-1720.0,-2161.0,-1057.6,-1958.0,,-2799.5,False,True,False,,False
Montana,919,353.0,326.6,978.5,371.0,,319.2,-566.0,-592.4,59.5,-548.0,,-599.8,False,True,True,,False
Nebraska,1559,868.6,1218.7,936.9,710.0,,573.5,-690.4,-340.3,-622.1,-849.0,,-985.5,True,True,False,,False
Nevada,2942,2073.6,1737.0,2538.8,1940.0,,2419.6,-868.4,-1205.0,-403.2,-1002.0,,-522.4,False,True,False,,True
New Hampshire,701,490.4,1316.7,480.4,491.0,,489.5,-210.6,615.7,-220.6,-210.0,,-211.5,False,False,True,,False
New Jersey,18613,16491.7,16286.1,17099.8,16465.5,,16368.1,-2121.3,-2326.9,-1513.2,-2147.5,,-2244.9,False,True,False,,False
New Mexico,2316,1152.9,1153.7,1570.6,1087.0,,1016.8,-1163.1,-1162.3,-745.4,-1229.0,,-1299.2,True,True,False,,False
New York,37286,34082.4,34761.1,36849.6,33598.0,,33560.6,-3019.6,-2340.9,-252.4,-3504.0,,-3541.4,True,True,False,,False
North Carolina,6526,5922.4,5476.9,5995.7,5443.0,,5013.9,-603.6,-1049.1,-530.3,-1083.0,,-1512.1,False,True,False,,False
North Dakota,1264,783.9,713.6,982.7,650.0,,422.0,-480.1,-550.4,-281.3,-614.0,,-842.0,False,True,False,,False
Ohio,8476,7106.7,9661.4,6501.5,5845.5,,6284.6,-1369.3,1185.4,-1974.5,-2630.5,,-2191.4,True,False,False,,False
Oklahoma,2357,1584.6,1501.7,1898.4,1700.0,,1646.6,-772.4,-855.3,-458.6,-657.0,,-710.4,False,True,True,,True
Oregon,1422,915.9,1394.3,837.1,763.0,,861.0,-506.1,-27.7,-584.9,-659.0,,-561.0,True,False,False,,False
Pennsylvania,14858,9487.4,8964.2,10141.7,9209.0,,8733.5,-5370.6,-5893.8,-4716.3,-5649.0,,-6124.5,False,True,False,,False
Rhode Island,1704,1248.4,1135.9,1416.5,1227.0,,1178.9,-455.6,-568.1,-287.5,-477.0,,-525.1,False,True,False,,False
South Carolina,5124,4958.9,4626.9,4490.3,4411.0,,4647.6,-165.1,-497.1,-633.7,-713.0,,-476.4,False,False,False,,False
South Dakota,1446,603.7,799.8,715.0,418.0,,336.1,-842.3,-646.2,-731.0,-1028.0,,-1109.9,True,True,False,,False
Tennessee,6443,4948.4,7198.1,4495.3,3976.0,,4457.3,-1494.6,755.1,-1947.7,-2467.0,,-1985.7,True,False,False,,False
Texas,27075,23137.9,22748.0,25460.6,22393.0,27682.0,21390.2,-3656.1,-4046.0,-1333.4,-4401.0,888.0,-5403.8,False,True,False,True,False
Utah,1212,774.4,1701.0,960.1,619.0,,724.1,-437.6,489.0,-251.9,-593.0,,-487.9,False,True,False,,False
Vermont,121,58.0,60.9,63.4,58.0,,59.9,-63.0,-60.1,-57.6,-63.0,,-61.1,True,True,False,,True
Virginia,4840,4609.9,3442.2,4821.0,4114.0,,3834.5,-227.1,-1394.8,-16.0,-723.0,,-1002.5,False,True,False,,False
Washington,3184,2640.0,2644.6,4198.7,2458.0,,2875.3,-559.0,-554.4,999.7,-741.0,,-323.7,True,False,False,,True
West Virginia,1253,660.4,481.8,675.9,659.0,,569.1,-592.6,-771.2,-577.1,-594.0,,-683.9,False,True,False,,False
Wisconsin,5029,2515.3,4305.9,2982.8,2116.0,,2265.3,-2437.7,-647.1,-1970.2,-2837.0,,-2687.7,True,True,False,,False
Wyoming,373,88.6,126.2,324.6,84.0,,69.9,-284.4,-246.8,-48.4,-289.0,,-303.1,True,True,False,,False
US,332075,268591.7,260830.1,282433.2,259973.0,261391.0,254232.0,-62957.3,-70718.9,-49115.8,-71576.0,-70158.0,-77317.0,False,True,False,False,False
