,actual_deaths,Baseline,IHME-CurveFit,STH-3PU,error-Baseline,error-IHME-CurveFit,error-STH-3PU,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU
Alabama,4685,4567.9,5701.4,,-117.1,1016.4,,False,
Alaska,200,65.7,33.9,,-134.3,-166.1,,False,
Arizona,8424,11795.0,8225.1,,3371.0,-198.9,,True,
Arkansas,3441,2132.6,2793.9,,-1308.4,-647.1,,True,
California,24225,29856.9,43690.4,,5631.9,19465.4,,False,
Colorado,4592,2136.0,5833.3,,-2456.0,1241.3,,True,
Connecticut,5791,4619.7,5273.4,,-1171.3,-517.6,,True,
Delaware,895,710.1,858.4,,-184.9,-36.6,,True,
District of Columbia,762,690.3,612.4,,-71.7,-149.6,,False,
Florida,21135,30068.6,23417.7,,8933.6,2282.7,,True,
Georgia,10685,11327.7,12161.6,,642.7,1476.6,,False,
Hawaii,285,130.3,28.3,,-154.7,-256.7,,False,
Idaho,1354,1031.3,1293.4,,-322.7,-60.6,,True,
Illinois,17224,10446.3,11719.0,,-6777.7,-5505.0,,True,
Indiana,7801,4351.6,5677.8,,-3449.4,-2123.2,,True,
Iowa,3743,1983.4,3024.3,,-1759.6,-718.7,,True,
Kansas,2503,757.3,2527.3,,-1745.7,24.3,,True,
Kentucky,2534,1388.6,3929.8,,-1145.4,1395.8,,False,
Louisiana,7272,9346.4,8573.2,,2074.4,1301.2,,True,
Maine,319,164.7,174.0,,-154.3,-145.0,,True,
Maryland,5680,4975.0,6602.4,,-705.0,922.4,,False,
Massachusetts,12010,10661.1,11898.9,,-1348.9,-111.1,,True,
Michigan,12690,7750.1,8439.6,,-4939.9,-4250.4,,True,
Minnesota,5166,2571.7,3073.9,,-2594.3,-2092.1,,True,
Mississippi,4565,5728.4,3842.5,,1163.4,-722.5,,True,
Missouri,5470,2485.7,5892.0,,-2984.3,422.0,,True,
Montana,919,353.0,505.8,,-566.0,-413.2,,True,
Nebraska,1559,603.1,1342.9,,-955.9,-216.1,,True,
Nevada,2942,3439.1,3388.1,,497.1,446.1,,True,
New Hampshire,701,458.7,759.3,,-242.3,58.3,,True,
New Jersey,18613,16628.6,16702.5,,-1984.4,-1910.5,,True,
New Mexico,2316,1300.6,2336.4,,-1015.4,20.4,,True,
New York,37286,34044.9,34766.5,,-3260.1,-2538.5,,True,
North Carolina,6526,6342.1,10561.2,,-183.9,4035.2,,False,
North Dakota,1264,251.0,270.3,,-1013.0,-993.7,,True,
Ohio,8476,6449.0,11958.0,,-2027.0,3482.0,,False,
Oklahoma,2357,1655.4,3717.1,,-701.6,1360.1,,False,
Oregon,1422,951.7,3699.8,,-470.3,2277.8,,False,
Pennsylvania,14858,9058.4,10067.7,,-5799.6,-4790.3,,True,
Rhode Island,1704,1153.0,1138.3,,-540.0,-554.7,,False,
South Carolina,5124,7074.7,3890.5,,1950.7,-1233.5,,True,
South Dakota,1446,364.4,332.5,,-1081.6,-1113.5,,False,
Tennessee,6443,4201.6,4247.1,,-2241.4,-2195.9,,True,
Texas,27075,40451.9,29814.3,22573.0,13742.9,3105.3,-4136.0,True,True
Utah,1212,832.4,2175.6,,-379.6,963.6,,False,
Vermont,121,77.9,68.7,,-43.1,-52.3,,False,
Virginia,4840,4470.6,7625.8,,-369.4,2785.8,,False,
Washington,3184,3514.9,7028.2,,364.9,3878.2,,False,
West Virginia,1253,575.9,288.4,,-677.1,-964.6,,False,
Wisconsin,5029,1990.9,4821.4,,-2987.1,-156.6,,True,
Wyoming,373,67.7,27.0,,-305.3,-346.0,,False,
US,332075,309344.7,346831.5,269883.0,-22287.3,15199.5,-61749.0,True,False
