,actual_deaths,Baseline,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,PSI-DRAFT,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_10_+,UChicago-CovidIL_30_+,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-PSI-DRAFT,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_10_+,error-UChicago-CovidIL_30_+,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_10_+,beat_baseline-UChicago-CovidIL_30_+,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,838,949.4,808.0,977.1,698.0,691.4,1268.0,908.8,,,,,772.1,1114.3,111.4,-30.0,139.1,-140.0,-146.6,430.0,70.8,,,,,-65.9,276.3,True,False,False,False,False,True,,,,,True,False
Alaska,12,10.0,9.0,3.0,,10.2,10.0,13.0,,,,,11.5,12.8,-2.0,-3.0,-9.0,,-1.8,-2.0,1.0,,,,,-0.5,0.8,False,False,,True,False,True,,,,,True,True
Arizona,1346,1379.4,1459.0,2186.6,1208.0,1228.3,2405.0,2103.7,,,,,1365.9,1782.2,33.4,113.0,840.6,-138.0,-117.7,1059.0,757.7,,,,,19.9,436.2,False,False,False,False,False,False,,,,,True,False
Arkansas,224,132.0,143.0,115.2,156.0,176.1,250.0,136.1,,,,,171.6,154.0,-92.0,-81.0,-108.8,-68.0,-47.9,26.0,-87.9,,,,,-52.4,-70.0,True,False,True,True,True,True,,,,,True,True
California,5494,5785.1,5221.0,5568.6,4682.0,4682.8,5942.5,5146.6,,,,,5956.6,5451.6,291.1,-273.0,74.6,-812.0,-811.2,448.5,-347.4,,,,,462.6,-42.4,True,True,False,False,False,False,,,,,False,True
Colorado,1647,2400.1,1815.0,1992.1,1431.0,1613.9,1922.5,1573.3,,,,,1735.8,2183.9,753.1,168.0,345.1,-216.0,-33.1,275.5,-73.7,,,,,88.8,536.9,True,True,True,True,True,True,,,,,True,True
Connecticut,4251,5550.0,4176.0,4686.5,3957.0,4991.5,4550.5,4552.3,,,,,3872.6,4648.7,1299.0,-75.0,435.5,-294.0,740.5,299.5,301.3,,,,,-378.4,397.7,True,True,True,True,True,True,,,,,True,True
Delaware,434,625.1,450.0,504.9,427.0,441.9,586.0,510.4,,,,,389.8,634.3,191.1,16.0,70.9,-7.0,7.9,152.0,76.4,,,,,-44.2,200.3,True,True,True,True,True,True,,,,,True,False
District of Columbia,531,674.4,735.0,562.7,546.0,524.0,616.0,536.9,,,,,511.2,643.6,143.4,204.0,31.7,15.0,-7.0,85.0,5.9,,,,,-19.8,112.6,False,True,True,True,True,True,,,,,True,True
Florida,3144,3197.0,2545.0,3670.2,2625.0,2909.0,3368.0,2699.2,,,,,2449.5,3183.8,53.0,-599.0,526.2,-519.0,-235.0,224.0,-444.8,,,,,-694.5,39.8,False,False,False,False,False,False,,,,,False,True
