,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan,error-COVIDhub,error-CU,error-Covid19Sim,error-CovidActNow,error-GT,error-GT_CHHS,error-IHME,error-IowaStateLW,error-JHU_IDD,error-LANL,error-MIT_CovidAnalytics,error-MOBS_NEU,error-NotreDame,error-PSI,error-SWC,error-UA,error-UCLA,error-UMass,error-USACE,error-UT,error-YYG,beat_baseline-Auquan,beat_baseline-COVIDhub,beat_baseline-CU,beat_baseline-Covid19Sim,beat_baseline-CovidActNow,beat_baseline-GT,beat_baseline-GT_CHHS,beat_baseline-IHME,beat_baseline-IowaStateLW,beat_baseline-JHU_IDD,beat_baseline-LANL,beat_baseline-MIT_CovidAnalytics,beat_baseline-MOBS_NEU,beat_baseline-NotreDame,beat_baseline-PSI,beat_baseline-SWC,beat_baseline-UA,beat_baseline-UCLA,beat_baseline-UMass,beat_baseline-USACE,beat_baseline-UT,beat_baseline-YYG
Alabama,838,855.7,817.6,968.0,903.8,1188.0,715.4,901.5,,,726.8,675.0,1029.7,825.2,938.0,797.7,,850.0,742.0,1190.0,829.3,838.0,897.2,857.3,877.2,17.7,130.0,65.8,350.0,-122.6,63.5,,,-111.2,-163.0,191.7,-12.8,100.0,-40.3,,12.0,-96.0,352.0,-8.7,0.0,59.2,19.3,39.2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False
Alaska,12,10.0,10.0,17.0,12.0,10.0,11.0,16.8,65.7,,10.4,,25.3,12.4,9.0,10.4,,10.0,,14.0,10.8,11.0,9.5,9.5,10.8,-2.0,5.0,0.0,-2.0,-1.0,4.8,53.7,,-1.6,,13.3,0.4,-3.0,-1.6,,-2.0,,2.0,-1.2,-1.0,-2.5,-2.5,-1.2,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True
Arizona,1346,1209.9,1158.7,1375.0,1350.4,1324.0,970.3,1471.8,,,1293.0,1265.0,1501.2,1397.3,1370.0,1337.3,,1352.5,1253.0,1688.0,1307.5,1426.0,1324.1,1183.4,1326.6,-136.1,29.0,4.4,-22.0,-375.7,125.8,,,-53.0,-81.0,155.2,51.3,24.0,-8.7,,6.5,-93.0,342.0,-38.5,80.0,-21.9,-162.6,-19.4,True,True,True,False,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True
Arkansas,224,181.6,173.4,236.0,198.9,238.0,170.2,188.4,216.1,,210.6,187.0,288.7,194.8,151.0,176.7,,182.0,155.0,438.0,189.2,231.0,186.2,168.9,182.5,-42.4,12.0,-25.1,14.0,-53.8,-35.6,-7.9,,-13.4,-37.0,64.7,-29.2,-73.0,-47.3,,-42.0,-69.0,214.0,-34.8,7.0,-37.8,-55.1,-41.5,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True
California,5494,5369.1,5166.8,6169.0,5931.5,7796.0,4670.5,6643.8,5289.5,,6602.2,5984.0,7002.9,5199.5,5642.0,5311.2,,5531.5,4898.0,6529.0,5671.4,5862.0,6039.7,5141.6,5394.2,-124.9,675.0,437.5,2302.0,-823.5,1149.8,-204.5,,1108.2,490.0,1508.9,-294.5,148.0,-182.8,,37.5,-596.0,1035.0,177.4,368.0,545.7,-352.4,-99.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
Colorado,1647,1767.9,1713.3,2101.0,1755.0,1599.0,1528.5,1755.5,1864.8,,2113.1,1850.0,1898.7,1827.2,1680.0,1751.1,,1790.0,1734.0,2119.0,1868.9,1767.0,1637.1,1636.7,1828.7,120.9,454.0,108.0,-48.0,-118.5,108.5,217.8,,466.1,203.0,251.7,180.2,33.0,104.1,,143.0,87.0,472.0,221.9,120.0,-9.9,-10.3,181.7,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False
Connecticut,4251,4661.1,4539.9,4821.0,4375.2,4370.0,4208.8,4441.8,,,4188.0,4283.0,4413.8,4224.5,4302.0,4454.5,,4405.5,4162.0,4064.0,4566.9,4315.0,4041.9,4304.6,4419.6,410.1,570.0,124.2,119.0,-42.2,190.8,,,-63.0,32.0,162.8,-26.5,51.0,203.5,,154.5,-89.0,-187.0,315.9,64.0,-209.1,53.6,168.6,False,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
Delaware,434,480.3,461.0,560.0,461.7,492.0,386.8,519.9,436.9,,401.5,436.0,507.0,419.0,444.0,462.0,,504.0,414.0,444.0,442.1,431.0,409.9,453.5,468.6,46.3,126.0,27.7,58.0,-47.2,85.9,2.9,,-32.5,2.0,73.0,-15.0,10.0,28.0,,70.0,-20.0,10.0,8.1,-3.0,-24.1,19.5,34.6,False,True,False,False,False,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True
District of Columbia,531,563.1,546.7,654.0,565.2,,487.8,623.9,618.5,,535.2,629.0,577.2,537.2,562.0,,,540.0,544.0,538.0,634.5,528.0,513.1,521.5,552.5,32.1,123.0,34.2,,-43.2,92.9,87.5,,4.2,98.0,46.2,6.2,31.0,,,9.0,13.0,7.0,103.5,-3.0,-17.9,-9.5,21.5,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True
Florida,3144,3062.4,2959.1,3372.0,3109.2,3265.0,2597.8,2838.0,3248.3,,2964.7,3140.0,3810.3,3016.2,2852.0,2918.4,,3272.5,2901.0,3817.0,3295.3,3185.0,2817.7,2941.1,3104.6,-81.6,228.0,-34.8,121.0,-546.2,-306.0,104.3,,-179.3,-4.0,666.3,-127.8,-292.0,-225.6,,128.5,-243.0,673.0,151.3,41.0,-326.3,-202.9,-39.4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
Georgia,2642,2698.7,2589.6,2740.0,2514.8,2396.0,2197.0,2507.6,2616.3,2803.3,2446.9,2470.0,2914.2,2482.1,2369.0,2395.8,,2560.0,2407.0,2709.0,2453.0,2409.0,2226.9,2550.1,2729.2,56.7,98.0,-127.2,-246.0,-445.0,-134.4,-25.7,161.3,-195.1,-172.0,272.2,-159.9,-273.0,-246.2,,-82.0,-235.0,67.0,-189.0,-233.0,-415.1,-91.9,87.2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hawaii,17,17.0,17.0,29.0,18.6,17.0,17.6,25.5,,,17.5,,24.1,18.1,17.0,18.4,,17.0,37.0,20.0,18.1,17.0,17.6,17.9,18.7,0.0,12.0,1.6,0.0,0.6,8.5,,,0.5,,7.1,1.1,0.0,1.4,,0.0,20.0,3.0,1.1,0.0,0.6,0.9,1.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
