,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,838,794.0,1019.0,805.2,901.2,1124.0,665.2,861.0,,626.0,1250.0,871.4,823.2,,983.0,762.0,1087.0,811.4,781.0,808.2,773.0,893.0,-44.0,181.0,-32.8,63.2,286.0,-172.8,23.0,,-212.0,412.0,33.4,-14.8,,145.0,-76.0,249.0,-26.6,-57.0,-29.8,-65.0,55.0,False,True,False,False,False,True,,False,False,True,True,,False,False,False,True,False,True,False,False
Alaska,12,10.0,17.0,11.0,13.6,10.0,11.0,9.0,12.1,,49.4,10.4,10.9,,10.0,,15.0,11.0,10.0,11.4,10.0,11.6,-2.0,5.0,-1.0,1.6,-2.0,-1.0,-3.0,0.1,,37.4,-1.6,-1.1,,-2.0,,3.0,-1.0,-2.0,-0.6,-2.0,-0.4,False,True,True,False,True,False,True,,False,True,True,,False,,False,True,False,True,False,True
Arizona,1346,1267.7,1327.0,1289.4,1381.2,1279.0,1284.9,1515.0,1388.4,1275.0,1785.0,1166.3,1640.9,,970.0,1474.0,1434.0,1312.5,1158.0,1293.9,1445.0,1510.7,-78.3,-19.0,-56.6,35.2,-67.0,-61.1,169.0,42.4,-71.0,439.0,-179.7,294.9,,-376.0,128.0,88.0,-33.5,-188.0,-52.1,99.0,164.7,True,True,True,True,True,False,True,True,False,False,False,,False,False,False,True,False,True,False,False
Arkansas,224,185.4,207.0,183.1,224.9,415.0,157.5,144.0,,206.0,349.2,202.0,170.2,,197.5,184.0,145.0,199.3,234.0,186.8,163.0,167.9,-38.6,-17.0,-40.9,0.9,191.0,-66.5,-80.0,,-18.0,125.2,-22.0,-53.8,,-26.5,-40.0,-79.0,-24.7,10.0,-37.2,-61.0,-56.1,True,False,True,False,False,False,,True,False,True,False,,True,False,False,True,True,True,False,False
California,5494,5736.6,6176.0,5857.6,5728.5,5435.0,4510.9,5415.0,5973.4,5629.0,8235.6,5173.4,5513.7,,6000.0,5317.0,6568.0,5365.3,5248.0,5944.5,5635.0,5506.0,241.6,681.0,362.6,233.5,-60.0,-984.1,-80.0,478.4,134.0,2740.6,-321.6,18.7,,505.0,-178.0,1073.0,-129.7,-247.0,449.5,140.0,11.0,False,False,True,True,False,True,False,True,False,False,True,,False,True,False,True,False,False,True,True
Colorado,1647,1783.3,2114.0,1866.6,1865.9,1667.0,1533.1,1745.0,1802.5,1919.0,2146.8,1811.9,1918.2,,2040.5,2382.0,1733.0,1923.2,1662.0,1712.3,1911.0,1966.7,136.3,467.0,219.6,218.9,20.0,-113.9,98.0,155.5,272.0,499.8,164.9,271.2,,393.5,735.0,86.0,276.2,15.0,65.3,264.0,319.7,False,False,False,True,True,True,False,False,False,False,False,,False,False,True,False,True,True,False,False
Connecticut,4251,4792.3,4718.0,5019.9,4442.4,4535.0,4243.3,4242.0,,4148.0,4507.9,4525.6,4556.7,,4582.0,4488.0,3945.0,4597.0,4284.0,3996.9,4316.5,4448.9,541.3,467.0,768.9,191.4,284.0,-7.7,-9.0,,-103.0,256.9,274.6,305.7,,331.0,237.0,-306.0,346.0,33.0,-254.1,65.5,197.9,True,False,True,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True
Delaware,434,464.9,591.0,466.1,474.2,538.0,376.3,465.0,434.9,424.0,554.2,470.0,488.7,,532.0,558.0,486.0,428.6,414.0,393.4,487.0,496.1,30.9,157.0,32.1,40.2,104.0,-57.7,31.0,0.9,-10.0,120.2,36.0,54.7,,98.0,124.0,52.0,-5.4,-20.0,-40.6,53.0,62.1,False,False,False,False,False,False,True,True,False,False,False,,False,False,False,True,True,False,False,False
District of Columbia,531,621.0,648.0,634.7,609.6,,484.8,636.0,,610.0,656.9,593.0,,,604.0,592.0,482.0,679.1,551.0,534.8,592.0,582.7,90.0,117.0,103.7,78.6,,-46.2,105.0,,79.0,125.9,62.0,,,73.0,61.0,-49.0,148.1,20.0,3.8,61.0,51.7,False,False,True,,True,False,,True,False,True,,,True,True,True,False,True,True,True,True
Florida,3144,3255.3,3464.0,3309.7,3215.2,3566.0,2467.4,2706.0,,2894.0,4167.0,3025.8,2935.4,,3250.0,3215.0,3524.0,3200.7,3042.0,2570.6,3226.0,3234.3,111.3,320.0,165.7,71.2,422.0,-676.6,-438.0,,-250.0,1023.0,-118.2,-208.6,,106.0,71.0,380.0,56.7,-102.0,-573.4,82.0,90.3,False,False,True,False,False,False,,False,False,False,False,,True,True,False,True,True,False,True,True
Georgia,2642,2664.0,2530.0,2718.9,2476.8,2160.0,2052.1,2184.0,,2360.0,3235.5,2494.9,2369.5,,2568.5,2405.0,2991.0,2235.4,2504.0,1976.3,2479.0,2711.6,22.0,-112.0,76.9,-165.2,-482.0,-589.9,-458.0,,-282.0,593.5,-147.1,-272.5,,-73.5,-237.0,349.0,-406.6,-138.0,-665.7,-163.0,69.6,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False
Hawaii,17,17.0,30.0,19.4,19.8,17.0,17.9,17.0,,,31.5,17.9,19.5,,17.0,282.0,20.0,18.6,17.0,18.7,18.0,21.2,0.0,13.0,2.4,2.8,0.0,0.9,0.0,,,14.5,0.9,2.5,,0.0,265.0,3.0,1.6,0.0,1.7,1.0,4.2,False,False,False,True,False,True,,,False,False,False,,True,False,False,False,True,False,False,False
Idaho,89,102.1,124.0,103.0,101.6,89.0,88.2,84.0,108.6,84.0,199.0,102.9,89.3,,79.0,,145.0,90.5,95.0,86.8,93.0,92.5,13.1,35.0,14.0,12.6,0.0,-0.8,-5.0,19.6,-5.0,110.0,13.9,0.3,,-10.0,,56.0,1.5,6.0,-2.2,4.0,3.5,False,False,True,True,True,True,False,True,False,False,True,,True,,False,True,True,True,True,True
Illinois,6625,7475.0,7981.0,7434.6,7264.8,6561.0,6129.1,7214.0,6850.4,6984.0,8037.3,7193.1,7449.0,3611.0,6182.5,8353.0,7784.0,7242.2,6778.0,6505.2,7738.5,7605.4,850.0,1356.0,809.6,639.8,-64.0,-495.9,589.0,225.4,359.0,1412.3,568.1,824.0,-3014.0,-442.5,1728.0,1159.0,617.2,153.0,-119.8,1113.5,980.4,False,True,True,True,True,True,True,True,False,True,True,False,True,False,False,True,True,True,False,False
Indiana,2536,2843.9,2943.0,2855.5,2788.5,2628.0,2328.0,2612.0,,2668.0,3320.0,2691.6,3024.2,1420.0,3152.0,2866.0,2536.0,2450.4,2534.0,2526.3,2757.0,3062.4,307.9,407.0,319.5,252.5,92.0,-208.0,76.0,,132.0,784.0,155.6,488.2,-1116.0,616.0,330.0,0.0,-85.6,-2.0,-9.7,221.0,526.4,False,False,True,True,True,True,,True,False,True,False,False,False,False,True,True,True,True,True,False
Iowa,681,861.0,851.0,845.8,901.5,930.0,514.1,705.0,914.4,590.0,1162.0,785.7,1021.4,,790.0,876.0,939.0,691.6,812.0,535.7,1051.0,941.7,180.0,170.0,164.8,220.5,249.0,-166.9,24.0,233.4,-91.0,481.0,104.7,340.4,,109.0,195.0,258.0,10.6,131.0,-145.3,370.0,260.7,True,True,False,False,True,True,False,True,False,True,False,,True,False,False,True,True,True,False,False
Kansas,256,243.6,370.0,246.0,274.9,280.0,262.4,315.0,250.2,306.0,464.2,234.9,245.1,,252.0,290.0,256.0,299.2,225.0,222.6,232.0,251.6,-12.4,114.0,-10.0,18.9,24.0,6.4,59.0,-5.8,50.0,208.2,-21.1,-10.9,,-4.0,34.0,0.0,43.2,-31.0,-33.4,-24.0,-4.4,False,True,False,False,True,False,True,False,False,False,True,,True,False,True,False,False,False,False,True
Kentucky,524,610.9,522.0,618.9,552.1,580.0,434.8,542.0,,470.0,825.1,456.9,523.7,210.5,502.0,,555.0,574.2,473.0,607.1,492.0,538.9,86.9,-2.0,94.9,28.1,56.0,-89.2,18.0,,-54.0,301.1,-67.1,-0.3,-313.5,-22.0,,31.0,50.2,-51.0,83.1,-32.0,14.9,True,False,True,True,False,True,,True,False,True,True,False,True,,True,True,True,True,True,True
Louisiana,3104,3462.4,3457.0,3423.9,3150.4,3006.0,2887.1,2843.0,3564.3,3158.0,3297.4,3370.5,2978.0,,3226.0,3242.0,2891.0,3088.7,3114.0,2884.8,3047.0,3213.8,358.4,353.0,319.9,46.4,-98.0,-216.9,-261.0,460.3,54.0,193.4,266.5,-126.0,,122.0,138.0,-213.0,-15.3,10.0,-219.2,-57.0,109.8,True,True,True,True,True,True,False,True,True,True,True,,True,True,True,True,True,True,True,True
Maine,102,108.9,123.0,105.0,117.0,151.0,92.0,114.0,143.3,132.0,158.9,128.7,88.0,,88.0,,204.0,91.8,124.0,114.5,101.5,95.7,6.9,21.0,3.0,15.0,49.0,-10.0,12.0,41.3,30.0,56.9,26.7,-14.0,,-14.0,,102.0,-10.2,22.0,12.5,-0.5,-6.3,False,True,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,True,True
Maryland,3052,3376.3,3384.0,3386.7,3263.6,3299.0,2918.2,3600.0,,3258.0,3603.9,3040.0,3136.6,,3091.5,4149.0,3424.0,3293.0,3068.0,3351.1,3193.5,3248.7,324.3,332.0,334.7,211.6,247.0,-133.8,548.0,,206.0,551.9,-12.0,84.6,,39.5,1097.0,372.0,241.0,16.0,299.1,141.5,196.7,False,False,True,True,True,False,,True,False,True,True,,True,False,False,True,True,True,True,True
Massachusetts,7828,8589.9,9497.0,8699.9,7930.1,7527.0,7232.6,7695.0,,8096.0,8017.9,7935.7,8539.6,,7622.0,7869.0,6723.0,8138.5,7541.0,6923.6,7871.5,7944.6,761.9,1669.0,871.9,102.1,-301.0,-595.4,-133.0,,268.0,189.9,107.7,711.6,,-206.0,41.0,-1105.0,310.5,-287.0,-904.4,43.5,116.6,False,False,True,True,True,True,,True,True,True,True,,True,True,False,True,True,False,True,True
Michigan,6087,6527.9,6792.0,6594.4,6098.7,5978.0,5671.5,5728.0,7000.8,5914.0,6627.2,6190.4,5890.3,10885.5,5470.0,5798.0,5855.0,6040.9,5830.0,5697.6,5732.0,6018.3,678.9,943.0,745.4,249.7,129.0,-177.5,-121.0,1151.8,65.0,778.2,341.4,41.3,5036.5,-379.0,-51.0,6.0,191.9,-19.0,-151.4,-117.0,169.3,False,False,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True
Minnesota,1404,1445.0,1837.0,1468.9,1784.6,2671.0,1410.8,2541.0,1761.1,1721.0,1966.1,1475.4,1649.5,1823.0,1408.0,1882.0,2514.0,1455.9,1336.0,1266.2,1506.0,1468.0,41.0,433.0,64.9,380.6,1267.0,6.8,1137.0,357.1,317.0,562.1,71.4,245.5,419.0,4.0,478.0,1110.0,51.9,-68.0,-137.8,102.0,64.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Mississippi,938,1026.1,1158.0,1040.0,1068.5,941.0,933.2,915.0,1369.6,765.0,1183.4,1011.1,1125.3,,1062.5,1140.0,1219.0,858.9,1017.0,841.2,1086.0,1175.6,88.1,220.0,102.0,130.5,3.0,-4.8,-23.0,431.6,-173.0,245.4,73.1,187.3,,124.5,202.0,281.0,-79.1,79.0,-96.8,148.0,237.6,False,False,False,True,True,True,False,False,False,True,False,,False,False,False,True,True,False,False,False
Missouri,973,1017.7,1097.0,1034.3,1003.0,830.0,755.6,957.0,980.2,984.0,1310.3,943.1,966.4,,1220.0,1096.0,1097.0,1061.6,874.0,816.8,1076.0,1151.0,126.7,206.0,143.3,112.0,-61.0,-135.4,66.0,89.2,93.0,419.3,52.1,75.4,,329.0,205.0,206.0,170.6,-17.0,-74.2,185.0,260.0,False,False,True,True,False,True,True,True,False,True,True,,False,False,False,False,True,True,False,False
Montana,20,16.0,25.0,18.1,21.2,16.0,16.8,16.0,18.0,16.0,64.1,17.5,18.2,,20.0,94.0,20.0,19.1,17.0,17.4,17.0,18.4,-4.0,5.0,-1.9,1.2,-4.0,-3.2,-4.0,-2.0,-4.0,44.1,-2.5,-1.8,,0.0,74.0,0.0,-0.9,-3.0,-2.6,-3.0,-1.6,False,True,True,False,True,False,True,False,False,True,True,,True,False,True,True,True,True,True,True
Nebraska,244,239.6,350.0,242.9,326.2,690.0,245.2,272.0,301.2,333.0,530.2,203.9,303.0,,248.0,,363.0,272.2,211.0,165.2,228.0,280.3,-4.4,106.0,-1.1,82.2,446.0,1.2,28.0,57.2,89.0,286.2,-40.1,59.0,,4.0,,119.0,28.2,-33.0,-78.8,-16.0,36.3,False,True,False,False,True,False,False,False,False,False,False,,True,,False,False,False,False,False,False
Nevada,486,495.7,549.0,547.0,521.4,595.0,417.8,466.0,,561.0,624.8,588.0,492.0,,530.0,,796.0,487.3,478.0,487.2,527.0,507.6,9.7,63.0,61.0,35.4,109.0,-68.2,-20.0,,75.0,138.8,102.0,6.0,,44.0,,310.0,1.3,-8.0,1.2,41.0,21.6,False,False,False,False,False,False,,False,False,False,True,,False,,False,True,True,True,False,False
New Hampshire,339,351.7,329.0,356.0,390.1,285.0,206.3,402.0,,292.0,467.8,345.3,488.4,,370.0,413.0,427.0,328.2,315.0,300.6,468.0,384.7,12.7,-10.0,17.0,51.1,-54.0,-132.7,63.0,,-47.0,128.8,6.3,149.4,,31.0,74.0,88.0,-10.8,-24.0,-38.4,129.0,45.7,True,False,False,False,False,False,,False,False,True,False,,False,False,False,True,False,False,False,False
New Jersey,14785,14127.3,15036.0,14364.1,12917.1,12139.0,12116.8,12571.0,,12977.0,12931.7,13004.5,13080.5,,13317.0,14887.0,11426.0,13124.9,12629.0,11599.8,13099.0,13325.6,1131.3,2040.0,1368.1,-78.9,-857.0,-879.2,-425.0,,-19.0,-64.3,8.5,84.5,,321.0,1891.0,-1570.0,128.9,-367.0,-1396.2,103.0,329.6,False,False,True,True,True,True,,True,True,True,True,,True,False,False,True,True,False,True,True
New Mexico,466,517.6,492.0,473.9,505.9,355.0,338.5,513.0,,404.0,547.5,528.5,530.2,,530.0,,544.0,482.4,487.0,452.8,587.0,545.5,51.6,26.0,7.9,39.9,-111.0,-127.5,47.0,,-62.0,81.5,62.5,64.2,,64.0,,78.0,16.4,21.0,-13.2,121.0,79.5,True,True,True,False,False,True,,False,False,False,False,,False,,False,True,True,True,False,False
