,actual_deaths,Baseline,Baseline_0.98,CU-select,IHME-CurveFit,LANL-GrowthRate,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-CU-select,error-IHME-CurveFit,error-LANL-GrowthRate,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-CU-select,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Ohio,2697,3109.9,2555.9,5199.0,2662.3,2288.2,2190.6,2870.9,412.9,2502.0,-34.7,-408.8,-506.4,173.9,False,True,True,False,True
Oklahoma,368,471.1,408.8,518.0,441.9,408.6,441.8,470.9,103.1,150.0,73.9,40.6,73.8,102.9,False,True,True,True,True
Oregon,189,232.4,199.4,206.0,196.9,215.1,209.9,199.4,43.4,17.0,7.9,26.1,20.9,10.4,True,True,True,True,True
Pennsylvania,6419,10166.9,8174.9,6736.0,9051.4,7019.4,5110.5,8071.3,3747.9,317.0,2632.4,600.4,-1308.5,1652.3,True,True,True,True,True
Rhode Island,894,1019.4,832.3,942.0,668.2,707.4,785.0,954.7,125.4,48.0,-225.8,-186.6,-109.0,60.7,True,False,False,True,True
South Carolina,644,659.0,556.3,1657.0,694.8,579.8,504.2,744.6,15.0,1013.0,50.8,-64.2,-139.8,100.6,False,False,False,False,False
South Dakota,81,110.1,86.3,562.0,113.4,129.6,60.0,108.8,29.1,481.0,32.4,48.6,-21.0,27.8,False,False,False,True,True
Tennessee,524,436.3,375.8,913.0,463.6,294.0,460.4,365.2,-87.7,389.0,-60.4,-230.0,-63.6,-158.8,False,True,False,True,False
Texas,2183,2359.1,1963.0,7220.0,2173.8,1763.7,1953.6,2827.3,176.1,5037.0,-9.2,-419.3,-229.4,644.3,False,True,False,False,False
Utah,155,166.6,135.4,492.0,134.0,118.6,116.0,174.8,11.6,337.0,-21.0,-36.4,-39.0,19.8,False,False,False,False,False
Vermont,56,53.0,53.0,55.0,52.3,59.0,73.3,73.7,-3.0,-1.0,-3.7,3.0,17.3,17.7,True,False,True,False,False
Virginia,1607,1887.4,1559.1,2121.0,1343.4,1680.4,1630.4,1942.5,280.4,514.0,-263.6,73.4,23.4,335.5,False,True,True,True,False
Washington,1265,1499.1,1321.2,1507.0,1109.0,1262.7,1298.7,1251.4,234.1,242.0,-156.0,-2.3,33.7,-13.6,False,True,True,True,True
West Virginia,88,89.1,78.1,97.0,73.1,94.3,78.1,106.1,1.1,9.0,-14.9,6.3,-9.9,18.1,False,False,False,False,False
Wisconsin,744,757.3,645.4,1001.0,632.3,631.0,814.2,624.0,13.3,257.0,-111.7,-113.0,70.2,-120.0,False,False,False,False,False
Wyoming,20,7.0,7.0,7.0,6.0,11.8,14.5,15.9,-13.0,-13.0,-14.0,-8.2,-5.5,-4.1,False,False,True,True,True
US,119720,149356.9,127592.4,148810.0,125654.2,108573.2,119295.9,131951.4,29636.9,29090.0,5934.2,-11146.8,-424.1,12231.4,True,True,True,True,True
