,total_deaths_2020-05-17,predicted_deaths,actual_deaths,additional_deaths,error,perc_error
UCLA-SuEIR,89893,123477.3,119719,29826,3758.3,12.6%
LANL-GrowthRate,89893,115894.4,119719,29826,-3824.6,-12.8%
IowaStateLW-STEM,89893,115815.0,119719,29826,-3904.0,-13.1%
Baseline_0.98,89893,125514.5,119719,29826,5795.5,19.4%
MIT_CovidAnalytics-DELPHI,89893,126104.0,119719,29826,6385.0,21.4%
IHME-CurveFit,89893,128020.1,119719,29826,8301.1,27.8%
USACE-ERDC_SEIR,89893,109915.6,119719,29826,-9803.4,-32.9%
PSI-DRAFT,89893,131698.0,119719,29826,11979.0,40.2%
YYG-ParamSearch,89893,131914.7,119719,29826,12195.7,40.9%
Baseline,89893,138644.1,119719,29826,18925.1,63.5%
Auquan-SEIR,89893,,119719,29826,,
UChicago-CovidIL,89893,,119719,29826,,
UChicago-CovidIL_100,89893,,119719,29826,,
UChicago-CovidIL_10_increase,89893,,119719,29826,,
UChicago-CovidIL_30_increase,89893,,119719,29826,,
