,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan,error-COVIDhub,error-CU,error-Covid19Sim,error-CovidActNow,error-GT,error-GT_CHHS,error-IHME,error-IowaStateLW,error-JHU_IDD,error-LANL,error-MIT_CovidAnalytics,error-MOBS_NEU,error-NotreDame,error-OliverWyman,error-PSI,error-SWC,error-UA,error-UCLA,error-UMass,error-USACE,error-UT,error-YYG,beat_baseline-Auquan,beat_baseline-COVIDhub,beat_baseline-CU,beat_baseline-Covid19Sim,beat_baseline-CovidActNow,beat_baseline-GT,beat_baseline-GT_CHHS,beat_baseline-IHME,beat_baseline-IowaStateLW,beat_baseline-JHU_IDD,beat_baseline-LANL,beat_baseline-MIT_CovidAnalytics,beat_baseline-MOBS_NEU,beat_baseline-NotreDame,beat_baseline-OliverWyman,beat_baseline-PSI,beat_baseline-SWC,beat_baseline-UA,beat_baseline-UCLA,beat_baseline-UMass,beat_baseline-USACE,beat_baseline-UT,beat_baseline-YYG
Alabama,838,807.1,794.3,1081.0,824.4,881.0,741.6,889.2,,,784.8,760.0,892.5,802.9,914.0,806.5,,,710.5,842.0,996.0,798.6,802.0,805.6,812.2,836.2,-30.9,243.0,-13.6,43.0,-96.4,51.2,,,-53.2,-78.0,54.5,-35.1,76.0,-31.5,,,-127.5,4.0,158.0,-39.4,-36.0,-32.4,-25.8,-1.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
Alaska,12,10.0,10.0,17.0,11.1,10.0,11.4,23.5,13.4,,10.2,,17.5,11.6,10.0,10.2,,11.1,25.0,,17.0,10.4,12.0,9.8,9.4,10.4,-2.0,5.0,-0.9,-2.0,-0.6,11.5,1.4,,-1.8,,5.5,-0.4,-2.0,-1.8,,-0.9,13.0,,5.0,-1.6,0.0,-2.2,-2.6,-1.6,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,True,False,False,True
Arizona,1346,1318.4,1288.6,1667.0,1477.2,1698.0,1059.4,1501.3,,,1527.3,1368.0,1451.7,1560.5,1859.0,1330.1,,1650.0,1170.0,1417.0,2037.0,1394.6,1556.0,1418.2,1278.3,1315.5,-27.6,321.0,131.2,352.0,-286.6,155.3,,,181.3,22.0,105.7,214.5,513.0,-15.9,,304.0,-176.0,71.0,691.0,48.6,210.0,72.2,-67.7,-30.5,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Arkansas,224,193.0,188.6,343.0,208.5,297.0,184.1,277.0,218.7,,214.6,181.0,251.4,203.1,196.0,189.2,,216.3,168.5,181.0,388.0,197.9,207.0,202.4,179.5,194.2,-31.0,119.0,-15.5,73.0,-39.9,53.0,-5.3,,-9.4,-43.0,27.4,-20.9,-28.0,-34.8,,-7.7,-55.5,-43.0,164.0,-26.1,-17.0,-21.6,-44.5,-29.8,False,True,False,False,False,True,False,True,False,True,True,True,False,False,True,False,False,False,True,True,True,False,True
California,5494,5486.3,5390.9,7262.0,5622.2,6258.0,4923.7,6271.1,5562.4,,5691.8,5698.0,6349.7,5249.7,5732.0,5399.2,,5343.6,5213.0,5448.0,6590.0,5420.2,5464.0,5733.4,5278.0,5455.9,-7.7,1768.0,128.2,764.0,-570.3,777.1,68.4,,197.8,204.0,855.7,-244.3,238.0,-94.8,,-150.4,-281.0,-46.0,1096.0,-73.8,-30.0,239.4,-216.0,-38.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Colorado,1647,1679.3,1662.3,2050.0,1679.3,1645.0,1572.6,1683.9,1691.5,,1709.4,1671.0,1733.0,1653.1,1665.0,1692.8,,1637.0,1528.0,1713.0,1683.0,1794.2,1636.0,1582.4,1628.5,1689.7,32.3,403.0,32.3,-2.0,-74.4,36.9,44.5,,62.4,24.0,86.0,6.1,18.0,45.8,,-10.0,-119.0,66.0,36.0,147.2,-11.0,-64.6,-18.5,42.7,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,True,False
Connecticut,4251,4306.9,4280.5,4871.0,4287.1,4242.0,4205.0,4307.0,,,4205.8,4308.0,4340.9,4312.8,4261.0,4346.9,,4253.9,4057.5,4258.0,4164.0,4454.6,4239.0,4015.0,4221.3,4294.3,55.9,620.0,36.1,-9.0,-46.0,56.0,,,-45.2,57.0,89.9,61.8,10.0,95.9,,2.9,-193.5,7.0,-87.0,203.6,-12.0,-236.0,-29.7,43.3,False,True,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True
Delaware,434,457.4,450.8,577.0,439.3,434.0,402.5,437.9,433.0,,415.6,445.0,465.8,424.0,437.0,445.0,,434.8,446.0,462.0,441.0,440.9,438.0,415.8,448.6,449.4,23.4,143.0,5.3,0.0,-31.5,3.9,-1.0,,-18.4,11.0,31.8,-10.0,3.0,11.0,,0.8,12.0,28.0,7.0,6.9,4.0,-18.2,14.6,15.4,False,True,True,False,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True
District of Columbia,531,531.7,526.9,638.0,539.3,533.0,499.5,542.7,510.7,,521.9,578.0,544.1,531.6,532.0,,,528.3,445.0,539.0,524.0,591.3,522.0,528.6,522.5,530.4,0.7,107.0,8.3,2.0,-31.5,11.7,-20.3,,-9.1,47.0,13.1,0.6,1.0,,,-2.7,-86.0,8.0,-7.0,60.3,-9.0,-2.4,-8.5,-0.6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Florida,3144,3162.4,3110.8,4691.0,3213.4,3468.0,2732.8,3123.0,,,3038.8,3226.0,3593.6,3211.4,3234.0,3027.2,,3343.9,3010.0,3090.0,4120.0,3180.1,3234.0,2956.2,3062.0,3159.8,18.4,1547.0,69.4,324.0,-411.2,-21.0,,,-105.2,82.0,449.6,67.4,90.0,-116.8,,199.9,-134.0,-54.0,976.0,36.1,90.0,-187.8,-82.0,15.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Georgia,2642,2415.9,2389.5,3260.0,2459.6,2387.0,2295.4,2456.5,,2576.3,2548.9,2469.0,2650.6,2467.8,2384.0,2434.8,,,2386.5,2529.0,2434.0,2438.3,2429.0,2176.4,2388.0,2487.1,-226.1,618.0,-182.4,-255.0,-346.6,-185.5,,-65.7,-93.1,-173.0,8.6,-174.2,-258.0,-207.2,,,-255.5,-113.0,-208.0,-203.7,-213.0,-465.6,-254.0,-154.9,False,True,False,False,True,False,True,True,True,True,True,False,True,False,False,False,True,True,True,True,False,False,True
Hawaii,17,17.0,17.0,26.0,17.8,17.0,17.4,20.0,,,17.6,,19.5,19.3,18.0,17.7,,17.0,15.0,33.0,21.0,17.6,18.0,17.5,17.6,17.9,0.0,9.0,0.8,0.0,0.4,3.0,,,0.6,,2.5,2.3,1.0,0.7,,0.0,-2.0,16.0,4.0,0.6,1.0,0.5,0.6,0.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Idaho,89,84.9,84.6,126.0,90.3,85.0,89.9,102.2,89.1,,98.4,83.0,111.4,91.9,99.0,86.0,,85.6,83.0,,101.0,87.2,88.0,79.5,87.4,86.6,-4.1,37.0,1.3,-4.0,0.9,13.2,0.1,,9.4,-6.0,22.4,2.9,10.0,-3.0,,-3.4,-6.0,,12.0,-1.8,-1.0,-9.5,-1.6,-2.4,False,True,True,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,True,True
Illinois,6625,6858.6,6752.0,8504.0,6674.8,6414.0,6105.1,6378.4,6367.3,,6395.9,6954.0,6983.2,6493.7,6490.0,6873.4,6726.5,6495.7,10062.5,6910.0,6307.0,6930.3,6520.0,6296.4,6676.5,6666.8,233.6,1879.0,49.8,-211.0,-519.9,-246.6,-257.7,,-229.1,329.0,358.2,-131.3,-135.0,248.4,101.5,-129.3,3437.5,285.0,-318.0,305.3,-105.0,-328.6,51.5,41.8,False,True,True,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,True,False,True,True
Indiana,2536,2616.9,2581.8,3129.0,2565.3,2546.0,2374.5,2631.4,,,2356.2,2382.0,2570.3,2555.9,2541.0,2611.2,2723.5,2581.2,2323.5,2500.0,2583.0,2565.9,2551.0,2512.3,2547.9,2629.8,80.9,593.0,29.3,10.0,-161.5,95.4,,,-179.8,-154.0,34.3,19.9,5.0,75.2,187.5,45.2,-212.5,-36.0,47.0,29.9,15.0,-23.7,11.9,93.8,False,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False
Iowa,681,735.0,720.5,1211.0,744.3,784.0,643.4,740.3,750.6,,772.9,671.0,852.0,721.7,697.0,785.9,,713.3,888.5,775.0,683.0,707.4,706.0,634.1,744.6,745.2,54.0,530.0,63.3,103.0,-37.6,59.3,69.6,,91.9,-10.0,171.0,40.7,16.0,104.9,,32.3,207.5,94.0,2.0,26.4,25.0,-46.9,63.6,64.2,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,True,True,True,False,False
Kansas,256,266.4,262.7,378.0,261.8,253.0,253.8,276.5,267.7,,262.5,291.0,328.5,245.3,254.0,249.6,,259.8,250.0,242.0,253.0,260.8,248.0,228.8,248.9,259.3,10.4,122.0,5.8,-3.0,-2.2,20.5,11.7,,6.5,35.0,72.5,-10.7,-2.0,-6.4,,3.8,-6.0,-14.0,-3.0,4.8,-8.0,-27.2,-7.1,3.3,False,True,True,True,False,False,False,True,False,False,False,True,True,False,True,True,False,True,True,True,False,True,True
Kentucky,524,542.4,534.3,645.0,557.4,624.0,481.3,663.7,593.7,,596.9,533.0,623.7,538.8,534.0,530.2,541.0,549.2,455.0,564.0,496.0,590.7,532.0,543.6,525.6,542.5,18.4,121.0,33.4,100.0,-42.7,139.7,69.7,,72.9,9.0,99.7,14.8,10.0,6.2,17.0,25.2,-69.0,40.0,-28.0,66.7,8.0,19.6,1.6,18.5,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False,True,False,True,False
Louisiana,3104,3205.3,3175.2,3652.0,3099.1,3110.0,2956.6,3219.2,,,3038.7,3059.0,3115.4,3182.1,3053.0,3051.7,,3219.0,3040.0,2977.0,3300.0,3105.5,3145.0,2797.1,3061.6,3172.1,101.3,548.0,-4.9,6.0,-147.4,115.2,,,-65.3,-45.0,11.4,78.1,-51.0,-52.3,,115.0,-64.0,-127.0,196.0,1.5,41.0,-306.9,-42.4,68.1,False,True,True,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,True,True,False,True,True
Maine,102,117.6,115.5,140.0,115.3,125.0,100.4,119.9,117.0,,125.4,109.0,129.9,112.1,124.0,109.1,,112.6,95.0,103.0,128.0,103.7,114.0,114.9,113.7,109.0,15.6,38.0,13.3,23.0,-1.6,17.9,15.0,,23.4,7.0,27.9,10.1,22.0,7.1,,10.6,-7.0,1.0,26.0,1.7,12.0,12.9,11.7,7.0,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,True,True,False,True,True,True,True,True
Maryland,3052,3152.0,3107.0,3911.0,3178.8,3164.0,2908.9,3369.6,3032.5,,3103.0,3336.0,3443.0,3020.9,3249.0,3114.1,,3052.7,2865.0,3446.0,2950.0,3273.7,3047.0,3118.2,3056.6,3187.9,100.0,859.0,126.8,112.0,-143.1,317.6,-19.5,,51.0,284.0,391.0,-31.1,197.0,62.1,,0.7,-187.0,394.0,-102.0,221.7,-5.0,66.2,4.6,135.9,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,True,False
Massachusetts,7827,8188.9,8091.4,8853.0,7882.0,7894.0,7571.1,7949.7,,,7664.4,8279.0,7896.7,7757.5,7718.0,8066.1,,7949.1,7098.5,7872.0,7426.0,7977.6,7797.0,7237.1,7765.0,7820.4,361.9,1026.0,55.0,67.0,-255.9,122.7,,,-162.6,452.0,69.7,-69.5,-109.0,239.1,,122.1,-728.5,45.0,-401.0,150.6,-30.0,-589.9,-62.0,-6.6,False,True,True,True,True,False,False,True,False,True,True,True,True,False,True,False,True,False,True,True,False,True,True
Michigan,6087,6291.0,6250.4,7191.0,6174.8,5934.0,5767.9,6290.7,,,5887.8,6419.0,6422.5,6509.6,6250.0,5839.7,6087.0,6070.0,5656.0,6305.0,6416.0,6269.5,5844.0,5354.2,6504.0,6153.3,204.0,1104.0,87.8,-153.0,-319.1,203.7,,,-199.2,332.0,335.5,422.6,163.0,-247.3,0.0,-17.0,-431.0,218.0,329.0,182.5,-243.0,-732.8,417.0,66.3,False,True,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True
Minnesota,1404,1470.0,1439.5,1876.0,1474.2,1611.0,1320.1,1565.0,,,1438.3,1306.0,1644.2,1423.2,1546.0,1519.8,1509.0,1401.9,1202.0,1483.0,1429.0,1441.2,1427.0,1331.9,1481.0,1491.9,66.0,472.0,70.2,207.0,-83.9,161.0,,,34.3,-98.0,240.2,19.2,142.0,115.8,105.0,-2.1,-202.0,79.0,25.0,37.2,23.0,-72.1,77.0,87.9,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False
Mississippi,938,971.1,953.9,1257.0,966.7,986.0,830.0,1045.1,871.3,,1005.9,862.0,1036.9,939.3,995.0,1014.8,,957.0,936.0,1050.0,1035.0,930.6,935.0,933.8,951.3,986.2,33.1,319.0,28.7,48.0,-108.0,107.1,-66.7,,67.9,-76.0,98.9,1.3,57.0,76.8,,19.0,-2.0,112.0,97.0,-7.4,-3.0,-4.2,13.3,48.2,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,True,True,False
Missouri,965,916.9,909.4,1132.0,943.3,906.0,838.9,1195.2,945.9,,950.5,963.0,976.3,934.4,971.0,919.8,,968.3,900.0,1023.0,880.0,1007.8,905.0,881.1,913.6,952.1,-48.1,167.0,-21.7,-59.0,-126.1,230.2,-19.1,,-14.5,-2.0,11.3,-30.6,6.0,-45.2,,3.3,-65.0,58.0,-85.0,42.8,-60.0,-83.9,-51.4,-12.9,False,True,False,False,False,True,False,True,True,True,True,True,True,False,True,False,False,False,True,False,False,False,True
Montana,20,19.9,19.6,26.0,20.2,18.0,18.0,46.0,20.1,,18.3,18.0,34.5,21.5,19.0,18.7,,19.6,10.0,21.0,21.0,19.2,20.0,16.2,19.5,19.2,-0.1,6.0,0.2,-2.0,-2.0,26.0,0.1,,-1.7,-2.0,14.5,1.5,-1.0,-1.3,,-0.4,-10.0,1.0,1.0,-0.8,0.0,-3.8,-0.5,-0.8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Nebraska,244,218.6,215.0,405.0,242.2,325.0,233.3,260.6,,,264.2,238.0,306.5,210.5,208.0,227.6,,213.9,255.0,227.0,267.0,235.6,214.0,200.6,228.8,229.6,-25.4,161.0,-1.8,81.0,-10.7,16.6,,,20.2,-6.0,62.5,-33.5,-36.0,-16.4,,-30.1,11.0,-17.0,23.0,-8.4,-30.0,-43.4,-15.2,-14.4,False,True,False,True,True,False,False,True,True,False,False,False,True,False,False,True,True,True,True,False,False,True,True
