,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,838,842.4,1059.0,857.0,859.1,906.0,870.3,838.2,877.0,,,889.2,,,821.0,857.6,905.8,836.5,,869.2,829.0,831.0,910.0,857.8,846.0,710.6,844.0,838.6,,4.4,221.0,19.0,21.1,68.0,32.3,0.2,39.0,,,51.2,,,-17.0,19.6,67.8,-1.5,,31.2,-9.0,-7.0,72.0,19.8,8.0,-127.4,6.0,0.6,,False,False,False,False,False,True,False,,,False,,,False,False,False,True,,False,False,False,False,False,False,False,False,True,
Alaska,12,13.7,17.0,14.0,13.0,12.0,12.0,14.9,12.0,13.6,,10.9,,,,13.0,13.0,12.4,,14.5,12.0,15.0,13.0,12.3,13.0,14.6,10.0,12.3,,1.7,5.0,2.0,1.0,0.0,0.0,2.9,0.0,1.6,,-1.1,,,,1.0,1.0,0.4,,2.5,0.0,3.0,1.0,0.3,1.0,2.6,-2.0,0.3,,False,False,True,True,True,False,True,True,,True,,,,True,True,True,,False,True,False,True,True,True,False,False,True,
Arizona,1346,1311.0,1788.0,1335.0,1386.1,1476.0,1521.6,1387.1,1619.0,,,1432.4,,,1419.0,1387.1,1399.1,1336.5,,1378.8,1313.0,1318.0,1290.0,1319.1,1366.0,985.7,1346.0,1315.8,1376.0,-35.0,442.0,-11.0,40.1,130.0,175.6,41.1,273.0,,,86.4,,,73.0,41.1,53.1,-9.5,,32.8,-33.0,-28.0,-56.0,-26.9,20.0,-360.3,0.0,-30.2,30.0,False,True,False,False,False,False,False,,,False,,,False,False,False,True,,True,True,True,False,True,True,False,True,True,True
Arkansas,224,200.4,314.0,200.0,206.2,217.0,179.1,233.0,209.0,207.2,,210.8,,,196.0,207.9,215.1,197.8,,212.0,192.0,194.0,218.0,202.6,206.0,141.2,195.0,199.4,,-23.6,90.0,-24.0,-17.8,-7.0,-44.9,9.0,-15.0,-16.8,,-13.2,,,-28.0,-16.1,-8.9,-26.2,,-12.0,-32.0,-30.0,-6.0,-21.4,-18.0,-82.8,-29.0,-24.6,,False,False,True,True,False,True,True,True,,True,,,False,True,True,False,,True,False,False,True,True,True,False,False,False,
California,5494,5499.3,6599.0,5546.0,5575.2,5761.0,5477.1,5988.7,5658.0,5629.0,,5520.0,,,5715.0,5827.1,5584.5,5484.2,,5518.7,5431.0,5417.0,5538.0,5454.7,5508.0,5135.7,5468.0,5488.3,5597.0,5.3,1105.0,52.0,81.2,267.0,-16.9,494.7,164.0,135.0,,26.0,,,221.0,333.1,90.5,-9.8,,24.7,-63.0,-77.0,44.0,-39.3,14.0,-358.3,-26.0,-5.7,103.0,False,False,False,False,False,False,False,False,,False,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
Colorado,1647,1658.9,1850.0,1667.0,1661.2,1652.0,1692.0,1662.8,1651.0,,,1727.8,,,1671.0,1654.7,1648.1,1669.6,,1650.7,1656.0,1678.0,1647.0,1653.6,1640.0,1620.2,1651.0,1656.2,,11.9,203.0,20.0,14.2,5.0,45.0,15.8,4.0,,,80.8,,,24.0,7.7,1.1,22.6,,3.7,9.0,31.0,0.0,6.6,-7.0,-26.8,4.0,9.2,,False,False,False,True,False,False,True,,,False,,,False,True,True,False,,True,True,False,True,True,True,False,True,True,
Connecticut,4251,4312.4,4567.0,4317.0,4291.6,4250.0,4377.3,4260.7,4272.0,4287.1,,4208.4,,,4304.0,4327.6,4316.2,4312.1,,4291.2,4283.0,4292.0,4273.0,4302.0,4283.0,4191.5,4285.0,4302.8,4337.0,61.4,316.0,66.0,40.6,-1.0,126.3,9.7,21.0,36.1,,-42.6,,,53.0,76.6,65.2,61.1,,40.2,32.0,41.0,22.0,51.0,32.0,-59.5,34.0,51.8,86.0,False,False,True,True,False,True,True,True,,True,,,True,False,False,True,,True,True,True,True,True,True,True,True,True,False
Delaware,434,442.6,515.0,448.0,440.8,439.0,449.9,438.3,436.0,452.9,,432.0,,,449.0,448.0,437.0,443.8,,437.5,437.0,443.0,441.0,440.4,437.0,435.4,443.0,441.6,,8.6,81.0,14.0,6.8,5.0,15.9,4.3,2.0,18.9,,-2.0,,,15.0,14.0,3.0,9.8,,3.5,3.0,9.0,7.0,6.4,3.0,1.4,9.0,7.6,,False,False,True,True,False,True,True,False,,True,,,False,False,True,False,,True,True,False,True,True,True,True,False,True,
District of Columbia,531,537.3,600.0,539.0,534.1,531.0,548.7,548.2,531.0,528.4,,528.0,,,561.0,533.8,529.4,,,532.6,521.0,527.0,530.0,536.6,531.0,510.4,532.0,535.8,,6.3,69.0,8.0,3.1,0.0,17.7,17.2,0.0,-2.6,,-3.0,,,30.0,2.8,-1.6,,,1.6,-10.0,-4.0,-1.0,5.6,0.0,-20.6,1.0,4.8,,False,False,True,True,False,False,True,True,,True,,,False,True,True,,,True,False,True,True,True,True,False,True,True,
Florida,3144,3129.0,3857.0,3162.0,3206.0,3381.0,3208.0,3132.6,3205.0,,,3178.2,,,3291.0,3227.6,3357.7,3106.6,,3233.5,3105.0,3208.0,3258.0,3152.6,3204.0,3051.8,3147.0,3136.0,3206.0,-15.0,713.0,18.0,62.0,237.0,64.0,-11.4,61.0,,,34.2,,,147.0,83.6,213.7,-37.4,,89.5,-39.0,64.0,114.0,8.6,60.0,-92.2,3.0,-8.0,62.0,False,False,False,False,False,True,False,,,False,,,False,False,False,False,,False,False,False,False,True,False,False,True,True,False
