,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51.0,26381.3,110.3,116591.0,0.0,8.1,2931.0,793747.6
Baseline_0.98,51.0,33462.4,92.8,167378.5,0.0,14.1,2147.7,1160839.1
MOBS_NEU-GLEAM_COVID,51.0,37846.9,799.3,112577.3,0.1,13.7,8040.3,720729.3
Baseline,51.0,39114.2,114.8,214192.7,0.0,11.4,3185.1,1516064.5
IHME-CurveFit,51.0,52654.4,395.4,186629.3,0.1,42.8,3665.3,1128237.0
LANL-GrowthRate,51.0,66865.9,191.9,317979.3,0.0,16.0,5556.6,2233829.9
MIT_CovidAnalytics-DELPHI,51.0,81835.2,841.0,544514.2,0.0,25.0,3782.5,3892729.0
COVIDhub-ensemble,51.0,94868.5,286.3,617082.1,0.2,9.3,2649.0,4411522.4
IowaStateLW-STEM,51.0,128644.9,1089.0,839988.2,0.0,100.0,7225.0,6007401.0
CU-select,51.0,284949.3,2809.0,1850164.0,1.0,157.6,9714.5,13227769.0
UMass-MechBayes,51.0,357416.4,2116.0,2305236.4,0.0,121.0,13481.0,16483600.0
UT-Mobility,51.0,659620.6,140.6,4549240.2,0.2,19.6,3638.4,32498957.8
