,actual_deaths,Baseline,COVIDhub-baseline,CU-select,IHME-CurveFit,LANL-GrowthRate,MOBS-GLEAM_COVID,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-CU-select,error-IHME-CurveFit,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-CU-select,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,288,275.9,275.0,229.0,276.5,240.0,434.9,298.4,266.4,-12.1,-13.0,-59.0,-11.5,-48.0,146.9,10.4,-21.6,False,False,True,False,False,True,False
Alaska,9,10.9,11.0,15.0,16.5,10.6,,14.6,14.7,1.9,2.0,6.0,7.5,1.6,,5.6,5.7,False,False,False,True,,False,False
Arizona,330,293.6,324.0,336.0,327.0,325.3,373.3,380.7,305.4,-36.4,-6.0,6.0,-3.0,-4.7,43.3,50.7,-24.6,True,True,True,True,False,False,True
Arkansas,72,61.3,64.0,64.0,75.1,49.3,110.2,63.1,66.2,-10.7,-8.0,-8.0,3.1,-22.7,38.2,-8.9,-5.8,True,True,True,False,False,True,True
California,2180,2174.3,2212.0,2890.0,1698.1,2209.3,1673.5,2009.1,1982.8,-5.7,32.0,710.0,-481.9,29.3,-506.5,-170.9,-197.2,False,False,False,False,False,False,False
Colorado,832,663.3,667.0,720.0,600.1,689.7,724.3,588.7,601.7,-168.7,-165.0,-112.0,-231.9,-142.3,-107.7,-243.3,-230.3,True,True,False,True,True,False,False
Connecticut,2436,2191.1,2270.0,3001.0,2427.6,1652.8,1499.8,1833.9,2240.9,-244.9,-166.0,565.0,-8.4,-783.2,-936.2,-602.1,-195.1,True,False,True,False,False,False,True
Delaware,236,126.4,135.0,427.0,128.1,96.0,91.3,136.6,130.5,-85.6,-77.0,215.0,-83.9,-116.0,-120.7,-75.4,-81.5,True,False,True,False,False,True,True
District of Columbia,240,181.4,179.0,,187.6,171.2,,206.7,177.2,-58.6,-61.0,,-52.4,-68.8,,-33.3,-62.8,False,,True,False,,True,False
Florida,1364,1355.3,1368.0,1988.0,1263.1,1240.5,2086.4,1191.6,1244.5,-8.7,4.0,624.0,-100.9,-123.5,722.4,-172.4,-119.5,True,False,False,False,False,False,False
