,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,CovidAnalytics-DELPHI,Geneva-DetGrowth,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,UMass-MechBayes,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-UMass-MechBayes,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-UMass-MechBayes,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,288,272.1,265.0,287.1,274.0,292.0,,275.1,,,270.0,,263.1,282.8,324.0,291.0,270.2,-15.9,-23.0,-0.9,-14.0,4.0,,-12.9,,,-18.0,,-24.9,-5.2,36.0,3.0,-17.8,False,True,True,True,,True,,,False,,False,True,False,True,False
Alaska,9,9.0,9.0,11.9,15.0,10.0,,13.2,,,,,9.3,11.6,13.0,10.6,11.8,0.0,0.0,2.9,6.0,1.0,,4.2,,,,,0.3,2.6,4.0,1.6,2.8,True,False,False,False,,False,,,,,False,False,False,False,False
Arizona,330,353.0,366.0,364.1,392.0,352.0,,355.4,,,403.0,,351.0,338.0,390.0,355.4,349.0,23.0,36.0,34.1,62.0,22.0,,25.4,,,73.0,,21.0,8.0,60.0,25.4,19.0,False,False,False,True,,False,,,False,,True,True,False,False,True
Arkansas,72,61.3,58.0,74.2,64.0,81.0,,67.8,,,83.0,,58.5,68.1,88.0,62.6,62.7,-10.7,-14.0,2.2,-8.0,9.0,,-4.2,,,11.0,,-13.5,-3.9,16.0,-9.4,-9.3,False,True,True,True,,True,,,False,,False,True,False,True,True
California,2180,2194.7,2238.0,2232.1,2608.0,2141.0,,1949.4,,,2471.0,,2184.3,1907.2,2491.0,2113.5,2179.7,14.7,58.0,52.1,428.0,-39.0,,-230.6,,,291.0,,4.3,-272.8,311.0,-66.5,-0.3,False,False,False,False,,False,,,False,,True,False,False,False,True
Colorado,832,917.7,979.0,884.9,802.0,861.0,,857.8,,,915.0,,966.5,794.8,965.0,866.1,855.1,85.7,147.0,52.9,-30.0,29.0,,25.8,,,83.0,,134.5,-37.2,133.0,34.1,23.1,False,True,True,True,,True,,,True,,False,True,False,True,True
Connecticut,2436,2607.1,2644.0,2545.6,2593.0,2738.0,,2494.7,,,2361.0,,2249.6,2025.4,2927.0,2447.0,2468.7,171.1,208.0,109.6,157.0,302.0,,58.7,,,-75.0,,-186.4,-410.6,491.0,11.0,32.7,False,True,True,False,,True,,,True,,False,False,False,True,True
Delaware,168,165.4,157.0,177.1,229.0,171.0,,145.0,,,215.0,,141.9,128.9,189.0,164.7,157.5,-2.6,-11.0,9.1,61.0,3.0,,-23.0,,,47.0,,-26.1,-39.1,21.0,-3.3,-10.5,False,False,False,False,,False,,,False,,False,False,False,False,False
District of Columbia,240,248.3,239.0,240.8,,230.0,,222.5,,,266.0,,231.5,,253.0,261.4,229.5,8.3,-1.0,0.8,,-10.0,,-17.5,,,26.0,,-8.5,,13.0,21.4,-10.5,True,True,,False,,False,,,False,,False,,False,False,False
Florida,1364,1333.0,1362.0,1347.1,1413.0,1372.0,,1309.8,,,1541.0,,1286.3,1447.7,1438.0,1263.3,1313.4,-31.0,-2.0,-16.9,49.0,8.0,,-54.2,,,177.0,,-77.7,83.7,74.0,-100.7,-50.6,True,True,False,True,,False,,,False,,False,False,False,False,False
Georgia,1177,1112.3,1141.0,1126.2,1089.0,1078.0,,1260.7,,,1151.0,,1068.1,1246.1,1382.0,1028.4,1093.6,-64.7,-36.0,-50.8,-88.0,-99.0,,83.7,,,-26.0,,-108.9,69.1,205.0,-148.6,-83.4,True,True,False,False,,False,,,True,,False,False,False,False,False
Hawaii,16,17.4,17.0,15.6,11.0,16.0,,21.8,,,,,14.7,16.9,17.0,17.0,18.2,1.4,1.0,-0.4,-5.0,0.0,,5.8,,,,,-1.3,0.9,1.0,1.0,2.2,True,True,False,True,,False,,,,,True,True,True,True,False
Idaho,64,66.3,69.0,67.7,63.0,69.0,,61.6,,,84.0,,60.1,68.6,75.0,70.7,68.4,2.3,5.0,3.7,-1.0,5.0,,-2.4,,,20.0,,-3.9,4.6,11.0,6.7,4.4,False,False,True,False,,False,,,False,,False,False,False,False,False
Illinois,2559,2484.1,2491.0,2658.8,2752.0,2800.0,,2200.0,,,2682.0,,2535.0,2172.6,3030.0,2426.0,2422.2,-74.9,-68.0,99.8,193.0,241.0,,-359.0,,,123.0,,-24.0,-386.4,471.0,-133.0,-136.8,True,False,False,False,,False,,,False,,True,False,False,False,False
Indiana,1229,1028.1,1027.0,1034.3,834.0,1095.0,,953.0,,,1030.0,,1032.9,927.3,1125.0,1035.0,997.0,-200.9,-202.0,-194.7,-395.0,-134.0,,-276.0,,,-199.0,,-196.1,-301.7,-104.0,-194.0,-232.0,False,True,False,True,,False,,,True,,True,False,True,True,False
Iowa,175,154.9,150.0,208.2,270.0,209.0,,165.5,,,205.0,,179.3,136.7,244.0,153.9,156.5,-20.1,-25.0,33.2,95.0,34.0,,-9.5,,,30.0,,4.3,-38.3,69.0,-21.1,-18.5,False,False,False,False,,True,,,False,,True,False,False,False,True
Kansas,142,145.0,155.0,171.6,136.0,196.0,,163.3,,,161.0,,145.8,153.5,227.0,144.7,150.1,3.0,13.0,29.6,-6.0,54.0,,21.3,,,19.0,,3.8,11.5,85.0,2.7,8.1,False,False,False,False,,False,,,False,,False,False,False,True,False
Kentucky,248,261.1,266.0,273.7,220.0,285.0,,294.4,,,258.0,,256.0,249.2,347.0,279.9,254.5,13.1,18.0,25.7,-28.0,37.0,,46.4,,,10.0,,8.0,1.2,99.0,31.9,6.5,False,False,False,False,,False,,,True,,True,True,False,False,True
Louisiana,1993,2100.1,2147.0,1916.1,1850.0,1869.0,,1906.9,,,2283.0,,1799.2,1939.8,1979.0,1904.0,2064.3,107.1,154.0,-76.9,-143.0,-124.0,,-86.1,,,290.0,,-193.8,-53.2,-14.0,-89.0,71.3,False,True,False,False,,True,,,False,,False,True,True,True,True
Maine,56,63.7,62.0,58.9,53.0,58.0,,60.3,,,62.0,,53.6,57.4,64.0,66.3,63.9,7.7,6.0,2.9,-3.0,2.0,,4.3,,,6.0,,-2.4,1.4,8.0,10.3,7.9,True,True,True,True,,True,,,True,,True,True,False,False,False
Maryland,1251,1294.9,1329.0,1256.1,1331.0,1182.0,,1102.7,,,1176.0,,1291.5,999.6,1459.0,1098.1,1219.3,43.9,78.0,5.1,80.0,-69.0,,-148.3,,,-75.0,,40.5,-251.4,208.0,-152.9,-31.7,False,True,False,False,,False,,,False,,True,False,False,False,True
Massachusetts,3846,3921.6,4056.0,4041.4,4537.0,3977.0,,3859.8,,,3935.0,,4187.6,2997.0,4490.0,3832.4,3994.0,75.6,210.0,195.4,691.0,131.0,,13.8,,,89.0,,341.6,-849.0,644.0,-13.6,148.0,False,False,False,False,,True,,,False,,False,False,False,True,False
Michigan,4224,4107.0,4002.0,3930.6,3799.0,4111.0,,3689.7,,,4007.0,,3647.9,3751.5,4130.0,3944.3,3997.1,73.0,-32.0,-103.4,-235.0,77.0,,-344.3,,,-27.0,,-386.1,-282.5,96.0,-89.7,-36.9,True,False,False,False,,False,,,True,,False,False,False,False,True
Minnesota,394,390.3,367.0,343.8,267.0,332.0,,413.5,,,331.0,,379.7,281.1,377.0,406.6,371.5,-3.7,-27.0,-50.2,-127.0,-62.0,,19.5,,,-63.0,,-14.3,-112.9,-17.0,12.6,-22.5,False,False,False,False,,False,,,False,,False,False,False,False,False
Mississippi,291,285.3,290.0,288.6,237.0,321.0,,288.5,,,258.0,,251.3,293.6,358.0,285.0,279.4,-5.7,-1.0,-2.4,-54.0,30.0,,-2.5,,,-33.0,,-39.7,2.6,67.0,-6.0,-11.6,True,True,False,False,,True,,,False,,False,True,False,False,False
Missouri,472,355.0,365.0,358.0,370.0,367.0,,413.1,,,387.0,,312.7,396.5,397.0,352.6,348.5,-26.0,-16.0,-23.0,-11.0,-14.0,,32.1,,,6.0,,-68.3,15.5,16.0,-28.4,-32.5,True,True,True,True,,False,,,True,,False,True,True,False,False
Montana,16,17.4,18.0,15.2,15.0,12.0,,22.4,,,17.0,,14.3,17.8,16.0,17.6,18.4,1.4,2.0,-0.8,-1.0,-4.0,,6.4,,,1.0,,-1.7,1.8,0.0,1.6,2.4,False,True,True,False,,False,,,True,,False,False,True,False,False
Nebraska,73,80.0,76.0,80.2,13.0,101.0,,88.5,,,93.0,,87.6,62.0,115.0,77.6,71.6,7.0,3.0,7.2,-60.0,28.0,,15.5,,,20.0,,14.6,-11.0,42.0,4.6,-1.4,True,False,False,False,,False,,,False,,False,False,False,True,True
Nevada,255,247.1,259.0,254.5,248.0,272.0,,235.1,,,335.0,,246.6,254.6,271.0,240.6,247.1,-7.9,4.0,-0.5,-7.0,17.0,,-19.9,,,80.0,,-8.4,-0.4,16.0,-14.4,-7.9,True,True,True,False,,False,,,False,,False,True,False,False,False
New Hampshire,84,78.9,68.0,82.1,106.0,80.0,,67.6,,,93.0,,73.9,65.2,86.0,77.6,75.5,-5.1,-16.0,-1.9,22.0,-4.0,,-16.4,,,9.0,,-10.1,-18.8,2.0,-6.4,-8.5,False,True,False,True,,False,,,False,,False,False,True,False,False
New Jersey,9302,7288.9,7758.0,7363.8,7872.0,7812.0,,6679.8,,,7902.0,,7133.5,,8422.0,6803.5,7248.9,-621.1,-152.0,-546.2,-38.0,-98.0,,-1230.2,,,-8.0,,-776.5,,512.0,-1106.5,-661.1,True,True,True,True,,False,,,True,,False,,True,False,False
New Mexico,138,136.7,133.0,142.2,159.0,133.0,,136.1,,,138.0,,131.1,109.7,149.0,148.3,133.3,-1.3,-5.0,4.2,21.0,-5.0,,-1.9,,,0.0,,-6.9,-28.3,11.0,10.3,-4.7,False,False,False,False,,False,,,True,,False,False,False,False,False
New York,25201,25429.3,25258.0,22097.6,20561.0,22225.0,,23399.0,,,21747.0,,25692.6,23984.6,28258.0,18497.2,25088.9,869.3,698.0,-2462.4,-3999.0,-2335.0,,-1161.0,,,-2813.0,,1132.6,-575.4,3698.0,-6062.8,528.9,True,False,False,False,,False,,,False,,False,True,False,False,True
North Carolina,431,430.3,423.0,408.6,342.0,398.0,,368.9,,,403.0,,430.4,364.0,506.0,435.0,427.7,-0.7,-8.0,-22.4,-89.0,-33.0,,-62.1,,,-28.0,,-0.6,-67.0,75.0,4.0,-3.3,False,False,False,False,,False,,,False,,True,False,False,False,False
North Dakota,24,23.9,23.0,20.8,10.0,25.0,,39.6,,,27.0,,19.9,20.6,27.0,21.7,21.1,-0.1,-1.0,-3.2,-14.0,1.0,,15.6,,,3.0,,-4.1,-3.4,3.0,-2.3,-2.9,False,False,False,False,,False,,,False,,False,False,False,False,False
Ohio,1022,948.3,971.0,1046.4,961.0,1137.0,,817.1,,,962.0,,834.2,829.4,1250.0,932.1,925.6,-73.7,-51.0,24.4,-61.0,115.0,,-204.9,,,-60.0,,-187.8,-192.6,228.0,-89.9,-96.4,True,True,True,False,,False,,,True,,False,False,False,False,False
Oklahoma,238,242.1,252.0,242.1,213.0,253.0,,239.4,,,245.0,,224.1,264.9,253.0,233.3,237.4,4.1,14.0,4.1,-25.0,15.0,,1.4,,,7.0,,-13.9,26.9,15.0,-4.7,-0.6,False,True,False,False,,True,,,False,,False,False,False,False,True
Oregon,109,107.4,102.0,113.2,108.0,115.0,,104.3,,,119.0,,108.2,106.4,120.0,109.7,109.5,-1.6,-7.0,4.2,-1.0,6.0,,-4.7,,,10.0,,-0.8,-2.6,11.0,0.7,0.5,False,False,True,False,,False,,,False,,True,False,False,True,True
Pennsylvania,2695,2278.9,2544.0,2404.8,2352.0,2598.0,,2134.9,,,2600.0,,2287.5,,2892.0,2454.3,2310.4,-416.1,-151.0,-290.2,-343.0,-97.0,,-560.1,,,-95.0,,-407.5,,197.0,-240.7,-384.6,True,True,True,True,,False,,,True,,True,,True,True,True
Rhode Island,376,291.1,293.0,374.3,559.0,353.0,,348.3,,,355.0,,288.6,256.4,427.0,308.6,298.6,-84.9,-83.0,-1.7,183.0,-23.0,,-27.7,,,-21.0,,-87.4,-119.6,51.0,-67.4,-77.4,True,True,False,True,,True,,,True,,False,False,True,True,True
South Carolina,267,220.3,213.0,220.7,214.0,214.0,,220.2,,,270.0,,212.3,230.9,224.0,213.6,209.5,-46.7,-54.0,-46.3,-53.0,-53.0,,-46.8,,,3.0,,-54.7,-36.1,-43.0,-53.4,-57.5,False,True,False,False,,False,,,True,,False,True,True,False,False
South Dakota,21,14.4,13.0,23.3,49.0,18.0,,14.3,,,71.0,,13.0,19.0,18.0,15.1,17.8,-6.6,-8.0,2.3,28.0,-3.0,,-6.7,,,50.0,,-8.0,-2.0,-3.0,-5.9,-3.2,False,True,False,True,,False,,,False,,False,True,True,True,True
Tennessee,209,209.3,212.0,248.5,264.0,270.0,,214.2,,,392.0,,225.5,257.5,257.0,228.0,211.7,0.3,3.0,39.5,55.0,61.0,,5.2,,,183.0,,16.5,48.5,48.0,19.0,2.7,False,False,False,False,,False,,,False,,False,False,False,False,False
Texas,987,789.0,800.0,858.2,855.0,875.0,,866.1,,,1204.0,,791.8,850.5,956.0,822.0,785.6,-63.0,-52.0,6.2,3.0,23.0,,14.1,,,352.0,,-60.2,-1.5,104.0,-30.0,-66.4,True,True,True,True,,True,,,False,,True,True,False,True,False
Utah,49,53.0,57.0,62.4,109.0,47.0,,93.5,,,127.0,,49.9,52.5,57.0,60.0,51.8,4.0,8.0,13.4,60.0,-2.0,,44.5,,,78.0,,0.9,3.5,8.0,11.0,2.8,False,False,False,True,,False,,,False,,True,True,False,False,True
Vermont,51,52.9,54.0,51.7,49.0,51.0,,51.3,,,50.0,,47.2,59.4,54.0,54.7,53.6,1.9,3.0,0.7,-2.0,0.0,,0.3,,,-1.0,,-3.8,8.4,3.0,3.7,2.6,False,True,False,True,,True,,,True,,False,False,False,False,False
Virginia,617,596.4,616.0,643.8,634.0,672.0,,552.5,,,633.0,,615.8,521.7,748.0,605.1,589.0,-20.6,-1.0,26.8,17.0,55.0,,-64.5,,,16.0,,-1.2,-95.3,131.0,-11.9,-28.0,True,False,True,False,,False,,,True,,True,False,False,True,False
Washington,862,845.9,861.0,846.8,885.0,794.0,,815.8,,,991.0,,847.8,900.2,876.0,836.9,829.7,33.9,49.0,34.8,73.0,-18.0,,3.8,,,179.0,,35.8,88.2,64.0,24.9,17.7,False,False,False,True,,True,,,False,,False,False,False,True,True
West Virginia,48,47.7,48.0,41.2,35.0,39.0,,37.9,,,41.0,,37.8,39.4,52.0,48.4,48.1,-0.3,0.0,-6.8,-13.0,-9.0,,-10.1,,,-7.0,,-10.2,-8.6,4.0,0.4,0.1,True,False,False,False,,False,,,False,,False,False,False,False,True
Wisconsin,374,316.6,320.0,360.5,386.0,385.0,,308.8,,,352.0,,331.2,335.1,396.0,329.7,315.9,-19.4,-16.0,24.5,50.0,49.0,,-27.2,,,16.0,,-4.8,-0.9,60.0,-6.3,-20.1,True,False,False,False,,False,,,True,,True,True,False,True,False
Wyoming,7,11.3,12.0,7.5,1.0,5.0,,21.8,,,10.0,,7.1,8.0,11.0,9.0,12.1,4.3,5.0,0.5,-6.0,-2.0,,14.8,,,3.0,,0.1,1.0,4.0,2.0,5.1,False,True,False,True,,False,,,True,,True,True,True,True,False
