,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,6119,3790.9,3812.8,4770.6,6625.0,3598.0,,3441.9,-2328.1,-2306.2,-1348.4,506.0,-2521.0,,-2677.1,True,True,True,False,,False
Alaska,229,79.9,83.8,251.4,220.1,,,95.4,-149.1,-145.2,22.4,-8.9,,,-133.6,True,True,True,,,True
Arizona,11248,6431.3,6882.6,7072.0,6994.6,6371.0,,6555.5,-4816.7,-4365.4,-4176.0,-4253.4,-4877.0,,-4692.5,True,True,True,False,,True
Arkansas,4293,3092.6,2862.7,3524.3,3720.0,3248.0,,2629.4,-1200.4,-1430.3,-768.7,-573.0,-1045.0,,-1663.6,False,True,True,True,,False
California,33408,21851.9,27328.6,23493.7,26886.9,20148.0,,20882.7,-11556.1,-6079.4,-9914.3,-6521.1,-13260.0,,-12525.3,True,True,True,False,,False
Colorado,5363,2780.3,2517.0,3886.9,5175.5,2619.0,,2413.9,-2582.7,-2846.0,-1476.1,-187.5,-2744.0,,-2949.1,False,True,True,False,,False
Connecticut,6594,4992.0,5689.3,5369.6,4908.9,4737.0,,4711.4,-1602.0,-904.7,-1224.4,-1685.1,-1857.0,,-1882.6,True,True,False,False,,False
Delaware,1016,870.7,921.1,852.6,945.2,760.0,,753.4,-145.3,-94.9,-163.4,-70.8,-256.0,,-262.6,True,False,True,False,,False
District of Columbia,847,653.9,645.9,745.4,867.9,664.0,,658.0,-193.1,-201.1,-101.6,20.9,-183.0,,-189.0,False,True,True,True,,True
Florida,24004,21907.0,21290.3,23926.8,27758.7,20560.0,,20113.1,-2097.0,-2713.7,-77.2,3754.7,-3444.0,,-3890.9,False,True,False,False,,False
Georgia,12291,9836.6,10548.8,10710.1,12292.1,9618.0,,9752.7,-2454.4,-1742.2,-1580.9,1.1,-2673.0,,-2538.3,True,True,True,False,,False
Hawaii,319,508.4,1096.2,434.2,512.0,,,283.1,189.4,777.2,115.2,193.0,,,-35.9,False,True,False,,,True
Idaho,1605,1106.6,2267.8,1158.9,1021.2,942.0,,878.5,-498.4,662.8,-446.1,-583.8,-663.0,,-726.5,False,True,False,False,,False
Illinois,20020,13344.0,16765.8,16411.0,17044.2,12126.0,,11407.9,-6676.0,-3254.2,-3609.0,-2975.8,-7894.0,,-8612.1,True,True,True,False,,False
Indiana,9287,6418.4,8282.4,8173.7,8412.8,6014.0,,5067.6,-2868.6,-1004.6,-1113.3,-874.2,-3273.0,,-4219.4,True,True,True,False,,False
Iowa,4321,2856.3,3810.8,3068.7,3481.1,2458.0,,2374.6,-1464.7,-510.2,-1252.3,-839.9,-1863.0,,-1946.4,True,True,True,False,,False
Kansas,3489,2106.1,3050.9,2225.6,3244.2,1628.0,,1511.4,-1363.9,-419.1,-1244.4,-225.8,-1842.0,,-1958.6,True,True,True,False,,False
Kentucky,3093,2462.3,3820.7,2602.8,3206.4,2283.0,,2275.2,-630.7,727.7,-490.2,113.4,-810.0,,-817.8,False,True,True,False,,False
Louisiana,8080,6868.6,6644.9,6973.6,8072.5,6790.0,,7249.8,-1211.4,-1435.1,-1106.4,-7.5,-1290.0,,-830.2,False,True,True,False,,True
Maine,507,146.0,154.2,165.4,187.0,183.0,,150.4,-361.0,-352.8,-341.6,-320.0,-324.0,,-356.6,True,True,True,True,,True
Maryland,6541,4795.6,4861.6,4689.8,5825.0,4388.0,33482.0,4356.7,-1745.4,-1679.4,-1851.2,-716.0,-2153.0,26941.0,-2184.3,True,False,True,False,False,False
Massachusetts,13583,11369.9,11478.4,12514.4,12676.6,10969.0,,10299.3,-2213.1,-2104.6,-1068.6,-906.4,-2614.0,,-3283.7,True,True,True,False,,False
Michigan,14669,9680.0,12958.5,11292.1,12593.7,9701.0,,8220.8,-4989.0,-1710.5,-3376.9,-2075.3,-4968.0,,-6448.2,True,True,True,True,,False
Minnesota,5955,3765.6,4876.0,4985.4,5403.4,3981.0,,3255.5,-2189.4,-1079.0,-969.6,-551.6,-1974.0,,-2699.5,True,True,True,True,,False
Mississippi,5481,4251.0,4221.7,4367.8,4931.0,4088.0,,4093.5,-1230.0,-1259.3,-1113.2,-550.0,-1393.0,,-1387.5,False,True,True,False,,False
Missouri,6493,5523.4,5582.9,6366.7,5699.2,4313.0,,3318.4,-979.6,-920.1,-136.3,-803.8,-2190.0,,-3184.6,True,True,True,False,,False
Montana,1088,961.0,1173.6,1189.0,1067.9,712.0,,514.9,-127.0,85.6,101.0,-20.1,-376.0,,-573.1,True,True,True,False,,False
Nebraska,1837,1165.1,2572.4,1352.8,1320.4,1081.0,,783.0,-671.9,735.4,-484.2,-516.6,-756.0,,-1054.0,False,True,True,False,,False
Nevada,3761,2147.1,2020.8,2621.2,3499.2,2163.0,,2471.1,-1609.9,-1736.2,-1135.8,-257.8,-1594.0,,-1285.9,False,True,True,True,,True
New Hampshire,927,556.0,495.1,861.7,2054.7,576.0,,519.9,-371.0,-431.9,-65.3,1127.7,-351.0,,-407.1,False,True,False,True,,False
New Jersey,20414,17162.4,17665.3,19032.9,16902.8,16711.0,,16656.3,-3251.6,-2748.7,-1381.1,-3511.2,-3703.0,,-3757.7,True,True,False,False,,False
New Mexico,2910,1358.3,1829.1,2008.0,2268.8,1223.0,,1132.7,-1551.7,-1080.9,-902.0,-641.2,-1687.0,,-1777.3,True,True,True,False,,False
New York,40806,34192.7,33871.7,36109.4,36430.5,34020.0,,33858.7,-6393.3,-6714.3,-4476.6,-4155.5,-6566.0,,-6727.3,False,True,True,False,,False
North Carolina,8016,6801.1,9695.1,6849.9,7893.7,6371.0,,5528.8,-1214.9,1679.1,-1166.1,-122.3,-1645.0,,-2487.2,False,True,True,False,,False
North Dakota,1403,1072.6,850.4,1773.8,1104.5,1164.0,,793.7,-330.4,-552.6,370.8,-298.5,-239.0,,-609.3,False,False,True,True,,False
Ohio,10135,6854.1,16716.7,7732.4,9118.7,7120.0,,6411.0,-3280.9,6581.7,-2402.6,-1016.3,-3015.0,,-3724.0,False,True,True,True,,False
Oklahoma,2952,2173.9,3205.1,2059.5,3209.4,2106.0,,1946.8,-778.1,253.1,-892.5,257.4,-846.0,,-1005.2,True,False,True,False,,False
Oregon,1799,1044.3,1521.5,1075.5,1502.9,867.0,,957.3,-754.7,-277.5,-723.5,-296.1,-932.0,,-841.7,True,True,True,False,,False
Pennsylvania,19143,10805.0,12068.1,12376.9,15763.1,10425.0,,9392.0,-8338.0,-7074.9,-6766.1,-3379.9,-8718.0,,-9751.0,True,True,True,False,,False
Rhode Island,2005,1473.4,1613.7,2034.3,1655.9,1394.0,,1273.1,-531.6,-391.3,29.3,-349.1,-611.0,,-731.9,True,True,True,False,,False
South Carolina,6108,5604.3,7865.4,4907.2,6015.7,4585.0,,4987.1,-503.7,1757.4,-1200.8,-92.3,-1523.0,,-1120.9,False,False,True,False,,False
South Dakota,1633,991.6,1160.8,1322.1,862.8,839.0,,619.2,-641.4,-472.2,-310.9,-770.2,-794.0,,-1013.8,True,True,False,False,,False
Tennessee,8355,5763.3,7354.3,6756.0,6807.0,5306.0,,5085.4,-2591.7,-1000.7,-1599.0,-1548.0,-3049.0,,-3269.6,True,True,True,False,,False
Texas,32428,23765.0,24022.6,23314.8,27335.8,23362.0,40559.0,22240.9,-8357.0,-8099.4,-8807.2,-4786.2,-8760.0,8437.0,-9881.1,True,False,True,False,False,False
Utah,1485,915.9,1134.3,1476.2,2181.8,1046.0,,895.3,-569.1,-350.7,-8.8,696.8,-439.0,,-589.7,True,True,False,True,,False
Vermont,163,58.0,59.4,63.6,63.4,58.0,,58.0,-105.0,-103.6,-99.4,-99.6,-105.0,,-105.0,True,True,True,False,,False
Virginia,5706,5294.3,8703.6,4848.2,4851.4,4732.0,,4219.3,-407.7,3001.6,-853.8,-850.6,-970.0,,-1482.7,False,False,False,False,,False
Washington,3903,2971.9,4127.7,3151.9,3613.1,2877.0,,2904.7,-942.1,213.7,-762.1,-300.9,-1037.0,,-1009.3,True,True,True,False,,False
West Virginia,1761,697.7,1549.5,763.8,821.7,807.0,,649.5,-1063.3,-211.5,-997.2,-939.3,-954.0,,-1111.5,True,True,True,True,,False
Wisconsin,5905,4196.9,7629.4,4133.2,5556.9,3859.0,,3094.5,-1405.1,2027.4,-1468.8,-45.1,-1743.0,,-2507.5,False,False,True,False,,False
Wyoming,522,198.4,788.4,283.3,119.7,123.0,,103.7,-323.6,266.4,-238.7,-402.3,-399.0,,-418.3,True,True,False,False,,False
US,395877,291095.4,331531.6,372324.1,350726.9,281450.0,276555.0,271551.3,-103944.6,-63508.4,-22715.9,-44313.1,-113590.0,-118485.0,-123488.7,True,True,True,False,False,False
