,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,6119,4382.3,3587.3,5197.4,3309.0,,3378.8,-1736.7,-2531.7,-921.6,-2810.0,,-2740.2,False,True,False,,False
Alaska,229,157.0,245.8,156.1,,,93.7,-72.0,16.8,-72.9,,,-135.3,True,False,,,False
Arizona,11248,6701.3,6649.1,7909.8,6262.0,,6645.3,-4546.7,-4598.9,-3338.2,-4986.0,,-4602.7,False,True,False,,False
Arkansas,4293,3439.7,2897.8,3624.9,3637.0,,2623.0,-853.3,-1395.2,-668.1,-656.0,,-1670.0,False,True,True,,False
California,33408,22121.9,21106.0,29756.5,19578.0,,20756.2,-11286.1,-12302.0,-3651.5,-13830.0,,-12651.8,False,True,False,,False
Colorado,5363,2986.0,3078.3,5603.4,2571.0,,2304.0,-2377.0,-2284.7,240.4,-2792.0,,-3059.0,True,True,False,,False
Connecticut,6594,4696.3,4800.3,5156.0,4673.0,,4613.9,-1897.7,-1793.7,-1438.0,-1921.0,,-1980.1,True,True,False,,False
Delaware,1188,806.4,804.0,1046.9,735.0,,723.5,-358.6,-361.0,-118.1,-430.0,,-441.5,False,True,False,,False
District of Columbia,847,692.4,699.0,930.1,660.0,,660.1,-154.6,-148.0,83.1,-187.0,,-186.9,True,True,False,,False
Florida,24004,23719.9,21590.1,27302.1,19382.0,,20590.3,-284.1,-2413.9,3298.1,-4622.0,,-3413.7,False,False,False,,False
Georgia,12291,10492.3,9201.2,11384.1,9279.0,,9799.2,-1798.7,-3089.8,-906.9,-3012.0,,-2491.8,False,True,False,,False
Hawaii,319,418.4,395.2,606.8,,,240.7,99.4,76.2,287.8,,,-78.3,True,False,,,True
Idaho,1605,798.0,989.3,1501.5,795.0,,789.8,-807.0,-615.7,-103.5,-810.0,,-815.2,True,True,False,,False
Illinois,20020,12611.1,13045.1,17084.8,11355.0,,11007.6,-7408.9,-6974.9,-2935.2,-8665.0,,-9012.4,True,True,False,,False
Indiana,10534,5839.9,6123.7,8315.2,5009.0,,4705.8,-4576.1,-4292.3,-2100.8,-5407.0,,-5710.2,True,True,False,,False
Iowa,4321,2432.0,2618.6,3572.5,2292.0,,2197.7,-1889.0,-1702.4,-748.5,-2029.0,,-2123.3,True,True,False,,False
Kansas,3489,1951.9,1627.5,2928.5,1409.0,,1411.5,-1537.1,-1861.5,-560.5,-2080.0,,-2077.5,False,True,False,,False
Kentucky,3093,2166.6,2174.8,3541.7,1916.0,,2147.6,-926.4,-918.2,448.7,-1177.0,,-945.4,True,True,False,,False
Louisiana,8080,6971.4,6472.3,8054.1,6533.0,,7289.1,-1108.6,-1607.7,-25.9,-1547.0,,-790.9,False,True,False,,True
Maine,507,184.6,162.0,171.7,191.0,,153.5,-322.4,-345.0,-335.3,-316.0,,-353.5,False,False,True,,False
Maryland,6541,4525.6,4408.9,4828.7,4276.0,17059.0,4278.6,-2015.4,-2132.1,-1712.3,-2265.0,10518.0,-2262.4,False,True,False,False,False
Massachusetts,13583,11447.0,11374.7,12953.1,10696.0,,10253.2,-2136.0,-2208.3,-629.9,-2887.0,,-3329.8,False,True,False,,False
Michigan,14669,8895.7,9068.6,11696.1,8276.0,,7898.3,-5773.3,-5600.4,-2972.9,-6393.0,,-6770.7,True,True,False,,False
Minnesota,5955,3482.7,3580.8,5085.4,3478.0,,3179.7,-2472.3,-2374.2,-869.6,-2477.0,,-2775.3,True,True,False,,False
Mississippi,5481,4071.0,4084.6,4447.8,4104.0,,4043.0,-1410.0,-1396.4,-1033.2,-1377.0,,-1438.0,True,True,True,,False
Missouri,6523,4752.0,5055.8,4973.3,4510.0,,3101.6,-1754.0,-1450.2,-1532.7,-1996.0,,-3404.4,True,True,False,,False
Montana,1088,639.6,941.7,697.4,636.0,,464.1,-448.4,-146.3,-390.6,-452.0,,-623.9,True,True,False,,False
Nebraska,1837,920.9,1107.5,1773.6,825.0,,627.7,-916.1,-729.5,-63.4,-1012.0,,-1209.3,True,True,False,,False
Nevada,3761,2340.0,2469.8,2438.4,2059.0,,2563.4,-1421.0,-1291.2,-1322.6,-1702.0,,-1197.6,True,True,False,,True
New Hampshire,927,594.6,651.3,1694.2,569.0,,514.8,-332.4,-275.7,767.2,-358.0,,-412.2,True,False,False,,False
New Jersey,20414,16686.7,16884.5,16513.9,16462.0,,16467.2,-3727.3,-3529.5,-3900.1,-3952.0,,-3946.8,True,False,False,,False
New Mexico,2910,1229.7,1910.1,1676.4,1118.0,,1057.2,-1680.3,-999.9,-1233.6,-1792.0,,-1852.8,True,True,False,,False
New York,40806,34167.0,34030.9,38984.8,33795.0,,33776.2,-6437.0,-6573.1,-1619.2,-6809.0,,-6827.8,False,True,False,,False
North Carolina,8016,6042.6,6125.1,8030.8,5496.0,,5285.0,-1973.4,-1890.9,14.8,-2520.0,,-2731.0,True,True,False,,False
North Dakota,1403,1265.4,1324.4,1070.8,1088.0,,644.8,-137.6,-78.6,-332.2,-315.0,,-758.2,True,False,False,,False
Ohio,15615,5941.3,7571.8,9118.7,6804.0,,6210.8,-9929.7,-8299.2,-6752.3,-9067.0,,-9660.2,True,True,True,,True
Oklahoma,2952,2109.6,1819.9,2365.6,1995.0,,1861.1,-842.4,-1132.1,-586.4,-957.0,,-1090.9,False,True,False,,False
Oregon,1799,890.0,1078.4,1507.8,780.0,,906.2,-909.0,-720.6,-291.2,-1019.0,,-892.8,True,True,False,,True
Pennsylvania,19143,10200.7,10719.6,14539.4,9772.0,,9005.6,-8942.3,-8423.4,-4603.6,-9371.0,,-10137.4,True,True,False,,False
Rhode Island,2161,1434.9,1325.7,1312.3,1254.0,,1191.1,-702.1,-811.3,-824.7,-883.0,,-945.9,False,False,False,,False
South Carolina,6108,4910.0,4519.6,5908.3,4250.0,,4732.5,-1198.0,-1588.4,-199.7,-1858.0,,-1375.5,False,True,False,,False
South Dakota,1633,798.7,1165.4,892.6,611.0,,380.7,-834.3,-467.6,-740.4,-1022.0,,-1252.3,True,True,False,,False
Tennessee,8355,4734.7,5814.4,7190.4,4789.0,,4886.0,-3620.3,-2540.6,-1164.6,-3566.0,,-3469.0,True,True,True,,True
Texas,32428,23816.4,22048.3,28069.0,23833.0,41483.0,22048.3,-8323.6,-10091.7,-4071.0,-8307.0,9343.0,-10091.7,False,True,True,False,False
Utah,1485,877.3,1317.2,3017.8,907.0,,847.2,-607.7,-167.8,1532.8,-578.0,,-637.8,True,False,True,,False
Vermont,163,58.0,68.1,62.9,58.0,,60.1,-105.0,-94.9,-100.1,-105.0,,-102.9,True,True,False,,True
Virginia,5706,4394.3,4486.0,6434.4,4309.0,,3814.9,-1308.7,-1217.0,731.4,-1394.0,,-1888.1,True,True,False,,False
Washington,3903,2869.0,2745.6,3639.2,2668.0,,2893.3,-1052.0,-1175.4,-281.8,-1253.0,,-1027.7,False,True,False,,True
West Virginia,1761,620.6,659.0,921.7,716.0,,630.5,-1140.4,-1102.0,-839.3,-1045.0,,-1130.5,True,True,True,,True
Wisconsin,5905,2975.4,3514.6,5739.0,2920.0,,2616.5,-2704.6,-2165.4,59.0,-2760.0,,-3063.5,True,True,False,,False
Wyoming,522,95.6,185.4,119.5,109.0,,79.2,-426.4,-336.6,-402.5,-413.0,,-442.8,True,True,True,,False
US,402962,282751.1,266257.8,351547.5,267382.0,277076.0,269481.0,-119581.9,-136075.2,-50785.5,-134951.0,-125257.0,-132852.0,False,True,False,False,False
