,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,6119,3515.9,3103.5,6317.9,3742.0,-2603.1,-3015.5,198.9,-2377.0,False,True,True
Alaska,229,230.4,134.2,47.4,,1.4,-94.8,-181.6,,False,False,
Arizona,11248,7938.1,7063.4,10227.5,6992.0,-3309.9,-4184.6,-1020.5,-4256.0,False,True,False
Arkansas,4293,3321.9,4146.7,3538.0,2347.0,-971.1,-146.3,-755.0,-1946.0,True,True,False
California,33408,24961.7,20099.7,52035.5,20404.0,-8446.3,-13308.3,18627.5,-13004.0,False,False,False
Colorado,5363,2469.1,2867.2,4825.9,2369.0,-2893.9,-2495.8,-537.1,-2994.0,True,True,False
Connecticut,6594,4643.7,4631.5,7645.0,4622.0,-1950.3,-1962.5,1051.0,-1972.0,False,True,False
Delaware,1016,823.3,792.1,1198.5,709.0,-192.7,-223.9,182.5,-307.0,False,True,False
District of Columbia,847,687.4,657.8,953.7,644.0,-159.6,-189.2,106.7,-203.0,False,True,False
Florida,24004,25702.9,19905.2,27939.5,18528.0,1698.9,-4098.8,3935.5,-5476.0,False,False,False
Georgia,12291,12400.9,8525.8,13681.7,9372.0,109.9,-3765.2,1390.7,-2919.0,False,False,False
Hawaii,319,322.3,202.5,181.8,,3.3,-116.5,-137.2,,False,False,
Idaho,1605,729.6,929.2,1527.5,741.0,-875.4,-675.8,-77.5,-864.0,True,True,True
Illinois,20020,11366.3,10390.9,17040.1,10522.0,-8653.7,-9629.1,-2979.9,-9498.0,False,True,False
Indiana,9287,4753.4,4523.1,8093.2,4573.0,-4533.6,-4763.9,-1193.8,-4714.0,False,True,False
Iowa,4321,2124.7,1899.9,2899.6,2191.0,-2196.3,-2421.1,-1421.4,-2130.0,False,True,True
Kansas,3489,1269.3,1455.6,4678.1,1080.0,-2219.7,-2033.4,1189.1,-2409.0,True,True,False
Kentucky,3093,1886.4,1799.1,4487.0,1785.0,-1206.6,-1293.9,1394.0,-1308.0,False,False,False
Louisiana,8080,7003.1,6234.2,9002.5,6892.0,-1076.9,-1845.8,922.5,-1188.0,False,True,False
Maine,507,155.9,195.0,297.9,273.0,-351.1,-312.0,-209.1,-234.0,True,True,True
Maryland,6541,4823.0,4314.3,6614.6,4570.0,-1718.0,-2226.7,73.6,-1971.0,False,True,False
Massachusetts,13583,10894.6,10892.0,13951.8,9982.0,-2688.4,-2691.0,368.8,-3601.0,False,True,False
Michigan,14669,8233.3,7818.1,11435.3,8296.0,-6435.7,-6850.9,-3233.7,-6373.0,False,True,True
