,mean_rank
Microsoft-DeepSTIA,12.7
UChicagoCHATTOPADHYAY-UnIT,13.1
MOBS-GLEAM_COVID,13.4
Google_Harvard-CPF,13.5
UCSD_NEU-DeepGLEAM,13.9
OliverWyman-Navigator,14.1
Karlen-pypm,14.2
IowaStateLW-STEM,14.5
GT-DeepCOVID,16.6
COVIDhub-ensemble,17.3
Wadhwani_AI-BayesOpt,17.6
Caltech-CS156,17.9
AIpert-pwllnod,17.9
epiforecasts-ensemble1,18.7
MIT_CritData-GBCF,19.0
COVIDhub-baseline,19.1
UMass-MechBayes,19.3
BPagano-RtDriven,19.4
PSI-DRAFT,19.5
SteveMcConnell-CovidComplete,19.8
CMU-TimeSeries,20.0
CEID-Walk,20.1
JHU_IDD-CovidSP,21.0
UMich-RidgeTfReg,21.0
UCLA-SuEIR,21.2
CovidAnalytics-DELPHI,21.3
DDS-NBDS,22.3
LANL-GrowthRate,23.0
Covid19Sim-Simulator,23.4
UA-EpiCovDA,23.7
USC-SI_kJalpha,23.9
LNQ-ens1,24.0
UCSB-ACTS,25.3
JHUAPL-Bucky,25.7
MITCovAlliance-SIR,25.7
TTU-squider,26.1
Columbia_UNC-SurvCon,26.8
RobertWalraven-ESG,27.5
CU-select,31.5
WalmartLabsML-LogForecasting,35.3
