,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,6119,4425.7,6080.6,6573.0,3631.0,,-1693.3,-38.4,454.0,-2488.0,,True,True,False,
Alaska,229,136.3,167.5,78.3,,,-92.7,-61.5,-150.7,,,True,False,,
Arizona,11248,8822.7,6958.2,9939.4,8545.0,,-2425.3,-4289.8,-1308.6,-2703.0,,False,True,False,
Arkansas,4293,2968.3,2648.4,3812.0,2393.0,,-1324.7,-1644.6,-481.0,-1900.0,,False,True,False,
California,33408,28703.6,18506.4,58390.1,24494.0,,-4704.4,-14901.6,24982.1,-8914.0,,False,False,False,
Colorado,5363,2537.7,2291.6,5217.2,2401.0,,-2825.3,-3071.4,-145.8,-2962.0,,False,True,False,
Connecticut,6594,4524.6,4570.8,5501.1,4642.0,,-2069.4,-2023.2,-1092.9,-1952.0,,True,True,True,
Delaware,1016,703.3,713.5,1256.0,682.0,,-312.7,-302.5,240.0,-334.0,,True,True,False,
District of Columbia,847,705.3,648.7,1093.1,661.0,,-141.7,-198.3,246.1,-186.0,,False,False,False,
Florida,24004,25614.7,16996.3,27325.0,20407.0,,1610.7,-7007.7,3321.0,-3597.0,,False,False,False,
Georgia,12291,14202.1,9628.1,14748.2,9281.0,,1911.1,-2662.9,2457.2,-3010.0,,False,False,False,
Hawaii,319,499.9,429.9,369.6,,,180.9,110.9,50.6,,,True,True,,
Idaho,1605,875.3,715.9,1884.0,954.0,,-729.7,-889.1,279.0,-651.0,,False,True,True,
Illinois,20020,11444.9,11146.3,19239.5,9822.0,,-8575.1,-8873.7,-780.5,-10198.0,,False,True,False,
Indiana,9287,4740.6,4556.0,8282.8,4671.0,,-4546.4,-4731.0,-1004.2,-4616.0,,False,True,False,
Iowa,4321,2185.3,3431.9,4458.1,2507.0,,-2135.7,-889.1,137.1,-1814.0,,True,True,True,
Kansas,3489,1084.4,1362.3,2815.1,794.0,,-2404.6,-2126.7,-673.9,-2695.0,,True,True,False,
Kentucky,3093,2259.4,2482.4,4941.9,1526.0,,-833.6,-610.6,1848.9,-1567.0,,True,False,False,
Louisiana,8080,8147.9,6049.8,9442.5,7278.0,,67.9,-2030.2,1362.5,-802.0,,False,False,False,
Maine,507,171.7,166.9,518.5,236.0,,-335.3,-340.1,11.5,-271.0,,False,True,True,
Maryland,6541,4685.3,4859.4,8549.2,4230.0,,-1855.7,-1681.6,2008.2,-2311.0,,True,False,False,
Massachusetts,13583,10558.1,13389.4,14666.6,9626.0,,-3024.9,-193.6,1083.6,-3957.0,,True,True,False,
Michigan,14669,7899.7,7840.8,13476.1,8166.0,,-6769.3,-6828.2,-1192.9,-6503.0,,False,True,True,
Minnesota,5955,2738.7,3066.5,6508.7,2683.0,,-3216.3,-2888.5,553.7,-3272.0,,True,True,False,
Mississippi,5481,5280.6,4084.4,4583.0,5278.0,,-200.4,-1396.6,-898.0,-203.0,,False,False,False,
Missouri,6493,4551.3,4347.9,6459.2,2649.0,,-1941.7,-2145.1,-33.8,-3844.0,,False,True,False,
Montana,1088,362.1,466.9,500.0,482.0,,-725.9,-621.1,-588.0,-606.0,,True,True,True,
Nebraska,1837,630.3,829.8,1837.4,697.0,,-1206.7,-1007.2,0.4,-1140.0,,True,True,True,
Nevada,3761,3029.6,2082.0,4945.2,2387.0,,-731.4,-1679.0,1184.2,-1374.0,,False,False,False,
New Hampshire,927,451.9,486.6,1150.2,478.0,,-475.1,-440.4,223.2,-449.0,,True,True,True,
New Jersey,20414,16969.6,16236.9,19092.1,16542.0,,-3444.4,-4177.1,-1321.9,-3872.0,,False,True,False,
New Mexico,2910,1425.3,1189.7,3067.1,1257.0,,-1484.7,-1720.3,157.1,-1653.0,,False,True,False,
New York,40806,34457.9,33581.8,44116.6,33549.0,,-6348.1,-7224.2,3310.6,-7257.0,,False,True,False,
North Carolina,8016,6623.7,6420.6,12632.7,5923.0,,-1392.3,-1595.4,4616.7,-2093.0,,False,False,False,
North Dakota,1403,420.0,760.9,659.7,336.0,,-983.0,-642.1,-743.3,-1067.0,,True,True,False,
Ohio,10135,6710.4,6870.6,13210.1,7032.0,,-3424.6,-3264.4,3075.1,-3103.0,,True,True,True,
Oklahoma,2952,1871.3,2184.1,3846.6,2097.0,,-1080.7,-767.9,894.6,-855.0,,True,True,True,
Oregon,1799,914.7,893.0,4126.4,739.0,,-884.3,-906.0,2327.4,-1060.0,,False,False,False,
Pennsylvania,19143,9484.9,9940.7,18486.4,8732.0,,-9658.1,-9202.3,-656.6,-10411.0,,True,True,False,
Rhode Island,2005,1224.7,1189.8,2267.2,1138.0,,-766.3,-801.2,276.2,-853.0,,False,True,False,
South Carolina,6108,6243.6,5715.9,7053.7,4716.0,,135.6,-392.1,945.7,-1392.0,,False,False,False,
South Dakota,1633,286.1,703.9,664.9,378.0,,-1346.9,-929.1,-968.1,-1255.0,,True,True,True,
Tennessee,8355,4090.1,4104.3,7690.7,4247.0,,-4264.9,-4250.7,-664.3,-4108.0,,True,True,True,
Texas,32428,31964.3,21165.8,35978.6,28346.0,27926.0,-167.7,-10966.2,3846.6,-3786.0,-4206.0,False,False,False,False
Utah,1485,704.9,964.7,2617.3,936.0,,-780.1,-520.3,1132.3,-549.0,,True,False,True,
Vermont,163,58.0,62.0,61.9,58.0,,-105.0,-101.0,-101.1,-105.0,,True,True,False,
