,count,mean,median,std,min,25%,75%,max
JCB-PRM,51,843.0,382.6,1370.0,53.2,165.0,775.5,8143.9
Covid19Sim-Simulator,51,852.4,406.6,1289.7,7.2,159.1,784.5,7377.1
JHUAPL-Bucky,51,870.5,570.5,986.5,11.5,175.2,1177.8,4549.3
IowaStateLW-STEM,49,1063.1,618.0,1699.3,41.1,224.5,1029.0,10741.0
COVIDhub-baseline,51,1258.8,658.4,1911.8,15.3,241.0,1271.1,11184.3
Baseline,51,1282.6,665.0,1951.3,0.4,216.6,1392.2,11341.7
UCLA-SuEIR,51,1323.6,731.9,1970.5,34.8,270.1,1347.2,11072.4
Columbia_UNC-SurvCon,51,1638.9,603.0,2949.3,14.0,246.5,1779.0,15644.0
USACE-ERDC_SEIR,51,1710.0,372.7,2941.6,10.8,216.3,2179.5,17019.8
WalmartLabsML-LogForecasting,51,2163.7,1375.0,2481.9,50.0,680.2,2335.0,12563.4
