,actual_deaths,Baseline,IowaStateLW-STEM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,error-Baseline,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR
Alabama,6119,4700.6,4343.0,4131.8,,3613.4,-1418.4,-1776.0,-1987.2,,-2505.6,False,False,,False
Alaska,229,222.0,,237.2,,164.4,-7.0,,8.2,,-64.6,,False,,False
Arizona,11248,7524.3,7364.0,10244.1,,7053.7,-3723.7,-3884.0,-1003.9,,-4194.3,False,True,,False
Arkansas,4293,3051.0,3463.0,5625.7,,2623.5,-1242.0,-830.0,1332.7,,-1669.5,True,False,,False
California,33408,20821.7,20450.0,27550.8,,20607.6,-12583.3,-12955.0,-5854.2,,-12797.4,False,True,,False
Colorado,5363,3892.3,3780.0,5790.6,,3221.6,-1470.7,-1583.0,427.6,,-2141.4,False,True,,False
Connecticut,6594,5321.6,5230.0,7563.2,,5017.9,-1272.4,-1364.0,969.2,,-1576.1,False,True,,False
Delaware,1188,895.4,876.0,1276.8,,758.3,-259.6,-279.0,121.8,,-396.7,False,True,,False
District of Columbia,847,713.1,679.0,858.7,,669.9,-133.9,-168.0,11.7,,-177.1,False,True,,False
Florida,24004,21034.3,20459.0,21162.4,,20545.7,-2969.7,-3545.0,-2841.6,,-3458.3,False,True,,False
Georgia,12291,11693.9,11118.0,12446.1,,10144.7,-597.1,-1173.0,155.1,,-2146.3,False,True,,False
Hawaii,319,230.9,,255.4,,258.9,-88.1,,-63.6,,-60.1,,True,,True
Idaho,1605,1405.6,1515.0,1592.6,,1246.8,-199.4,-90.0,-12.4,,-358.2,True,True,,False
Illinois,20020,16688.9,16452.0,29224.6,,12501.1,-3331.1,-3568.0,9204.6,,-7518.9,False,False,,False
Indiana,10534,7398.9,7891.0,14838.3,,6580.2,-2785.1,-2293.0,4654.3,,-3603.8,True,False,,False
Iowa,4321,3264.4,3446.0,8704.0,,3017.9,-1056.6,-875.0,4383.0,,-1303.1,True,False,,False
Kansas,3489,1936.9,2090.0,3254.1,,1896.0,-1480.1,-1327.0,-162.9,,-1521.0,True,True,,False
Kentucky,3093,2511.3,2493.0,2964.1,,2735.0,-581.7,-600.0,-128.9,,-358.0,False,True,,True
Louisiana,8080,6873.9,6848.0,11728.2,,7341.1,-1195.1,-1221.0,3659.2,,-727.9,False,False,,True
Maine,507,280.1,247.0,1617.3,,245.4,-226.9,-260.0,1110.3,,-261.6,False,False,,False
Maryland,6541,5099.1,4842.0,7585.3,,4972.6,-1441.9,-1699.0,1044.3,,-1568.4,False,True,,False
Massachusetts,13583,11923.3,12209.0,19837.6,,11083.8,-1659.7,-1374.0,6254.6,,-2499.2,True,False,,False
Michigan,14669,12193.4,12098.0,21326.5,,10995.4,-2475.6,-2571.0,6657.5,,-3673.6,False,False,,False
Minnesota,5955,5184.1,5931.0,13316.2,,4640.6,-770.9,-24.0,7361.2,,-1314.4,True,False,,False
Mississippi,5481,4428.7,4590.0,5159.7,,4467.4,-1052.3,-891.0,-321.3,,-1013.6,True,True,,True
Missouri,6523,5353.3,5419.0,10168.3,,3989.7,-1147.7,-1082.0,3667.3,,-2511.3,True,False,,False
Montana,1088,1086.9,1356.0,1167.1,,760.0,-1.1,268.0,79.1,,-328.0,False,False,,False
Nebraska,1837,1452.1,1685.0,2325.4,,922.3,-384.9,-152.0,488.4,,-914.7,True,False,,False
Nevada,3761,2422.7,2367.0,3285.9,,2440.1,-1338.3,-1394.0,-475.1,,-1320.9,False,True,,True
New Hampshire,927,587.6,677.0,1627.8,,577.1,-339.4,-250.0,700.8,,-349.9,True,False,,False
New Jersey,20414,17779.4,17507.0,21858.8,,17456.3,-2634.6,-2907.0,1444.8,,-2957.7,False,True,,False
New Mexico,2910,2074.1,2132.0,4340.1,,1711.7,-835.9,-778.0,1430.1,,-1198.3,True,False,,False
New York,40806,35174.6,35523.0,55372.9,,34445.1,-5631.4,-5283.0,14566.9,,-6360.9,True,False,,False
North Carolina,8016,6568.6,6296.0,7036.5,,6143.5,-1447.4,-1720.0,-979.5,,-1872.5,False,True,,False
North Dakota,1403,1595.1,1913.0,1248.1,,1038.8,192.1,510.0,-154.9,,-364.2,False,True,,False
Ohio,15615,7537.7,8524.0,18668.4,,6752.2,-7593.3,-6607.0,3537.4,,-8378.8,True,True,,False
Oklahoma,2952,2325.1,2569.0,5220.2,,2025.0,-626.9,-383.0,2268.2,,-927.0,True,False,,False
Oregon,1799,1035.6,1124.0,3661.7,,930.5,-763.4,-675.0,1862.7,,-868.5,True,False,,False
Pennsylvania,19143,11814.3,11543.0,28017.7,,10929.9,-7328.7,-7600.0,8874.7,,-8213.1,False,False,,False
Rhode Island,2161,1519.7,1520.0,2197.8,,1411.9,-604.3,-604.0,73.8,,-712.1,True,True,,False
South Carolina,6108,4785.1,4767.5,5239.9,,4962.6,-1322.9,-1340.5,-868.1,,-1145.4,False,True,,True
South Dakota,1633,1600.6,1705.0,1484.2,,743.7,-32.4,72.0,-148.8,,-889.3,False,False,,False
Tennessee,8355,6532.4,6809.0,9590.9,,5956.9,-1822.6,-1546.0,1235.9,,-2398.1,True,True,,False
Texas,32428,27213.6,25804.0,38719.2,,25066.5,-4836.4,-6246.0,6669.2,,-6983.5,False,False,,False
Utah,1485,1240.6,1512.0,1134.2,,1187.6,-244.4,27.0,-350.8,,-297.4,True,False,,False
Vermont,163,59.0,68.0,176.9,,60.0,-104.0,-95.0,13.9,,-103.0,True,True,,True
Virginia,5706,4623.7,4670.0,5360.5,,4513.7,-1082.3,-1036.0,-345.5,,-1192.3,True,True,,False
Washington,3903,3227.6,3217.0,7585.3,,3223.0,-689.4,-700.0,3668.3,,-694.0,False,False,,False
West Virginia,1761,1272.9,1352.0,3191.2,,1055.2,-488.1,-409.0,1430.2,,-705.8,True,False,,False
Wisconsin,5905,4354.1,4830.0,6583.9,,4411.2,-1550.9,-1075.0,678.9,,-1493.8,True,True,,True
Wyoming,522,409.7,396.0,972.5,,248.0,-112.3,-126.0,450.5,,-274.0,False,False,,False
US,402962,314584.1,316288.0,491505.2,389754.3,327857.9,-86999.9,-85296.0,89921.2,-11829.7,-73726.1,True,False,True,True
