,mean_rank
Caltech-CS156,12.8
SteveMcConnell-CovidComplete,13.3
COVIDhub-ensemble,13.7
USC-SI_kJalpha,14.1
UMass-MechBayes,14.2
epiforecasts-ensemble1,15.0
MOBS-GLEAM_COVID,16.3
Karlen-pypm,16.3
OliverWyman-Navigator,16.5
GT-DeepCOVID,16.9
LNQ-ens1,17.2
CovidAnalytics-DELPHI,18.9
Google_Harvard-CPF,19.1
CMU-TimeSeries,19.4
UCSD_NEU-DeepGLEAM,19.5
Covid19Sim-Simulator,19.9
LANL-GrowthRate,20.0
JCB-PRM,21.5
BPagano-RtDriven,21.5
COVIDhub-baseline,21.5
JHU_CSSE-DECOM,21.7
DDS-NBDS,21.8
UCLA-SuEIR,22.1
UT-Mobility,22.2
Microsoft-DeepSTIA,22.3
IowaStateLW-STEM,22.6
MIT_CritData-GBCF,22.7
RobertWalraven-ESG,23.1
UCSB-ACTS,23.4
Columbia_UNC-SurvCon,23.4
UA-EpiCovDA,23.6
IHME-CurveFit,23.8
CU-select,23.8
TTU-squider,24.1
JHU_IDD-CovidSP,24.8
UMich-RidgeTfReg,24.9
AIpert-pwllnod,25.2
JHUAPL-Bucky,25.9
PSI-DRAFT,27.0
Wadhwani_AI-BayesOpt,30.0
WalmartLabsML-LogForecasting,35.0
