,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Alabama,6119,5716.4,5707.1,5853.0,5527.6,5311.0,,6346.3,5850.0,6176.3,5807.9,4827.7,6115.0,5182.4,5680.5,,5653.4,5118.8,4368.6,-402.6,-411.9,-266.0,-591.4,-808.0,,227.3,-269.0,57.3,-311.1,-1291.3,-4.0,-936.6,-438.5,,-465.6,-1000.2,-1750.4,False,True,False,False,,True,True,True,True,False,True,False,False,,False,False,False
Alaska,229,271.9,275.0,200.0,327.2,231.0,,210.2,,224.4,286.7,286.2,301.0,173.7,307.0,,286.5,289.9,178.0,42.9,46.0,-29.0,98.2,2.0,,-18.8,,-4.6,57.7,57.2,72.0,-55.3,78.0,,57.5,60.9,-51.0,False,True,False,True,,True,,True,False,False,False,False,False,,False,False,False
Arizona,11248,8800.9,8730.8,9336.0,9709.1,7691.0,,8853.9,8414.0,10304.8,10595.3,9086.4,10723.0,8433.1,8961.0,,8596.6,8171.0,7457.8,-2447.1,-2517.2,-1912.0,-1538.9,-3557.0,,-2394.1,-2834.0,-943.2,-652.7,-2161.6,-525.0,-2814.9,-2287.0,,-2651.4,-3077.0,-3790.2,False,True,True,False,,True,False,True,True,True,True,False,True,,False,False,False
Arkansas,4293,3772.9,3645.4,2958.0,3636.2,3853.0,,3912.6,3704.0,3956.2,3723.6,3341.8,3700.0,3484.2,3207.5,,4038.5,3300.9,3047.2,-520.1,-647.6,-1335.0,-656.8,-440.0,,-380.4,-589.0,-336.8,-569.4,-951.2,-593.0,-808.8,-1085.5,,-254.5,-992.1,-1245.8,False,False,False,True,,True,False,True,False,False,False,False,False,,True,False,False
California,33408,24479.0,24393.8,27875.0,26799.2,22753.0,,29880.8,24488.0,26905.4,30112.2,28158.9,28458.5,21519.7,53714.0,,24502.5,,21520.4,-8918.0,-9003.2,-5522.0,-6597.8,-10644.0,,-3516.2,-8909.0,-6491.6,-3284.8,-5238.1,-4938.5,-11877.3,20317.0,,-8894.5,,-11876.6,False,True,True,False,,True,True,True,True,True,True,False,False,,True,,False
Colorado,5363,5423.6,5601.5,3798.0,5870.9,4744.0,,6678.4,5561.0,6142.6,4733.0,4820.8,5047.0,4483.3,5308.5,,5594.7,5259.2,3691.7,60.6,238.5,-1565.0,507.9,-619.0,,1315.4,198.0,779.6,-630.0,-542.2,-316.0,-879.7,-54.5,,231.7,-103.8,-1671.3,False,False,False,False,,False,False,False,False,False,False,False,True,,False,False,False
Connecticut,6594,6229.6,6257.6,5509.0,6352.9,5533.0,,6510.9,6164.0,6864.8,6389.4,6206.3,6488.0,5737.5,5617.0,,6052.8,6855.2,5323.3,-364.4,-336.4,-1085.0,-241.1,-1061.0,,-83.1,-430.0,270.8,-204.6,-387.7,-106.0,-856.5,-977.0,,-541.2,261.2,-1270.7,True,False,True,False,,True,False,True,True,False,True,False,False,,False,True,False
Delaware,1188,927.7,899.7,929.0,984.1,955.0,,910.3,930.0,978.1,1069.7,1035.3,999.0,1063.4,965.0,,897.9,991.8,842.3,-204.3,-232.3,-203.0,-147.9,-177.0,,-221.7,-202.0,-153.9,-62.3,-96.7,-133.0,-68.6,-167.0,,-234.1,-140.2,-289.7,False,True,True,True,,False,True,True,True,True,True,True,True,,False,True,False
District of Columbia,847,796.6,797.3,804.0,818.3,727.0,,824.8,774.0,852.6,814.5,802.8,841.0,734.0,887.0,,783.8,789.9,721.9,-50.4,-49.7,-43.0,-28.7,-120.0,,-22.2,-73.0,5.6,-32.5,-44.2,-6.0,-113.0,40.0,,-63.2,-57.1,-125.1,True,True,True,False,,True,False,True,True,True,True,False,True,,False,False,False
Florida,24004,23142.3,22932.6,22498.0,23077.1,22504.0,,24750.9,22138.0,25021.9,23608.4,24732.8,24186.0,23568.4,20622.5,,22966.3,,20922.7,-861.7,-1071.4,-1506.0,-926.9,-1500.0,,746.9,-1866.0,1017.9,-395.6,728.8,182.0,-435.6,-3381.5,,-1037.7,,-3081.3,False,False,False,False,,True,False,False,True,True,True,True,False,,False,,False
