,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,6119,5729.1,5701.8,5395.3,5747.8,5551.0,5726.0,5639.0,5545.0,5581.6,,5296.0,5547.0,5820.5,5702.7,5614.6,5602.7,,5601.0,5693.6,5596.0,5653.0,5713.5,5812.0,5702.3,5550.6,5650.0,5693.1,5669.7,5815.6,5555.0,,5458.3,5504.0,,5612.0,5894.4,5640.0,5773.5,,5804.9,5703.7,5735.1,5619.0,5637.7,5629.0,5665.0,,5491.1,5518.0,-389.9,-417.2,-723.7,-371.2,-568.0,-393.0,-480.0,-574.0,-537.4,,-823.0,-572.0,-298.5,-416.3,-504.4,-516.3,,-518.0,-425.4,-523.0,-466.0,-405.5,-307.0,-416.7,-568.4,-469.0,-425.9,-449.3,-303.4,-564.0,,-660.7,-615.0,,-507.0,-224.6,-479.0,-345.5,,-314.1,-415.3,-383.9,-500.0,-481.3,-490.0,-454.0,,-627.9,-601.0,False,False,True,False,False,False,False,False,,False,False,True,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,True,False,,False,False,,False,True,False,True,,True,False,True,False,False,False,False,,False,False
Alaska,229,231.7,236.4,261.0,235.7,240.0,233.0,236.0,231.0,232.9,,236.4,239.0,238.7,235.7,241.1,240.2,,,239.9,243.0,250.7,233.6,232.0,233.3,235.3,262.0,237.2,239.6,234.8,238.0,,,230.4,,235.0,261.8,232.0,233.9,,237.1,245.0,250.9,235.0,235.8,229.0,233.0,,232.9,236.0,2.7,7.4,32.0,6.7,11.0,4.0,7.0,2.0,3.9,,7.4,10.0,9.7,6.7,12.1,11.2,,,10.9,14.0,21.7,4.6,3.0,4.3,6.3,33.0,8.2,10.6,5.8,9.0,,,1.4,,6.0,32.8,3.0,4.9,,8.1,16.0,21.9,6.0,6.8,0.0,4.0,,3.9,7.0,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,False,False,,,True,,False,False,False,False,,False,False,False,False,False,True,False,,False,False
Arizona,11248,11066.7,10959.1,10292.6,10982.1,10899.0,11011.0,10924.0,10799.0,10746.7,,10138.3,10747.0,11506.1,10908.9,11194.1,11037.3,,11012.0,10189.0,10809.0,10784.3,10915.6,11317.0,11130.0,10562.1,10863.0,10953.6,11046.9,11236.0,11000.0,,10828.5,11089.5,,10916.0,10974.5,11049.0,11026.4,,11053.1,10990.4,11024.0,10884.0,11278.3,10812.0,11070.0,,10384.0,10428.0,-181.3,-288.9,-955.4,-265.9,-349.0,-237.0,-324.0,-449.0,-501.3,,-1109.7,-501.0,258.1,-339.1,-53.9,-210.7,,-236.0,-1059.0,-439.0,-463.7,-332.4,69.0,-118.0,-685.9,-385.0,-294.4,-201.1,-12.0,-248.0,,-419.5,-158.5,,-332.0,-273.5,-199.0,-221.6,,-194.9,-257.6,-224.0,-364.0,30.3,-436.0,-178.0,,-864.0,-820.0,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,,False,False,False,False,False,True,True,False,False,False,False,True,False,,False,True,,False,False,False,False,,False,False,False,False,True,False,True,,False,False
Arkansas,4293,4295.0,4294.1,4223.0,4287.8,4259.0,4291.0,4285.0,4273.0,4265.6,,4249.7,4260.0,4349.8,4295.2,4254.9,4361.4,,4285.0,4631.7,4281.0,4240.3,4342.7,4283.0,4303.9,4215.6,4282.0,4298.5,4314.7,4355.4,4214.0,,4346.2,4249.7,,4305.0,4326.5,4185.0,4284.6,,4335.3,4310.1,4342.7,4281.0,4309.7,4254.0,4282.0,,4174.9,4174.0,2.0,1.1,-70.0,-5.2,-34.0,-2.0,-8.0,-20.0,-27.4,,-43.3,-33.0,56.8,2.2,-38.1,68.4,,-8.0,338.7,-12.0,-52.7,49.7,-10.0,10.9,-77.4,-11.0,5.5,21.7,62.4,-79.0,,53.2,-43.3,,12.0,33.5,-108.0,-8.4,,42.3,17.1,49.7,-12.0,16.7,-39.0,-11.0,,-118.1,-119.0,True,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
California,33408,32889.1,33123.2,30438.3,32888.6,32335.0,32872.0,32649.0,31418.0,32311.5,,30376.5,32011.0,33534.0,32663.0,33544.2,32829.0,,32906.0,29685.5,,32574.0,32548.2,33027.0,33421.9,30800.3,32621.0,32601.1,32360.4,33372.8,33523.5,,32245.1,32770.3,,32316.0,34350.0,32927.0,32857.3,,32271.7,32648.8,33118.5,32442.0,33536.1,32554.0,33140.5,,30757.8,32980.0,-518.9,-284.8,-2969.7,-519.4,-1073.0,-536.0,-759.0,-1990.0,-1096.5,,-3031.5,-1397.0,126.0,-745.0,136.2,-579.0,,-502.0,-3722.5,,-834.0,-859.8,-381.0,13.9,-2607.7,-787.0,-806.9,-1047.6,-35.2,115.5,,-1162.9,-637.7,,-1092.0,942.0,-481.0,-550.7,,-1136.3,-759.2,-289.5,-966.0,128.1,-854.0,-267.5,,-2650.2,-428.0,True,False,False,False,False,False,False,False,,False,False,True,False,True,False,,True,False,,False,False,True,True,False,False,False,False,True,True,,False,False,,False,False,True,False,,False,False,True,False,True,False,True,,False,True
Colorado,5363,5442.9,5470.5,5483.5,5476.9,5482.0,5468.0,5477.0,5333.0,5412.5,,5388.6,5412.0,5519.9,5422.1,5462.0,5490.6,,5533.0,5804.9,5496.0,5391.7,5444.4,5488.0,5462.4,5528.7,5477.0,5498.8,5500.5,5517.5,5556.0,,5551.6,5408.0,,5430.0,4898.3,5383.0,5448.6,,5607.8,5508.0,5514.9,5405.0,5485.0,5456.0,5427.0,,5369.8,5088.0,79.9,107.5,120.5,113.9,119.0,105.0,114.0,-30.0,49.5,,25.6,49.0,156.9,59.1,99.0,127.6,,170.0,441.9,133.0,28.7,81.4,125.0,99.4,165.7,114.0,135.8,137.5,154.5,193.0,,188.6,45.0,,67.0,-464.7,20.0,85.6,,244.8,145.0,151.9,42.0,122.0,93.0,64.0,,6.8,-275.0,False,False,False,False,False,False,True,True,,True,True,False,True,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,True,,True,False,True,False,,False,False,False,True,False,False,True,,True,False
Connecticut,6594,6516.9,6539.7,6569.0,6551.1,6614.0,6549.0,6546.0,6499.0,6534.9,,6403.5,6539.0,6521.8,6515.8,6622.5,6604.9,,6659.0,6533.2,6604.0,6598.6,6572.3,6555.0,6516.3,6483.5,6616.0,6560.9,6616.8,6559.7,6463.5,,6693.8,6512.1,,6570.0,6251.6,6448.0,6498.1,,6681.2,6564.3,6556.8,6540.0,6588.3,6494.0,6504.0,,6394.3,6532.0,-77.1,-54.3,-25.0,-42.9,20.0,-45.0,-48.0,-95.0,-59.1,,-190.5,-55.0,-72.2,-78.2,28.5,10.9,,65.0,-60.8,10.0,4.6,-21.7,-39.0,-77.7,-110.5,22.0,-33.1,22.8,-34.3,-130.5,,99.8,-81.9,,-24.0,-342.4,-146.0,-95.9,,87.2,-29.7,-37.2,-54.0,-5.7,-100.0,-90.0,,-199.7,-62.0,True,True,True,True,True,True,False,True,,False,True,True,False,True,True,,True,True,True,True,True,True,False,False,True,True,True,True,False,,False,False,,True,False,False,False,,False,True,True,True,True,False,False,,False,True
Delaware,1016,1008.0,1013.9,994.4,1008.1,999.0,1008.0,1008.0,998.0,1001.7,,998.0,1008.0,1003.8,1005.7,1048.1,1012.7,,1022.0,990.3,1010.0,1036.0,1009.6,996.0,1006.4,991.7,1022.0,1008.9,1023.4,1011.6,1005.0,,,1001.1,,1007.0,1073.5,1008.0,1006.4,,1045.1,1022.5,1020.2,1009.0,997.1,1002.0,1005.0,,988.8,1012.0,-8.0,-2.1,-21.6,-7.9,-17.0,-8.0,-8.0,-18.0,-14.3,,-18.0,-8.0,-12.2,-10.3,32.1,-3.3,,6.0,-25.7,-6.0,20.0,-6.4,-20.0,-9.6,-24.3,6.0,-7.1,7.4,-4.4,-11.0,,,-14.9,,-9.0,57.5,-8.0,-9.6,,29.1,6.5,4.2,-7.0,-18.9,-14.0,-11.0,,-27.2,-4.0,True,False,True,False,False,False,False,False,,False,False,False,False,False,True,,True,False,True,False,True,False,False,False,True,True,True,True,False,,,False,,False,False,False,False,,False,True,True,True,False,False,False,,False,True
District of Columbia,847,836.7,836.6,830.9,833.8,835.0,834.0,838.0,840.0,841.7,,835.0,843.0,837.7,842.0,829.5,846.0,,830.0,845.0,836.0,841.3,840.8,838.0,837.2,842.5,846.0,,,838.8,838.0,,,828.4,,840.0,841.5,838.0,829.4,,847.3,,834.9,840.0,,834.0,845.0,,824.6,842.0,-10.3,-10.4,-16.1,-13.2,-12.0,-13.0,-9.0,-7.0,-5.3,,-12.0,-4.0,-9.3,-5.0,-17.5,-1.0,,-17.0,-2.0,-11.0,-5.7,-6.2,-9.0,-9.8,-4.5,-1.0,,,-8.2,-9.0,,,-18.6,,-7.0,-5.5,-9.0,-17.6,,0.3,,-12.1,-7.0,,-13.0,-2.0,,-22.4,-5.0,False,False,False,False,False,True,True,True,,False,True,True,True,False,True,,False,True,False,True,True,True,True,True,True,,,True,True,,,False,,True,True,True,False,,True,,False,True,,False,True,,False,True
Florida,24004,23704.9,23611.1,23364.1,23696.1,23634.0,23718.0,23721.0,23405.0,23648.0,,23004.7,24188.0,24100.9,23771.5,23605.0,23842.5,,23574.0,23696.0,23760.0,24673.2,23870.7,23821.0,23836.9,23626.4,23801.0,23811.3,23855.7,23935.9,23678.0,,23719.2,23678.5,,23716.0,26492.9,23721.0,23725.9,,23525.2,23825.2,24039.9,23782.0,23651.0,23711.0,23725.0,,23308.9,23632.0,-299.1,-392.9,-639.9,-307.9,-370.0,-286.0,-283.0,-599.0,-356.0,,-999.3,184.0,96.9,-232.5,-399.0,-161.5,,-430.0,-308.0,-244.0,669.2,-133.3,-183.0,-167.1,-377.6,-203.0,-192.7,-148.3,-68.1,-326.0,,-284.8,-325.5,,-288.0,2488.9,-283.0,-278.1,,-478.8,-178.8,35.9,-222.0,-353.0,-293.0,-279.0,,-695.1,-372.0,False,False,False,False,True,True,False,False,,False,True,True,True,False,True,,False,False,True,False,True,True,True,False,True,True,True,True,False,,True,False,,True,False,True,True,,False,True,True,True,False,True,True,,False,False
