,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,6119,5211.0,5632.8,5491.0,5255.5,5225.0,5246.0,5432.0,5287.0,5449.9,5339.0,5463.9,5605.0,5297.9,5426.3,5546.9,,5588.0,5758.0,5508.4,5570.4,5353.0,5309.7,5316.2,5429.0,5490.9,5428.8,5535.5,5558.0,,5370.4,5265.1,5467.0,5894.4,5234.0,5169.8,,5464.1,5490.7,5427.2,5395.0,5234.4,5224.0,5532.3,5131.4,5421.1,-908.0,-486.2,-628.0,-863.5,-894.0,-873.0,-687.0,-832.0,-669.1,-780.0,-655.1,-514.0,-821.1,-692.7,-572.1,,-531.0,-361.0,-610.6,-548.6,-766.0,-809.3,-802.8,-690.0,-628.1,-690.2,-583.5,-561.0,,-748.6,-853.9,-652.0,-224.6,-885.0,-949.2,,-654.9,-628.3,-691.8,-724.0,-884.6,-895.0,-586.7,-987.6,-697.9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,False,,True,True,True,True,True,True,True,False,True
Alaska,229,242.9,237.3,257.3,255.4,233.0,245.0,241.0,228.0,233.6,228.0,255.7,242.0,242.2,235.1,247.3,,,228.3,271.5,232.8,235.0,233.0,241.2,299.0,245.7,245.3,239.3,245.0,,,237.8,231.0,261.8,234.0,257.9,,233.5,257.9,259.2,241.0,237.6,228.0,252.4,234.1,251.5,13.9,8.3,28.3,26.4,4.0,16.0,12.0,-1.0,4.6,-1.0,26.7,13.0,13.2,6.1,18.3,,,-0.7,42.5,3.8,6.0,4.0,12.2,70.0,16.7,16.3,10.3,16.0,,,8.8,2.0,32.8,5.0,28.9,,4.5,28.9,30.2,12.0,8.6,-1.0,23.4,5.1,22.5,True,False,False,True,False,True,True,True,True,False,True,True,True,False,,,True,False,True,True,True,True,False,False,False,True,False,,,True,True,False,True,False,,True,False,False,True,True,True,False,True,False
Arizona,11248,10238.4,10389.2,10098.6,10370.6,10250.0,10334.8,10242.0,10047.0,10187.7,10117.0,10210.8,9514.0,10488.0,10534.8,10372.1,,10226.0,9845.2,10515.6,10479.6,10197.0,10357.0,10018.8,10184.0,10454.5,10263.4,10580.4,10827.0,,10029.3,10097.7,10261.0,10974.0,10114.0,10245.3,,10135.9,10488.0,10283.3,10455.0,10505.1,10266.0,10368.2,9449.5,10152.0,-1009.6,-858.8,-1149.4,-877.4,-998.0,-913.2,-1006.0,-1201.0,-1060.3,-1131.0,-1037.2,-1734.0,-760.0,-713.2,-875.9,,-1022.0,-1402.8,-732.4,-768.4,-1051.0,-891.0,-1229.2,-1064.0,-793.5,-984.6,-667.6,-421.0,,-1218.7,-1150.3,-987.0,-274.0,-1134.0,-1002.7,,-1112.1,-760.0,-964.7,-793.0,-742.9,-982.0,-879.8,-1798.5,-1096.0,True,False,True,True,True,True,False,False,False,False,False,True,True,True,,False,False,True,True,False,True,False,False,True,True,True,True,,False,False,True,True,False,True,,False,True,True,True,True,True,True,False,False
Arkansas,4293,4244.9,4291.5,4294.1,4311.9,4171.0,4305.0,4292.0,4217.0,4283.8,4321.0,4333.3,4259.0,4276.0,4321.5,4391.9,,4277.0,4421.9,4182.2,4346.7,4218.0,4220.5,4111.2,4147.0,4310.6,4288.0,4376.8,4448.0,,4213.5,4125.1,4297.0,4326.5,4266.0,4319.4,,4076.5,4331.1,4303.1,4194.0,4326.1,4331.0,4293.8,3996.3,4097.1,-48.1,-1.5,1.1,18.9,-122.0,12.0,-1.0,-76.0,-9.2,28.0,40.3,-34.0,-17.0,28.5,98.9,,-16.0,128.9,-110.8,53.7,-75.0,-72.5,-181.8,-146.0,17.6,-5.0,83.8,155.0,,-79.5,-167.9,4.0,33.5,-27.0,26.4,,-216.5,38.1,10.1,-99.0,33.1,38.0,0.8,-296.7,-195.9,True,True,True,False,True,True,False,True,True,True,True,True,True,False,,True,False,False,False,False,False,False,False,True,True,False,False,,False,False,True,True,True,True,,False,True,True,False,True,True,True,False,False
California,33408,31013.4,31971.3,29655.5,31257.3,31580.0,31190.0,31224.0,29488.0,31521.4,30434.0,31376.8,31090.0,30781.7,31864.2,31636.1,,31573.0,29458.9,31772.4,31704.9,30543.0,31504.5,28178.3,31344.0,31586.6,30539.4,31423.6,31300.5,,29224.8,30837.7,31323.0,34349.8,30739.0,31081.6,,31320.6,31660.1,31577.8,31158.0,32405.2,31098.0,,27765.6,31292.2,-2394.6,-1436.7,-3752.5,-2150.7,-1828.0,-2218.0,-2184.0,-3920.0,-1886.6,-2974.0,-2031.2,-2318.0,-2626.3,-1543.8,-1771.9,,-1835.0,-3949.1,-1635.6,-1703.1,-2865.0,-1903.5,-5229.7,-2064.0,-1821.4,-2868.6,-1984.4,-2107.5,,-4183.2,-2570.3,-2085.0,941.8,-2669.0,-2326.4,,-2087.4,-1747.9,-1830.2,-2250.0,-1002.8,-2310.0,,-5642.4,-2115.8,True,False,True,True,True,True,False,True,False,True,True,False,True,True,,True,False,True,True,False,True,False,True,True,False,True,True,,False,False,True,True,False,True,,True,True,True,True,True,True,,False,True
Colorado,5363,5535.7,5510.8,5503.2,5581.4,5452.0,5552.0,5416.0,5173.0,5386.2,5361.0,5587.0,5462.0,5441.1,5522.1,5426.7,,5557.0,5406.6,5344.9,5406.4,5342.0,5388.2,5620.1,5428.0,5625.6,5460.1,5466.8,5596.0,,5253.1,5269.9,5379.0,4896.8,5355.0,5551.3,,5365.4,5633.6,5571.0,5339.0,5370.0,5336.0,5411.9,5211.0,5087.8,172.7,147.8,140.2,218.4,89.0,189.0,53.0,-190.0,23.2,-2.0,224.0,99.0,78.1,159.1,63.7,,194.0,43.6,-18.1,43.4,-21.0,25.2,257.1,65.0,262.6,97.1,103.8,233.0,,-109.9,-93.1,16.0,-466.2,-8.0,188.3,,2.4,270.6,208.0,-24.0,7.0,-27.0,48.9,-152.0,-275.2,True,True,False,True,False,True,False,True,True,False,True,True,True,True,,False,True,True,True,True,True,False,True,False,True,True,False,,True,True,True,False,True,False,,True,False,False,True,True,True,True,True,False
Connecticut,6594,6671.0,6480.7,6566.8,6690.9,6487.0,6715.0,6537.0,6548.0,6555.0,6331.0,6410.7,6295.0,6534.6,6726.9,6601.3,,6509.0,6426.7,6611.2,6579.8,6460.0,6514.9,6467.9,6582.0,6667.6,6589.1,6567.4,6551.5,,6410.8,6359.2,6537.0,6251.2,6418.0,6688.9,,6418.9,6697.8,6730.5,6528.0,6636.3,6501.0,6502.1,6203.8,,77.0,-113.3,-27.2,96.9,-107.0,121.0,-57.0,-46.0,-39.0,-263.0,-183.3,-299.0,-59.4,132.9,7.3,,-85.0,-167.3,17.2,-14.2,-134.0,-79.1,-126.1,-12.0,73.6,-4.9,-26.6,-42.5,,-183.2,-234.8,-57.0,-342.8,-176.0,94.9,,-175.1,103.8,136.5,-66.0,42.3,-93.0,-91.9,-390.2,,False,True,False,False,False,True,True,True,False,False,False,True,False,True,,False,False,True,True,False,False,False,True,True,True,True,True,,False,False,True,False,False,False,,False,False,False,True,True,False,False,False,
Delaware,1016,991.3,1014.6,1009.6,997.9,1001.0,1000.0,1004.0,985.0,1001.1,971.0,1003.8,1012.0,983.6,1008.4,1015.9,,1065.0,970.3,1038.7,1008.5,977.0,980.2,969.9,1026.0,1002.3,1029.4,1006.7,1014.0,,,970.4,1005.0,1073.5,983.0,962.1,,1018.5,1027.3,1020.4,1004.0,981.9,969.0,1035.7,960.5,1005.1,-24.7,-1.4,-6.4,-18.1,-15.0,-16.0,-12.0,-31.0,-14.9,-45.0,-12.2,-4.0,-32.4,-7.6,-0.1,,49.0,-45.7,22.7,-7.5,-39.0,-35.8,-46.1,10.0,-13.7,13.4,-9.3,-2.0,,,-45.6,-11.0,57.5,-33.0,-53.9,,2.5,11.3,4.4,-12.0,-34.1,-47.0,19.7,-55.5,-10.9,True,True,True,True,True,True,False,True,False,True,True,False,True,True,,False,False,True,True,False,False,False,True,True,True,True,True,,,False,True,False,False,False,,True,True,True,True,False,False,True,False,True
District of Columbia,847,842.3,843.5,841.1,847.9,838.0,852.0,847.0,837.0,852.2,848.0,829.1,805.0,847.4,849.0,853.7,,849.0,843.9,851.9,848.0,840.0,827.8,858.1,855.0,,,846.2,860.0,,,853.3,848.0,841.5,848.0,836.4,,890.9,,851.3,839.0,,850.0,883.3,807.7,846.5,-4.7,-3.5,-5.9,0.9,-9.0,5.0,0.0,-10.0,5.2,1.0,-17.9,-42.0,0.4,2.0,6.7,,2.0,-3.1,4.9,1.0,-7.0,-19.2,11.1,8.0,,,-0.8,13.0,,,6.3,1.0,-5.5,1.0,-10.6,,43.9,,4.3,-8.0,,3.0,36.3,-39.3,-0.5,True,False,True,False,False,True,False,False,True,False,False,True,True,False,,True,True,False,True,False,False,False,False,,,True,False,,,False,True,False,True,False,,False,,True,False,,True,False,False,True
Florida,24004,23426.3,23220.3,23310.5,23418.7,23348.0,23399.9,23474.0,22840.0,23537.7,23138.0,23311.7,23573.0,23294.8,23781.3,23891.0,,23233.0,23443.7,25391.9,23746.0,23727.0,23430.7,23724.7,23442.0,23480.9,23646.2,23785.6,23588.0,,23104.5,23157.1,23425.0,26492.9,23561.0,23375.1,,23348.6,23505.3,23855.7,23718.0,23362.2,23590.0,,22730.0,23538.7,-577.7,-783.7,-693.5,-585.3,-656.0,-604.1,-530.0,-1164.0,-466.3,-866.0,-692.3,-431.0,-709.2,-222.7,-113.0,,-771.0,-560.3,1387.9,-258.0,-277.0,-573.3,-279.3,-562.0,-523.1,-357.8,-218.4,-416.0,,-899.5,-846.9,-579.0,2488.9,-443.0,-628.9,,-655.4,-498.7,-148.3,-286.0,-641.8,-414.0,,-1274.0,-465.3,False,False,False,False,False,True,False,True,False,False,True,False,True,True,,False,True,False,True,True,True,True,True,True,True,True,True,,False,False,False,False,True,False,,False,True,True,True,False,True,,False,True
