,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,6119,5099.1,5146.1,5897.0,4678.3,,5532.7,5476.0,6207.0,5671.3,,4649.7,5041.9,3952.5,-1019.9,-972.9,-222.0,-1440.7,,-586.3,-643.0,88.0,-447.7,,-1469.3,-1077.1,-2166.5,True,True,False,,True,True,True,True,,False,False,False
Alaska,229,142.3,136.4,259.0,390.0,,209.5,,167.4,245.8,,232.8,253.7,125.3,-86.7,-92.6,30.0,161.0,,-19.5,,-61.6,16.8,,3.8,24.7,-103.7,False,True,False,,True,,True,True,,True,True,False
Arizona,11248,7736.9,7713.9,19518.0,10156.4,,10290.3,7839.0,9661.6,9359.4,,7395.6,10452.0,7023.1,-3511.1,-3534.1,8270.0,-1091.6,,-957.7,-3409.0,-1586.4,-1888.6,,-3852.4,-796.0,-4224.9,False,False,True,,True,True,True,True,,False,True,False
Arkansas,4293,3724.1,3760.6,7755.0,3999.2,,3126.9,3828.0,4573.0,4278.9,,4375.7,3153.2,2777.2,-568.9,-532.4,3462.0,-293.8,,-1166.1,-465.0,280.0,-14.1,,82.7,-1139.8,-1515.8,True,False,True,,False,True,True,True,,True,False,False
California,33408,22371.7,22023.1,51110.0,24412.4,,24926.7,22378.0,24569.8,37772.1,,22411.1,30904.4,20615.3,-11035.3,-11383.9,17703.0,-8994.6,,-8480.3,-11029.0,-8837.2,4365.1,,-10995.9,-2502.6,-12791.7,False,False,True,,True,True,True,True,,True,True,False
Colorado,5363,4848.9,4882.8,14045.0,6165.2,,5779.7,4978.0,6235.1,5416.7,,5045.0,8615.5,3135.8,-514.1,-480.2,8682.0,802.2,,416.7,-385.0,872.1,53.7,,-318.0,3252.5,-2227.2,True,False,False,,True,True,False,True,,True,False,False
Connecticut,6594,5543.0,5584.4,9019.0,6835.1,,6471.8,5914.0,6436.5,6728.3,,5747.2,9313.1,4914.7,-1051.0,-1009.6,2425.0,241.1,,-122.2,-680.0,-157.5,134.3,,-846.8,2719.1,-1679.3,True,False,True,,True,True,True,True,,True,False,False
Delaware,1016,842.3,844.7,3001.0,1100.8,,1010.3,914.0,1032.2,1218.9,,832.6,1591.6,806.5,-173.7,-171.3,1985.0,84.8,,-5.7,-102.0,16.2,202.9,,-183.4,575.6,-209.5,True,False,True,,True,True,True,False,,False,False,False
District of Columbia,847,748.6,767.4,1269.0,786.2,,825.5,704.0,788.5,846.2,,756.9,1076.9,686.0,-98.4,-79.6,422.0,-60.8,,-21.5,-143.0,-58.5,-0.8,,-90.1,229.9,-161.0,True,False,True,,True,False,True,True,,True,False,False
Florida,24004,21707.4,21459.2,25408.0,21942.6,,22408.7,21953.0,23858.2,25887.7,,21723.4,24370.6,20043.0,-2296.6,-2544.8,1404.0,-2061.4,,-1595.3,-2051.0,-145.8,1883.7,,-2280.6,366.6,-3961.0,False,True,True,,True,True,True,True,,True,True,False
