,mean_rank
Karlen-pypm,14.1
LNQ-ens1,14.3
COVIDhub-ensemble,14.4
MOBS-GLEAM_COVID,15.3
JHU_CSSE-DECOM,16.1
Google_Harvard-CPF,16.2
COVIDhub-baseline,16.6
SteveMcConnell-CovidComplete,17.2
MIT_CritData-GBCF,17.2
GT-DeepCOVID,17.3
Microsoft-DeepSTIA,17.4
UCLA-SuEIR,17.6
CEID-Walk,17.8
OliverWyman-Navigator,17.8
UCSD_NEU-DeepGLEAM,17.8
UMass-MechBayes,17.9
LANL-GrowthRate,18.1
AIpert-pwllnod,18.5
UT-Mobility,19.3
UMich-RidgeTfReg,19.8
CMU-TimeSeries,20.1
Caltech-CS156,20.3
RobertWalraven-ESG,20.4
DDS-NBDS,20.9
UChicagoCHATTOPADHYAY-UnIT,21.0
PSI-DRAFT,21.1
USC-SI_kJalpha,21.4
Geneva-DetGrowth,21.7
UA-EpiCovDA,22.1
CovidAnalytics-DELPHI,22.3
IowaStateLW-STEM,23.0
epiforecasts-ensemble1,23.2
UCSB-ACTS,23.4
JHU_IDD-CovidSP,23.8
MITCovAlliance-SIR,25.1
CU-select,27.4
BPagano-RtDriven,29.3
JHUAPL-Bucky,31.1
WalmartLabsML-LogForecasting,32.4
TTU-squider,34.4
Covid19Sim-Simulator,36.1
