,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,6119,4399.9,4376.9,6572.0,5492.1,,4980.0,5637.1,5227.0,,4154.9,4875.7,4033.9,-1719.1,-1742.1,453.0,-626.9,,-1139.0,-481.9,-892.0,,-1964.1,-1243.3,-2085.1,False,True,True,,True,True,True,,False,True,False
Alaska,229,244.4,254.0,183.0,374.9,,,282.2,146.0,,296.1,286.5,150.0,15.4,25.0,-46.0,145.9,,,53.2,-83.0,,67.1,57.5,-79.0,False,False,False,,,False,False,,False,False,False
Arizona,11248,7799.7,7792.7,13726.0,10667.4,,7924.0,9399.2,10468.4,,7538.7,10002.8,7157.7,-3448.3,-3455.3,2478.0,-580.6,,-3324.0,-1848.8,-779.6,,-3709.3,-1245.2,-4090.3,False,True,True,,True,True,True,,False,True,False
Arkansas,4293,3244.9,3233.6,3944.0,4114.6,,3638.0,3910.4,3629.2,,3503.3,3117.5,2858.5,-1048.1,-1059.4,-349.0,-178.4,,-655.0,-382.6,-663.8,,-789.7,-1175.5,-1434.5,False,True,True,,True,True,True,,True,False,False
California,33408,22065.3,22222.7,49051.0,26029.9,,22666.0,25263.1,30767.0,,22334.6,30463.2,20843.6,-11341.7,-11184.3,15644.0,-7377.1,,-10741.0,-8143.9,-2640.0,,-11072.4,-2943.8,-12563.4,True,False,True,,True,True,True,,True,True,False
Colorado,5363,4353.9,4354.7,4663.0,6961.4,,4727.0,6407.3,4991.9,,4003.8,8230.9,3294.6,-1009.1,-1008.3,-700.0,1598.4,,-636.0,1044.3,-371.1,,-1359.2,2867.9,-2068.4,True,True,False,,True,False,True,,False,False,False
Connecticut,6594,5873.0,5898.4,5619.0,6620.9,,5826.0,6395.5,5838.6,,5258.8,8752.6,5047.2,-721.0,-695.6,-975.0,26.9,,-768.0,-198.5,-755.4,,-1335.2,2158.6,-1546.8,True,False,True,,False,True,False,,False,False,False
Delaware,1188,920.9,889.0,1386.0,1055.4,,906.0,970.5,957.6,,905.2,1513.7,824.2,-220.1,-252.0,245.0,-85.6,,-235.0,-170.5,-183.4,,-235.8,372.7,-316.8,False,False,True,,False,True,True,,False,False,False
District of Columbia,847,748.6,736.9,861.0,808.1,,760.0,793.5,791.9,,700.6,1198.5,694.5,-98.4,-110.1,14.0,-38.9,,-87.0,-53.5,-55.1,,-146.4,351.5,-152.5,False,True,True,,True,True,True,,False,False,False
Florida,24004,21990.3,22027.7,24305.0,22572.6,,21365.0,23676.7,23007.3,,22279.4,24222.1,20397.1,-2013.7,-1976.3,301.0,-1431.4,,-2639.0,-327.3,-996.7,,-1724.6,218.1,-3606.9,True,True,True,,False,True,True,,True,True,False
Georgia,12291,11115.1,11142.7,9347.0,12753.5,,11382.0,12577.0,10166.9,,11245.5,11990.9,10246.3,-1175.9,-1148.3,-2944.0,462.5,,-909.0,286.0,-2124.1,,-1045.5,-300.1,-2044.7,True,False,True,,True,True,False,,True,True,False
Hawaii,319,319.4,303.7,263.0,297.4,,,242.5,248.6,,283.5,275.0,269.0,0.4,-15.3,-56.0,-21.6,,,-76.5,-70.4,,-35.5,-44.0,-50.0,False,False,False,,,False,False,,False,False,False
Idaho,1605,1406.9,1375.1,1724.0,1920.7,,1542.0,1958.7,1434.9,,1241.2,1362.8,1109.9,-198.1,-229.9,119.0,315.7,,-63.0,353.7,-170.1,,-363.8,-242.2,-495.1,False,True,False,,True,False,True,,False,False,False
Illinois,20020,18587.1,19049.3,16562.0,23289.8,,18564.0,23003.0,17093.3,,18829.7,24949.7,14240.1,-1432.9,-970.7,-3458.0,3269.8,,-1456.0,2983.0,-2926.7,,-1190.3,4929.7,-5779.9,True,False,False,,False,False,False,,True,False,False
Indiana,10534,8290.7,8581.4,9620.0,11317.4,,8689.0,11340.9,8600.3,,8588.9,12131.0,6125.2,-1577.3,-1286.6,-248.0,1449.4,,-1179.0,1472.9,-1267.7,,-1279.1,2263.0,-3742.8,True,True,True,,True,True,True,,True,False,False
Iowa,4321,3749.9,3662.6,2967.0,4698.0,,3918.0,4432.8,3080.5,,3606.3,3975.4,2816.6,-571.1,-658.4,-1354.0,377.0,,-403.0,111.8,-1240.5,,-714.7,-345.6,-1504.4,False,False,True,,True,True,False,,False,True,False
Kansas,3489,2345.0,2361.6,2886.0,3413.1,,2650.0,3381.0,2668.4,,2757.1,2303.1,1713.3,-1144.0,-1127.4,-603.0,-75.9,,-839.0,-108.0,-820.6,,-731.9,-1185.9,-1775.7,True,True,True,,True,True,True,,True,False,False
Kentucky,3093,2643.4,2598.9,3479.0,3232.6,,3018.5,3313.9,3117.5,,2783.2,3803.4,2198.0,-449.6,-494.1,386.0,139.6,,-74.5,220.9,24.5,,-309.8,710.4,-895.0,False,True,True,,True,True,True,,True,False,False
Louisiana,8080,7415.0,7495.8,19488.0,9409.7,,7312.0,8518.0,10004.8,,7685.8,8429.9,6957.3,-665.0,-584.2,11408.0,1329.7,,-768.0,438.0,1924.8,,-394.2,349.9,-1122.7,True,False,False,,False,True,False,,True,True,False
Maine,507,293.9,310.0,255.0,487.4,,385.0,404.4,327.8,,223.2,359.6,208.3,-213.1,-197.0,-252.0,-19.6,,-122.0,-102.6,-179.2,,-283.8,-147.4,-298.7,True,False,True,,True,True,True,,False,True,False
