,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,6119,4132.9,3345.7,3361.0,,3438.3,-1986.1,-2773.3,-2758.0,,-2680.7,False,False,,False
Alaska,229,87.7,282.1,,,85.9,-141.3,53.1,,,-143.1,True,,,False
Arizona,11248,6493.4,7616.3,6547.0,,6892.9,-4754.6,-3631.7,-4701.0,,-4355.1,True,True,,True
Arkansas,4293,3564.4,3235.6,3298.0,,2708.5,-728.6,-1057.4,-995.0,,-1584.5,False,False,,False
California,33408,22565.3,23307.6,19985.0,,20951.7,-10842.7,-10100.4,-13423.0,,-12456.3,True,False,,False
Colorado,5363,2736.6,2802.8,2388.5,,2353.6,-2626.4,-2560.2,-2974.5,,-3009.4,True,False,,False
Connecticut,6594,4765.6,4786.9,4664.0,,4624.6,-1828.4,-1807.1,-1930.0,,-1969.4,True,False,,False
Delaware,1016,778.7,807.7,755.0,,706.6,-237.3,-208.3,-261.0,,-309.4,True,False,,False
District of Columbia,847,720.1,703.8,663.0,,659.1,-126.9,-143.2,-184.0,,-187.9,False,False,,False
Florida,24004,24967.0,22322.1,20240.0,,19681.9,963.0,-1681.9,-3764.0,,-4322.1,False,False,,False
Georgia,12291,10935.7,9640.7,9261.0,,9954.5,-1355.3,-2650.3,-3030.0,,-2336.5,False,False,,False
Hawaii,319,349.1,317.8,,,245.5,30.1,-1.2,,,-73.5,True,,,False
Idaho,1605,853.4,1006.7,769.0,,802.0,-751.6,-598.3,-836.0,,-803.0,True,False,,False
Illinois,20020,11862.9,11974.8,11127.0,,10898.1,-8157.1,-8045.2,-8893.0,,-9121.9,True,False,,False
Indiana,9287,5382.6,5588.3,4788.0,,4511.1,-3904.4,-3698.7,-4499.0,,-4775.9,True,False,,False
Iowa,4321,2501.3,2513.7,2131.0,,2213.4,-1819.7,-1807.3,-2190.0,,-2107.6,True,False,,False
Kansas,3489,1938.0,1476.1,1478.0,,1239.3,-1551.0,-2012.9,-2011.0,,-2249.7,False,False,,False
