,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-epiforecasts-ensemble1
Alabama,6119,5553.9,5803.1,6313.2,5575.6,5769.0,5572.7,5668.0,5392.0,5640.3,5882.0,5668.4,5810.0,6030.9,5491.1,5710.9,,5708.7,6307.0,5725.2,5730.5,5980.0,5664.3,6141.2,5229.0,5403.2,5680.0,5805.5,5652.8,5711.8,5713.0,,5241.8,5485.2,5668.0,6184.7,5173.0,5099.2,,5576.8,5738.4,5474.0,5438.4,5882.0,5696.0,-565.1,-315.9,194.2,-543.4,-350.0,-546.3,-451.0,-727.0,-478.7,-237.0,-450.6,-309.0,-88.1,-627.9,-408.1,,-410.3,188.0,-393.8,-388.5,-139.0,-454.7,22.2,-890.0,-715.8,-439.0,-313.5,-466.2,-407.2,-406.0,,-877.2,-633.8,-451.0,65.7,-946.0,-1019.8,,-542.2,-380.6,-645.0,-680.6,-237.0,-423.0,True,True,True,True,True,True,False,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,False,False,True,True,True,True,True,,False,False,True,True,False,False,,True,True,False,False,True,True
Alaska,229,245.7,210.3,249.3,262.6,247.0,248.0,246.0,230.0,238.1,219.0,281.8,247.0,229.7,226.7,253.2,,324.7,,236.7,207.3,251.0,284.8,238.5,237.0,218.5,271.0,251.0,256.6,231.5,276.0,,,217.0,238.0,276.5,246.0,265.5,,249.9,200.0,242.0,230.6,225.0,259.2,16.7,-18.7,20.3,33.6,18.0,19.0,17.0,1.0,9.1,-10.0,52.8,18.0,0.7,-2.3,24.2,,95.7,,7.7,-21.7,22.0,55.8,9.5,8.0,-10.5,42.0,22.0,27.6,2.5,47.0,,,-12.0,9.0,47.5,17.0,36.5,,20.9,-29.0,13.0,1.6,-4.0,30.2,False,False,False,False,False,False,True,True,True,False,False,True,True,False,,False,,True,False,False,False,True,True,True,False,False,False,True,False,,,True,True,False,False,False,,False,False,True,True,True,False
Arizona,11248,9729.9,9561.8,11014.2,9874.1,10123.0,9885.1,10242.0,9794.0,10202.5,10016.0,10324.5,8959.0,10904.1,10247.5,10568.2,,10937.0,10596.0,10744.9,9617.9,10803.0,10522.0,10418.5,11603.0,9644.6,10200.0,10303.6,10340.7,10635.7,10531.0,,9945.0,9646.3,10188.0,12600.3,9264.0,9327.3,,9851.3,10257.5,9922.0,9190.9,10680.0,9521.7,-1518.1,-1686.2,-233.8,-1373.9,-1125.0,-1362.9,-1006.0,-1454.0,-1045.5,-1232.0,-923.5,-2289.0,-343.9,-1000.5,-679.8,,-311.0,-652.0,-503.1,-1630.1,-445.0,-726.0,-829.5,355.0,-1603.4,-1048.0,-944.4,-907.3,-612.3,-717.0,,-1303.0,-1601.7,-1060.0,1352.3,-1984.0,-1920.7,,-1396.7,-990.5,-1326.0,-2057.1,-568.0,-1726.3,False,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,False,True,True,True,True,False,True,True,True,True,True,,True,False,True,True,False,False,,True,True,True,False,True,False
Arkansas,4293,4182.0,4247.5,4409.4,4161.8,4097.0,4190.9,4211.0,4069.0,4251.4,4673.0,4338.1,4169.0,4013.1,4101.7,4278.2,,4610.9,4466.0,4508.7,4238.0,4273.0,4122.8,4480.7,5058.0,4132.0,4138.0,4335.4,4348.7,4400.8,4044.0,,4227.9,4058.7,4205.0,4300.3,3889.0,4123.1,,3994.2,4211.4,4049.0,4020.5,4378.0,4068.3,-111.0,-45.5,116.4,-131.2,-196.0,-102.1,-82.0,-224.0,-41.6,380.0,45.1,-124.0,-279.9,-191.3,-14.8,,317.9,173.0,215.7,-55.0,-20.0,-170.2,187.7,765.0,-161.0,-155.0,42.4,55.7,107.8,-249.0,,-65.1,-234.3,-88.0,7.3,-404.0,-169.9,,-298.8,-81.6,-244.0,-272.5,85.0,-224.7,True,False,False,False,True,True,False,True,False,True,False,False,False,True,,False,False,False,True,True,False,False,False,False,False,True,True,True,False,,True,False,True,True,False,False,,False,True,False,False,True,False
California,33408,28873.4,26609.4,32571.5,29252.8,28951.0,29126.9,30593.0,28741.0,31513.0,33684.0,33429.2,30607.0,29582.3,30738.1,32105.6,,32984.5,30346.0,32887.1,35540.8,28010.0,32477.4,30958.2,37073.5,30371.7,30335.0,30846.3,30091.6,30122.1,30322.0,,27753.2,28672.7,30819.0,36474.8,28709.0,28172.4,,32270.0,30923.3,30755.0,29771.3,32977.0,31286.3,-4527.6,-6791.6,-829.5,-4148.2,-4450.0,-4274.1,-2808.0,-4660.0,-1888.0,283.0,28.2,-2794.0,-3818.7,-2662.9,-1295.4,,-416.5,-3055.0,-513.9,2139.8,-5391.0,-923.6,-2442.8,3672.5,-3029.3,-3066.0,-2554.7,-3309.4,-3278.9,-3079.0,,-5647.8,-4728.3,-2582.0,3073.8,-4692.0,-5228.6,,-1131.0,-2477.7,-2646.0,-3629.7,-424.0,-2114.7,False,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,,False,False,True,True,False,False,,True,True,True,True,True,True
Colorado,5363,5301.4,5076.0,5113.4,5202.0,5529.0,5351.7,5402.0,5056.0,5442.7,5342.0,5861.2,5402.0,5664.4,5284.1,5713.9,,6044.2,5971.0,5435.8,4878.6,5828.0,5313.4,5489.8,5535.0,5150.4,5444.0,5637.9,5599.3,5494.4,5994.0,,5353.8,5072.7,5261.0,4916.8,5065.0,5138.1,,5821.8,5558.5,5166.0,5337.9,5326.0,4951.9,-61.6,-287.0,-249.6,-161.0,166.0,-11.3,39.0,-307.0,79.7,-21.0,498.2,39.0,301.4,-78.9,350.9,,681.2,608.0,72.8,-484.4,465.0,-49.6,126.8,172.0,-212.6,81.0,274.9,236.3,131.4,631.0,,-9.2,-290.3,-102.0,-446.2,-298.0,-224.9,,458.8,195.5,-197.0,-25.1,-37.0,-411.1,False,False,False,False,True,True,False,False,True,False,True,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,,False,False,False,True,True,False
Connecticut,6594,6391.0,6416.9,6430.8,6411.4,6392.0,6421.1,6355.0,6157.0,6415.4,6277.0,6694.2,6004.0,7811.2,6415.4,6519.6,,6610.7,6612.0,6627.5,5978.9,6555.0,6595.9,6419.6,6311.0,6180.7,6507.0,6454.9,6525.8,6340.4,6385.0,,6239.5,6212.6,6128.0,6426.7,5912.0,6224.3,,6463.0,6354.8,6246.0,6287.7,6172.0,6399.9,-203.0,-177.1,-163.2,-182.6,-202.0,-172.9,-239.0,-437.0,-178.6,-317.0,100.2,-590.0,1217.2,-178.6,-74.4,,16.7,18.0,33.5,-615.1,-39.0,1.9,-174.4,-283.0,-413.3,-87.0,-139.1,-68.2,-253.6,-209.0,,-354.5,-381.4,-466.0,-167.3,-682.0,-369.7,,-131.0,-239.2,-348.0,-306.3,-422.0,-194.1,True,True,True,True,True,False,False,True,False,True,False,False,True,True,,True,True,True,False,True,True,True,False,False,True,True,True,False,False,,False,False,False,True,False,False,,True,False,False,False,False,True
Delaware,1016,997.0,929.2,1094.8,1012.3,998.0,1006.0,1016.0,976.0,1024.5,962.0,1006.1,1038.0,986.2,1007.4,1053.7,,995.3,1101.0,1020.3,923.0,1076.0,1106.4,1031.9,952.0,974.3,1064.0,1022.6,1075.7,1036.4,1011.0,,,1005.5,1016.0,1180.1,986.0,977.6,,1041.7,908.5,1015.0,966.3,1031.0,1019.8,-19.0,-86.8,78.8,-3.7,-18.0,-10.0,0.0,-40.0,8.5,-54.0,-9.9,22.0,-29.8,-8.6,37.7,,-20.7,85.0,4.3,-93.0,60.0,90.4,15.9,-64.0,-41.7,48.0,6.6,59.7,20.4,-5.0,,,-10.5,0.0,164.1,-30.0,-38.4,,25.7,-107.5,-1.0,-49.7,15.0,3.8,False,False,True,True,True,True,False,True,False,True,False,False,True,False,,False,False,True,False,False,False,True,False,False,False,True,False,False,True,,,True,True,False,False,False,,False,False,True,False,True,True
District of Columbia,847,856.6,988.8,920.5,859.6,829.0,858.0,846.0,811.0,850.4,836.0,828.2,783.0,849.4,854.1,837.0,,809.8,823.0,843.3,784.4,849.0,845.9,863.9,886.0,823.4,857.0,,,829.3,819.0,,,851.7,825.0,883.1,858.0,852.8,,828.2,,846.0,,849.0,873.6,9.6,141.8,73.5,12.6,-18.0,11.0,-1.0,-36.0,3.4,-11.0,-18.8,-64.0,2.4,7.1,-10.0,,-37.2,-24.0,-3.7,-62.6,2.0,-1.1,16.9,39.0,-23.6,10.0,,,-17.7,-28.0,,,4.7,-22.0,36.1,11.0,5.8,,-18.8,,-1.0,,2.0,26.6,False,False,False,False,False,True,False,True,False,False,False,True,True,False,,False,False,True,False,True,True,False,False,False,False,,,False,False,,,True,False,False,False,True,,False,,True,,True,False
Florida,24004,23052.0,22707.8,23178.4,23116.1,23108.0,23120.7,23341.0,22460.0,23646.7,23666.0,23951.2,23695.0,22946.3,23065.5,23907.6,,24245.1,23615.0,23743.0,23464.9,23253.0,26345.6,24063.7,23532.0,23319.9,23408.0,23377.3,23796.4,23393.6,23231.0,,23050.2,22588.3,23341.0,26527.9,22526.0,22921.9,,23182.4,23277.1,23562.0,22366.5,23626.0,23386.3,-952.0,-1296.2,-825.6,-887.9,-896.0,-883.3,-663.0,-1544.0,-357.3,-338.0,-52.8,-309.0,-1057.7,-938.5,-96.4,,241.1,-389.0,-261.0,-539.1,-751.0,2341.6,59.7,-472.0,-684.1,-596.0,-626.7,-207.6,-610.4,-773.0,,-953.8,-1415.7,-663.0,2523.9,-1478.0,-1082.1,,-821.6,-726.9,-442.0,-1637.5,-378.0,-617.7,False,True,True,True,True,True,False,True,True,True,True,False,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,True,True,,False,False,True,False,False,False,,True,True,True,False,True,True
