,mean_rank
Microsoft-DeepSTIA,12.4
Karlen-pypm,12.8
Caltech-CS156,13.0
Google_Harvard-CPF,13.1
JCB-PRM,13.3
JHU_CSSE-DECOM,13.8
MOBS-GLEAM_COVID,14.2
COVIDhub-ensemble,14.3
MIT_CritData-GBCF,15.2
BPagano-RtDriven,16.2
OliverWyman-Navigator,16.7
USC-SI_kJalpha,17.2
Covid19Sim-Simulator,17.3
UCSB-ACTS,17.7
IowaStateLW-STEM,18.1
epiforecasts-ensemble1,18.6
Columbia_UNC-SurvCon,18.8
GT-DeepCOVID,18.9
LANL-GrowthRate,20.0
CMU-TimeSeries,20.3
COVIDhub-baseline,20.5
SteveMcConnell-CovidComplete,20.8
JHU_IDD-CovidSP,21.0
CEID-Walk,21.3
UCSD_NEU-DeepGLEAM,21.4
CovidAnalytics-DELPHI,21.6
UMich-RidgeTfReg,22.1
UMass-MechBayes,22.7
AIpert-pwllnod,22.7
PSI-DRAFT,23.0
DDS-NBDS,23.2
IHME-CurveFit,24.1
TTU-squider,24.2
CU-select,26.4
UCLA-SuEIR,26.7
RobertWalraven-ESG,28.0
LNQ-ens1,28.1
JHUAPL-Bucky,29.0
UA-EpiCovDA,31.3
