,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,6119,4178.1,4911.2,4063.0,3755.7,-1940.9,-1207.8,-2056.0,-2363.3,True,False,False
Alaska,229,93.9,316.4,,146.0,-135.1,87.4,,-83.0,True,,True
Arizona,11248,7987.6,7497.1,7117.0,7454.6,-3260.4,-3750.9,-4131.0,-3793.4,False,False,False
Arkansas,4293,3336.9,3832.6,3516.0,2978.5,-956.1,-460.4,-777.0,-1314.5,True,True,False
California,33408,20949.9,23281.2,20650.0,20588.2,-12454.1,-10122.8,-12754.0,-12815.8,True,False,False
Colorado,5363,3438.9,4533.0,3274.0,3058.0,-1924.1,-830.0,-2089.0,-2305.0,True,False,False
Connecticut,6594,5213.1,6214.4,5136.0,4957.1,-1380.9,-379.6,-1458.0,-1636.9,True,False,False
Delaware,1188,796.9,1015.1,854.0,741.3,-356.1,-137.9,-299.0,-411.7,True,True,False
District of Columbia,847,732.9,697.8,673.0,710.7,-114.1,-149.2,-174.0,-136.3,False,False,False
Florida,24004,20393.6,25690.9,20601.0,19990.5,-3610.4,1686.9,-3403.0,-4013.5,True,True,False
Georgia,12291,10293.6,10709.3,10116.0,10123.4,-1543.4,-1127.7,-1721.0,-1713.6,True,False,False
Hawaii,319,240.7,377.6,,253.8,-78.3,58.6,,-65.2,True,,True
Idaho,1605,1238.0,1586.5,1258.0,988.9,-367.0,-18.5,-347.0,-616.1,True,True,False
Illinois,20020,15101.9,21790.0,13500.0,13741.7,-4918.1,1770.0,-6520.0,-6278.3,True,False,False
Indiana,10534,7241.1,9705.8,6746.0,6288.9,-3033.9,-569.2,-3529.0,-3986.1,True,False,False
Iowa,4321,2949.0,4598.8,3037.0,2924.8,-1372.0,277.8,-1284.0,-1396.2,True,True,False
Kansas,3489,1828.4,3081.3,2040.0,1669.9,-1593.6,-340.7,-1382.0,-1752.1,True,True,False
Kentucky,3093,2314.1,2959.5,2413.0,2626.5,-778.9,-133.5,-680.0,-466.5,True,True,True
Louisiana,8080,7120.3,7156.1,6692.0,7225.5,-959.7,-923.9,-1388.0,-854.5,True,False,True
Maine,507,201.3,220.8,242.5,159.5,-305.7,-286.2,-264.5,-347.5,True,True,False
Maryland,6541,4803.4,5204.7,4737.0,4602.3,-1737.6,-1336.3,-1804.0,-1938.7,True,False,False
Massachusetts,13583,11489.6,13656.5,11329.0,10646.2,-2093.4,73.5,-2254.0,-2936.8,True,False,False
Michigan,14669,10369.9,16454.0,10262.0,9477.6,-4299.1,1785.0,-4407.0,-5191.4,True,False,False
Minnesota,5955,4494.1,6106.4,5258.0,3908.0,-1460.9,151.4,-697.0,-2047.0,True,True,False
Mississippi,5481,4379.4,4174.7,4149.0,4530.4,-1101.6,-1306.3,-1332.0,-950.6,False,False,True
Missouri,6523,4416.9,6819.8,5042.0,3585.6,-2086.1,316.8,-1461.0,-2917.4,True,True,False
Montana,1088,1244.6,1737.2,1349.0,744.2,156.6,649.2,261.0,-343.8,False,False,False
Nebraska,1837,1186.0,1943.0,1287.0,845.9,-651.0,106.0,-550.0,-991.1,True,True,False
Nevada,3761,2541.0,2534.5,2246.0,2581.4,-1220.0,-1226.5,-1515.0,-1179.6,False,False,True
New Hampshire,927,548.1,723.3,648.0,521.6,-378.9,-203.7,-279.0,-405.4,True,True,False
New Jersey,20414,17168.3,18046.1,17399.0,16979.8,-3245.7,-2367.9,-3015.0,-3434.2,True,True,False
New Mexico,2910,2024.9,2313.7,1829.0,1669.6,-885.1,-596.3,-1081.0,-1240.4,True,False,False
New York,40806,35391.4,40204.3,35223.0,33991.7,-5414.6,-601.7,-5583.0,-6814.3,True,False,False
