,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,6119,4134.7,5003.9,3823.0,,3748.0,-1984.3,-1115.1,-2296.0,,-2371.0,True,False,,False
Alaska,229,245.9,298.6,,,147.3,16.9,69.6,,,-81.7,False,,,False
Arizona,11248,7119.0,7254.2,6456.0,,7288.0,-4129.0,-3993.8,-4792.0,,-3960.0,True,False,,True
Arkansas,4293,3543.1,3663.0,3469.0,,2853.1,-749.9,-630.0,-824.0,,-1439.9,True,False,,False
California,33408,21069.3,23087.9,20386.0,,20349.0,-12337.7,-10319.1,-13021.0,,-13058.0,True,False,,False
Colorado,5363,2993.7,4344.7,2884.0,,2788.0,-2369.3,-1018.3,-2479.0,,-2575.0,True,False,,False
Connecticut,6594,5039.4,5806.1,4851.0,,4788.2,-1554.6,-787.9,-1743.0,,-1805.8,True,False,,False
Delaware,1188,1024.9,869.4,820.0,,736.2,-135.1,-290.6,-340.0,,-423.8,False,False,,False
District of Columbia,847,689.4,733.8,671.0,,661.7,-157.6,-113.2,-176.0,,-185.3,True,False,,False
Florida,24004,20697.6,24881.7,20366.0,,18944.8,-3306.4,877.7,-3638.0,,-5059.2,True,False,,False
Georgia,12291,9848.4,10959.0,10016.0,,9535.0,-2442.6,-1332.0,-2275.0,,-2756.0,True,True,,False
Hawaii,319,295.0,443.7,,,241.1,-24.0,124.7,,,-77.9,False,,,False
Idaho,1605,1248.9,1315.3,1142.0,,1062.8,-356.1,-289.7,-463.0,,-542.2,True,False,,False
Illinois,20020,13332.1,19590.1,12832.0,,11360.2,-6687.9,-429.9,-7188.0,,-8659.8,True,False,,False
Indiana,10534,6904.6,8998.4,6480.0,,5549.8,-3449.4,-1355.6,-3874.0,,-4804.2,True,False,,False
Iowa,4321,2797.0,3771.0,2768.0,,2218.5,-1524.0,-550.0,-1553.0,,-2102.5,True,False,,False
Kansas,3489,1774.1,3030.5,1892.0,,1406.3,-1710.9,-454.5,-1593.0,,-2078.7,True,True,,False
Kentucky,3093,2379.3,3103.1,2520.0,,2298.6,-713.7,10.1,-573.0,,-794.4,True,True,,False
Louisiana,8080,6892.3,7007.7,6818.0,,7303.2,-1187.7,-1072.3,-1262.0,,-776.8,True,False,,True
Maine,507,157.9,177.2,236.0,,155.4,-349.1,-329.8,-271.0,,-351.6,True,True,,False
Maryland,6541,4760.0,4937.3,4494.0,24891.0,4624.2,-1781.0,-1603.7,-2047.0,18350.0,-1916.8,True,False,False,False
Massachusetts,13583,11630.7,13065.9,11188.0,,10869.0,-1952.3,-517.1,-2395.0,,-2714.0,True,False,,False
