,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Alabama,6119,5136.6,5227.0,7652.0,5689.5,5946.0,,5919.7,5655.0,6446.1,5808.1,4991.3,6676.1,5996.0,4900.3,5984.5,,4694.2,,6249.6,4545.5,-982.4,-892.0,1533.0,-429.5,-173.0,,-199.3,-464.0,327.1,-310.9,-1127.7,557.1,-123.0,-1218.7,-134.5,,-1424.8,,130.6,-1573.5,True,False,True,True,,True,True,True,True,False,True,True,False,True,,False,,True,False
Alaska,229,336.3,341.0,304.0,315.3,255.0,,276.6,,273.3,288.7,284.9,282.0,383.0,213.1,382.0,,296.1,,341.8,219.8,107.3,112.0,75.0,86.3,26.0,,47.6,,44.3,59.7,55.9,53.0,154.0,-15.9,153.0,,67.1,,112.8,-9.2,False,True,True,True,,True,,True,True,True,True,False,True,False,,True,,False,True
Arizona,11248,9333.9,9306.2,10224.0,9638.7,8009.0,,9369.4,9607.0,10751.9,9717.6,9217.1,10383.0,13027.0,8672.6,8683.5,,8913.3,,9614.2,7851.0,-1914.1,-1941.8,-1024.0,-1609.3,-3239.0,,-1878.6,-1641.0,-496.1,-1530.4,-2030.9,-865.0,1779.0,-2575.4,-2564.5,,-2334.7,,-1633.8,-3397.0,False,True,True,False,,True,True,True,True,False,True,True,False,False,,False,,True,False
Arkansas,4293,4329.3,4366.1,4144.0,3570.3,3955.0,,3585.9,4356.0,4202.0,3594.6,3532.5,4004.3,4096.0,3259.9,4523.0,,4536.8,,5236.0,3361.0,36.3,73.1,-149.0,-722.7,-338.0,,-707.1,63.0,-91.0,-698.4,-760.5,-288.7,-197.0,-1033.1,230.0,,243.8,,943.0,-932.0,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,,False,False
California,33408,26441.1,26397.3,38630.0,27809.5,24050.0,,29880.8,26983.0,30891.2,32532.0,28194.5,33284.9,32704.0,23842.5,55637.0,,26069.6,27545.0,,22583.6,-6960.9,-7004.7,5228.0,-5592.5,-9352.0,,-3521.2,-6419.0,-2510.8,-870.0,-5207.5,-117.1,-698.0,-9559.5,22235.0,,-7332.4,-5857.0,,-10818.4,False,True,True,False,,True,True,True,True,True,True,True,False,False,,False,True,,False
Colorado,5363,6882.0,6440.3,5220.0,5375.2,5154.0,,4941.6,7134.0,6175.7,4778.4,5140.8,5585.1,6629.0,5057.8,8060.5,,4780.9,,5317.6,4362.7,1519.0,1077.3,-143.0,12.2,-209.0,,-421.4,1771.0,812.7,-584.6,-222.2,222.1,1266.0,-305.2,2697.5,,-582.1,,-45.4,-1000.3,True,True,True,True,,True,False,True,True,True,True,True,True,False,,True,,True,True
Connecticut,6594,6417.0,6448.6,7165.0,6514.9,5835.0,,6809.0,6573.0,6913.6,6656.7,6276.1,7594.8,6946.0,5798.9,6683.0,,6073.5,,7188.5,5491.3,-177.0,-145.4,571.0,-79.1,-759.0,,215.0,-21.0,319.6,62.7,-317.9,1000.8,352.0,-795.1,89.0,,-520.5,,594.5,-1102.7,True,False,True,False,,False,True,False,True,False,False,False,False,True,,False,,False,False
Delaware,1016,927.7,981.0,1004.0,963.7,986.0,,929.4,1041.0,992.8,1033.8,1030.0,1140.4,962.0,879.8,925.0,,989.8,,1017.5,864.0,-88.3,-35.0,-12.0,-52.3,-30.0,,-86.6,25.0,-23.2,17.8,14.0,124.4,-54.0,-136.2,-91.0,,-26.2,,1.5,-152.0,True,True,True,True,,True,True,True,True,True,False,True,False,False,,True,,True,False
District of Columbia,847,802.4,803.0,875.0,828.2,741.0,,797.1,797.0,849.1,830.2,798.2,869.6,835.0,748.2,1007.0,,770.9,,827.0,737.7,-44.6,-44.0,28.0,-18.8,-106.0,,-49.9,-50.0,2.1,-16.8,-48.8,22.6,-12.0,-98.8,160.0,,-76.1,,-20.0,-109.3,True,True,True,False,,False,False,True,True,False,True,True,False,False,,False,,True,False
Florida,24004,23212.6,23291.0,24184.0,23843.2,22641.0,,23231.2,23512.0,24648.6,23113.8,25103.7,24297.0,23221.5,23096.0,31042.5,,22977.4,,,21430.7,-791.4,-713.0,180.0,-160.8,-1363.0,,-772.8,-492.0,644.6,-890.2,1099.7,293.0,-782.5,-908.0,7038.5,,-1026.6,,,-2573.3,True,True,True,False,,True,True,True,False,False,True,True,False,False,,False,,,False
