,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,6119,3690.3,4136.7,3466.0,,-2428.7,-1982.3,-2653.0,,True,False,
Alaska,229,79.7,215.3,,,-149.3,-13.7,,,True,,
Arizona,11248,7125.6,7190.5,7706.0,,-4122.4,-4057.5,-3542.0,,True,True,
Arkansas,4293,2534.6,2634.8,3408.0,,-1758.4,-1658.2,-885.0,,True,True,
California,33408,25931.6,18378.6,24106.0,,-7476.4,-15029.4,-9302.0,,False,False,
Colorado,5363,2273.7,2417.0,2525.0,,-3089.3,-2946.0,-2838.0,,True,True,
Connecticut,6594,4694.3,4606.1,4698.0,,-1899.7,-1987.9,-1896.0,,False,True,
Delaware,1188,722.1,843.5,681.0,,-450.9,-329.5,-492.0,,True,False,
District of Columbia,847,705.3,672.3,675.0,,-141.7,-174.7,-172.0,,False,False,
Florida,24004,26161.6,18698.3,20322.0,,2157.6,-5305.7,-3682.0,,False,False,
Georgia,12291,11618.7,9127.9,10138.0,,-672.3,-3163.1,-2153.0,,False,False,
Hawaii,319,349.0,210.1,,,30.0,-108.9,,,False,,
Idaho,1605,950.7,888.1,863.0,,-654.3,-716.9,-742.0,,False,False,
Illinois,20020,11237.4,10177.7,10675.0,,-8782.6,-9842.3,-9345.0,,False,False,
Indiana,10534,4759.4,4535.5,5382.0,,-5802.6,-6026.5,-5180.0,,False,True,
Iowa,4321,2166.4,2092.0,2492.0,,-2154.6,-2229.0,-1829.0,,False,True,
Kansas,3489,1367.3,1144.7,778.0,,-2121.7,-2344.3,-2711.0,,False,False,
Kentucky,3093,2202.9,2235.8,2401.0,,-890.1,-857.2,-692.0,,True,True,
Louisiana,8080,7770.7,6021.2,7214.0,,-309.3,-2058.8,-866.0,,False,False,
Maine,507,171.7,163.4,278.0,,-335.3,-343.6,-229.0,,False,True,
Maryland,6541,4534.4,4906.6,4211.0,,-2006.6,-1634.4,-2330.0,,True,False,
Massachusetts,13583,10727.9,9690.2,9920.0,,-2855.1,-3892.8,-3663.0,,False,False,
Michigan,14669,8786.0,8631.5,8248.0,,-5883.0,-6037.5,-6421.0,,False,False,
Minnesota,5955,3078.1,2803.2,3348.0,,-2876.9,-3151.8,-2607.0,,False,True,
Mississippi,5481,4714.9,3553.3,6173.0,,-766.1,-1927.7,692.0,,False,True,
Missouri,6523,2552.4,3874.0,2737.0,,-3943.6,-2622.0,-3759.0,,True,True,
Montana,1088,456.4,462.6,798.0,,-631.6,-625.4,-290.0,,True,True,
Nebraska,1837,969.7,1029.0,1199.0,,-867.3,-808.0,-638.0,,True,True,
Nevada,3761,2577.0,1965.3,2415.0,,-1184.0,-1795.7,-1346.0,,False,False,
New Hampshire,927,489.6,523.2,552.0,,-437.4,-403.8,-375.0,,True,True,
New Jersey,20414,16781.0,16452.8,16989.0,,-3633.0,-3961.2,-3425.0,,False,True,
New Mexico,2910,1180.1,1135.0,1403.0,,-1729.9,-1775.0,-1507.0,,False,True,
New York,40806,33665.9,33505.0,34287.0,,-7140.1,-7301.0,-6519.0,,False,True,
North Carolina,8016,5944.9,5135.5,6946.0,,-2071.1,-2880.5,-1070.0,,False,True,
North Dakota,1403,382.3,844.1,512.0,,-1020.7,-558.9,-891.0,,True,True,
Ohio,15615,7200.7,6475.4,8328.0,,-8697.3,-9422.6,-7570.0,,False,True,
Oklahoma,2952,1833.6,1832.6,2400.0,,-1118.4,-1119.4,-552.0,,False,True,
Oregon,1799,1009.0,827.5,1007.0,,-790.0,-971.5,-792.0,,False,False,
Pennsylvania,19143,9239.7,9959.6,9332.0,,-9903.3,-9183.4,-9811.0,,True,True,
Rhode Island,2161,1356.7,1225.6,1164.0,,-779.3,-910.4,-972.0,,False,False,
South Carolina,6108,6224.7,5494.1,5186.0,,116.7,-613.9,-922.0,,False,False,
South Dakota,1633,380.4,475.4,623.0,,-1252.6,-1157.6,-1010.0,,True,True,
Tennessee,8355,5881.6,4037.8,5258.0,,-2473.4,-4317.2,-3097.0,,False,False,
Texas,32428,27815.7,18899.0,26602.0,31702.0,-4308.3,-13225.0,-5522.0,-422.0,False,False,True
Utah,1485,629.4,1137.4,1123.0,,-855.6,-347.6,-362.0,,True,True,
Vermont,163,58.0,66.3,107.0,,-105.0,-96.7,-56.0,,True,True,
Virginia,5706,3545.4,4449.0,4644.0,,-2160.6,-1257.0,-1062.0,,True,True,
Washington,3903,2669.6,2657.1,2434.0,,-1241.4,-1253.9,-1477.0,,False,False,
West Virginia,1761,588.4,2162.0,1075.0,,-1172.6,401.0,-686.0,,True,True,
Wisconsin,5905,1960.0,3262.5,2290.0,,-3887.0,-2584.5,-3557.0,,True,True,
Wyoming,522,42.0,82.4,270.0,,-480.0,-439.6,-252.0,,True,True,
US,402962,285678.1,237477.3,282910.0,275565.0,-117171.9,-165372.7,-119940.0,-127285.0,False,False,False
