,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,6119,5496.0,5784.4,5221.2,5658.0,5537.3,5684.0,5637.0,5700.5,6116.0,5707.8,5741.0,5524.1,5402.8,5680.1,,6245.3,5522.0,6294.7,5688.8,5820.0,5746.5,6536.1,5506.0,5634.3,5653.0,6033.3,5789.8,6133.9,5672.5,,5150.6,5675.4,5721.0,6184.7,5354.0,5419.9,,5654.7,6073.9,5694.0,5323.1,6055.0,5213.0,5405.9,4787.0,5744.3,-623.0,-334.6,-897.8,-461.0,-581.7,-435.0,-482.0,-418.5,-3.0,-411.2,-378.0,-594.9,-716.2,-438.9,,126.3,-597.0,175.7,-430.2,-299.0,-372.5,417.1,-613.0,-484.7,-466.0,-85.7,-329.2,14.9,-446.5,,-968.4,-443.6,-398.0,65.7,-765.0,-699.1,,-464.3,-45.1,-425.0,-795.9,-64.0,-906.0,-713.1,-1332.0,-374.7,True,False,True,True,True,True,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,False,False,,True,True,True,False,True,False,False,False,True
Alaska,229,214.9,197.3,277.3,293.0,216.0,255.0,286.0,250.9,282.0,305.2,259.0,234.0,242.7,304.4,,321.0,,247.8,250.4,339.0,342.6,266.8,224.0,233.5,412.0,227.3,283.5,242.0,283.0,,,210.1,255.0,276.8,256.0,230.9,,353.0,255.2,246.0,224.3,237.0,239.0,394.8,217.6,272.7,-14.1,-31.7,48.3,64.0,-13.0,26.0,57.0,21.9,53.0,76.2,30.0,5.0,13.7,75.4,,92.0,,18.8,21.4,110.0,113.6,37.8,-5.0,4.5,183.0,-1.7,54.5,13.0,54.0,,,-18.9,26.0,47.8,27.0,1.9,,124.0,26.2,17.0,-4.7,8.0,10.0,165.8,-11.4,43.7,False,False,False,True,False,False,False,False,False,False,True,True,False,,False,,False,False,False,False,False,True,True,False,True,False,True,False,,,False,False,False,False,True,,False,False,False,True,True,True,False,True,False
Arizona,11248,10339.3,12128.8,11754.8,10763.0,10397.5,10509.0,10239.0,10459.1,10660.0,9806.8,9887.0,10637.8,10695.6,10730.6,,10322.0,10458.0,10949.2,10146.1,10359.0,11415.6,10602.6,12661.0,10466.2,10388.0,10698.3,10946.5,10636.1,10012.5,,9504.7,12121.9,10783.0,12600.3,10178.0,10036.6,,9613.1,10802.6,10380.0,10460.0,11230.0,11755.5,10129.9,8411.9,10880.0,-908.7,880.8,506.8,-485.0,-850.5,-739.0,-1009.0,-788.9,-588.0,-1441.2,-1361.0,-610.2,-552.4,-517.4,,-926.0,-790.0,-298.8,-1101.9,-889.0,167.6,-645.4,1413.0,-781.8,-860.0,-549.7,-301.5,-611.9,-1235.5,,-1743.3,873.9,-465.0,1352.3,-1070.0,-1211.4,,-1634.9,-445.4,-868.0,-788.0,-18.0,507.5,-1118.1,-2836.1,-368.0,True,True,True,True,True,False,True,True,False,False,True,True,True,,False,True,True,False,True,True,True,False,True,True,True,True,True,False,,False,True,True,False,False,False,,False,True,True,True,True,True,False,False,True
Arkansas,4293,4363.3,4236.0,4854.7,4398.0,4311.0,4354.0,3894.0,4299.0,4508.0,3957.9,4123.0,3994.4,4259.4,4712.1,,3585.9,4502.0,4575.0,4153.6,4326.0,4172.8,4475.0,5023.5,4499.9,4154.0,4377.5,4671.6,4444.7,4332.0,,4285.1,4488.3,4363.0,4300.5,4191.0,4195.1,,3952.7,4431.3,4345.0,4295.1,4571.0,4544.0,6078.5,3583.0,4263.4,70.3,-57.0,561.7,105.0,18.0,61.0,-399.0,6.0,215.0,-335.1,-170.0,-298.6,-33.6,419.1,,-707.1,209.0,282.0,-139.4,33.0,-120.2,182.0,730.5,206.9,-139.0,84.5,378.6,151.7,39.0,,-7.9,195.3,70.0,7.5,-102.0,-97.9,,-340.3,138.3,52.0,2.1,278.0,251.0,1785.5,-710.0,-29.6,True,False,False,True,True,False,True,False,False,False,False,True,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,True,False,True,True,False,False,,False,False,True,True,False,False,False,False,True
California,33408,28981.4,32379.9,33884.7,35098.0,29077.9,31568.0,29980.0,33015.9,41017.0,30704.2,33070.0,28212.6,32319.4,34270.7,,32976.1,28960.0,34140.3,36813.5,27867.0,34081.3,34419.1,38373.0,32973.0,30249.0,31054.0,31401.5,32761.1,27216.5,,26447.2,30525.1,31464.0,36335.0,28852.0,28576.3,31157.0,30990.9,31241.6,33214.0,32508.2,34950.0,34810.5,,24047.0,32471.4,-4424.6,-1026.1,478.7,1692.0,-4328.1,-1838.0,-3426.0,-390.1,7611.0,-2701.8,-336.0,-5193.4,-1086.6,864.7,,-429.9,-4446.0,734.3,3407.5,-5539.0,675.3,1013.1,4967.0,-433.0,-3157.0,-2352.0,-2004.5,-644.9,-6189.5,,-6958.8,-2880.9,-1942.0,2929.0,-4554.0,-4829.7,-2249.0,-2415.1,-2164.4,-192.0,-897.8,1544.0,1404.5,,-9359.0,-934.6,True,True,True,True,True,True,True,False,True,True,False,True,True,,True,False,True,True,False,True,True,False,True,True,True,True,True,False,,False,True,True,True,False,False,True,True,True,True,True,True,True,,False,True
Colorado,5363,5949.4,5709.4,6680.5,5948.0,6210.8,5965.0,5131.0,5845.8,5831.0,5680.5,5485.0,5858.2,5459.9,6291.5,,6044.2,6178.0,6184.0,5101.8,6531.0,5968.5,5722.4,5896.0,6051.8,6352.0,6054.0,6722.6,6010.2,6214.5,,5543.5,6228.2,5774.0,4915.9,5397.0,5656.4,,6749.8,6096.4,5346.0,6385.1,5790.0,6399.5,8289.2,4713.4,5065.6,586.4,346.4,1317.5,585.0,847.8,602.0,-232.0,482.8,468.0,317.5,122.0,495.2,96.9,928.5,,681.2,815.0,821.0,-261.2,1168.0,605.5,359.4,533.0,688.8,989.0,691.0,1359.6,647.2,851.5,,180.5,865.2,411.0,-447.1,34.0,293.4,,1386.8,733.4,-17.0,1022.1,427.0,1036.5,2926.2,-649.6,-297.4,True,False,True,False,False,True,True,True,True,True,True,True,False,,False,False,False,True,False,False,True,True,False,False,False,False,False,False,,True,False,True,True,True,True,,False,False,True,False,True,False,False,False,True
Connecticut,6594,6421.9,6153.8,6355.5,6574.0,6452.8,6579.0,6423.0,6505.9,6935.0,6713.1,6215.0,6870.3,6387.8,6872.4,,6735.4,6560.0,6874.6,6629.7,6793.0,6990.5,6587.6,6495.0,6338.4,6725.0,6995.5,6827.3,6390.9,6677.0,,6216.2,6003.0,6678.0,6497.8,5819.0,6075.1,,6729.5,7025.7,6521.0,6711.6,6573.0,6465.5,6758.1,5687.6,6553.5,-172.1,-440.2,-238.5,-20.0,-141.2,-15.0,-171.0,-88.1,341.0,119.1,-379.0,276.3,-206.2,278.4,,141.4,-34.0,280.6,35.7,199.0,396.5,-6.4,-99.0,-255.6,131.0,401.5,233.3,-203.1,83.0,,-377.8,-591.0,84.0,-96.2,-775.0,-518.9,,135.5,431.7,-73.0,117.6,-21.0,-128.5,164.1,-906.4,-40.5,False,False,True,True,True,True,True,False,True,False,False,False,False,,True,True,False,True,False,False,True,True,False,True,False,False,False,True,,False,False,True,True,False,False,,True,False,True,True,True,True,True,False,True
Delaware,1188,1039.4,1048.0,1128.2,1047.0,1030.0,1051.0,1003.0,1050.2,1045.0,977.3,1034.0,1063.1,1071.3,1144.5,,1001.5,1070.0,1056.4,993.5,1110.0,1176.0,1128.1,1007.0,1016.3,1098.0,1066.3,1082.9,1044.8,948.0,,,1039.4,1058.0,1180.1,997.0,1018.7,,1040.3,1118.1,1052.0,951.2,1079.0,1072.0,997.7,899.8,1040.3,-44.6,-36.0,44.2,-37.0,-54.0,-33.0,-81.0,-33.8,-39.0,-106.7,-50.0,-20.9,-12.7,60.5,,-82.5,-14.0,-27.6,-90.5,26.0,92.0,44.1,-77.0,-67.7,14.0,-17.7,-1.1,-39.2,-136.0,,,-44.6,-26.0,96.1,-87.0,-65.3,,-43.7,34.1,-32.0,-132.8,-5.0,-12.0,-86.3,-184.2,-43.7,True,True,True,False,True,False,True,True,False,False,True,True,False,,False,True,True,False,True,False,True,False,False,True,True,True,True,False,,,False,True,False,False,False,,True,True,True,False,True,True,False,False,True
District of Columbia,847,821.9,1066.8,812.6,815.0,798.0,819.0,822.0,824.6,825.0,828.7,810.0,898.3,828.6,846.5,,805.5,796.0,832.9,804.5,811.0,889.3,852.0,815.0,813.8,876.0,,,816.9,768.0,,,819.1,829.0,880.9,831.0,774.0,,866.7,,823.0,,813.0,853.5,816.5,749.4,859.4,-25.1,219.8,-34.4,-32.0,-49.0,-28.0,-25.0,-22.4,-22.0,-18.3,-37.0,51.3,-18.4,-0.5,,-41.5,-51.0,-14.1,-42.5,-36.0,42.3,5.0,-32.0,-33.2,29.0,,,-30.1,-79.0,,,-27.9,-18.0,33.9,-16.0,-73.0,,19.7,,-24.0,,-34.0,6.5,-30.5,-97.6,12.4,False,False,False,False,False,True,True,True,True,False,False,True,True,,False,False,True,False,False,False,True,False,False,False,,,False,False,,,False,True,False,True,False,,True,,True,,False,True,False,False,True
Florida,24004,23275.7,22702.3,23263.8,24307.0,23225.3,23929.0,23021.0,24201.7,24324.0,23965.3,23227.0,23661.1,23403.5,24716.2,,24801.7,22924.0,24135.3,23368.8,24496.0,28083.7,24379.9,23388.0,23956.2,24498.0,24267.8,24225.3,24097.8,24979.5,,23419.9,22978.9,23904.0,26525.3,24189.0,22882.2,,23008.4,24288.7,23954.0,22343.5,23718.0,24617.5,,21804.5,23939.3,-728.3,-1301.7,-740.2,303.0,-778.7,-75.0,-983.0,197.7,320.0,-38.7,-777.0,-342.9,-600.5,712.2,,797.7,-1080.0,131.3,-635.2,492.0,4079.7,375.9,-616.0,-47.8,494.0,263.8,221.3,93.8,975.5,,-584.1,-1025.1,-100.0,2521.3,185.0,-1121.8,,-995.6,284.7,-50.0,-1660.5,-286.0,613.5,,-2199.5,-64.7,False,False,True,False,True,False,True,True,True,False,True,True,True,,False,False,True,True,True,False,True,True,True,True,True,True,True,False,,True,False,True,False,True,False,,False,True,True,False,True,True,,False,True
