,mean_rank
COVIDhub-ensemble,13.6
Microsoft-DeepSTIA,13.7
Caltech-CS156,14.8
Karlen-pypm,14.9
MIT_CritData-GBCF,15.8
MOBS-GLEAM_COVID,15.9
CMU-TimeSeries,16.4
Google_Harvard-CPF,16.8
OliverWyman-Navigator,16.8
Columbia_UNC-SurvCon,17.2
JCB-PRM,17.2
USC-SI_kJalpha,17.4
UMass-MechBayes,18.0
JHU_CSSE-DECOM,18.2
COVIDhub-baseline,18.3
GT-DeepCOVID,18.6
CEID-Walk,18.6
UMich-RidgeTfReg,18.8
BPagano-RtDriven,19.4
epiforecasts-ensemble1,20.0
PSI-DRAFT,20.1
AIpert-pwllnod,20.9
UCSB-ACTS,20.9
DDS-NBDS,20.9
SteveMcConnell-CovidComplete,21.1
CU-select,21.1
CovidAnalytics-DELPHI,21.6
LNQ-ens1,22.0
Geneva-DetGrowth,22.1
UCSD_NEU-DeepGLEAM,22.3
JHU_IDD-CovidSP,23.3
UCLA-SuEIR,23.8
LANL-GrowthRate,23.9
UA-EpiCovDA,25.9
RobertWalraven-ESG,26.0
Covid19Sim-Simulator,26.9
IowaStateLW-STEM,27.1
IHME-CurveFit,28.5
JHUAPL-Bucky,29.0
TTU-squider,32.5
