,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,10960,10847.4,11289.6,10982.4,11397.0,10921.3,11441.0,11421.0,11220.5,11944.0,10643.9,11527.0,11540.4,11345.5,11553.3,,11738.2,11426.0,11392.2,11538.7,11496.0,10605.0,11682.7,11104.0,11379.1,11275.0,11416.9,11388.5,,10913.7,11854.9,10698.0,,11466.6,11280.2,11441.0,11968.4,11467.0,10778.9,,11273.0,11440.5,11488.0,,11476.0,10697.5,,10317.6,10686.6,-112.6,329.6,22.4,437.0,-38.7,481.0,461.0,260.5,984.0,-316.1,567.0,580.4,385.5,593.3,,778.2,466.0,432.2,578.7,536.0,-355.0,722.7,144.0,419.1,315.0,456.9,428.5,,-46.3,894.9,-262.0,,506.6,320.2,481.0,1008.4,507.0,-181.1,,313.0,480.5,528.0,,516.0,-262.5,,-642.4,-273.4,False,True,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,,False,False,False,False,False,False,,False,False,False,,False,False,,False,False
Hawaii,289,308.3,334.4,304.8,329.0,301.0,314.0,313.0,313.4,336.0,278.9,296.0,316.4,,314.1,,296.1,,301.9,311.4,317.0,329.0,313.7,305.0,307.2,360.0,317.0,315.4,,459.7,281.7,317.0,,,317.3,316.0,303.1,311.0,289.2,,324.1,348.5,309.0,,311.0,319.0,380.3,291.0,319.0,19.3,45.4,15.8,40.0,12.0,25.0,24.0,24.4,47.0,-10.1,7.0,27.4,,25.1,,7.1,,12.9,22.4,28.0,40.0,24.7,16.0,18.2,71.0,28.0,26.4,,170.7,-7.3,28.0,,,28.3,27.0,14.1,22.0,0.2,,35.1,59.5,20.0,,22.0,30.0,91.3,2.0,30.0,False,True,False,True,False,False,False,False,True,True,False,,False,,True,,True,False,False,False,False,True,True,False,False,False,,False,True,False,,,False,False,True,False,True,,False,False,False,,False,False,False,True,False
Idaho,1448,1575.0,1725.9,1593.3,1691.0,1580.0,1571.0,1563.0,1513.5,1565.0,1372.2,1414.0,2048.9,1563.8,1570.7,,1448.6,1647.0,1624.4,1483.0,1698.0,1396.2,1555.5,1674.5,1599.2,1554.0,1623.5,1588.1,,1544.1,1694.5,1537.5,,,1671.3,1591.0,1334.8,1582.0,1529.7,,1552.8,1659.6,1531.0,,1573.0,1534.0,1648.8,1314.6,1547.2,127.0,277.9,145.3,243.0,132.0,123.0,115.0,65.5,117.0,-75.8,-34.0,600.9,115.8,122.7,,0.6,199.0,176.4,35.0,250.0,-51.8,107.5,226.5,151.2,106.0,175.5,140.1,,96.1,246.5,89.5,,,223.3,143.0,-113.2,134.0,81.7,,104.8,211.6,83.0,,125.0,86.0,200.8,-133.4,99.2,False,False,False,False,True,True,True,True,True,True,False,True,True,,True,False,False,True,False,True,True,False,False,True,False,False,,True,False,True,,,False,False,True,False,True,,True,False,True,,True,True,False,False,True
Illinois,18217,18833.3,19477.9,18967.7,19576.0,18875.6,18666.0,18711.0,18214.9,17923.0,17534.3,17796.0,21643.0,18698.2,18632.3,,18067.7,19152.0,18980.2,17493.8,18888.0,16930.5,18338.2,18743.0,19060.2,18679.0,19072.8,19143.2,17261.0,15437.8,15744.0,19600.5,,18991.7,19734.9,18421.0,16756.5,18333.0,18368.7,,18629.8,19122.4,18222.0,19860.6,18158.0,19048.5,,16272.9,18105.0,616.3,1260.9,750.7,1359.0,658.6,449.0,494.0,-2.1,-294.0,-682.7,-421.0,3426.0,481.2,415.3,,-149.3,935.0,763.2,-723.2,671.0,-1286.5,121.2,526.0,843.2,462.0,855.8,926.2,-956.0,-2779.2,-2473.0,1383.5,,774.7,1517.9,204.0,-1460.5,116.0,151.7,,412.8,905.4,5.0,1643.6,-59.0,831.5,,-1944.1,-112.0,False,False,False,False,True,True,True,True,False,True,False,True,True,,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,,False,False,True,False,True,True,,True,False,True,False,True,False,,False,True
Indiana,8410,8413.6,8770.6,8386.4,8841.0,8411.2,8496.0,8927.0,8404.3,8204.0,7993.9,8193.0,9444.9,8577.0,8462.9,,8250.9,8668.0,8696.5,8123.0,8938.0,7485.0,8462.6,8461.0,8672.8,8494.0,8718.3,8813.2,7638.0,8860.2,8496.3,9189.0,,8046.7,9001.9,8575.0,8334.1,8398.0,8201.5,,8464.0,8742.4,8488.0,8810.9,8518.0,8479.5,8908.0,6966.5,8271.8,3.6,360.6,-23.6,431.0,1.2,86.0,517.0,-5.7,-206.0,-416.1,-217.0,1034.9,167.0,52.9,,-159.1,258.0,286.5,-287.0,528.0,-925.0,52.6,51.0,262.8,84.0,308.3,403.2,-772.0,450.2,86.3,779.0,,-363.3,591.9,165.0,-75.9,-12.0,-208.5,,54.0,332.4,78.0,400.9,108.0,69.5,498.0,-1443.5,-138.2,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Iowa,3946,4614.7,5025.6,4801.8,5169.0,4785.9,4090.0,3747.0,3927.3,3685.0,3302.1,3772.0,4621.9,4985.2,3761.3,,3303.8,4629.0,3782.7,3110.1,4214.0,3572.5,3558.8,3311.0,4078.7,4179.0,4066.3,4223.5,,3973.4,4122.7,4911.0,,4733.2,3425.9,3996.0,2917.6,4308.0,3718.2,,4146.4,4188.8,3815.0,,3747.0,4430.5,3726.1,3563.8,4441.4,668.7,1079.6,855.8,1223.0,839.9,144.0,-199.0,-18.7,-261.0,-643.9,-174.0,675.9,1039.2,-184.7,,-642.2,683.0,-163.3,-835.9,268.0,-373.5,-387.2,-635.0,132.7,233.0,120.3,277.5,,27.4,176.7,965.0,,787.2,-520.1,50.0,-1028.4,362.0,-227.8,,200.4,242.8,-131.0,,-199.0,484.5,-219.9,-382.2,495.4,False,False,False,False,True,True,True,True,True,True,False,False,True,,True,False,True,False,True,True,True,True,True,True,True,True,,True,True,False,,False,True,True,False,True,True,,True,True,True,,True,True,True,True,True
Kansas,2872,2889.1,3401.7,2884.7,3292.0,2930.0,2819.0,2875.0,2594.2,2697.0,2442.0,2864.0,2706.1,2910.4,2958.0,,2979.3,3098.0,3003.1,2462.0,3002.0,2242.0,2733.8,2648.0,2630.5,2846.0,2755.3,2987.3,,2407.2,3019.4,3532.0,,,3392.0,2816.0,2536.3,2686.0,2606.9,,2733.6,2821.7,2964.0,,2771.0,2674.5,2999.9,2066.9,2901.8,17.1,529.7,12.7,420.0,58.0,-53.0,3.0,-277.8,-175.0,-430.0,-8.0,-165.9,38.4,86.0,,107.3,226.0,131.1,-410.0,130.0,-630.0,-138.2,-224.0,-241.5,-26.0,-116.7,115.3,,-464.8,147.4,660.0,,,520.0,-56.0,-335.7,-186.0,-265.1,,-138.4,-50.3,92.0,,-101.0,-197.5,127.9,-805.1,29.8,False,True,False,False,False,True,False,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,,False,False,False,False,False
Kentucky,2698,2592.7,2745.3,2540.3,2811.0,2582.0,2706.0,2917.0,2986.5,2728.0,2625.4,2594.0,2894.4,2607.8,2764.7,,2658.6,2873.0,2738.5,2553.9,3089.0,2780.7,2668.1,2639.0,2767.2,3045.0,2711.3,2815.3,2690.0,2885.9,2793.8,2754.0,,2663.8,2679.6,2691.0,3184.5,2610.0,2577.2,,2886.1,2747.6,2738.0,,2696.0,2531.0,2660.9,2399.1,2720.0,-105.3,47.3,-157.7,113.0,-116.0,8.0,219.0,288.5,30.0,-72.6,-104.0,196.4,-90.2,66.7,,-39.4,175.0,40.5,-144.1,391.0,82.7,-29.9,-59.0,69.2,347.0,13.3,117.3,-8.0,187.9,95.8,56.0,,-34.2,-18.4,-7.0,486.5,-88.0,-120.8,,188.1,49.6,40.0,,-2.0,-167.0,-37.1,-298.9,22.0,True,False,False,False,True,False,False,True,True,True,False,True,True,,True,False,True,False,False,True,True,True,True,False,True,False,True,False,True,True,,True,True,True,False,True,False,,False,True,True,,True,False,True,False,True
Louisiana,7488,7486.6,7608.0,7436.5,7578.0,7424.3,7490.0,7442.0,7440.0,7386.0,7372.1,7679.0,7792.7,7621.5,7576.8,,7278.0,7529.0,7581.1,7635.0,7556.0,7245.3,7672.6,7490.0,7500.8,7519.0,7621.9,7625.9,,7313.3,7609.9,7335.0,,7203.7,7479.8,7481.0,8737.2,7621.0,7484.0,,7358.1,7652.6,7627.0,,7397.0,7406.5,7376.8,7091.1,7581.7,-1.4,120.0,-51.5,90.0,-63.7,2.0,-46.0,-48.0,-102.0,-115.9,191.0,304.7,133.5,88.8,,-210.0,41.0,93.1,147.0,68.0,-242.7,184.6,2.0,12.8,31.0,133.9,137.9,,-174.7,121.9,-153.0,,-284.3,-8.2,-7.0,1249.2,133.0,-4.0,,-129.9,164.6,139.0,,-91.0,-81.5,-111.2,-396.9,93.7,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False
Maine,358,342.7,352.6,346.2,370.0,347.0,378.0,394.0,363.6,399.0,362.9,324.0,387.4,362.1,430.1,,329.0,427.0,386.7,390.6,386.0,392.2,401.8,371.0,349.7,427.0,416.9,380.6,,279.2,393.1,509.5,,,403.8,389.0,337.1,387.0,312.5,,368.5,456.0,363.0,,379.0,333.0,478.1,273.5,367.5,-15.3,-5.4,-11.8,12.0,-11.0,20.0,36.0,5.6,41.0,4.9,-34.0,29.4,4.1,72.1,,-29.0,69.0,28.7,32.6,28.0,34.2,43.8,13.0,-8.3,69.0,58.9,22.6,,-78.8,35.1,151.5,,,45.8,31.0,-20.9,29.0,-45.5,,10.5,98.0,5.0,,21.0,-25.0,120.1,-84.5,9.5,True,True,True,True,False,False,True,False,True,False,False,True,False,,False,False,False,False,False,False,False,True,True,False,False,False,,False,False,False,,,False,False,False,False,False,,True,False,True,,False,False,False,False,True
Maryland,5967,5891.3,6069.2,5948.2,6094.0,5940.1,6022.0,6159.0,5948.2,5973.0,5898.9,5960.0,6273.7,6076.1,6040.0,,5931.7,5922.0,6104.2,5860.0,6029.0,5611.5,6072.9,6247.0,6041.2,6021.0,6154.9,6149.8,,5828.8,6217.8,6702.0,,5971.5,6274.5,6033.0,5701.9,5954.0,5843.6,,5850.4,6190.4,5950.0,,6060.0,6253.5,6007.4,5259.9,6016.1,-75.7,102.2,-18.8,127.0,-26.9,55.0,192.0,-18.8,6.0,-68.1,-7.0,306.7,109.1,73.0,,-35.3,-45.0,137.2,-107.0,62.0,-355.5,105.9,280.0,74.2,54.0,187.9,182.8,,-138.2,250.8,735.0,,4.5,307.5,66.0,-265.1,-13.0,-123.4,,-116.6,223.4,-17.0,,93.0,286.5,40.4,-707.1,49.1,False,True,False,True,True,False,True,True,True,True,False,False,True,,True,True,False,False,True,False,False,False,True,True,False,False,,False,False,False,,True,False,True,False,True,False,,False,False,True,,False,False,True,False,True
Massachusetts,12502,12334.7,12813.7,12372.4,12695.0,12368.4,12598.0,12818.0,12498.2,13284.0,12110.9,12483.0,12594.7,12729.8,13114.7,,11990.5,12506.0,12732.1,12561.5,12627.0,12213.0,12903.4,12769.0,12625.2,12507.0,12662.4,12863.7,,13140.4,12597.9,12107.0,,12322.1,12552.5,12462.0,13270.2,12512.0,12303.5,,12229.6,12708.7,12738.0,,12941.0,12598.0,12942.7,11610.3,12467.7,-167.3,311.7,-129.6,193.0,-133.6,96.0,316.0,-3.8,782.0,-391.1,-19.0,92.7,227.8,612.7,,-511.5,4.0,230.1,59.5,125.0,-289.0,401.4,267.0,123.2,5.0,160.4,361.7,,638.4,95.9,-395.0,,-179.9,50.5,-40.0,768.2,10.0,-198.5,,-272.4,206.7,236.0,,439.0,96.0,440.7,-891.7,-34.3,False,True,False,True,True,False,True,False,False,True,True,False,False,,False,True,False,True,True,False,False,False,True,True,True,False,,False,True,False,,False,True,True,False,True,False,,False,False,False,,False,True,False,False,True
Michigan,13306,13692.1,14203.5,13834.6,14028.0,13816.6,13456.0,13255.0,13504.3,13291.0,13161.1,13339.0,16517.9,13609.7,13353.8,,13684.1,13745.0,14224.5,13070.7,14162.0,12400.6,13459.5,13426.0,13552.4,13817.0,13851.8,14220.3,11487.0,11235.9,14022.1,13129.0,,13253.5,14953.3,13667.0,12434.0,12564.0,13030.6,,14154.7,13914.0,13359.0,15059.4,13640.0,13413.0,15224.8,11580.5,13662.8,386.1,897.5,528.6,722.0,510.6,150.0,-51.0,198.3,-15.0,-144.9,33.0,3211.9,303.7,47.8,,378.1,439.0,918.5,-235.3,856.0,-905.4,153.5,120.0,246.4,511.0,545.8,914.3,-1819.0,-2070.1,716.1,-177.0,,-52.5,1647.3,361.0,-872.0,-742.0,-275.4,,848.7,608.0,53.0,1753.4,334.0,107.0,1918.8,-1725.5,356.8,False,False,False,False,True,True,True,True,True,True,False,True,True,,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,True,,True,False,True,False,False,True,,False,False,True,False,True,True,False,False,True
Minnesota,5436,5817.3,5985.8,5722.9,6059.0,5734.9,5609.0,5850.0,5677.1,5278.0,5388.7,5724.0,6439.6,5575.6,5331.1,,5375.4,6067.0,5806.4,5315.1,6023.0,5202.3,5405.5,5420.0,5784.5,5968.0,5646.5,5958.0,4891.0,5173.4,5469.3,5630.0,,7434.6,6050.9,5427.0,4720.3,5538.0,5684.5,,6160.8,5664.5,5544.0,,5544.0,6098.0,5730.1,4816.2,5458.3,381.3,549.8,286.9,623.0,298.9,173.0,414.0,241.1,-158.0,-47.3,288.0,1003.6,139.6,-104.9,,-60.6,631.0,370.4,-120.9,587.0,-233.7,-30.5,-16.0,348.5,532.0,210.5,522.0,-545.0,-262.6,33.3,194.0,,1998.6,614.9,-9.0,-715.7,102.0,248.5,,724.8,228.5,108.0,,108.0,662.0,294.1,-619.8,22.3,False,True,False,True,True,False,True,True,True,True,False,True,True,,True,False,True,True,False,True,True,True,True,False,True,False,False,True,True,True,,False,False,True,False,True,True,,False,True,True,,True,False,True,False,True
Mississippi,4840,4879.0,5106.9,4876.5,4925.0,4873.1,4897.0,4780.0,4942.3,5202.0,4629.3,4616.0,5017.8,4927.7,4887.0,,4424.1,4837.0,5061.4,4833.1,4863.0,4472.8,4980.4,4949.0,4942.0,4811.0,4867.6,4967.5,,4786.8,5196.3,4623.0,,4569.6,5178.8,4965.0,4716.6,4917.0,4897.1,,4647.0,4905.3,5176.0,,5009.0,4885.5,4838.2,4426.2,4877.3,39.0,266.9,36.5,85.0,33.1,57.0,-60.0,102.3,362.0,-210.7,-224.0,177.8,87.7,47.0,,-415.9,-3.0,221.4,-6.9,23.0,-367.2,140.4,109.0,102.0,-29.0,27.6,127.5,,-53.2,356.3,-217.0,,-270.4,338.8,125.0,-123.4,77.0,57.1,,-193.0,65.3,336.0,,169.0,45.5,-1.8,-413.8,37.3,False,True,False,True,False,False,False,False,False,False,False,False,False,,False,True,False,True,True,False,False,False,False,True,True,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,False,True,False,True
Missouri,5721,5537.6,5948.7,5660.0,5835.0,5579.6,5604.0,5899.0,5455.4,5463.0,5173.2,5763.0,5792.2,5495.0,5312.4,,5070.4,6401.0,5631.7,5066.5,5978.0,5031.9,5592.5,5738.0,5718.2,5814.0,5608.5,5910.6,,6071.7,5461.7,6790.0,,5582.5,6213.4,5615.0,5680.3,5391.0,5213.7,,5634.0,5658.0,5511.0,,5560.0,5515.0,,4719.1,4804.8,-183.4,227.7,-61.0,114.0,-141.4,-117.0,178.0,-265.6,-258.0,-547.8,42.0,71.2,-226.0,-408.6,,-650.6,680.0,-89.3,-654.5,257.0,-689.1,-128.5,17.0,-2.8,93.0,-112.5,189.6,,350.7,-259.3,1069.0,,-138.5,492.4,-106.0,-40.7,-330.0,-507.3,,-87.0,-63.0,-210.0,,-161.0,-206.0,,-1001.9,-916.2,False,True,True,True,True,True,False,False,False,True,True,False,False,,False,False,True,False,False,False,True,True,True,True,True,False,,False,False,False,,True,False,True,True,False,False,,True,True,False,,True,False,,False,False
Montana,971,1052.3,1005.4,1064.1,1044.0,1062.0,1009.0,956.0,1005.5,947.0,945.9,938.0,1210.8,1036.9,973.3,,904.2,1124.0,1008.5,949.4,1057.0,950.9,991.1,986.0,1026.6,1090.0,1039.8,1040.7,,1066.1,1034.6,999.0,,,1064.0,1017.0,982.1,961.0,1097.1,,1050.0,1077.4,1035.0,,1014.0,958.0,1018.7,931.3,1000.6,81.3,34.4,93.1,73.0,91.0,38.0,-15.0,34.5,-24.0,-25.1,-33.0,239.8,65.9,2.3,,-66.8,153.0,37.5,-21.6,86.0,-20.1,20.1,15.0,55.6,119.0,68.8,69.7,,95.1,63.6,28.0,,,93.0,46.0,11.1,-10.0,126.1,,79.0,106.4,64.0,,43.0,-13.0,47.7,-39.7,29.6,True,False,True,False,True,True,True,True,True,True,False,True,True,,True,False,True,True,False,True,True,True,True,False,True,True,,False,True,True,,,False,True,True,True,False,,True,False,True,,True,True,True,True,True
Nebraska,1669,1853.0,2026.9,1924.0,2052.0,1878.0,1811.0,1745.0,1788.9,1774.0,1724.5,1778.0,2319.2,1839.2,1887.8,,1736.4,2040.0,1885.2,1733.6,1953.0,1606.9,1737.5,1784.0,1830.5,1990.0,1890.3,1943.7,,1708.7,1760.6,2491.0,,,2035.3,1798.0,1539.0,1770.0,1675.1,,1933.3,1926.3,1674.0,,1775.0,1953.5,2298.7,1548.5,2066.5,184.0,357.9,255.0,383.0,209.0,142.0,76.0,119.9,105.0,55.5,109.0,650.2,170.2,218.8,,67.4,371.0,216.2,64.6,284.0,-62.1,68.5,115.0,161.5,321.0,221.3,274.7,,39.7,91.6,822.0,,,366.3,129.0,-130.0,101.0,6.1,,264.3,257.3,5.0,,106.0,284.5,629.7,-120.5,397.5,False,False,False,False,True,True,True,True,True,True,False,True,False,,True,False,False,True,False,True,True,True,True,False,False,False,,True,True,False,,,False,True,True,True,True,,False,False,True,,True,False,False,True,False
Nevada,3148,3179.0,3397.7,3181.8,3414.0,3177.1,3242.0,3387.0,3188.1,3214.0,3098.7,3056.0,3714.2,3343.1,3294.4,,3047.6,3156.0,3299.5,3282.0,3345.0,2948.6,3379.8,3237.5,3276.3,3365.0,3175.3,3339.6,,3067.8,3393.8,3464.0,,2978.6,3429.6,3280.0,3537.8,3228.0,3143.0,,3095.9,3208.9,3172.0,,3266.0,3438.0,3379.5,2713.0,3181.8,31.0,249.7,33.8,266.0,29.1,94.0,239.0,40.1,66.0,-49.3,-92.0,566.2,195.1,146.4,,-100.4,8.0,151.5,134.0,197.0,-199.4,231.8,89.5,128.3,217.0,27.3,191.6,,-80.2,245.8,316.0,,-169.4,281.6,132.0,389.8,80.0,-5.0,,-52.1,60.9,24.0,,118.0,290.0,231.5,-435.0,33.8,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,True,False,,False,False,False,,False,False,False,False,False,True,,False,False,True,,False,False,False,False,False
New Hampshire,769,714.4,850.0,726.1,758.0,723.0,791.0,853.0,781.1,803.0,684.1,749.0,709.5,744.5,812.1,,757.0,788.0,783.1,743.3,805.0,780.2,851.0,794.0,756.1,787.0,733.9,798.0,,791.2,757.6,712.0,,,802.9,791.0,931.5,791.0,703.2,,729.6,773.9,816.0,,798.0,857.0,827.1,623.6,740.1,-54.6,81.0,-42.9,-11.0,-46.0,22.0,84.0,12.1,34.0,-84.9,-20.0,-59.5,-24.5,43.1,,-12.0,19.0,14.1,-25.7,36.0,11.2,82.0,25.0,-12.9,18.0,-35.1,29.0,,22.2,-11.4,-57.0,,,33.9,22.0,162.5,22.0,-65.8,,-39.4,4.9,47.0,,29.0,88.0,58.1,-145.4,-28.9,False,True,True,True,True,False,True,True,False,True,False,True,True,,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,False,,,True,True,False,True,False,,True,True,True,,True,False,False,False,True
New Jersey,19187,18979.6,19412.1,19022.9,19280.0,19009.7,19116.0,19211.0,19059.6,19035.0,18747.4,18647.0,19433.3,19114.4,19440.8,,18604.9,18984.0,19161.2,18817.2,19398.0,18607.1,19139.3,19751.0,19141.7,19272.0,19285.6,19350.2,,18434.2,19437.2,19591.0,,18466.4,19136.1,19414.0,19058.5,18826.0,19133.2,,18781.8,19330.8,19086.0,,19162.0,19361.0,18752.3,18001.4,19222.7,-207.4,225.1,-164.1,93.0,-177.3,-71.0,24.0,-127.4,-152.0,-439.6,-540.0,246.3,-72.6,253.8,,-582.1,-203.0,-25.8,-369.8,211.0,-579.9,-47.7,564.0,-45.3,85.0,98.6,163.2,,-752.8,250.2,404.0,,-720.6,-50.9,227.0,-128.5,-361.0,-53.8,,-405.2,143.8,-101.0,,-25.0,174.0,-434.7,-1185.6,35.7,False,True,True,True,True,True,True,True,False,False,False,True,False,,False,True,True,False,False,False,True,False,True,True,True,True,,False,False,False,,False,True,False,True,False,True,,False,True,True,,True,True,False,False,True
New Mexico,2534,2551.3,2501.8,2422.9,2717.0,2438.2,2500.0,2558.0,2543.6,2324.0,2593.4,2454.0,3131.9,2438.6,2612.3,,2631.1,2639.0,2641.4,2355.2,2497.0,2263.0,2475.0,2450.0,2530.6,2544.0,2721.7,2669.4,,2428.0,2494.7,2931.0,,,2574.3,2559.0,2461.0,2436.0,2220.3,,2573.7,2747.7,2572.0,,2391.0,2541.0,2534.5,2139.8,2569.1,17.3,-32.2,-111.1,183.0,-95.8,-34.0,24.0,9.6,-210.0,59.4,-80.0,597.9,-95.4,78.3,,97.1,105.0,107.4,-178.8,-37.0,-271.0,-59.0,-84.0,-3.4,10.0,187.7,135.4,,-106.0,-39.3,397.0,,,40.3,25.0,-73.0,-98.0,-313.7,,39.7,213.7,38.0,,-143.0,7.0,0.5,-394.2,35.1,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,,False,True,True,False,False
New York,38273,37268.4,38182.4,37052.3,37761.0,37071.1,37555.0,37451.0,37700.1,37706.0,36903.2,37593.0,37606.5,37224.0,37686.6,,37024.4,37517.0,37530.8,37425.5,37875.0,37338.1,37879.2,37786.0,37870.5,37803.0,37115.2,37720.6,,36630.9,37632.1,36373.5,,36305.0,36964.4,38858.0,39104.0,37606.0,37336.8,,37169.6,37161.5,37919.0,,37725.0,37790.5,36967.4,35533.0,37878.8,-941.6,-27.6,-1157.7,-449.0,-1138.9,-655.0,-759.0,-509.9,-504.0,-1306.8,-617.0,-603.5,-986.0,-523.4,,-1185.6,-693.0,-679.2,-784.5,-335.0,-871.9,-330.8,-424.0,-339.5,-407.0,-1094.8,-489.4,,-1579.1,-577.9,-1836.5,,-1905.0,-1245.6,648.0,894.0,-604.0,-873.2,,-1040.4,-1048.5,-291.0,,-485.0,-419.5,-1242.6,-2677.0,-331.2,True,False,True,False,True,True,True,True,False,True,True,False,True,,False,True,True,True,True,True,True,True,True,True,False,True,,False,True,False,,False,False,True,True,True,True,,False,False,True,,True,True,False,False,True
