,total_deaths_2020-11-08,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Covid19Sim-Simulator,239429,350599.4,356522,112820.4,117093,-4272.6,-3.6%
BPagano-RtDriven,239429,322483.3,356522,84704.3,117093,-32388.7,-27.7%
QJHong-Encounter,239429,322315.5,356522,84536.5,117093,-32556.5,-27.8%
JHUAPL-Bucky,239429,315191.2,356522,77412.2,117093,-39680.8,-33.9%
USC-SI_kJalpha,239429,308263.0,356522,70484.0,117093,-46609.0,-39.8%
IBF-TimeSeries,239429,307945.0,356522,70166.0,117093,-46927.0,-40.1%
JCB-PRM,239429,307783.4,356522,70004.4,117093,-47088.6,-40.2%
Columbia_UNC-SurvCon,239429,402617.0,356522,164838.0,117093,47745.0,40.8%
UCLA-SuEIR,239429,294649.8,356522,56870.8,117093,-60222.2,-51.4%
Baseline,239429,289345.4,356522,51566.4,117093,-65526.6,-56.0%
COVIDhub-baseline,239429,289233.9,356522,51454.9,117093,-65638.1,-56.1%
IowaStateLW-STEM,239429,285322.0,356522,47543.0,117093,-69550.0,-59.4%
WalmartLabsML-LogForecasting,239429,262527.4,356522,24748.4,117093,-92344.6,-78.9%
