,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,4872,4372.6,5265.4,4394.7,4389.0,3587.0,,4141.0,4576.6,3869.0,,3546.3,5037.1,3655.7,-499.4,393.4,-477.3,-483.0,-1285.0,,-731.0,-295.4,-1003.0,,-1325.7,165.1,-1216.3,True,True,True,False,,False,True,False,,False,True,False
Alaska,215,194.0,230.8,196.0,282.0,155.0,,,202.9,202.1,,145.2,278.6,120.4,-21.0,15.8,-19.0,67.0,-60.0,,,-12.1,-12.9,,-69.8,63.6,-94.6,True,True,False,False,,,True,True,,False,False,False
Arizona,9061,7248.3,7184.7,7370.7,13779.0,6477.0,,7175.0,8677.2,8764.5,,6947.9,9353.7,6790.2,-1812.7,-1876.3,-1690.3,4718.0,-2584.0,,-1886.0,-383.8,-296.5,,-2113.1,292.7,-2270.8,False,True,False,False,,False,True,True,,False,True,False
Arkansas,3729,2855.0,2663.3,2796.4,5585.0,3091.0,,3160.0,3569.4,4438.4,,2539.3,2891.7,2529.0,-874.0,-1065.7,-932.6,1856.0,-638.0,,-569.0,-159.6,709.4,,-1189.7,-837.3,-1200.0,False,False,False,True,,True,True,True,,False,True,False
California,26551,20243.7,21937.5,20300.7,25245.0,18903.0,,20080.0,22135.9,23645.1,,20169.8,29277.3,20001.6,-6304.3,-4610.5,-6247.3,-1303.0,-7645.0,,-6468.0,-4412.1,-2902.9,,-6378.2,2729.3,-6546.4,True,True,True,False,,False,True,True,,False,True,False
Colorado,4912,3588.3,4652.8,3476.9,12418.0,9869.0,,3518.0,4409.0,5038.0,,3124.1,7980.8,2770.8,-1323.7,-259.2,-1435.1,7506.0,4957.0,,-1394.0,-503.0,126.0,,-1787.9,3068.8,-2141.2,True,False,False,False,,False,True,True,,False,False,False
Connecticut,6099,5189.6,5300.5,5231.4,8252.0,6166.0,,5137.0,5715.5,6703.2,,4984.1,8746.7,4815.2,-909.4,-798.5,-867.6,2153.0,67.0,,-962.0,-383.5,604.2,,-1114.9,2647.7,-1283.8,True,True,False,True,,False,True,True,,False,False,False
Delaware,1072,859.4,904.9,882.3,1555.0,833.0,,848.0,1008.6,1044.9,,754.0,1380.4,788.0,-179.6,-134.1,-156.7,516.0,-206.0,,-191.0,-30.4,5.9,,-285.0,341.4,-251.0,True,True,False,False,,False,True,True,,False,False,False
District of Columbia,792,701.1,704.0,693.7,868.0,708.0,,675.0,738.9,792.7,,667.9,1036.4,674.3,-90.9,-88.0,-98.3,76.0,-84.0,,-117.0,-53.1,0.7,,-124.1,244.4,-117.7,True,False,True,True,,False,True,True,,False,False,False
Florida,21890,20240.3,22148.3,20206.5,21366.0,19091.0,,20005.0,22096.1,20110.8,,19992.9,23052.8,19402.8,-1649.7,258.3,-1683.5,-524.0,-2799.0,,-1885.0,206.1,-1779.2,,-1897.1,1162.8,-2487.2,True,False,True,False,,False,True,False,,False,True,False
Georgia,10960,11075.9,9577.0,11118.0,30421.0,10122.0,,10754.0,13140.8,11982.9,,9996.1,10711.7,9831.3,115.9,-1383.0,158.0,19461.0,-838.0,,-206.0,2180.8,1022.9,,-963.9,-248.3,-1128.7,False,False,False,False,,False,False,False,,False,False,False
Hawaii,289,228.9,228.2,243.7,,272.0,,,264.5,246.4,,253.5,246.6,247.8,-60.1,-60.8,-45.3,,-17.0,,,-24.5,-42.6,,-35.5,-42.4,-41.2,False,True,,True,,,True,True,,True,True,True
Idaho,1448,1259.6,1532.4,1291.0,1892.0,983.0,,1358.0,1756.8,1331.1,,1165.1,1243.8,908.2,-188.4,84.4,-157.0,444.0,-465.0,,-90.0,308.8,-116.9,,-282.9,-204.2,-539.8,True,True,False,False,,True,False,True,,False,False,False
Illinois,18217,15440.9,19542.9,15291.3,38896.0,18794.0,,15352.0,18132.1,24168.3,,12217.5,25517.0,12343.4,-2776.1,1325.9,-2925.7,20679.0,577.0,,-2865.0,-84.9,5951.3,,-5999.5,7300.0,-5873.6,True,False,False,True,,False,True,False,,False,False,False
Indiana,9562,6836.9,8274.9,6960.3,15875.0,13733.0,,7241.0,9710.1,11543.6,,6276.9,13599.3,5217.3,-2375.1,-937.1,-2251.7,6663.0,4521.0,,-1971.0,498.1,2331.6,,-2935.1,4387.3,-3994.7,True,True,False,False,,True,True,True,,False,False,False
Iowa,3946,2976.4,4348.7,2985.7,39407.0,4849.0,,3128.0,3958.5,7109.1,,2814.5,3958.9,2294.6,-969.6,402.7,-960.3,35461.0,903.0,,-818.0,12.5,3163.1,,-1131.5,12.9,-1651.4,True,True,False,True,,True,True,False,,False,True,False
Kansas,2872,1766.9,2386.0,1786.1,6799.0,1720.0,,1909.0,2343.2,2686.9,,1745.5,1907.7,1422.1,-1033.1,-414.0,-1013.9,3999.0,-1080.0,,-891.0,-456.8,-113.1,,-1054.5,-892.3,-1377.9,True,True,False,False,,True,True,True,,False,True,False
Kentucky,2698,2319.3,2999.6,2336.8,3066.0,2344.0,,2328.0,2849.6,2523.5,,2471.0,3616.1,1913.3,-378.7,301.6,-361.2,368.0,-354.0,,-370.0,151.6,-174.5,,-227.0,918.1,-784.7,True,True,True,True,,True,True,True,,True,False,False
Louisiana,7488,6703.9,7272.3,6858.9,8316.0,6338.0,,6689.0,7083.8,9525.5,,7080.3,7624.9,6343.6,-773.1,-204.7,-618.1,839.0,-1139.0,,-788.0,-393.2,2048.5,,-396.7,147.9,-1133.4,True,True,False,False,,False,True,False,,True,True,False
Maine,358,254.1,335.6,247.0,3939.0,742.0,,227.0,222.7,1035.6,,232.2,446.4,177.2,-103.9,-22.4,-111.0,3581.0,384.0,,-131.0,-135.3,677.6,,-125.8,88.4,-180.8,True,False,False,False,,False,False,False,,False,True,False
Maryland,5967,4919.1,5935.1,4938.8,8579.0,5073.0,,4740.0,5372.3,6184.8,,4849.8,7806.0,4530.2,-1047.9,-31.9,-1028.2,2612.0,-894.0,,-1227.0,-594.7,217.8,,-1117.2,1839.0,-1436.8,True,True,False,True,,False,True,True,,False,False,False
Massachusetts,12502,11563.3,11974.3,11469.2,19467.0,12123.0,,11778.0,12889.5,16397.6,,10974.9,19931.9,10770.4,-938.7,-527.7,-1032.8,6965.0,-379.0,,-724.0,387.5,3895.6,,-1527.1,7429.9,-1731.6,True,False,False,True,,True,True,False,,False,False,False
Michigan,13306,11331.4,15229.1,11392.4,29241.0,18699.0,,11257.0,13609.7,17170.5,,10571.7,21934.6,8777.8,-1974.6,1923.1,-1913.6,15935.0,5393.0,,-2049.0,303.7,3864.5,,-2734.3,8628.6,-4528.2,True,True,False,False,,False,True,False,,False,False,False
Minnesota,5436,4682.1,7815.5,4686.9,34687.0,7262.0,,5214.0,6140.2,10252.5,,4334.0,9230.8,3275.8,-753.9,2379.5,-749.1,29251.0,1826.0,,-222.0,704.2,4816.5,,-1102.0,3794.8,-2160.2,False,True,False,False,,True,True,False,,False,False,False
Mississippi,4840,4228.7,4411.6,4289.7,4487.0,3864.0,,4357.0,4665.0,4557.9,,4270.6,5061.2,3916.0,-611.3,-428.4,-550.3,-353.0,-976.0,,-483.0,-175.0,-282.1,,-569.4,221.2,-924.0,True,True,True,False,,True,True,True,,True,True,False
Missouri,5751,4909.3,6866.8,4963.1,15316.0,4719.0,,5033.0,6186.7,7675.9,,3885.2,6190.6,3711.2,-819.7,1137.8,-765.9,9587.0,-1010.0,,-696.0,457.7,1946.9,,-1843.8,461.6,-2017.8,False,True,False,False,,True,True,False,,False,True,False
Montana,971,958.9,930.5,997.0,1123.0,1089.0,,1165.0,1493.0,1005.0,,711.0,1194.4,699.8,-12.1,-40.5,26.0,152.0,118.0,,194.0,522.0,34.0,,-260.0,223.4,-271.2,False,False,False,False,,False,False,False,,False,False,False
Nebraska,1669,1300.1,2390.1,1310.9,5034.0,1604.0,,1486.0,1935.5,1896.7,,892.2,1475.8,917.4,-368.9,721.1,-358.1,3365.0,-65.0,,-183.0,266.5,227.7,,-776.8,-193.2,-751.6,False,True,False,True,,True,True,True,,False,True,False
Nevada,3148,2306.7,2510.7,2314.0,3454.0,2130.0,,2283.0,2597.6,2824.5,,2320.8,3074.5,2109.4,-841.3,-637.3,-834.0,306.0,-1018.0,,-865.0,-550.4,-323.5,,-827.2,-73.5,-1038.6,True,True,True,False,,False,True,True,,True,True,False
New Hampshire,769,567.6,828.9,570.6,1156.0,693.0,,637.0,649.3,1137.5,,562.7,1865.9,519.1,-201.4,59.9,-198.4,387.0,-76.0,,-132.0,-119.7,368.5,,-206.3,1096.9,-249.9,True,True,False,True,,True,True,False,,False,False,False
New Jersey,19187,17505.4,18149.1,17576.4,21797.0,18567.0,,17333.0,18092.8,20423.8,,17282.4,31735.7,16718.4,-1681.6,-1037.9,-1610.6,2610.0,-620.0,,-1854.0,-1094.2,1236.8,,-1904.6,12548.7,-2468.6,True,True,False,True,,False,True,True,,False,False,False
New Mexico,2534,1880.1,2049.0,1936.1,3181.0,1464.0,,1933.0,2870.6,3219.9,,1643.7,2637.2,1375.9,-653.9,-485.0,-597.9,647.0,-1070.0,,-601.0,336.6,685.9,,-890.3,103.2,-1158.1,True,True,True,False,,True,True,False,,False,True,False
New York,38273,34916.6,35003.6,35460.8,46046.0,35502.0,,35247.0,35627.6,48271.0,,34391.7,52771.8,33939.3,-3356.4,-3269.4,-2812.2,7773.0,-2771.0,,-3026.0,-2645.4,9998.0,,-3881.3,14498.8,-4333.7,True,True,False,True,,True,True,False,,False,False,False
North Carolina,6892,6170.6,5678.2,5812.5,5999.0,5887.0,,5949.0,6872.4,6304.0,,5826.7,6977.0,5474.8,-721.4,-1213.8,-1079.5,-893.0,-1005.0,,-943.0,-19.6,-588.0,,-1065.3,85.0,-1417.2,False,False,False,False,,False,True,True,,False,True,False
North Dakota,1317,1401.1,1358.9,1411.9,2349.0,1371.0,,1642.0,2048.8,1163.2,,1027.0,1265.1,981.1,84.1,41.9,94.9,1032.0,54.0,,325.0,731.8,-153.8,,-290.0,-51.9,-335.9,True,False,False,True,,False,False,False,,False,True,False
Ohio,13722,7127.7,8815.9,7173.3,15788.0,6836.0,,7894.0,8439.4,13871.3,,6544.5,18227.2,6305.0,-6110.3,-4422.1,-6064.7,2550.0,-6402.0,,-5344.0,-4798.6,633.3,,-6693.5,4989.2,-6933.0,True,True,True,False,,True,True,True,,False,True,False
Oklahoma,2527,2145.1,2653.7,2124.9,5857.0,2120.0,,2315.0,2825.7,3839.9,,1934.3,3359.8,1781.8,-381.9,126.7,-402.1,3330.0,-407.0,,-212.0,298.7,1312.9,,-592.7,832.8,-745.2,True,False,False,False,,True,True,False,,False,False,False
Oregon,1492,973.6,1135.5,968.8,3957.0,993.0,,1057.0,1393.0,2251.9,,897.9,1699.3,866.4,-518.4,-356.5,-523.2,2465.0,-499.0,,-435.0,-99.0,759.9,,-594.1,207.3,-625.6,True,False,False,True,,True,True,False,,False,True,False
Pennsylvania,16179,11244.3,14058.3,11009.7,19774.0,13015.0,,11032.0,12802.1,20437.6,,10611.9,22410.4,9900.3,-4934.7,-2120.7,-5169.3,3595.0,-3164.0,,-5147.0,-3376.9,4258.6,,-5567.1,6231.4,-6278.7,True,False,True,True,,False,True,True,,False,False,False
Rhode Island,1957,1459.7,1530.9,1474.1,1780.0,1706.0,,1466.0,1720.2,1949.0,,1388.7,1972.9,1294.0,-460.3,-389.1,-445.9,-140.0,-214.0,,-454.0,-199.8,29.0,,-531.3,52.9,-626.0,True,True,True,True,,True,True,True,,False,True,False
South Carolina,5385,4633.1,4644.3,4776.2,5849.0,4544.0,,4646.5,4980.9,4879.3,,4792.0,5912.4,4556.4,-751.9,-740.7,-608.8,464.0,-841.0,,-738.5,-404.1,-505.7,,-593.0,527.4,-828.6,True,True,True,False,,True,True,True,,True,True,False
South Dakota,1501,1384.6,1396.6,1307.0,1697.0,1119.0,,1458.0,1932.1,1296.7,,734.5,1229.5,858.5,-116.4,-104.4,-194.0,196.0,-382.0,,-43.0,431.1,-204.3,,-766.5,-271.5,-642.5,True,False,False,False,,True,False,False,,False,False,False
Tennessee,6970,5936.4,7965.7,5885.9,7705.0,5087.0,,6141.0,7097.8,7470.0,,5444.3,5915.9,4530.5,-1033.6,995.7,-1084.1,735.0,-1883.0,,-829.0,127.8,500.0,,-1525.7,-1054.1,-2439.5,True,False,True,False,,True,True,True,,False,False,False
Texas,28442,25583.6,28272.0,25317.7,40153.0,22126.0,,24405.0,28440.9,32301.6,,24209.6,27990.6,22335.2,-2480.4,208.0,-2746.3,12089.0,-5938.0,,-3659.0,376.9,4237.6,,-3854.4,-73.4,-5728.8,True,False,False,False,,False,True,False,,False,True,False
Utah,1294,1122.6,1778.9,1074.1,3230.0,882.0,,1325.0,1465.8,983.1,,1077.7,1463.2,643.7,-171.4,484.9,-219.9,1936.0,-412.0,,31.0,171.8,-310.9,,-216.3,169.2,-650.3,False,False,False,False,,True,False,False,,False,True,False
Vermont,139,59.0,78.2,62.6,127.0,71.0,,65.0,59.0,155.6,,59.7,471.8,59.6,-80.0,-60.8,-76.4,-12.0,-68.0,,-74.0,-80.0,16.6,,-79.3,332.8,-79.4,True,True,True,True,,True,False,True,,True,False,True
Virginia,5117,4437.7,5782.7,4469.3,4699.0,4282.0,,4510.0,4347.5,4770.9,,4388.1,5040.7,4194.0,-679.3,665.7,-647.7,-418.0,-835.0,,-607.0,-769.5,-346.1,,-728.9,-76.3,-923.0,True,True,True,False,,True,False,True,,False,True,False
Washington,3461,3067.6,3803.6,3078.2,9651.0,2794.0,,3091.0,3673.2,5181.5,,3067.9,6049.7,2756.0,-407.4,328.6,-396.8,6176.0,-681.0,,-384.0,198.2,1706.5,,-407.1,2574.7,-719.0,True,True,False,False,,True,True,False,,True,False,False
West Virginia,1373,1116.9,1585.2,1070.9,3722.0,887.0,,1182.0,1287.7,2229.8,,972.0,1557.8,705.0,-256.1,212.2,-302.1,2349.0,-486.0,,-191.0,-85.3,856.8,,-401.0,184.8,-668.0,True,False,False,False,,True,True,False,,False,True,False
Wisconsin,5256,3992.1,3877.8,4076.5,5389.0,4383.0,,4348.0,6354.8,5589.9,,3974.1,5925.5,3332.0,-1263.9,-1378.2,-1179.5,133.0,-873.0,,-908.0,1098.8,333.9,,-1281.9,669.5,-1924.0,False,True,True,True,,True,True,True,,False,True,False
Wyoming,438,349.7,483.9,354.0,1811.0,337.0,,336.0,524.3,753.1,,217.2,350.3,203.4,-88.3,45.9,-84.0,1373.0,-101.0,,-102.0,86.3,315.1,,-220.8,-87.7,-234.6,True,True,False,False,,False,True,False,,False,True,False
US,356522,299144.1,333850.4,298613.2,390560.0,321061.0,318954.0,301114.0,342629.8,407677.0,349669.1,306133.9,440637.5,269767.8,-55999.9,-21293.6,-56530.8,35416.0,-34083.0,-36190.0,-54030.0,-12514.2,52533.0,-5474.9,-49010.1,85493.5,-85376.2,True,False,True,True,True,True,True,True,True,True,False,False
