,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,4872,3956.1,5003.3,4001.9,4867.0,4546.4,,3892.0,4096.5,3775.9,,3665.1,3930.0,3494.3,-915.9,131.3,-870.1,-5.0,-325.6,,-980.0,-775.5,-1096.1,,-1206.9,-942.0,-1377.7,True,True,True,True,,False,True,False,,False,False,False
Alaska,215,91.9,111.8,103.0,433.0,264.6,,,111.2,299.0,,131.0,118.0,101.7,-123.1,-103.2,-112.0,218.0,49.6,,,-103.8,84.0,,-84.0,-97.0,-113.3,True,True,False,True,,,True,True,,True,True,True
Arizona,9061,7617.6,9451.4,7492.0,11899.0,7129.9,,6950.0,7411.7,6892.9,,7258.6,8947.0,6696.1,-1443.4,390.4,-1569.0,2838.0,-1931.1,,-2111.0,-1649.3,-2168.1,,-1802.4,-114.0,-2364.9,True,False,False,False,,False,False,False,,False,True,False
Arkansas,3729,3082.9,3355.2,3212.9,5021.0,3459.0,,3220.0,3391.2,3081.8,,2842.4,3219.0,2469.0,-646.1,-373.8,-516.1,1292.0,-270.0,,-509.0,-337.8,-647.2,,-886.6,-510.0,-1260.0,True,True,False,True,,True,True,False,,False,True,False
California,26551,20345.9,21223.2,20375.7,22735.0,22028.6,,20221.0,20684.4,20816.7,,20162.1,21722.0,19945.1,-6201.1,-5323.8,-6171.3,-3812.0,-4518.4,,-6326.0,-5862.6,-5730.3,,-6384.9,-4825.0,-6601.9,True,True,True,True,,False,True,True,,False,True,False
Colorado,4912,3226.9,5388.9,3222.3,19604.0,4000.7,,3106.0,3589.3,3850.1,,2963.4,3809.0,2592.0,-1685.1,476.9,-1689.7,14692.0,-911.3,,-1806.0,-1322.7,-1061.9,,-1948.6,-1103.0,-2320.0,True,False,False,True,,False,True,True,,False,True,False
Connecticut,6099,5103.1,5288.6,5175.8,9916.0,5790.7,,5055.0,5461.8,5645.2,,4922.7,5349.0,4692.2,-995.9,-810.4,-923.2,3817.0,-308.3,,-1044.0,-637.2,-453.8,,-1176.3,-750.0,-1406.8,True,True,False,True,,False,True,True,,False,True,False
Delaware,930,780.9,771.9,803.2,1282.0,940.4,,830.0,887.9,880.2,,736.9,881.0,773.9,-149.1,-158.1,-126.8,352.0,10.4,,-100.0,-42.1,-49.8,,-193.1,-49.0,-156.1,False,True,False,True,,True,True,True,,False,True,False
District of Columbia,792,716.9,1133.5,722.7,740.0,685.9,,669.0,687.4,708.1,,702.6,732.0,670.4,-75.1,341.5,-69.3,-52.0,-106.1,,-123.0,-104.6,-83.9,,-89.4,-60.0,-121.6,False,True,True,False,,False,False,False,,False,True,False
Florida,21890,19729.6,20065.9,19810.3,27237.0,23576.6,,20036.0,22029.7,20442.7,,19530.3,20315.0,19201.8,-2160.4,-1824.1,-2079.7,5347.0,1686.6,,-1854.0,139.7,-1447.3,,-2359.7,-1575.0,-2688.2,True,True,False,True,,True,True,True,,False,True,False
