,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4872,3920.7,4614.9,3683.0,,3642.5,-951.3,-257.1,-1189.0,,-1229.5,True,False,,False
Alaska,215,215.9,246.6,,,133.0,0.9,31.6,,,-82.0,False,,,False
Arizona,9061,6909.0,6965.2,6383.0,,7089.8,-2152.0,-2095.8,-2678.0,,-1971.2,True,False,,True
Arkansas,3729,3251.1,3346.2,3178.0,,2722.9,-477.9,-382.8,-551.0,,-1006.1,True,False,,False
California,26542,20443.3,21945.9,20020.0,,19979.4,-6098.7,-4596.1,-6522.0,,-6562.6,True,False,,False
Colorado,4912,2863.7,3856.1,2782.0,,2720.1,-2048.3,-1055.9,-2130.0,,-2191.9,True,False,,False
Connecticut,6099,4961.4,5485.5,4816.0,,4772.7,-1137.6,-613.5,-1283.0,,-1326.3,True,False,,False
Delaware,930,966.9,831.5,801.0,,731.8,36.9,-98.5,-129.0,,-198.2,False,False,,False
District of Columbia,792,681.4,713.2,667.0,,659.6,-110.6,-78.8,-125.0,,-132.4,True,False,,False
Florida,21890,19977.6,23627.3,19876.0,,18688.2,-1912.4,1737.3,-2014.0,,-3201.8,True,False,,False
Georgia,10960,9504.4,10382.4,9718.0,,9304.1,-1455.6,-577.6,-1242.0,,-1655.9,True,True,,False
Hawaii,289,281.0,402.9,,,240.8,-8.0,113.9,,,-48.2,False,,,False
Idaho,1448,1134.9,1178.0,1057.0,,1003.5,-313.1,-270.0,-391.0,,-444.5,True,False,,False
Illinois,18214,12732.1,17359.3,12376.0,,11192.0,-5481.9,-854.7,-5838.0,,-7022.0,True,False,,False
Indiana,8410,6436.6,8095.7,6092.0,,5410.7,-1973.4,-314.3,-2318.0,,-2999.3,True,False,,False
Iowa,3946,2601.0,3295.5,2578.0,,2146.0,-1345.0,-650.5,-1368.0,,-1800.0,True,False,,False
Kansas,2872,1636.1,2598.8,1754.0,,1353.0,-1231.9,-269.2,-1114.0,,-1515.0,True,True,,False
Kentucky,2698,2215.3,2748.4,2348.0,,2154.1,-482.7,50.4,-350.0,,-543.9,True,True,,False
Louisiana,7488,6714.3,6822.0,6656.0,,7053.9,-773.7,-666.0,-832.0,,-434.1,True,False,,True
Maine,358,155.9,170.2,220.0,,154.1,-202.1,-187.8,-138.0,,-203.9,True,True,,False
