,count,mean,median,std,min,25%,75%,max
UMass-MechBayes,51,242.9,113.0,365.8,7.0,36.0,382.5,2345.0
GT-DeepCOVID,50,253.8,143.2,422.9,3.8,38.3,305.4,2151.8
LNQ-ens1,51,258.9,155.7,338.1,1.3,55.9,292.2,1994.0
COVIDhub-ensemble,51,265.4,100.0,502.1,4.0,31.0,256.5,2758.0
Caltech-CS156,51,273.0,136.4,404.6,4.6,54.7,328.7,2117.1
epiforecasts-ensemble1,50,273.7,96.0,478.9,5.0,33.5,294.5,2416.0
MSRA-DeepST,50,292.5,126.3,465.1,6.0,49.9,338.3,2693.0
Karlen-pypm,51,292.5,133.1,443.7,0.5,33.8,320.4,2209.2
Microsoft-DeepSTIA,50,295.1,126.3,462.4,4.5,54.6,337.0,2663.0
USC-SI_kJalpha,51,296.8,186.0,408.4,4.0,61.0,353.0,2276.0
LANL-GrowthRate,51,318.2,159.0,392.8,4.0,89.0,428.2,1942.0
JHUAPL-Bucky,51,324.5,112.6,505.0,3.7,42.9,402.1,2606.7
JCB-PRM,51,327.3,146.0,521.0,3.7,46.5,334.9,2798.3
SteveMcConnell-CovidComplete,51,329.1,154.0,518.8,2.0,36.5,274.5,2265.0
MIT_CritData-GBCF,51,329.2,159.0,477.9,4.0,57.5,411.5,2678.0
OliverWyman-Navigator,51,338.7,113.5,551.1,0.3,36.7,376.0,2532.0
JHU_CSSE-DECOM,51,339.5,205.0,509.0,10.0,84.5,341.0,3036.0
CU-select,51,354.5,237.0,432.9,3.0,57.0,519.5,2364.0
UA-EpiCovDA,51,355.3,156.0,613.8,5.0,88.0,387.5,3518.0
Covid19Sim-Simulator,51,355.8,184.3,533.8,0.8,68.4,459.0,3117.5
MOBS-GLEAM_COVID,50,358.3,165.0,522.6,6.9,69.5,447.7,3091.5
Google_Harvard-CPF,51,360.3,134.4,548.9,3.7,50.1,388.8,2773.4
UCLA-SuEIR,51,360.4,191.0,587.1,4.9,81.1,356.8,3498.3
Baseline,51,364.7,194.4,649.9,2.4,38.6,352.6,3615.0
CEID-Walk,51,370.5,159.5,627.5,4.3,53.5,393.4,3429.7
COVIDhub-baseline,51,373.1,188.3,643.7,12.0,58.6,386.5,3653.3
UCSD_NEU-DeepGLEAM,50,379.4,197.6,509.2,2.6,99.9,452.3,2995.1
IowaStateLW-STEM,49,382.3,229.0,606.0,4.0,54.2,410.0,3366.0
CMU-TimeSeries,51,383.4,253.0,408.3,0.0,82.5,577.0,1720.0
IHME-CurveFit,51,405.6,211.1,468.0,14.1,139.2,547.1,2747.6
DDS-NBDS,51,418.5,152.5,764.5,2.7,48.3,371.6,4272.9
CovidAnalytics-DELPHI,51,421.9,170.0,750.7,1.0,58.0,546.0,4830.0
BPagano-RtDriven,51,422.0,244.1,438.6,3.3,105.9,551.2,1728.3
Wadhwani_AI-BayesOpt,45,459.6,301.1,572.5,8.2,97.4,609.9,2774.8
UCSB-ACTS,51,467.7,213.4,732.0,6.0,104.2,509.5,4059.5
JHU_IDD-CovidSP,51,506.9,303.3,550.9,5.3,106.2,689.8,2098.2
UT-Mobility,51,518.4,239.0,759.0,3.5,111.8,572.8,4404.0
TTU-squider,51,581.0,247.1,1248.1,7.0,71.9,693.9,8672.4
PSI-DRAFT,51,648.9,254.0,1146.2,5.0,63.5,670.0,6571.5
RobertWalraven-ESG,50,656.6,371.0,829.8,2.4,125.9,818.8,3938.5
NotreDame-mobility,51,662.2,323.1,979.3,13.6,119.9,667.6,5194.3
Columbia_UNC-SurvCon,51,755.8,397.0,870.5,11.0,139.5,976.5,3301.0
WalmartLabsML-LogForecasting,51,1082.8,641.9,1226.1,4.9,309.6,1281.4,5487.4
