,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,4872,4922.0,5002.9,4808.5,4979.1,4863.0,4963.1,4987.0,5002.0,4997.0,5077.0,4834.5,5050.0,4972.4,4890.3,5011.5,,5337.0,4950.0,5212.9,5050.5,4971.0,5027.8,5263.1,4914.0,4970.5,5068.0,5116.3,5065.4,5165.2,4992.0,,4793.3,4981.2,5062.0,5302.5,4885.0,4942.3,,4951.6,5134.8,5010.6,4963.0,4874.8,5151.0,4818.0,4869.7,4601.1,4969.8,50.0,130.9,-63.5,107.1,-9.0,91.1,115.0,130.0,125.0,205.0,-37.5,178.0,100.4,18.3,139.5,,465.0,78.0,340.9,178.5,99.0,155.8,391.1,42.0,98.5,196.0,244.3,193.4,293.2,120.0,,-78.7,109.2,190.0,430.5,13.0,70.3,,79.6,262.8,138.6,91.0,2.8,279.0,-54.0,-2.3,-270.9,97.8,False,False,False,True,False,False,False,False,False,True,False,False,True,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,True,False,,False,False,False,False,True,False,False,True,False,False
Alaska,215,198.9,193.4,242.4,211.5,237.0,200.0,222.0,238.0,216.9,239.0,236.6,223.0,211.0,210.5,238.6,,255.1,,214.5,226.6,253.0,267.2,231.5,207.0,210.1,290.0,205.0,236.6,211.8,234.0,,,203.2,222.0,233.6,228.0,203.5,,250.2,217.8,236.5,217.0,205.0,215.0,213.0,282.9,202.1,227.5,-16.1,-21.6,27.4,-3.5,22.0,-15.0,7.0,23.0,1.9,24.0,21.6,8.0,-4.0,-4.5,23.6,,40.1,,-0.5,11.6,38.0,52.2,16.5,-8.0,-4.9,75.0,-10.0,21.6,-3.2,19.0,,,-11.8,7.0,18.6,13.0,-11.5,,35.2,2.8,21.5,2.0,-10.0,0.0,-2.0,67.9,-12.9,12.5,False,False,True,False,True,True,False,True,False,False,True,True,True,False,,False,,True,True,False,False,False,True,True,False,True,False,True,False,,,True,True,False,True,True,,False,True,False,True,True,True,True,False,True,True
Arizona,9061,9111.3,9461.6,9594.4,9184.3,9152.0,9166.9,9174.0,9033.0,9121.2,9138.0,8399.6,8927.0,9225.9,9306.9,9123.3,,8900.6,9237.0,9242.8,8991.9,9098.0,9487.2,9176.6,9862.5,9152.1,9304.0,9147.9,9366.7,9193.6,8996.5,,8708.3,9653.0,9232.0,10179.2,9178.0,9130.6,,8716.9,9199.9,9181.8,9069.0,9265.1,9460.0,9548.0,8830.1,8183.0,9175.1,50.3,400.6,533.4,123.3,91.0,105.9,113.0,-28.0,60.2,77.0,-661.4,-134.0,164.9,245.9,62.3,,-160.4,176.0,181.8,-69.1,37.0,426.2,115.6,801.5,91.1,243.0,86.9,305.7,132.6,-64.5,,-352.7,592.0,171.0,1118.2,117.0,69.6,,-344.1,138.9,120.8,8.0,204.1,399.0,487.0,-230.9,-878.0,114.1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False
Arkansas,3729,3779.3,3681.0,3965.8,3723.6,3784.0,3751.0,3771.0,3542.0,3725.0,3820.0,3428.8,3647.0,3686.8,3686.3,3811.5,,3300.6,3822.0,3812.6,3749.7,3740.0,3687.1,3806.5,3979.0,3822.9,3725.0,3753.9,3895.5,3800.8,3734.0,,3754.4,3845.9,3762.0,3729.0,3748.0,3706.1,,3526.6,3779.9,3685.8,3796.0,3747.7,3830.0,3893.0,4242.4,3406.4,3631.6,50.3,-48.0,236.8,-5.4,55.0,22.0,42.0,-187.0,-4.0,91.0,-300.2,-82.0,-42.2,-42.7,82.5,,-428.4,93.0,83.6,20.7,11.0,-41.9,77.5,250.0,93.9,-4.0,24.9,166.5,71.8,5.0,,25.4,116.9,33.0,0.0,19.0,-22.9,,-202.4,50.9,-43.2,67.0,18.7,101.0,164.0,513.4,-322.6,-97.4,True,False,True,False,True,True,False,True,False,False,False,True,True,False,,False,False,False,True,True,True,False,False,False,True,True,False,False,True,,True,False,True,True,True,True,,False,False,True,False,True,False,False,False,False,False
California,26551,25711.4,26501.2,27203.2,25925.7,26435.0,25830.0,26740.0,26009.0,26762.4,28433.0,24863.4,26830.0,25564.0,26674.0,27022.2,,26335.6,25920.0,27020.9,29145.0,25269.0,27531.5,27031.4,28488.0,27135.4,26788.0,26126.8,26793.1,27008.3,24639.0,,24596.1,26394.2,26841.0,29810.0,25719.0,25827.0,26890.0,26048.3,26221.8,26853.6,26740.0,26900.7,27348.0,27345.0,,23348.7,26271.8,-837.6,-47.8,654.2,-623.3,-114.0,-719.0,191.0,-540.0,213.4,1884.0,-1685.6,281.0,-985.0,125.0,473.2,,-213.4,-629.0,471.9,2596.0,-1280.0,982.5,482.4,1939.0,586.4,239.0,-422.2,244.1,459.3,-1910.0,,-1952.9,-154.8,292.0,3261.0,-830.0,-722.0,341.0,-500.7,-327.2,304.6,191.0,351.7,799.0,796.0,,-3200.3,-277.2,True,True,True,True,True,True,True,True,False,False,True,False,True,True,,True,True,True,False,False,False,True,False,True,True,True,True,True,False,,False,True,True,False,True,True,True,True,True,True,True,True,True,True,,False,True
Colorado,4912,5129.4,5060.5,5483.0,5195.4,5160.0,5275.0,5172.0,4820.0,5141.8,5236.0,4942.1,4978.0,5193.2,4947.0,5281.1,,5059.4,5342.0,5228.2,4828.7,5461.0,5196.1,5112.4,5149.0,5216.0,5359.0,5244.9,5474.1,5158.1,5418.5,,5046.1,5294.7,5096.0,4546.3,4971.0,5096.2,,5285.5,5264.3,5093.1,4928.0,5350.8,5174.0,5371.0,6017.8,4529.3,4539.8,217.4,148.5,571.0,283.4,248.0,363.0,260.0,-92.0,229.8,324.0,30.1,66.0,281.2,35.0,369.1,,147.4,430.0,316.2,-83.3,549.0,284.1,200.4,237.0,304.0,447.0,332.9,562.1,246.1,506.5,,134.1,382.7,184.0,-365.7,59.0,184.2,,373.5,352.3,181.1,16.0,438.8,262.0,459.0,1105.8,-382.7,-372.2,True,False,False,False,False,False,True,False,False,True,True,False,True,False,,True,False,False,True,False,False,True,False,False,False,False,False,False,False,,True,False,True,False,True,True,,False,False,True,True,False,False,False,False,False,False
Connecticut,6099,5985.9,5928.7,6001.8,6011.2,6034.0,6017.0,6088.0,6035.0,6056.5,6186.0,6050.0,5933.0,6119.9,5991.8,6155.3,,6149.0,6119.0,6154.7,6207.1,6136.0,6232.1,6089.9,6033.0,5951.0,6161.0,6177.6,6192.8,5985.7,6098.0,,5947.6,5848.1,6135.0,6009.9,5735.0,5906.3,,6045.3,6190.7,5993.1,6034.0,6108.8,6132.0,5994.5,6158.1,5634.8,5999.9,-113.1,-170.3,-97.2,-87.8,-65.0,-82.0,-11.0,-64.0,-42.5,87.0,-49.0,-166.0,20.9,-107.2,56.3,,50.0,20.0,55.7,108.1,37.0,133.1,-9.1,-66.0,-148.0,62.0,78.6,93.8,-113.3,-1.0,,-151.4,-250.9,36.0,-89.1,-364.0,-192.7,,-53.7,91.7,-105.9,-65.0,9.8,33.0,-104.5,59.1,-464.2,-99.1,False,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,False,True,True,False,True,True,True,False,True,,False,False,True,True,False,False,,True,True,True,True,True,True,True,True,False,True
Delaware,930,947.4,938.5,973.4,944.8,944.0,944.0,948.0,939.0,943.4,943.0,884.5,943.0,953.9,939.6,966.2,,912.6,973.0,941.6,929.2,958.0,999.9,966.6,929.0,935.0,973.0,950.4,967.8,945.1,906.0,,,950.6,948.0,1028.9,939.0,942.3,,940.5,974.7,952.6,948.0,904.6,965.0,953.0,911.6,879.6,945.4,17.4,8.5,43.4,14.8,14.0,14.0,18.0,9.0,13.4,13.0,-45.5,13.0,23.9,9.6,36.2,,-17.4,43.0,11.6,-0.8,28.0,69.9,36.6,-1.0,5.0,43.0,20.4,37.8,15.1,-24.0,,,20.6,18.0,98.9,9.0,12.3,,10.5,44.7,22.6,18.0,-25.4,35.0,23.0,-18.4,-50.4,15.4,True,False,True,True,True,False,True,True,True,False,True,False,True,False,,True,False,True,True,False,False,False,True,True,False,False,False,True,False,,,False,False,False,True,True,,True,False,False,False,False,False,False,False,False,True
District of Columbia,792,777.9,823.9,772.5,763.8,771.0,764.0,773.0,780.0,772.7,775.0,768.9,770.0,798.8,775.2,784.5,,765.0,763.0,775.4,772.3,769.0,805.4,781.7,774.0,773.4,784.0,,,772.7,752.0,,,775.1,777.0,802.6,784.0,756.5,,791.0,,765.1,778.0,,772.0,791.0,771.4,739.9,794.4,-14.1,31.9,-19.5,-28.2,-21.0,-28.0,-19.0,-12.0,-19.3,-17.0,-23.1,-22.0,6.8,-16.8,-7.5,,-27.0,-29.0,-16.6,-19.7,-23.0,13.4,-10.3,-18.0,-18.6,-8.0,,,-19.3,-40.0,,,-16.9,-15.0,10.6,-8.0,-35.5,,-1.0,,-26.9,-14.0,,-20.0,-1.0,-20.6,-52.1,2.4,False,False,False,False,False,False,True,False,False,False,False,True,False,True,,False,False,False,False,False,True,True,False,False,True,,,False,False,,,False,False,True,True,False,,True,,False,True,,False,True,False,False,True
Florida,21890,21871.7,21701.5,21899.6,21819.1,21970.0,21849.0,22115.0,21777.0,22111.0,22282.0,21903.6,21794.0,22287.5,21945.3,22360.0,,22425.9,21831.0,22156.4,22157.3,22336.0,24062.2,22234.6,21939.5,22143.5,22320.0,22273.8,22333.1,22105.0,22813.0,,21953.1,21749.2,22104.0,23920.4,22213.0,21742.6,,21715.6,22281.7,22160.9,22124.0,21514.7,22010.0,22365.0,,21183.4,22041.1,-18.3,-188.5,9.6,-70.9,80.0,-41.0,225.0,-113.0,221.0,392.0,13.6,-96.0,397.5,55.3,470.0,,535.9,-59.0,266.4,267.3,446.0,2172.2,344.6,49.5,253.5,430.0,383.8,443.1,215.0,923.0,,63.1,-140.8,214.0,2030.4,323.0,-147.4,,-174.4,391.7,270.9,234.0,-375.3,120.0,475.0,,-706.6,151.1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,,False,False
Georgia,10960,10953.1,11088.5,11063.9,11047.8,11083.0,10993.4,11201.0,11351.0,11193.2,11972.0,10674.8,11217.0,11057.3,11137.8,11316.3,,11727.2,11282.0,11257.4,11632.5,11132.0,11010.6,11183.7,10971.0,11101.5,11284.0,11268.6,11264.1,11335.1,10640.0,,11070.1,10853.4,11256.0,12144.9,11202.0,11011.1,,11132.5,11278.6,11200.9,11255.0,11005.3,11211.0,10825.0,,10422.9,10595.1,-6.9,128.5,103.9,87.8,123.0,33.4,241.0,391.0,233.2,1012.0,-285.2,257.0,97.3,177.8,356.3,,767.2,322.0,297.4,672.5,172.0,50.6,223.7,11.0,141.5,324.0,308.6,304.1,375.1,-320.0,,110.1,-106.6,296.0,1184.9,242.0,51.1,,172.5,318.6,240.9,295.0,45.3,251.0,-135.0,,-537.1,-364.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,,False,False
Hawaii,289,296.9,312.6,293.0,299.2,314.0,301.0,307.0,322.0,309.0,327.0,295.9,297.0,298.3,,305.5,,312.6,,309.4,315.0,310.0,364.0,310.0,300.0,296.9,329.0,309.9,305.1,298.5,309.0,,,294.3,308.0,304.5,304.0,299.0,,304.2,330.6,302.1,304.0,294.8,306.0,309.0,317.5,293.0,312.7,7.9,23.6,4.0,10.2,25.0,12.0,18.0,33.0,20.0,38.0,6.9,8.0,9.3,,16.5,,23.6,,20.4,26.0,21.0,75.0,21.0,11.0,7.9,40.0,20.9,16.1,9.5,20.0,,,5.3,19.0,15.5,15.0,10.0,,15.2,41.6,13.1,15.0,5.8,17.0,20.0,28.5,4.0,23.7,False,True,False,False,False,False,False,False,False,True,False,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,,,True,False,False,False,False,,False,False,False,False,True,False,False,False,True,False
Idaho,1448,1475.0,1424.7,1514.0,1496.3,1558.0,1487.0,1513.0,1592.0,1474.6,1542.0,1435.9,1474.0,1494.6,1464.8,1550.6,,1633.7,1583.0,1551.0,1481.3,1592.0,1542.8,1524.4,1465.0,1510.7,1553.0,1531.4,1562.2,1456.3,1512.0,,,1438.8,1540.0,1398.4,1438.0,1436.7,,1544.9,1552.2,1507.7,1447.0,1500.2,1518.0,1476.5,1668.2,1379.5,1481.4,27.0,-23.3,66.0,48.3,110.0,39.0,65.0,144.0,26.6,94.0,-12.1,26.0,46.6,16.8,102.6,,185.7,135.0,103.0,33.3,144.0,94.8,76.4,17.0,62.7,105.0,83.4,114.2,8.3,64.0,,,-9.2,92.0,-49.6,-10.0,-11.3,,96.9,104.2,59.7,-1.0,52.2,70.0,28.5,220.2,-68.5,33.4,True,False,False,False,False,False,False,True,False,True,True,False,True,False,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,,,True,False,False,True,True,,False,False,False,True,False,False,False,False,False,False
