,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,4872,4681.1,4723.3,4991.0,4362.1,4512.0,,4833.4,5028.0,5262.0,4802.6,4337.0,4739.0,,3468.6,4821.0,,4423.8,4793.9,3862.9,-190.9,-148.7,119.0,-509.9,-360.0,,-38.6,156.0,390.0,-69.4,-535.0,-133.0,,-1403.4,-51.0,,-448.2,-78.1,-1009.1,True,True,False,False,,True,True,False,True,False,True,,False,True,,False,True,False
Alaska,215,132.3,127.0,200.0,310.9,193.0,,182.0,,144.5,204.5,238.5,160.0,,148.4,158.0,,195.7,240.4,122.0,-82.7,-88.0,-15.0,95.9,-22.0,,-33.0,,-70.5,-10.5,23.5,-55.0,,-66.6,-57.0,,-19.3,25.4,-93.0,False,True,False,True,,True,,True,True,True,True,,True,True,,True,True,False
Arizona,9061,7412.9,7398.7,12084.0,9181.7,7086.0,,8771.2,7526.0,8578.4,8273.8,8152.5,7303.5,,7071.3,12239.5,,7188.9,9683.8,6904.4,-1648.1,-1662.3,3023.0,120.7,-1975.0,,-289.8,-1535.0,-482.6,-787.2,-908.5,-1757.5,,-1989.7,3178.5,,-1872.1,622.8,-2156.6,False,False,True,False,,True,True,True,True,True,False,,False,False,,False,True,False
Arkansas,3729,3376.1,3405.2,4970.0,3578.7,3342.0,,2876.5,3446.0,3802.1,3588.3,3007.1,3242.0,,2711.2,3637.0,,3790.4,3060.9,2716.0,-352.9,-323.8,1241.0,-150.3,-387.0,,-852.5,-283.0,73.1,-140.7,-721.9,-487.0,,-1017.8,-92.0,,61.4,-668.1,-1013.0,True,False,True,False,,False,True,True,True,False,False,,False,True,,True,False,False
California,26551,21443.7,21183.0,30452.0,22484.6,21016.0,,22521.2,21586.0,22505.4,28912.1,24430.5,22077.0,,20571.2,37373.5,,21479.5,27678.3,20249.7,-5106.3,-5367.0,3902.0,-4065.4,-5534.0,,-4028.8,-4964.0,-4044.6,2362.1,-2119.5,-4473.0,,-5978.8,10823.5,,-5070.5,1128.3,-6300.3,False,True,True,False,,True,True,True,True,True,True,,False,False,,True,True,False
Colorado,4912,4328.9,4359.1,8008.0,5332.4,4870.0,,4780.4,4463.0,5054.6,4478.5,4483.5,5439.5,,4074.0,4399.0,,4449.7,8180.6,3067.3,-583.1,-552.9,3096.0,420.4,-42.0,,-131.6,-449.0,142.6,-433.5,-428.5,527.5,,-838.0,-513.0,,-462.3,3268.6,-1844.7,True,False,True,True,,True,True,True,True,True,True,,False,True,,True,False,False
Connecticut,6099,5361.0,5385.8,6749.0,6243.9,5690.0,,5851.2,5660.0,5887.7,5928.6,5940.5,5775.0,,5228.0,4845.0,,5461.6,8856.2,4899.3,-738.0,-713.2,650.0,144.9,-409.0,,-247.8,-439.0,-211.3,-170.4,-158.5,-324.0,,-871.0,-1254.0,,-637.4,2757.2,-1199.7,True,True,True,True,,True,True,True,True,True,True,,False,False,,True,False,False
Delaware,1072,818.3,815.6,1496.0,1005.4,834.0,,916.0,875.0,936.1,1038.4,941.8,851.0,,976.3,942.0,,805.9,1416.0,793.7,-211.7,-214.4,466.0,-24.6,-196.0,,-114.0,-155.0,-93.9,8.4,-88.2,-179.0,,-53.7,-88.0,,-224.1,386.0,-236.3,False,False,True,True,,True,True,True,True,True,True,,True,True,,False,False,False
District of Columbia,792,728.6,742.4,912.0,751.0,699.0,,755.4,695.0,745.5,767.4,762.3,749.0,,703.0,695.0,,739.5,972.9,683.1,-63.4,-49.6,120.0,-41.0,-93.0,,-36.6,-97.0,-46.5,-24.6,-29.7,-43.0,,-89.0,-97.0,,-52.5,180.9,-108.9,True,False,True,False,,True,False,True,True,True,True,,False,False,,True,False,False
Florida,21890,20761.4,20577.6,22097.0,20833.2,20966.0,,21246.6,21113.0,21819.3,23217.7,23730.3,21547.5,,20581.7,21138.5,,20813.7,23163.9,19676.0,-1128.6,-1312.4,207.0,-1056.8,-924.0,,-643.4,-777.0,-70.7,1327.7,1840.3,-342.5,,-1308.3,-751.5,,-1076.3,1273.9,-2214.0,False,True,True,True,,True,True,True,False,False,True,,False,True,,True,False,False
Georgia,10960,10609.6,10520.2,9499.0,16619.7,13964.0,,12940.2,10968.0,12040.6,10244.5,10338.6,12262.0,,10622.3,11457.5,,10241.8,12041.3,9909.3,-350.4,-439.8,-1461.0,5659.7,3004.0,,1980.2,8.0,1080.6,-715.5,-621.4,1302.0,,-337.7,497.5,,-718.2,1081.3,-1050.7,False,False,False,False,,False,True,False,False,False,False,,True,False,,False,False,False
