,mean_rank
UMass-MechBayes,12.8
Caltech-CS156,15.0
CovidAnalytics-DELPHI,16.5
SteveMcConnell-CovidComplete,16.5
COVIDhub-ensemble,16.7
UChicagoCHATTOPADHYAY-UnIT,16.9
GT-DeepCOVID,17.2
Karlen-pypm,18.4
UA-EpiCovDA,18.5
LNQ-ens1,18.7
epiforecasts-ensemble1,18.9
UCLA-SuEIR,18.9
UCSB-ACTS,19.1
CEID-Walk,19.5
COVIDhub-baseline,19.5
LANL-GrowthRate,19.7
CMU-TimeSeries,19.8
DDS-NBDS,20.0
OliverWyman-Navigator,20.1
MOBS-GLEAM_COVID,20.3
Google_Harvard-CPF,20.3
USC-SI_kJalpha,20.5
RobertWalraven-ESG,22.2
UMich-RidgeTfReg,22.7
AIpert-pwllnod,22.8
BPagano-RtDriven,23.3
UT-Mobility,23.5
MIT_CritData-GBCF,23.9
JHU_CSSE-DECOM,24.2
JCB-PRM,24.4
UCSD_NEU-DeepGLEAM,24.5
Columbia_UNC-SurvCon,24.5
Covid19Sim-Simulator,24.8
IowaStateLW-STEM,24.8
CU-select,25.0
JHUAPL-Bucky,26.0
IHME-CurveFit,26.2
PSI-DRAFT,26.6
TTU-squider,28.9
Microsoft-DeepSTIA,29.0
JHU_IDD-CovidSP,29.3
Wadhwani_AI-BayesOpt,30.1
WalmartLabsML-LogForecasting,35.9
