,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IowaStateLW-STEM,JHUAPL-Bucky,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4872,3920.9,7137.1,3246.1,3276.0,3128.6,,3369.0,-951.1,2265.1,-1625.9,-1596.0,-1743.4,,-1503.0,False,False,False,False,,False
Alaska,215,83.7,63.1,237.0,,191.7,,83.5,-131.3,-151.9,22.0,,-23.3,,-131.5,False,True,,True,,False
Arizona,9061,6387.4,5860.2,7328.3,6478.0,6352.9,,6796.1,-2673.6,-3200.8,-1732.7,-2583.0,-2708.1,,-2264.9,False,True,True,False,,True
Arkansas,3729,3276.4,4553.0,2997.6,3048.0,2584.7,,2576.5,-452.6,824.0,-731.4,-681.0,-1144.3,,-1152.5,False,False,False,False,,False
California,26542,21701.3,22267.4,22276.8,19666.0,20312.1,,20534.7,-4840.7,-4274.6,-4265.2,-6876.0,-6229.9,,-6007.3,True,True,False,False,,False
Colorado,4912,2646.6,4178.2,2693.1,2355.5,2800.9,,2340.6,-2265.4,-733.8,-2218.9,-2556.5,-2111.1,,-2571.4,True,True,False,True,,False
Connecticut,6099,4731.6,4987.6,4742.8,4651.0,4963.1,,4617.1,-1367.4,-1111.4,-1356.2,-1448.0,-1135.9,,-1481.9,True,True,False,True,,False
Delaware,930,760.7,794.0,789.2,743.0,756.1,,702.0,-169.3,-136.0,-140.8,-187.0,-173.9,,-228.0,True,True,False,False,,False
District of Columbia,792,708.1,723.4,692.7,659.0,720.4,,656.8,-83.9,-68.6,-99.3,-133.0,-71.6,,-135.2,True,False,False,True,,False
Florida,21890,23581.0,21417.5,21388.5,19744.0,19142.0,,19298.1,1691.0,-472.5,-501.5,-2146.0,-2748.0,,-2591.9,True,True,False,False,,False
