,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,4872,4479.4,2843.7,3748.0,,-392.6,-2028.3,-1124.0,,False,False,
Alaska,215,67.7,239.4,,,-147.3,24.4,,,True,,
Arizona,9061,11575.1,4577.4,8497.0,,2514.1,-4483.6,-564.0,,False,True,
Arkansas,3729,1691.1,1500.4,1840.0,,-2037.9,-2228.6,-1889.0,,False,True,
California,26551,28439.3,24299.6,24780.0,,1888.3,-2251.4,-1771.0,,False,True,
Colorado,4912,2650.6,2445.3,2235.0,,-2261.4,-2466.7,-2677.0,,False,False,
Connecticut,6099,4691.3,4584.7,4539.0,,-1407.7,-1514.3,-1560.0,,False,False,
Delaware,930,632.7,698.5,655.0,,-297.3,-231.5,-275.0,,True,True,
District of Columbia,792,716.1,697.0,659.0,,-75.9,-95.0,-133.0,,False,False,
Florida,21890,34591.1,13851.0,20904.0,,12701.1,-8039.0,-986.0,,True,True,
Georgia,10960,14690.1,7970.2,8073.0,,3730.1,-2989.8,-2887.0,,True,True,
Hawaii,289,218.7,1257.6,,,-70.3,968.6,,,False,,
Idaho,1448,904.4,682.2,533.0,,-543.6,-765.8,-915.0,,False,False,
Illinois,18217,10139.3,10655.3,8932.0,,-8077.7,-7561.7,-9285.0,,True,False,
Indiana,8410,4959.9,5271.0,4267.0,,-3450.1,-3139.0,-4143.0,,True,False,
Iowa,3946,1848.7,1735.6,1816.0,,-2097.3,-2210.4,-2130.0,,False,False,
Kansas,2872,922.3,908.9,724.0,,-1949.7,-1963.1,-2148.0,,False,False,
Kentucky,2698,1544.7,,1153.0,,-1153.3,,-1545.0,,,False,
Louisiana,7488,9352.1,,8199.0,,1864.1,,711.0,,,True,
Maine,358,166.7,,145.0,,-191.3,,-213.0,,,False,
Maryland,5967,4711.3,,3997.0,,-1255.7,,-1970.0,,,False,
Massachusetts,12502,10883.3,,9020.0,,-1618.7,,-3482.0,,,False,
Michigan,13306,8041.6,,7470.0,,-5264.4,,-5836.0,,,False,
Minnesota,5436,2824.3,,2501.0,,-2611.7,,-2935.0,,,False,
Mississippi,4840,5817.1,,5000.0,,977.1,,160.0,,,True,
Missouri,5721,2356.0,,2011.0,,-3365.0,,-3710.0,,,False,
Montana,971,221.0,,298.0,,-750.0,,-673.0,,,True,
Nebraska,1669,678.7,,633.0,,-990.3,,-1036.0,,,False,
Nevada,3148,3355.6,,2583.0,,207.6,,-565.0,,,False,
New Hampshire,769,502.4,,432.0,,-266.6,,-337.0,,,False,
New Jersey,19187,16666.6,,16251.0,,-2520.4,,-2936.0,,,False,
New Mexico,2534,1289.9,,1077.0,,-1244.1,,-1457.0,,,False,
New York,38273,34150.6,,33254.0,,-4146.4,,-5043.0,,,False,
North Carolina,6892,5424.9,,5251.0,,-1467.1,,-1641.0,,,False,
North Dakota,1317,383.1,,304.0,,-933.9,,-1013.0,,,False,
Ohio,9017,6943.6,,5924.0,,-2073.4,,-3093.0,,,False,
Oklahoma,2527,1812.7,,1444.0,,-714.3,,-1083.0,,,False,
Oregon,1492,1023.4,,750.0,,-468.6,,-742.0,,,False,
Pennsylvania,16179,10272.7,,8057.0,,-5906.3,,-8122.0,,,False,
Rhode Island,1777,1160.0,,1089.0,,-611.0,,-682.0,,,False,
South Carolina,5385,6995.0,,3980.0,,1610.0,,-1405.0,,,True,
South Dakota,1501,292.0,,343.0,,-1209.0,,-1158.0,,,True,
Tennessee,6970,4205.6,,3626.0,,-2764.4,,-3344.0,,,False,
Texas,28442,34999.0,,36994.0,23803.0,6924.0,,8919.0,-4272.0,,False,True
Utah,1294,899.1,,772.0,,-394.9,,-522.0,,,False,
Vermont,139,58.0,,58.0,,-81.0,,-81.0,,,False,
Virginia,5117,3473.1,,3069.0,,-1643.9,,-2048.0,,,False,
Washington,3461,3627.7,,2509.0,,187.7,,-931.0,,,False,
West Virginia,1373,577.0,,369.0,,-796.0,,-1004.0,,,False,
Wisconsin,5256,1853.1,,1604.0,,-3342.9,,-3592.0,,,False,
Wyoming,438,69.7,,35.0,,-368.3,,-403.0,,,False,
US,350313,311315.7,223591.4,253458.0,274451.0,-38567.3,-126291.6,-96425.0,-75432.0,False,False,False
