,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-epiforecasts-ensemble1
Alabama,4872,4949.9,5013.3,5112.1,4998.0,5063.0,4981.0,4997.0,5000.0,4987.1,5056.0,4776.4,5008.0,5043.6,4934.9,4982.7,5028.9,,4973.9,5329.0,4998.2,5048.0,5121.0,4973.4,5092.7,4896.5,4921.7,5030.0,5029.6,4977.7,4996.9,5009.0,,4884.9,4941.5,5062.0,5302.5,4873.0,4816.1,,4947.9,5004.6,4932.0,4961.2,5074.0,4995.0,77.9,141.3,240.1,126.0,191.0,109.0,125.0,128.0,115.1,184.0,-95.6,136.0,171.6,62.9,110.7,156.9,,101.9,457.0,126.2,176.0,249.0,101.4,220.7,24.5,49.7,158.0,157.6,105.7,124.9,137.0,,12.9,69.5,190.0,430.5,1.0,-55.9,,75.9,132.6,60.0,89.2,202.0,123.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,True,True,False,False,True,True,,True,False,True,False,False,False
Alaska,215,213.7,204.8,231.7,219.2,217.0,216.0,215.0,214.0,213.3,210.0,228.1,215.0,210.1,207.3,223.4,218.0,,258.3,,212.9,201.9,216.0,229.6,215.2,218.0,207.4,227.0,217.2,217.5,211.2,224.0,,,207.8,214.0,233.1,218.0,221.2,,213.0,200.0,213.0,211.0,211.0,217.5,-1.3,-10.2,16.7,4.2,2.0,1.0,0.0,-1.0,-1.7,-5.0,13.1,0.0,-4.9,-7.7,8.4,3.0,,43.3,,-2.1,-13.1,1.0,14.6,0.2,3.0,-7.6,12.0,2.2,2.5,-3.8,9.0,,,-7.2,-1.0,18.1,3.0,6.2,,-2.0,-15.0,-2.0,-4.0,-4.0,2.5,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,,False,,False,False,True,False,True,False,False,False,False,False,False,False,,,False,True,False,False,False,,False,False,False,False,False,False
Arizona,9061,8817.9,8853.6,9161.6,8921.2,9008.0,8911.0,8946.0,8946.0,8978.5,9008.0,8674.6,8576.0,8970.8,9022.2,8639.0,9102.2,,9127.0,9244.0,9117.6,8771.1,9184.0,9023.9,9083.1,9495.5,8843.8,9032.0,8976.3,8942.7,9084.0,9130.0,,8928.6,8840.1,9101.0,10179.2,8743.0,8822.0,,8847.7,8959.5,8890.0,8825.9,9162.0,8643.2,-243.1,-207.4,100.6,-139.8,-53.0,-150.0,-115.0,-115.0,-82.5,-53.0,-386.4,-485.0,-90.2,-38.8,-422.0,41.2,,66.0,183.0,56.6,-289.9,123.0,-37.1,22.1,434.5,-217.2,-29.0,-84.7,-118.3,23.0,69.0,,-132.4,-220.9,40.0,1118.2,-318.0,-239.0,,-213.3,-101.5,-171.0,-235.1,101.0,-417.8,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,,True,True,True,False,True,True,True,False,True,True,True,True,True,True,,True,True,True,False,False,True,,True,True,True,True,True,False
Arkansas,3729,3692.0,3693.3,3754.7,3689.3,3733.0,3691.0,3697.0,3710.0,3699.5,3820.0,3605.2,3685.0,3640.2,3663.5,3749.6,3717.5,,3854.4,3803.0,3769.4,3731.7,3727.0,3674.1,3777.5,3980.0,3687.5,3685.0,3721.8,3701.5,3741.0,3681.0,,3712.8,3643.0,3746.0,3728.8,3638.0,3675.7,,3597.9,3678.7,3681.0,3684.7,3750.0,3557.2,-37.0,-35.7,25.7,-39.7,4.0,-38.0,-32.0,-19.0,-29.5,91.0,-123.8,-44.0,-88.8,-65.5,20.6,-11.5,,125.4,74.0,40.4,2.7,-2.0,-54.9,48.5,251.0,-41.5,-44.0,-7.2,-27.5,12.0,-48.0,,-16.2,-86.0,17.0,-0.2,-91.0,-53.3,,-131.1,-50.3,-48.0,-44.3,21.0,-171.8,True,True,False,True,False,True,True,True,False,False,False,False,False,True,True,,False,False,False,True,True,False,False,False,False,False,True,True,True,False,,True,False,True,True,False,False,,False,False,False,False,True,False
California,26551,25659.4,25345.5,26440.9,25901.1,25772.0,25854.0,26070.0,25861.0,26213.4,26780.0,25542.2,26081.0,25785.2,26084.6,26261.4,26465.5,,26499.5,26503.0,26540.4,27561.0,25664.0,26759.9,26289.2,27857.5,26071.3,26156.0,26181.1,25785.3,25914.7,25920.0,,25442.5,25611.8,26751.0,29891.4,25707.0,25728.5,,26380.9,26205.7,26030.0,26060.4,26707.0,26088.0,-884.6,-1198.5,-103.1,-642.9,-772.0,-690.0,-474.0,-683.0,-330.6,236.0,-1001.8,-463.0,-758.8,-459.4,-282.6,-78.5,,-44.5,-41.0,-3.6,1017.0,-880.0,215.9,-254.8,1313.5,-472.7,-388.0,-362.9,-758.7,-629.3,-624.0,,-1101.5,-932.2,207.0,3347.4,-837.0,-815.5,,-163.1,-338.3,-514.0,-483.6,163.0,-456.0,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,False,True,True,True,False,True,True,True,True,True,True,,False,False,True,False,True,True,,True,True,True,True,True,True
Colorado,4912,4817.4,4797.9,4812.6,4814.6,4923.0,4845.0,4886.0,4820.0,4894.5,4913.0,5050.3,4878.0,4921.6,4821.7,5021.7,4975.9,,5059.4,5139.0,4890.1,4660.3,4992.0,4853.3,4931.1,4958.0,4805.7,4899.0,4955.5,4883.5,4922.0,5064.0,,4896.2,4812.9,4849.0,4546.4,4784.0,4805.0,,4901.9,4927.0,4820.0,4888.7,4886.0,4482.1,-94.6,-114.1,-99.4,-97.4,11.0,-67.0,-26.0,-92.0,-17.5,1.0,138.3,-34.0,9.6,-90.3,109.7,63.9,,147.4,227.0,-21.9,-251.7,80.0,-58.7,19.1,46.0,-106.3,-13.0,43.5,-28.5,10.0,152.0,,-15.8,-99.1,-63.0,-365.6,-128.0,-107.0,,-10.1,15.0,-92.0,-23.3,-26.0,-429.9,False,False,False,True,True,True,True,True,True,False,True,True,True,False,True,,False,False,True,False,True,True,True,True,False,True,True,True,True,False,,True,False,True,False,False,False,,True,True,True,True,True,False
Connecticut,6099,5971.0,6014.1,6011.5,6002.2,5999.0,6001.0,5986.0,5967.0,6012.0,5987.0,6002.8,5876.0,6324.9,6011.0,6061.1,6043.2,,6066.0,6127.0,6049.8,5840.0,6054.0,6026.3,6014.9,5978.0,5927.7,6041.0,6002.8,5991.5,5976.0,6007.0,,5967.1,5935.0,5920.0,5976.4,5847.0,5975.0,,5969.4,5967.3,5942.0,6022.7,5934.0,5971.2,-128.0,-84.9,-87.5,-96.8,-100.0,-98.0,-113.0,-132.0,-87.0,-112.0,-96.2,-223.0,225.9,-88.0,-37.9,-55.8,,-33.0,28.0,-49.2,-259.0,-45.0,-72.7,-84.1,-121.0,-171.3,-58.0,-96.2,-107.5,-123.0,-92.0,,-131.9,-164.0,-179.0,-122.6,-252.0,-124.0,,-129.6,-131.7,-157.0,-76.3,-165.0,-127.8,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,,True,True,True,False,True,True,True,True,False,True,True,True,True,True,,False,False,False,True,False,True,,False,False,False,True,False,True
Delaware,1072,927.0,912.5,953.5,934.2,931.0,932.0,934.0,933.0,935.2,924.0,904.5,937.0,925.1,933.1,952.5,946.7,,907.6,977.0,932.7,893.3,952.0,957.7,939.9,908.0,922.0,949.0,934.0,941.0,938.0,937.0,,,930.9,942.0,1028.9,927.0,927.6,,937.1,895.0,932.0,919.3,944.0,932.2,-10.0,-24.5,16.5,-2.8,-6.0,-5.0,-3.0,-4.0,-1.8,-13.0,-32.5,0.0,-11.9,-3.9,15.5,9.7,,-29.4,40.0,-4.3,-43.7,15.0,20.7,2.9,-29.0,-15.0,12.0,-3.0,4.0,1.0,0.0,,,-6.1,5.0,91.9,-10.0,-9.4,,0.1,-42.0,-5.0,-17.7,7.0,-4.8,False,False,True,True,True,True,True,True,False,False,True,False,True,False,True,,False,False,True,False,False,False,True,False,False,False,True,True,True,True,,,True,True,False,False,True,,True,False,True,False,True,True
District of Columbia,792,794.6,808.3,802.9,794.8,792.0,794.0,790.0,786.0,790.2,788.0,767.4,772.0,794.2,789.5,788.9,788.2,,761.6,782.0,787.6,765.2,793.0,791.3,791.1,801.0,784.9,786.0,,,786.8,780.0,,,789.8,786.0,804.0,795.0,795.6,,781.7,,790.0,,793.0,798.7,2.6,16.3,10.9,2.8,0.0,2.0,-2.0,-6.0,-1.8,-4.0,-24.6,-20.0,2.2,-2.5,-3.1,-3.8,,-30.4,-10.0,-4.4,-26.8,1.0,-0.7,-0.9,9.0,-7.1,-6.0,,,-5.2,-12.0,,,-2.2,-6.0,12.0,3.0,3.6,,-10.3,,-2.0,,1.0,6.7,False,False,False,True,True,True,False,True,False,False,False,True,True,False,False,,False,False,False,False,True,True,True,False,False,False,,,False,False,,,True,False,False,False,False,,False,,True,,True,False
Florida,21890,21764.0,21714.2,21800.0,21806.2,21815.0,21797.0,21833.0,21721.0,21899.1,21927.0,21787.7,21920.0,21691.4,21777.1,21945.9,21976.5,,22141.9,22089.0,21930.4,21938.7,21857.0,22699.6,22016.8,21973.0,21846.3,21846.0,21863.1,21885.5,21821.2,21874.0,,21782.1,21628.5,21979.0,23919.4,21670.0,21767.8,,21805.0,21828.6,21886.0,21738.1,21896.0,21760.7,-126.0,-175.8,-90.0,-83.8,-75.0,-93.0,-57.0,-169.0,9.1,37.0,-102.3,30.0,-198.6,-112.9,55.9,86.5,,251.9,199.0,40.4,48.7,-33.0,809.6,126.8,83.0,-43.7,-44.0,-26.9,-4.5,-68.8,-16.0,,-107.9,-261.5,89.0,2029.4,-220.0,-122.2,,-85.0,-61.4,-4.0,-151.9,6.0,-129.3,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,,False,False,True,True,True,False,False,True,True,True,True,True,True,True,,True,False,True,False,False,True,,True,True,True,False,True,False
