,mean_rank
COVIDhub-ensemble,14.1
GT-DeepCOVID,14.9
epiforecasts-ensemble1,15.9
MSRA-DeepST,16.1
OliverWyman-Navigator,16.2
UMass-MechBayes,16.4
Karlen-pypm,16.4
Caltech-CS156,16.8
LNQ-ens1,17.2
Microsoft-DeepSTIA,17.2
JHUAPL-Bucky,17.3
SteveMcConnell-CovidComplete,17.6
USC-SI_kJalpha,18.1
JCB-PRM,18.1
Google_Harvard-CPF,18.1
MIT_CritData-GBCF,19.7
LANL-GrowthRate,19.9
CEID-Walk,20.2
DDS-NBDS,20.4
JHU_CSSE-DECOM,20.6
UA-EpiCovDA,20.7
COVIDhub-baseline,20.8
CovidAnalytics-DELPHI,21.2
MOBS-GLEAM_COVID,21.2
Covid19Sim-Simulator,21.5
CU-select,21.6
UCLA-SuEIR,21.9
CMU-TimeSeries,22.8
UCSD_NEU-DeepGLEAM,23.0
IowaStateLW-STEM,23.2
TTU-squider,23.9
Wadhwani_AI-BayesOpt,25.0
UCSB-ACTS,25.2
IHME-CurveFit,25.5
BPagano-RtDriven,25.9
PSI-DRAFT,25.9
UT-Mobility,26.5
JHU_IDD-CovidSP,27.5
NotreDame-mobility,28.6
RobertWalraven-ESG,29.0
Columbia_UNC-SurvCon,32.5
WalmartLabsML-LogForecasting,38.4
