,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,4872,4181.6,2585.5,6545.9,3421.0,,-690.4,-2286.5,1673.9,-1451.0,,False,False,False,
Alaska,215,107.4,116.8,31.1,,,-107.6,-98.2,-183.9,,,True,False,,
Arizona,9061,9768.1,4620.0,11102.1,9006.0,,707.1,-4441.0,2041.1,-55.0,,False,False,True,
Arkansas,3729,2346.4,1253.3,3014.5,1938.0,,-1382.6,-2475.7,-714.5,-1791.0,,False,True,False,
California,26542,29313.0,19972.3,54067.8,26898.0,,2771.0,-6569.7,27525.8,356.0,,False,False,True,
Colorado,4912,2332.9,2215.0,4344.9,2398.0,,-2579.1,-2697.0,-567.1,-2514.0,,False,True,True,
Connecticut,6099,4592.0,4544.3,4983.7,4604.0,,-1507.0,-1554.7,-1115.3,-1495.0,,False,True,True,
Delaware,930,732.0,686.5,751.1,677.0,,-198.0,-243.5,-178.9,-253.0,,False,True,False,
District of Columbia,792,736.0,664.2,1040.0,654.0,,-56.0,-127.8,248.0,-138.0,,False,False,False,
Florida,21890,26787.3,12536.3,26154.4,23012.0,,4897.3,-9353.7,4264.4,1122.0,,False,True,True,
Georgia,10960,13240.6,7675.1,12495.1,8104.0,,2280.6,-3284.9,1535.1,-2856.0,,False,True,False,
Hawaii,289,179.0,1355.0,538.5,,,-110.0,1066.0,249.5,,,False,False,,
Idaho,1448,1023.6,608.6,1568.2,573.0,,-424.4,-839.4,120.2,-875.0,,False,True,False,
Illinois,18214,10615.9,10812.6,15507.9,9564.0,,-7598.1,-7401.4,-2706.1,-8650.0,,True,True,False,
Indiana,8410,4860.6,4329.4,8155.4,4468.0,,-3549.4,-4080.6,-254.6,-3942.0,,False,True,False,
Iowa,3946,2206.1,2265.4,3552.3,1888.0,,-1739.9,-1680.6,-393.7,-2058.0,,True,True,False,
Kansas,2872,803.1,1193.8,2408.1,763.0,,-2068.9,-1678.2,-463.9,-2109.0,,True,True,False,
Kentucky,2698,2041.1,1740.6,3982.4,1379.0,,-656.9,-957.4,1284.4,-1319.0,,False,False,False,
Louisiana,7488,9252.9,4996.1,8884.5,7812.0,,1764.9,-2491.9,1396.5,324.0,,False,True,True,
