,mean_rank
COVIDhub-ensemble,13.3
Caltech-CS156,13.4
SteveMcConnell-CovidComplete,13.8
UMass-MechBayes,14.6
USC-SI_kJalpha,15.6
epiforecasts-ensemble1,16.2
LNQ-ens1,16.4
LANL-GrowthRate,17.0
Google_Harvard-CPF,17.3
GT-DeepCOVID,17.6
UA-EpiCovDA,17.8
Karlen-pypm,18.1
JCB-PRM,18.5
MIT_CritData-GBCF,19.0
COVIDhub-baseline,19.1
CU-select,19.2
Columbia_UNC-SurvCon,19.5
CEID-Walk,19.5
CovidAnalytics-DELPHI,19.6
JHUAPL-Bucky,19.8
UT-Mobility,20.0
UCLA-SuEIR,20.8
OliverWyman-Navigator,20.9
Microsoft-DeepSTIA,21.1
UCSB-ACTS,21.4
IowaStateLW-STEM,22.2
MOBS-GLEAM_COVID,22.2
JHU_CSSE-DECOM,22.7
Covid19Sim-Simulator,22.8
CMU-TimeSeries,24.4
JHU_IDD-CovidSP,24.9
UCSD_NEU-DeepGLEAM,24.9
IHME-CurveFit,25.0
TTU-squider,25.6
Wadhwani_AI-BayesOpt,25.8
BPagano-RtDriven,25.9
RobertWalraven-ESG,26.2
NotreDame-mobility,27.3
PSI-DRAFT,27.5
DDS-NBDS,29.9
WalmartLabsML-LogForecasting,34.3
