,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4872,4134.3,5515.3,3454.9,4677.0,3242.0,,3310.7,-737.7,643.3,-1417.1,-195.0,-1630.0,,-1561.3,True,False,True,False,,False
Alaska,215,143.0,888.7,209.0,126.7,,,90.8,-72.0,673.7,-6.0,-88.3,,,-124.2,False,True,False,,,False
Arizona,9061,6565.3,8510.7,6520.2,7319.0,6220.0,,6548.9,-2495.7,-550.3,-2540.8,-1742.0,-2841.0,,-2512.1,True,False,True,False,,False
Arkansas,3729,3169.7,3209.1,2723.4,3404.5,3333.0,,2517.9,-559.3,-519.9,-1005.6,-324.5,-396.0,,-1211.1,True,False,True,True,,False
California,26551,21321.9,24504.3,20595.4,25389.4,19340.0,,20342.8,-5229.1,-2046.7,-5955.6,-1161.6,-7211.0,,-6208.2,True,False,True,False,,False
Colorado,4912,2860.0,3703.6,2899.3,4816.4,2519.0,,2291.5,-2052.0,-1208.4,-2012.7,-95.6,-2393.0,,-2620.5,True,True,True,False,,False
Connecticut,6099,4672.3,4649.6,4766.3,4913.4,4660.0,,4607.0,-1426.7,-1449.4,-1332.7,-1185.6,-1439.0,,-1492.0,False,True,True,False,,False
Delaware,930,784.4,753.6,788.3,941.0,725.0,,718.6,-145.6,-176.4,-141.7,11.0,-205.0,,-211.4,False,True,True,False,,False
District of Columbia,792,684.4,710.8,692.8,846.6,657.0,,658.1,-107.6,-81.2,-99.2,54.6,-135.0,,-133.9,True,True,True,False,,False
Florida,21890,22513.9,26840.7,20810.6,25714.5,19077.0,,20190.6,623.9,4950.7,-1079.4,3824.5,-2813.0,,-1699.4,False,False,False,False,,False
Georgia,10960,10048.3,11312.1,9012.7,10419.3,9084.0,,9539.6,-911.7,352.1,-1947.3,-540.7,-1876.0,,-1420.4,True,False,True,False,,False
Hawaii,289,382.4,450.1,363.3,508.4,,,236.3,93.4,161.1,74.3,219.4,,,-52.7,False,True,False,,,True
Idaho,1448,756.0,764.7,913.9,1307.7,758.0,,755.4,-692.0,-683.3,-534.1,-140.3,-690.0,,-692.6,True,True,True,True,,False
Illinois,18217,12123.1,15708.8,12405.8,15682.5,11105.0,,10846.5,-6093.9,-2508.2,-5811.2,-2534.5,-7112.0,,-7370.5,True,True,True,False,,False
Indiana,8410,5543.9,7511.8,5733.8,7708.6,4840.0,,4633.1,-2866.1,-898.2,-2676.2,-701.4,-3570.0,,-3776.9,True,True,True,False,,False
