,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,4872,4159.9,4146.9,5277.0,4952.6,4459.0,,4615.0,4898.9,4731.5,4282.4,4712.1,4545.0,4467.4,4480.0,,3993.9,,4665.5,3928.0,-712.1,-725.1,405.0,80.6,-413.0,,-257.0,26.9,-140.5,-589.6,-159.9,-327.0,-404.6,-392.0,,-878.1,,-206.5,-944.0,False,True,True,True,,True,True,True,True,True,True,True,True,,False,,True,False
Alaska,215,208.4,216.0,163.0,296.5,196.0,,,223.7,140.0,208.7,214.5,166.0,133.3,181.0,,233.2,,263.2,143.9,-6.6,1.0,-52.0,81.5,-19.0,,,8.7,-75.0,-6.3,-0.5,-49.0,-81.7,-34.0,,18.2,,48.2,-71.1,True,False,False,False,,,False,False,True,True,False,False,False,,False,,False,False
Arizona,9061,7459.7,7458.9,9669.0,9451.4,7170.0,,7587.0,8318.8,8727.3,8319.8,9010.5,7234.0,7800.9,7702.0,,7309.8,,9389.0,7026.9,-1601.3,-1602.1,608.0,390.4,-1891.0,,-1474.0,-742.2,-333.7,-741.2,-50.5,-1827.0,-1260.1,-1359.0,,-1751.2,,328.0,-2034.1,False,True,True,False,,True,True,True,True,True,False,True,True,,False,,True,False
Arkansas,3729,3018.9,3009.6,3351.0,3660.2,3454.0,,3287.0,3366.9,3313.7,3020.2,3641.4,2949.0,2644.2,2982.0,,3135.8,,3038.9,2784.1,-710.1,-719.4,-378.0,-68.8,-275.0,,-442.0,-362.1,-415.3,-708.8,-87.6,-780.0,-1084.8,-747.0,,-593.2,,-690.1,-944.9,False,True,True,True,,True,True,True,True,True,False,False,False,,True,,True,False
California,26551,21215.3,21336.3,29979.0,23706.4,21313.0,,21802.0,22814.7,25630.8,24154.2,25091.4,21389.0,20947.8,22418.0,,21360.2,20497.0,27243.5,20439.2,-5334.7,-5213.7,3429.0,-2843.6,-5237.0,,-4748.0,-3735.3,-919.2,-2395.8,-1458.6,-5161.0,-5602.2,-4132.0,,-5189.8,-6053.0,693.5,-6110.8,True,True,True,True,,True,True,True,True,True,True,False,True,,True,False,True,False
Colorado,4912,3959.9,3963.0,4194.0,5894.5,4314.0,,4276.0,5092.4,4435.7,4302.0,4372.4,3889.0,3997.7,3899.0,,3702.0,,7703.3,3219.1,-952.1,-949.0,-718.0,982.5,-598.0,,-636.0,180.4,-476.3,-610.0,-539.6,-1023.0,-914.3,-1013.0,,-1210.0,,2791.3,-1692.9,True,True,False,True,,True,True,True,True,True,False,True,False,,False,,False,False
Connecticut,6099,5607.0,5627.5,5416.0,6120.2,5485.0,,5608.0,5847.2,5626.6,5677.1,6431.0,5769.5,5544.3,5081.0,,5161.3,,8457.5,5027.7,-492.0,-471.5,-683.0,21.2,-614.0,,-491.0,-251.8,-472.4,-421.9,332.0,-329.5,-554.7,-1018.0,,-937.7,,2358.5,-1071.3,True,False,True,False,,True,True,True,True,True,True,False,False,,False,,False,False
Delaware,1072,876.9,850.7,1009.0,970.6,879.0,,869.0,892.7,890.9,952.0,996.8,908.0,948.7,819.0,,861.6,,1336.6,810.3,-148.1,-174.3,-16.0,-54.4,-146.0,,-156.0,-132.3,-134.1,-73.0,-28.2,-117.0,-76.3,-206.0,,-163.4,,311.6,-214.7,False,True,True,True,,False,True,True,True,True,True,True,False,,False,,False,False
District of Columbia,792,728.6,719.1,782.0,771.4,704.0,,737.0,749.0,758.8,774.0,773.9,720.0,706.5,755.0,,697.1,,1016.0,691.1,-63.4,-72.9,-10.0,-20.6,-88.0,,-55.0,-43.0,-33.2,-18.0,-18.1,-72.0,-85.5,-37.0,,-94.9,,224.0,-100.9,False,True,True,False,,True,True,True,True,True,False,False,True,,False,,False,False
Florida,21890,20972.3,21002.5,21793.0,21395.5,20968.0,,20676.0,21717.2,21501.1,22995.2,21944.3,22649.0,21240.0,20446.0,,21175.8,,22911.1,19969.5,-917.7,-887.5,-97.0,-494.5,-922.0,,-1214.0,-172.8,-388.9,1105.2,54.3,759.0,-650.0,-1444.0,,-714.2,,1021.1,-1920.5,True,True,True,False,,False,True,True,False,True,True,True,False,,True,,False,False
Georgia,10960,10627.1,10649.8,9341.0,11914.2,12363.0,,10911.0,11416.6,9949.6,10138.9,11413.9,10184.0,10695.3,10601.0,,10731.5,,11426.5,10008.2,-332.9,-310.2,-1619.0,954.2,1403.0,,-49.0,456.6,-1010.4,-821.1,453.9,-776.0,-264.7,-359.0,,-228.5,,466.5,-951.8,True,False,False,False,,True,False,False,False,False,False,True,False,,True,,False,False
Hawaii,289,297.4,285.2,252.0,280.8,282.0,,,241.8,246.1,349.6,275.4,274.0,644.4,271.0,,274.4,,264.7,264.6,8.4,-3.8,-37.0,-8.2,-7.0,,,-47.2,-42.9,60.6,-13.6,-15.0,355.4,-18.0,,-14.6,,-24.3,-24.4,True,False,True,True,,,False,False,False,False,False,False,False,,False,,False,False
Idaho,1448,1264.9,1243.0,1438.0,1655.6,1330.0,,1378.0,1583.7,1321.4,1284.1,1361.5,1323.0,1309.4,1649.0,,1154.4,,1319.9,1068.3,-183.1,-205.0,-10.0,207.6,-118.0,,-70.0,135.7,-126.6,-163.9,-86.5,-125.0,-138.6,201.0,,-293.6,,-128.1,-379.7,False,True,False,True,,True,True,True,True,True,True,True,False,,False,,True,False
Illinois,18217,16923.1,17274.1,15832.0,20852.0,16608.0,,17076.0,19490.9,16435.3,15839.7,16895.6,16560.0,15098.1,15960.0,,16952.0,,23897.4,13887.1,-1293.9,-942.9,-2385.0,2635.0,-1609.0,,-1141.0,1273.9,-1781.7,-2377.3,-1321.4,-1657.0,-3118.9,-2257.0,,-1265.0,,5680.4,-4329.9,True,False,False,False,,True,True,False,False,False,False,False,False,,True,,False,False
Indiana,9562,7530.7,7747.7,8174.0,9796.8,8349.0,,7844.0,9179.4,7841.4,7059.4,7670.9,6863.0,8795.3,7868.5,,7735.0,,11625.2,5944.5,-1365.3,-1148.3,-722.0,900.8,-547.0,,-1052.0,283.4,-1054.6,-1836.6,-1225.1,-2033.0,-100.7,-1027.5,,-1161.0,,2729.2,-2951.5,True,True,True,True,,True,True,True,False,True,False,True,True,,True,,False,False
Iowa,3946,3355.9,3294.8,2896.0,4142.0,3651.0,,3501.0,3734.0,3004.9,3231.7,2974.1,3010.0,3933.0,3192.0,,3230.9,,3914.8,2715.7,-590.1,-651.2,-1050.0,196.0,-295.0,,-445.0,-212.0,-941.1,-714.3,-971.9,-936.0,-13.0,-754.0,,-715.1,,-31.2,-1230.3,False,False,True,True,,True,True,False,False,False,False,True,False,,False,,True,False
Kansas,2872,2107.0,2123.6,2457.0,2895.9,3124.0,,2366.0,2653.0,2367.8,2192.0,2312.0,2138.0,2272.9,2265.0,,2345.9,,2256.8,1654.8,-765.0,-748.4,-415.0,23.9,252.0,,-506.0,-219.0,-504.2,-680.0,-560.0,-734.0,-599.1,-607.0,,-526.1,,-615.2,-1217.2,True,True,True,True,,True,True,True,True,True,True,True,True,,True,,True,False
Kentucky,2698,2425.4,2394.8,2787.0,2815.2,2529.0,,2725.5,2774.3,2637.7,2873.8,2543.8,2697.0,2272.6,2581.0,,2478.5,,3548.1,2130.0,-272.6,-303.2,89.0,117.2,-169.0,,27.5,76.3,-60.3,175.8,-154.2,-1.0,-425.4,-117.0,,-219.5,,850.1,-568.0,False,True,True,True,,True,True,True,True,True,True,False,True,,True,,False,False
Louisiana,7488,7121.0,7179.4,10804.0,8452.3,6988.0,,7053.0,7716.1,8550.5,7224.1,7745.4,6973.0,7234.4,7357.0,,7304.5,,8294.7,6819.5,-367.0,-308.6,3316.0,964.3,-500.0,,-435.0,228.1,1062.5,-263.9,257.4,-515.0,-253.6,-131.0,,-183.5,,806.7,-668.5,True,False,False,False,,False,True,False,True,True,False,True,True,,True,,False,False
Maine,358,263.9,276.0,241.0,394.8,317.0,,326.0,324.5,281.6,409.5,296.9,225.0,217.5,278.0,,210.4,,340.8,203.8,-94.1,-82.0,-117.0,36.8,-41.0,,-32.0,-33.5,-76.4,51.5,-61.1,-133.0,-140.5,-80.0,,-147.6,,-17.2,-154.2,True,False,True,True,,True,True,True,True,True,False,False,True,,False,,True,False
Maryland,5967,5552.7,5536.5,6565.0,6084.1,6173.0,,5430.0,5950.5,5812.8,5499.3,5451.9,5847.0,5500.5,5900.5,,5442.1,,6880.3,4787.8,-414.3,-430.5,598.0,117.1,206.0,,-537.0,-16.5,-154.2,-467.7,-515.1,-120.0,-466.5,-66.5,,-524.9,,913.3,-1179.2,False,False,True,True,,False,True,True,False,False,True,False,True,,False,,False,False
Massachusetts,12502,11742.0,11620.3,11792.0,12738.0,12611.0,,11753.0,12431.8,11809.8,11913.6,12368.5,11766.5,12485.5,11071.5,,11426.0,,16428.6,11096.5,-760.0,-881.7,-710.0,236.0,109.0,,-749.0,-70.2,-692.2,-588.4,-133.5,-735.5,-16.5,-1430.5,,-1076.0,,3926.6,-1405.5,False,True,True,True,,True,True,True,True,True,True,True,False,,False,,False,False
Michigan,13306,12342.4,12425.6,11622.0,15960.3,13978.0,,12784.0,14512.4,12347.8,12223.9,15665.7,13118.0,10582.7,11911.0,,11465.7,,21352.4,9880.6,-963.6,-880.4,-1684.0,2654.3,672.0,,-522.0,1206.4,-958.2,-1082.1,2359.7,-188.0,-2723.3,-1395.0,,-1840.3,,8046.4,-3425.4,True,False,False,True,,True,False,True,False,False,True,False,False,,False,,False,False
Minnesota,5436,5288.4,5195.1,5320.0,7911.9,7534.0,,5814.0,6988.7,5604.3,5007.9,5635.2,5324.0,5403.6,5668.5,,5296.1,,9225.4,3984.3,-147.6,-240.9,-116.0,2475.9,2098.0,,378.0,1552.7,168.3,-428.1,199.2,-112.0,-32.4,232.5,,-139.9,,3789.4,-1451.7,False,True,False,False,,False,False,False,False,False,True,True,False,,True,,False,False
Mississippi,4840,4437.4,4388.9,4894.0,4719.4,4247.0,,4350.0,4587.8,4479.6,4212.8,4733.2,4490.0,4414.0,4516.5,,4436.0,,5032.9,4108.3,-402.6,-451.1,54.0,-120.6,-593.0,,-490.0,-252.2,-360.4,-627.2,-106.8,-350.0,-426.0,-323.5,,-404.0,,192.9,-731.7,False,True,True,False,,False,True,True,False,True,True,False,True,,False,,True,False
