,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,4872,4197.7,5537.8,6201.7,3502.0,,-674.3,665.8,1329.7,-1370.0,,True,False,False,
Alaska,215,126.3,151.5,70.8,,,-88.7,-63.5,-144.2,,,True,False,,
Arizona,9061,8440.7,6843.5,8853.9,8278.0,,-620.3,-2217.5,-207.1,-783.0,,False,True,False,
Arkansas,3729,2748.3,2529.4,3295.9,2230.0,,-980.7,-1199.6,-433.1,-1499.0,,False,True,False,
California,26551,27115.6,18370.7,50159.4,23605.0,,564.6,-8180.3,23608.4,-2946.0,,False,False,False,
Colorado,4912,2477.7,2264.2,4482.6,2365.0,,-2434.3,-2647.8,-429.4,-2547.0,,False,True,False,
Connecticut,6099,4518.6,4566.3,5081.2,4634.0,,-1580.4,-1532.7,-1017.8,-1465.0,,True,True,True,
Delaware,930,693.3,704.1,1203.4,676.0,,-236.7,-225.9,273.4,-254.0,,True,False,False,
District of Columbia,792,695.3,647.0,1042.2,656.0,,-96.7,-145.0,250.2,-136.0,,False,False,False,
Florida,21890,24154.7,16627.8,26334.1,19702.0,,2264.7,-5262.2,4444.1,-2188.0,,False,False,True,
Georgia,10960,13336.1,9433.6,13923.0,9008.0,,2376.1,-1526.4,2963.0,-1952.0,,True,False,True,
Hawaii,289,455.9,409.3,283.5,,,166.9,120.3,-5.5,,,True,True,,
Idaho,1448,823.3,695.2,1653.2,897.0,,-624.7,-752.8,205.2,-551.0,,False,True,True,
Illinois,18217,11120.9,10932.8,18147.0,9698.0,,-7096.1,-7284.2,-70.0,-8519.0,,False,True,False,
Indiana,8410,4594.6,4443.2,7700.8,4537.0,,-3815.4,-3966.8,-709.2,-3873.0,,False,True,False,
Iowa,3946,2077.3,3184.1,3894.6,2366.0,,-1868.7,-761.9,-51.4,-1580.0,,True,True,True,
Kansas,2872,1020.4,1252.9,2479.1,765.0,,-1851.6,-1619.1,-392.9,-2107.0,,True,True,False,
Kentucky,2698,2125.4,2325.9,4537.7,1476.0,,-572.6,-372.1,1839.7,-1222.0,,True,False,False,
Louisiana,7488,7823.9,6018.7,8950.7,7041.0,,335.9,-1469.3,1462.7,-447.0,,False,False,False,
Maine,358,167.7,164.4,359.2,226.0,,-190.3,-193.6,1.2,-132.0,,False,True,True,
Maryland,5967,4591.3,4724.3,8038.6,4195.0,,-1375.7,-1242.7,2071.6,-1772.0,,True,False,False,
Massachusetts,12502,10406.1,13290.3,14205.7,9582.0,,-2095.9,788.3,1703.7,-2920.0,,True,True,False,
Michigan,13306,7783.7,7784.7,12929.1,8036.0,,-5522.3,-5521.3,-376.9,-5270.0,,True,True,True,
Minnesota,5436,2650.7,2934.0,6148.7,2599.0,,-2785.3,-2502.0,712.7,-2837.0,,True,True,False,
Mississippi,4840,4994.6,4021.2,4304.4,4999.0,,154.6,-818.8,-535.6,159.0,,False,False,False,
Missouri,5721,4247.3,4090.3,5971.6,2551.0,,-1473.7,-1630.7,250.6,-3170.0,,False,True,False,
Montana,971,336.1,424.8,351.0,443.0,,-634.9,-546.2,-620.0,-528.0,,True,True,True,
Nebraska,1669,606.3,779.8,1589.2,667.0,,-1062.7,-889.2,-79.8,-1002.0,,True,True,True,
Nevada,3148,2855.6,2041.8,4452.9,2303.0,,-292.4,-1106.2,1304.9,-845.0,,False,False,False,
New Hampshire,769,449.9,480.1,860.0,473.0,,-319.1,-288.9,91.0,-296.0,,True,True,True,
New Jersey,19187,16865.6,16226.3,17862.8,16508.0,,-2321.4,-2960.7,-1324.2,-2679.0,,False,True,False,
New Mexico,2534,1359.3,1153.8,2657.1,1216.0,,-1174.7,-1380.2,123.1,-1318.0,,False,True,False,
New York,38273,34301.9,33580.7,41865.1,33516.0,,-3971.1,-4692.3,3592.1,-4757.0,,False,True,False,
North Carolina,6892,6227.7,6137.7,11275.4,5599.0,,-664.3,-754.3,4383.4,-1293.0,,False,False,False,
North Dakota,1317,392.0,668.8,621.4,316.0,,-925.0,-648.2,-695.6,-1001.0,,True,True,False,
Ohio,9017,6450.4,6610.6,12065.7,6740.0,,-2566.6,-2406.4,3048.7,-2277.0,,True,False,True,
Oklahoma,2527,1763.3,2038.4,3604.6,1964.0,,-763.7,-488.6,1077.6,-563.0,,True,False,True,
Oregon,1492,868.7,852.2,3503.1,717.0,,-623.3,-639.8,2011.1,-775.0,,False,False,False,
Pennsylvania,16179,9300.9,9614.8,16859.6,8638.0,,-6878.1,-6564.2,680.6,-7541.0,,True,True,False,
Rhode Island,1777,1206.7,1184.4,2098.0,1134.0,,-556.3,-578.6,335.0,-629.0,,False,True,False,
South Carolina,5385,5887.6,5500.4,6785.8,4550.0,,502.6,115.4,1400.8,-835.0,,True,False,False,
South Dakota,1501,274.1,626.0,528.7,356.0,,-1226.9,-875.0,-972.3,-1145.0,,True,True,True,
Tennessee,6970,3854.1,3887.7,7144.7,3993.0,,-3115.9,-3082.3,174.7,-2977.0,,True,True,True,
Texas,28442,30022.3,20721.0,34428.3,26882.0,26265.0,1876.3,-7425.0,6282.3,-1264.0,-1881.0,False,False,True,False
Utah,1294,674.9,912.3,2430.6,881.0,,-619.1,-381.7,1136.6,-413.0,,True,False,True,
Vermont,139,58.0,61.9,60.0,58.0,,-81.0,-77.1,-79.0,-81.0,,True,True,False,
Virginia,5117,4515.4,4580.4,9842.2,3591.0,,-601.6,-536.6,4725.2,-1526.0,,True,False,False,
