,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,4872,5092.4,5464.0,5143.5,5301.0,5096.4,5073.0,4809.0,4845.1,4809.0,4831.9,4832.0,4940.2,4893.8,4792.8,,5521.9,5229.0,5229.6,5119.5,4985.0,4538.1,5695.8,5284.5,5106.0,4903.0,5282.2,4934.1,5003.2,,4727.4,5657.0,4993.5,,4587.1,5699.6,5759.0,4924.7,4983.0,5149.1,,4769.5,5307.5,5050.0,,5180.0,4542.0,4681.3,4230.1,5446.0,220.4,592.0,271.5,429.0,224.4,201.0,-63.0,-26.9,-63.0,-40.1,-40.0,68.2,21.8,-79.2,,649.9,357.0,357.6,247.5,113.0,-333.9,823.8,412.5,234.0,31.0,410.2,62.1,131.2,,-144.6,785.0,121.5,,-284.9,827.6,887.0,52.7,111.0,277.1,,-102.5,435.5,178.0,,308.0,-330.0,-190.7,-641.9,574.0,False,False,False,False,True,True,True,True,True,True,True,True,True,,False,False,False,False,True,False,False,False,False,True,False,True,True,,True,False,True,,False,False,False,True,True,False,,True,False,True,,False,False,True,False,False
Alaska,215,227.9,254.1,219.3,278.0,231.0,231.0,223.0,207.0,177.0,245.8,204.0,186.8,222.4,247.6,,187.5,,190.8,226.7,287.0,245.0,222.6,242.0,247.8,307.0,267.1,265.1,269.7,,169.5,216.0,235.0,,,289.4,225.0,234.3,357.0,231.2,,276.8,285.7,244.0,,224.0,178.0,223.2,168.5,231.0,12.9,39.1,4.3,63.0,16.0,16.0,8.0,-8.0,-38.0,30.8,-11.0,-28.2,7.4,32.6,,-27.5,,-24.2,11.7,72.0,30.0,7.6,27.0,32.8,92.0,52.1,50.1,54.7,,-45.5,1.0,20.0,,,74.4,10.0,19.3,142.0,16.2,,61.8,70.7,29.0,,9.0,-37.0,8.2,-46.5,16.0,False,True,False,False,False,True,True,False,False,True,False,True,False,,False,,False,True,False,False,True,False,False,False,False,False,False,,False,True,False,,,False,True,False,False,False,,False,False,False,,True,False,True,False,False
Arizona,9061,8168.9,8914.0,8146.0,8593.0,8129.1,8374.0,8245.0,8587.9,8123.0,8504.1,7379.0,8119.4,8675.6,8358.4,,7921.0,7986.0,8783.1,8984.5,8327.0,8318.8,9040.9,9287.5,8652.3,8508.0,8421.7,8365.6,8418.1,,8132.5,8617.4,8143.5,,8426.0,8675.0,8855.0,8968.7,8517.0,8106.3,,8179.5,8465.5,9252.0,,8726.0,8318.0,7727.3,7305.1,8668.0,-892.1,-147.0,-915.0,-468.0,-931.9,-687.0,-816.0,-473.1,-938.0,-556.9,-1682.0,-941.6,-385.4,-702.6,,-1140.0,-1075.0,-277.9,-76.5,-734.0,-742.2,-20.1,226.5,-408.7,-553.0,-639.3,-695.4,-642.9,,-928.5,-443.6,-917.5,,-635.0,-386.0,-206.0,-92.3,-544.0,-954.7,,-881.5,-595.5,191.0,,-335.0,-743.0,-1333.7,-1755.9,-393.0,True,False,True,False,True,True,True,False,True,False,False,True,True,,False,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,False,,True,True,True,True,True,False,,True,True,True,,True,True,False,False,True
Arkansas,3729,3392.9,3218.7,3284.3,3609.0,3304.1,3321.0,3140.0,3311.7,2828.0,3232.8,3427.0,3161.9,3408.7,3357.6,,3638.7,3321.0,3410.6,3373.2,3337.0,3100.7,3572.1,3339.0,3485.8,3377.0,3263.6,3416.3,3434.0,,3260.3,3615.5,3034.0,,3467.5,3463.9,3484.0,3765.4,3401.0,3509.8,,3288.2,3304.4,3757.0,,3423.0,3152.0,3097.1,2948.6,3229.0,-336.1,-510.3,-444.7,-120.0,-424.9,-408.0,-589.0,-417.3,-901.0,-496.2,-302.0,-567.1,-320.3,-371.4,,-90.3,-408.0,-318.4,-355.8,-392.0,-628.3,-156.9,-390.0,-243.2,-352.0,-465.4,-312.7,-295.0,,-468.7,-113.5,-695.0,,-261.5,-265.1,-245.0,36.4,-328.0,-219.2,,-440.8,-424.6,28.0,,-306.0,-577.0,-631.9,-780.4,-500.0,False,False,True,False,False,False,False,False,False,True,False,True,False,,True,False,True,False,False,False,True,False,True,False,False,True,True,,False,True,False,,True,True,True,True,True,True,,False,False,True,,True,False,False,False,False
California,26551,22925.0,24811.7,23110.3,24820.0,22886.7,23782.0,25824.0,24597.6,23464.0,23422.5,21710.0,22267.1,24439.0,24297.1,,25241.3,23174.0,23741.7,25516.2,23504.0,24728.5,25523.1,25297.5,25730.3,23862.0,23448.5,23847.0,23877.0,,21345.7,24254.4,33111.5,,22323.8,25306.3,24275.0,17867.6,23022.0,23041.7,23070.0,22480.5,23544.9,27046.0,,24923.0,25188.0,,21052.6,27092.0,-3615.0,-1728.3,-3429.7,-1720.0,-3653.3,-2758.0,-716.0,-1942.4,-3076.0,-3117.5,-4830.0,-4272.9,-2101.0,-2242.9,,-1298.7,-3366.0,-2798.3,-1023.8,-3036.0,-1811.5,-1016.9,-1242.5,-809.7,-2678.0,-3091.5,-2693.0,-2663.0,,-5194.3,-2285.6,6571.5,,-4216.2,-1233.7,-2265.0,-8672.4,-3518.0,-3498.3,-3470.0,-4059.5,-2995.1,506.0,,-1617.0,-1352.0,,-5487.4,552.0,True,True,True,False,True,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,False,,False,True,True,False,True,True,True,False,True,True,,True,True,,False,True
Colorado,4912,4717.6,5306.0,4940.8,5255.0,4852.9,4723.0,4452.0,4810.7,3681.0,4880.4,4400.0,4665.8,4654.5,4723.4,,5496.2,4916.0,5053.5,4407.2,4705.0,4373.3,4595.7,4468.0,4852.4,4971.0,5225.1,4785.7,4848.1,,4223.4,5137.5,4807.0,,4944.4,5248.4,4330.0,4118.7,4266.0,4901.1,,4976.8,5306.5,4392.0,,4629.0,4660.5,4610.9,3589.2,4368.0,-194.4,394.0,28.8,343.0,-59.1,-189.0,-460.0,-101.3,-1231.0,-31.6,-512.0,-246.2,-257.5,-188.6,,584.2,4.0,141.5,-504.8,-207.0,-538.7,-316.3,-444.0,-59.6,59.0,313.1,-126.3,-63.9,,-688.6,225.5,-105.0,,32.4,336.4,-582.0,-793.3,-646.0,-10.9,,64.8,394.5,-520.0,,-283.0,-251.5,-301.1,-1322.8,-544.0,False,True,False,True,True,False,True,False,True,False,False,False,True,,False,True,True,False,False,False,False,False,True,True,False,True,True,,False,False,True,,True,False,False,False,False,True,,True,False,False,,False,False,False,False,False
Connecticut,6099,5859.6,6279.2,5877.1,6008.0,5885.9,5938.0,5938.0,5860.9,5381.0,5872.2,5466.0,5974.1,5948.9,6042.0,,5960.4,5863.0,6143.5,6045.1,6006.0,5791.2,6442.5,6010.0,5862.5,5898.0,6264.0,5992.9,6032.2,,5552.0,6064.1,5438.5,,6219.9,5839.1,6325.0,6138.4,5641.0,5804.7,,5896.6,6297.4,6109.0,,5863.0,5924.0,6160.3,5270.8,6133.0,-239.4,180.2,-221.9,-91.0,-213.1,-161.0,-161.0,-238.1,-718.0,-226.8,-633.0,-124.9,-150.1,-57.0,,-138.6,-236.0,44.5,-53.9,-93.0,-307.8,343.5,-89.0,-236.5,-201.0,165.0,-106.1,-66.8,,-547.0,-34.9,-660.5,,120.9,-259.9,226.0,39.4,-458.0,-294.3,,-202.4,198.4,10.0,,-236.0,-175.0,61.3,-828.2,34.0,True,True,True,True,True,True,True,False,True,False,True,True,True,,True,True,True,True,True,False,False,True,True,True,True,True,True,,False,True,False,,True,False,True,True,False,False,,True,True,True,,True,True,True,False,True
Delaware,1072,881.7,966.5,856.5,884.0,859.0,922.0,1002.0,915.4,856.0,896.9,889.0,932.9,977.7,945.8,,856.8,887.0,889.9,952.1,943.0,938.4,934.8,925.0,919.5,955.0,879.6,962.0,953.0,,962.7,901.1,894.0,,,810.2,922.0,1111.7,984.0,857.2,,910.2,921.0,988.0,,935.0,865.0,908.5,827.2,935.0,-134.3,-49.5,-159.5,-132.0,-157.0,-94.0,-14.0,-100.6,-160.0,-119.1,-127.0,-83.1,-38.3,-70.2,,-159.2,-129.0,-126.1,-63.9,-73.0,-77.6,-81.2,-91.0,-96.5,-61.0,-136.4,-54.0,-63.0,,-53.3,-114.9,-122.0,,,-205.8,-94.0,95.7,-32.0,-158.8,,-105.8,-95.0,-28.0,,-81.0,-151.0,-107.5,-188.8,-81.0,True,False,True,False,True,True,True,False,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,,,False,True,True,True,False,,True,True,True,,True,False,True,False,True
District of Columbia,792,762.6,788.7,760.3,794.0,763.0,779.0,779.0,787.4,755.0,768.0,716.0,781.4,806.2,788.3,,758.6,748.0,779.6,776.3,777.0,760.1,798.1,788.0,767.7,786.0,,,,,721.9,791.4,797.0,,,754.0,794.0,807.4,787.0,759.6,,737.5,,785.0,,781.0,770.0,753.8,713.9,780.0,-29.4,-3.3,-31.7,2.0,-29.0,-13.0,-13.0,-4.6,-37.0,-24.0,-76.0,-10.6,14.2,-3.7,,-33.4,-44.0,-12.4,-15.7,-15.0,-31.9,6.1,-4.0,-24.3,-6.0,,,,,-70.1,-0.6,5.0,,,-38.0,2.0,15.4,-5.0,-32.4,,-54.5,,-7.0,,-11.0,-22.0,-38.2,-78.1,-12.0,True,False,True,True,True,True,True,False,True,False,True,True,True,,False,False,True,True,True,False,True,True,True,True,,,,,False,True,True,,,False,True,True,True,False,,False,,True,,True,True,False,False,True
Florida,21890,21788.3,22596.5,21615.8,22511.0,21651.9,22209.0,22209.0,22176.6,21034.0,21454.6,21196.0,21538.5,22270.2,21357.3,,22494.7,21337.0,22466.1,22155.2,22634.0,22794.7,22206.7,22508.0,22790.0,22394.0,22509.2,22438.6,22465.8,,22043.9,22557.2,20197.0,,22907.4,21177.4,22407.0,23921.8,22229.0,21708.5,,21291.8,22550.5,22556.0,,22471.0,23963.0,,20426.7,22161.0,-101.7,706.5,-274.2,621.0,-238.1,319.0,319.0,286.6,-856.0,-435.4,-694.0,-351.5,380.2,-532.7,,604.7,-553.0,576.1,265.2,744.0,904.7,316.7,618.0,900.0,504.0,619.2,548.6,575.8,,153.9,667.2,-1693.0,,1017.4,-712.6,517.0,2031.8,339.0,-181.5,,-598.2,660.5,666.0,,581.0,2073.0,,-1463.3,271.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,False,,False,False
