,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4872,3634.9,3639.8,4354.0,5938.0,3508.0,,3374.1,-1237.1,-1232.2,-518.0,1066.0,-1364.0,,-1497.9,True,True,True,False,,False
Alaska,215,77.9,79.4,211.2,178.1,,,91.9,-137.1,-135.6,-3.8,-36.9,,,-123.1,True,True,True,,,True
Arizona,9061,6337.3,6756.0,6848.2,6756.8,6323.0,,6458.8,-2723.7,-2305.0,-2212.8,-2304.2,-2738.0,,-2602.2,True,True,True,False,,True
Arkansas,3729,2876.6,2698.9,3225.3,3489.1,3000.0,,2522.4,-852.4,-1030.1,-503.7,-239.9,-729.0,,-1206.6,False,True,True,True,,False
California,26551,21093.9,25463.2,22106.3,23804.1,19887.0,,20450.4,-5457.1,-1087.8,-4444.7,-2746.9,-6664.0,,-6100.6,True,True,True,False,,False
Colorado,4912,2686.3,2448.4,3523.1,4295.9,2564.0,,2399.5,-2225.7,-2463.6,-1388.9,-616.1,-2348.0,,-2512.5,False,True,True,False,,False
Connecticut,6099,4922.0,5552.1,5188.7,4778.4,4721.0,,4703.1,-1177.0,-546.9,-910.3,-1320.6,-1378.0,,-1395.9,True,True,False,False,,False
Delaware,930,838.7,882.3,823.4,864.1,749.0,,747.1,-91.3,-47.7,-106.6,-65.9,-181.0,,-182.9,True,False,True,False,,False
District of Columbia,792,651.9,645.4,728.9,794.4,660.0,,656.1,-140.1,-146.6,-63.1,2.4,-132.0,,-135.9,False,True,True,True,,True
Florida,21890,20983.0,20546.1,22880.6,26246.6,20117.0,,19711.9,-907.0,-1343.9,990.6,4356.6,-1773.0,,-2178.1,False,False,False,False,,False
Georgia,10960,9494.6,10095.7,10163.6,11238.5,9400.0,,9497.0,-1465.4,-864.3,-796.4,278.5,-1560.0,,-1463.0,True,True,True,False,,True
Hawaii,289,458.4,933.6,395.8,426.2,,,273.8,169.4,644.6,106.8,137.2,,,-15.2,False,True,True,,,True
Idaho,1448,1016.6,2085.4,1032.4,862.8,886.0,,841.7,-431.4,637.4,-415.6,-585.2,-562.0,,-606.3,False,True,False,False,,False
Illinois,18217,12742.0,15786.6,14973.7,15637.5,11794.0,,11238.9,-5475.0,-2430.4,-3243.3,-2579.5,-6423.0,,-6978.1,True,True,True,False,,False
Indiana,8410,6032.4,7667.2,7398.9,7756.0,5704.0,,4985.4,-2377.6,-742.8,-1011.1,-654.0,-2706.0,,-3424.6,True,True,True,False,,False
Iowa,3946,2650.3,3476.6,2795.7,3096.0,2326.5,,2281.8,-1295.7,-469.4,-1150.3,-850.0,-1619.5,,-1664.2,True,True,True,False,,False
Kansas,2872,1912.1,2660.7,2011.2,2842.4,1537.0,,1450.5,-940.9,-192.3,-841.8,-10.6,-1316.0,,-1402.5,True,True,True,False,,False
Kentucky,2698,2284.3,3353.7,2378.4,2708.0,2159.0,,2145.5,-413.7,655.7,-319.6,10.0,-539.0,,-552.5,False,True,True,False,,False
Louisiana,7488,6694.6,6566.4,6773.4,7526.3,6631.0,,7016.0,-793.4,-921.6,-714.6,38.3,-857.0,,-472.0,False,True,True,False,,True
Maine,358,146.0,151.8,162.4,173.6,176.0,,149.5,-212.0,-206.2,-195.6,-184.4,-182.0,,-208.5,True,True,True,True,,True
Maryland,5967,4677.6,4717.5,4575.3,5263.1,4356.0,30872.0,4334.9,-1289.4,-1249.5,-1391.7,-703.9,-1611.0,24905.0,-1632.1,True,False,True,False,False,False
Massachusetts,12502,11115.9,11284.4,11950.9,12000.6,10812.0,,10270.6,-1386.1,-1217.6,-551.1,-501.4,-1690.0,,-2231.4,True,True,True,False,,False
Michigan,13306,9316.0,12138.7,10450.7,11589.7,9344.0,,8178.4,-3990.0,-1167.3,-2855.3,-1716.3,-3962.0,,-5127.6,True,True,True,True,,False
Minnesota,5436,3535.6,4396.3,4309.4,4902.5,3700.0,,3135.6,-1900.4,-1039.7,-1126.6,-533.5,-1736.0,,-2300.4,True,True,True,True,,False
Mississippi,4840,4083.0,4121.5,4227.3,4693.0,3951.0,,3979.9,-757.0,-718.5,-612.7,-147.0,-889.0,,-860.1,True,True,True,False,,False
Missouri,5721,5067.4,5060.8,5754.4,4968.6,4098.0,,3263.5,-663.6,-670.2,23.4,-762.4,-1633.0,,-2467.5,False,True,False,False,,False
Montana,971,849.0,1051.0,1022.3,959.9,642.0,,484.3,-122.0,80.0,51.3,-11.1,-329.0,,-486.7,True,True,True,False,,False
Nebraska,1669,1069.1,2272.7,1193.3,1109.4,1005.0,,772.5,-599.9,603.7,-475.7,-559.6,-664.0,,-896.5,False,True,True,False,,False
Nevada,3148,2079.1,1971.5,2447.7,3167.0,2114.0,,2341.5,-1064.9,-1172.5,-696.3,23.0,-1030.0,,-802.5,False,True,True,True,,True
New Hampshire,769,542.0,490.3,793.8,1471.7,559.0,,515.2,-227.0,-278.7,24.8,702.7,-210.0,,-253.8,False,True,False,True,,False
New Jersey,19187,17014.4,17556.8,18072.9,16677.9,16666.0,,16620.9,-2172.6,-1630.2,-1114.1,-2509.1,-2521.0,,-2566.1,True,True,False,False,,False
New Mexico,2534,1292.3,1691.0,1776.9,1953.7,1182.0,,1120.9,-1241.7,-843.0,-757.1,-580.3,-1352.0,,-1413.1,True,True,True,False,,False
New York,38273,34062.7,33822.9,35582.3,35230.4,33954.0,,33807.4,-3990.3,-4230.1,-2470.7,-2822.6,-4099.0,,-4245.6,False,True,True,False,,False
North Carolina,6892,6355.1,8687.1,6397.8,6824.0,6002.0,,5371.5,-536.9,1795.1,-494.2,-68.0,-890.0,,-1520.5,False,True,True,False,,False
North Dakota,1317,968.6,800.0,1586.9,1053.2,1044.0,,764.8,-348.4,-517.0,269.9,-263.8,-273.0,,-552.2,False,True,True,True,,False
Ohio,9017,6576.1,15224.8,7196.6,7920.1,6798.0,,6239.9,-2440.9,6207.8,-1820.4,-1096.9,-2219.0,,-2777.1,False,True,True,True,,False
Oklahoma,2527,2017.9,2836.1,1912.6,2832.4,1959.0,,1849.8,-509.1,309.1,-614.4,305.4,-568.0,,-677.2,True,False,True,False,,False
Oregon,1492,978.3,1309.3,1007.6,1162.7,842.0,,914.9,-513.7,-182.7,-484.4,-329.3,-650.0,,-577.1,True,True,True,False,,False
Pennsylvania,16179,10441.0,11480.5,11565.0,14008.9,10140.0,,9349.0,-5738.0,-4698.5,-4614.0,-2170.1,-6039.0,,-6830.0,True,True,True,False,,False
Rhode Island,1777,1423.4,1564.1,1815.9,1528.0,1367.0,,1267.7,-353.6,-212.9,38.9,-249.0,-410.0,,-509.3,True,True,True,False,,False
South Carolina,5385,5300.3,7431.2,4692.2,5520.2,4481.0,,4841.2,-84.7,2046.2,-692.8,135.2,-904.0,,-543.8,False,False,False,False,,False
South Dakota,1501,887.6,1065.0,1156.0,795.9,759.0,,610.4,-613.4,-436.0,-345.0,-705.1,-742.0,,-890.6,True,True,False,False,,False
Tennessee,6970,5319.3,6681.5,6081.8,6120.4,4932.0,,4783.2,-1650.7,-288.5,-888.2,-849.6,-2038.0,,-2186.8,True,True,True,False,,False
Texas,28442,22785.0,23036.3,22421.9,24685.4,22463.0,38648.0,21728.1,-5351.0,-5099.7,-5714.1,-3450.6,-5673.0,10512.0,-6407.9,True,False,True,False,False,False
Utah,1294,857.9,988.7,1320.8,1680.6,966.0,,846.1,-436.1,-305.3,26.8,386.6,-328.0,,-447.9,True,True,True,True,,False
Vermont,139,58.0,58.9,61.2,62.2,58.0,,58.0,-81.0,-80.1,-77.8,-76.8,-81.0,,-81.0,True,True,True,False,,False
Virginia,5117,5004.3,7879.4,4607.3,4417.9,4575.0,,4173.7,-108.7,2766.4,-505.7,-695.1,-538.0,,-939.3,False,False,False,False,,False
Washington,3461,2857.9,3728.8,2979.8,3143.4,2811.0,,2812.8,-614.1,256.8,-492.2,-328.6,-661.0,,-659.2,True,True,True,False,,False
West Virginia,1373,651.7,1344.2,694.8,719.1,748.0,,615.8,-721.3,-28.8,-678.2,-653.9,-625.0,,-757.2,True,True,True,True,,False
Wisconsin,5256,3788.9,6759.9,3713.5,4827.3,3503.0,,2890.8,-1164.1,1806.9,-1239.5,-125.7,-1450.0,,-2062.2,False,False,True,False,,False
Wyoming,438,176.4,704.0,228.0,100.4,114.0,,95.9,-261.6,266.0,-210.0,-337.6,-324.0,,-342.1,False,True,False,False,,False
US,350313,279985.4,313812.7,333567.1,320802.2,272958.0,267960.0,265243.2,-69490.6,-35663.3,-15908.9,-28673.8,-76518.0,-81516.0,-84232.8,True,True,True,False,False,False
