,total_deaths_2020-10-18,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
IHME-CurveFit,220162,319126.8,350186,99452.8,130024,-30571.2,-23.5%
BPagano-RtDriven,220162,308604.6,350186,88930.6,130024,-41093.4,-31.6%
Baseline,220162,272939.1,350186,53265.1,130024,-76758.9,-59.0%
STH-3PU,220162,268588.0,350186,48914.0,130024,-81110.0,-62.4%
UCLA-SuEIR,220162,263526.6,350186,43852.6,130024,-86171.4,-66.3%
Covid19Sim-Simulator,220162,262364.7,350186,42690.7,130024,-87333.3,-67.2%
IowaStateLW-STEM,220162,260779.0,350186,41105.0,130024,-88919.0,-68.4%
