,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4872,3290.9,3333.4,3304.0,,3181.0,-1581.1,-1538.6,-1568.0,,-1691.0,True,True,,False
Alaska,215,83.7,185.7,,,79.4,-131.3,-29.3,,,-135.6,True,,,False
Arizona,9061,6773.1,7616.6,6545.0,,6672.4,-2287.9,-1444.4,-2516.0,,-2388.6,True,False,,False
Arkansas,3729,2929.3,3538.1,3054.0,,2416.2,-799.7,-190.9,-675.0,,-1312.8,True,True,,False
California,26551,23102.7,21764.9,20255.0,,20715.3,-3448.3,-4786.1,-6296.0,,-5835.7,False,False,,False
Colorado,4912,2415.1,2752.6,2368.0,,2209.1,-2496.9,-2159.4,-2544.0,,-2702.9,True,False,,False
Connecticut,6099,4667.3,4782.8,4665.0,,4590.3,-1431.7,-1316.2,-1434.0,,-1508.7,True,False,,False
Delaware,930,799.3,829.8,701.0,,688.7,-130.7,-100.2,-229.0,,-241.3,True,False,,False
District of Columbia,792,721.0,680.8,654.0,,658.1,-71.0,-111.2,-138.0,,-133.9,False,False,,False
Florida,21890,22886.7,21599.2,19346.5,,19305.0,996.7,-290.8,-2543.5,,-2585.0,True,False,,False
Georgia,10960,9939.1,9426.9,9118.0,,9545.5,-1020.9,-1533.1,-1842.0,,-1414.5,False,False,,False
Hawaii,289,464.6,235.3,,,217.8,175.6,-53.7,,,-71.2,True,,,True
Idaho,1448,764.9,977.0,749.0,,725.0,-683.1,-471.0,-699.0,,-723.0,True,False,,False
Illinois,18217,11547.1,10788.1,10564.0,,10447.6,-6669.9,-7428.9,-7653.0,,-7769.4,False,False,,False
Indiana,8410,4882.6,5188.7,4736.0,,4311.7,-3527.4,-3221.3,-3674.0,,-4098.3,True,False,,False
Iowa,3946,2299.9,2298.6,2039.0,,2104.0,-1646.1,-1647.4,-1907.0,,-1842.0,False,False,,False
Kansas,2872,1397.1,1361.5,1079.0,,1160.5,-1466.9,-1502.5,-1785.0,,-1703.5,False,False,,False
Kentucky,2698,1877.6,1937.9,1837.0,,1997.0,-820.4,-760.1,-861.0,,-701.0,True,False,,True
Louisiana,7488,7017.0,6421.9,6539.0,,7272.5,-471.0,-1066.1,-949.0,,-215.5,False,False,,True
Maine,358,167.7,172.8,184.0,,151.1,-190.3,-185.2,-174.0,,-206.9,True,True,,False
Maryland,5967,4253.7,4480.9,4244.0,,4192.8,-1713.3,-1486.1,-1723.0,,-1774.2,True,False,,False
Massachusetts,12502,10872.9,14514.8,10180.0,,10000.0,-1629.1,2012.8,-2322.0,,-2502.0,False,False,,False
Michigan,13306,8152.6,8168.4,7823.0,,7595.4,-5153.4,-5137.6,-5483.0,,-5710.6,True,False,,False
Minnesota,5436,3071.6,2936.0,2946.0,,3028.8,-2364.4,-2500.0,-2490.0,,-2407.2,False,False,,False
Mississippi,4840,4221.6,4229.1,4275.0,,3992.2,-618.4,-610.9,-565.0,,-847.8,True,True,,False
Missouri,5721,3896.0,4647.5,3630.0,,2705.9,-1838.0,-1086.5,-2104.0,,-3028.1,True,False,,False
Montana,971,367.0,1105.5,387.0,,327.6,-604.0,134.5,-584.0,,-643.4,True,True,,False
Nebraska,1669,899.6,982.8,727.0,,578.4,-769.4,-686.2,-942.0,,-1090.6,True,False,,False
Nevada,3148,2111.6,2640.8,1958.0,,2487.2,-1036.4,-507.2,-1190.0,,-660.8,True,False,,True
New Hampshire,769,494.4,486.5,494.0,,492.0,-274.6,-282.5,-275.0,,-277.0,False,False,,False
New Jersey,19187,16521.7,17179.3,16482.5,,16382.1,-2665.3,-2007.7,-2704.5,,-2804.9,True,False,,False
New Mexico,2534,1174.9,1678.4,1100.0,,1022.1,-1359.1,-855.6,-1434.0,,-1511.9,True,False,,False
New York,38273,34156.4,38134.3,33619.0,,33588.1,-3932.6,45.3,-4470.0,,-4500.9,True,False,,False
North Carolina,6892,6115.4,6224.6,5594.0,,5093.5,-776.6,-667.4,-1298.0,,-1798.5,True,False,,False
North Dakota,1317,826.9,1044.0,683.0,,426.8,-490.1,-273.0,-634.0,,-890.2,True,False,,False
