,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,1190,2149.0,,,,1691.0,4111.1,,1710.1,,,959.0,,,,501.0,2921.1,,520.1,,,,,,True,False,,True,,
01003,3739,6818.0,,,,6848.0,3150.7,,2158.1,3741.0,,3079.0,,,,3109.0,-588.3,,-1580.9,2.0,,,,,False,True,,True,True,
01005,418,525.0,,,,639.0,313.0,,,,,107.0,,,,221.0,-105.0,,,,,,,,False,True,,,,
01007,321,742.0,,,,642.0,742.0,,256.0,,,421.0,,,,321.0,421.0,,-65.0,,,,,,True,True,,True,,
01009,964,1715.0,,,,2195.0,949.8,,1664.4,,,751.0,,,,1231.0,-14.2,,700.4,,,,,,False,True,,True,,
01011,201,259.0,,,,186.0,56.3,,,,,58.0,,,,-15.0,-144.7,,,,,,,,True,False,,,,
01013,333,413.0,,,,549.0,213.7,,,,,80.0,,,,216.0,-119.3,,,,,,,,False,False,,,,
01015,2883,4375.0,,,,4135.0,4439.3,,1509.3,,,1492.0,,,,1252.0,1556.3,,-1373.7,,,,,,True,False,,True,,
01017,615,1386.0,,,,864.0,1210.0,,774.0,,,771.0,,,,249.0,595.0,,159.0,,,,,,True,True,,True,,
01019,182,539.0,,,,915.0,724.2,,,,,357.0,,,,733.0,542.2,,,,,,,,False,False,,,,
01021,558,812.0,,,,1388.0,704.3,,730.6,,,254.0,,,,830.0,146.3,,172.6,,,,,,False,True,,True,,
01023,45,84.0,,,,416.0,49.3,,,,,39.0,,,,371.0,4.3,,,,,,,,False,True,,,,
01025,649,1239.0,,,,759.0,640.9,,613.8,,,590.0,,,,110.0,-8.1,,-35.2,,,,,,True,True,,True,,
01027,201,266.0,,,,406.0,225.7,,,,,65.0,,,,205.0,24.7,,,,,,,,False,True,,,,
01029,231,385.0,,,,522.0,417.9,,,,,154.0,,,,291.0,186.9,,,,,,,,False,False,,,,
01031,888,1925.0,,,,1566.0,2875.3,,1176.7,,,1037.0,,,,678.0,1987.3,,288.7,,,,,,True,False,,True,,
01033,725,1708.0,,,,2164.0,790.1,,626.6,,,983.0,,,,1439.0,65.1,,-98.4,,,,,,False,True,,True,,
01035,130,259.0,,,,286.0,216.3,,,,,129.0,,,,156.0,86.3,,,,,,,,False,True,,,,
01037,298,189.0,,,,239.0,183.7,,,,,-109.0,,,,-59.0,-114.3,,,,,,,,True,False,,,,
01039,736,868.0,,,,1144.0,1081.8,,607.7,,,132.0,,,,408.0,345.8,,-128.3,,,,,,False,False,,True,,
01041,281,469.0,,,,345.0,1452.3,,,,,188.0,,,,64.0,1171.3,,,,,,,,True,False,,,,
01043,995,2331.0,,,,3814.0,764.5,,1888.9,,,1336.0,,,,2819.0,-230.5,,893.9,,,,,,False,True,,True,,
