,predicted_cases,actual_cases,error,perc_error
JHUAPL-Bucky,3710110.2,3950215,-240104.8,-6.1%
LANL-GrowthRate,4961674.0,3950215,1011459.0,25.6%
USC-SI_kJalpha,5097251.0,3950215,1147036.0,29.0%
Covid19Sim-Simulator,5512143.8,3950215,1561928.8,39.5%
JHU_IDD-CovidSP,5849128.0,3950215,1898913.0,48.1%
UCF-AEM,5930075.0,3950215,1979860.0,50.1%
UCLA-SuEIR,6664870.9,3950215,2714655.9,68.7%
Columbia_UNC-SurvCon,6718290.0,3950215,2768075.0,70.1%
IowaStateLW-STEM,6884423.0,3950215,2934208.0,74.3%
FDANIHASU-Sweight,6900272.1,3950215,2950057.1,74.7%
IBF-TimeSeries,7068151.0,3950215,3117936.0,78.9%
COVIDhub-baseline,7413648.0,3950215,3463433.0,87.7%
CU-select,7639480.0,3950215,3689265.0,93.4%
CovidAnalytics-DELPHI,9246762.0,3950215,5296547.0,134.1%
