,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01021,193,327.0,,333.7,,264.0,610.0,322.0,,,,161.6,,278.4,,,286.0,68.4,,190.2,71.0,,282.5,261.4,,,,277.0,199.0,504.6,,,,,,,,,297.9,266.3,134.0,,140.7,,71.0,417.0,129.0,,,,-31.4,,85.4,,,93.0,-124.6,,-2.8,-122.0,,89.5,68.4,,,,84.0,6.0,311.6,,,,,,,,,104.9,73.3,,False,,True,False,True,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,False,,,,,,,,,True,True
01023,14,9.0,,7.5,,13.0,94.0,8.0,,,,23.3,,27.6,,,75.0,18.4,,32.8,,,0.0,5.6,,,,6.0,20.0,20.2,,,,,,,,,18.7,48.5,-5.0,,-6.5,,-1.0,80.0,-6.0,,,,9.3,,13.6,,,61.0,4.4,,18.8,,,-14.0,-8.4,,,,-8.0,6.0,6.2,,,,,,,,,4.7,34.5,,False,,True,False,False,,,,False,,False,,,False,True,,False,,,False,False,,,,False,False,False,,,,,,,,,True,False
01025,61,171.0,,168.5,,139.0,480.0,194.0,,,,175.9,,83.2,,,140.0,103.9,,220.8,,,69.0,122.6,,,,199.0,134.0,79.7,,,,,,,,,163.3,315.6,110.0,,107.5,,78.0,419.0,133.0,,,,114.9,,22.2,,,79.0,42.9,,159.8,,,8.0,61.6,,,,138.0,73.0,18.7,,,,,,,,,102.3,254.6,,True,,True,False,False,,,,False,,True,,,True,True,,False,,,True,True,,,,False,True,True,,,,,,,,,True,False
01027,72,108.0,,110.4,,67.0,240.0,48.0,,,,53.9,,34.6,,,85.0,38.0,,59.3,,,49.0,66.1,,,,78.0,65.0,98.4,,,,,,,,,102.1,114.5,36.0,,38.4,,-5.0,168.0,-24.0,,,,-18.1,,-37.4,,,13.0,-34.0,,-12.7,,,-23.0,-5.9,,,,6.0,-7.0,26.4,,,,,,,,,30.1,42.5,,False,,True,False,True,,,,True,,False,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,,,True,False
01029,67,48.0,,27.8,,56.0,215.0,63.0,,,,54.6,,36.2,,,110.0,84.9,,94.1,,,2.0,38.0,,,,42.0,53.0,114.9,,,,,,,,,56.6,90.5,-19.0,,-39.2,,-11.0,148.0,-4.0,,,,-12.4,,-30.8,,,43.0,17.9,,27.1,,,-65.0,-29.0,,,,-25.0,-14.0,47.9,,,,,,,,,-10.4,23.5,,False,,True,False,True,,,,True,,False,,,False,True,,False,,,False,False,,,,False,True,False,,,,,,,,,True,False
01031,121,231.0,,256.9,,234.0,644.0,283.0,,,,232.3,,170.5,,,305.0,296.5,,357.1,101.5,,78.0,160.8,,,,221.0,214.0,202.1,,,,,,,,,246.6,454.0,110.0,,135.9,,113.0,523.0,162.0,,,,111.3,,49.5,,,184.0,175.5,,236.1,-19.5,,-43.0,39.8,,,,100.0,93.0,81.1,,,,,,,,,125.6,333.0,,False,,False,False,False,,,,False,,True,,,False,False,,False,True,,True,True,,,,True,True,True,,,,,,,,,False,False
01033,96,180.0,,193.2,,161.0,529.0,162.0,,,,235.2,,120.1,,,410.0,116.5,,356.5,75.0,,30.0,131.0,,,,170.0,166.0,212.0,,,,,,,,,133.0,390.0,84.0,,97.2,,65.0,433.0,66.0,,,,139.2,,24.1,,,314.0,20.5,,260.5,-21.0,,-66.0,35.0,,,,74.0,70.0,116.0,,,,,,,,,37.0,294.0,,False,,True,False,True,,,,False,,True,,,False,True,,False,True,,True,True,,,,True,True,False,,,,,,,,,True,False
01035,22,57.0,,59.8,,46.0,173.0,64.0,,,,42.4,,37.6,,,61.0,39.0,,51.8,,,27.0,35.5,,,,60.0,43.0,102.9,,,,,,,,,15.8,78.9,35.0,,37.8,,24.0,151.0,42.0,,,,20.4,,15.6,,,39.0,17.0,,29.8,,,5.0,13.5,,,,38.0,21.0,80.9,,,,,,,,,-6.2,56.9,,False,,True,False,False,,,,True,,True,,,False,True,,True,,,True,True,,,,False,True,False,,,,,,,,,True,False
01037,67,270.0,,261.5,,168.0,485.0,169.0,,,,43.3,,146.9,,,57.0,416.8,,74.7,,,260.0,156.9,,,,334.0,138.0,97.3,,,,,,,,,283.2,209.9,203.0,,194.5,,101.0,418.0,102.0,,,,-23.7,,79.9,,,-10.0,349.8,,7.7,,,193.0,89.9,,,,267.0,71.0,30.3,,,,,,,,,216.2,142.9,,True,,True,False,True,,,,True,,True,,,True,False,,True,,,True,True,,,,False,True,True,,,,,,,,,False,True
01039,183,270.0,,312.5,,207.0,631.0,379.0,,,,165.8,,115.1,,,215.0,618.6,,218.3,60.5,,175.0,184.4,,,,265.0,228.0,196.5,,,,,,,,,248.4,329.1,87.0,,129.5,,24.0,448.0,196.0,,,,-17.2,,-67.9,,,32.0,435.6,,35.3,-122.5,,-8.0,1.4,,,,82.0,45.0,13.5,,,,,,,,,65.4,146.1,,False,,True,False,False,,,,True,,True,,,True,False,,True,False,,True,True,,,,True,True,True,,,,,,,,,True,False
