,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Maryland,5338,5535.0,4954.1,5570.9,4938.0,4663.0,5148.0,,5221.8,4385.0,5176.0,,4703.4,5197.2,,4461.8,6068.0,4667.3,5651.0,4306.7,5624.0,4093.5,5501.5,5857.0,3798.6,4924.0,5491.1,4552.0,3428.0,,3541.8,5513.0,8520.6,,5909.7,6028.8,3852.9,5304.0,4308.2,,197.0,-383.9,232.9,-400.0,-675.0,-190.0,,-116.2,-953.0,-162.0,,-634.6,-140.8,,-876.2,730.0,-670.7,313.0,-1031.3,286.0,-1244.5,163.5,519.0,-1539.4,-414.0,153.1,-786.0,-1910.0,,-1796.2,175.0,3182.6,,571.7,690.8,-1485.1,-34.0,-1029.8,,False,False,False,False,True,,True,False,True,,False,True,,False,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,True,False,,False,False,False,True,False,
Massachusetts,10251,11916.0,10485.0,11602.2,10216.0,8512.0,10095.0,,11002.3,5813.0,17127.5,,12416.6,11468.9,,10498.0,10205.0,11022.4,10486.0,5427.7,11413.0,8810.4,8890.5,11389.8,7858.2,9306.1,10709.5,9847.0,9531.0,,9706.0,11939.0,13587.8,,18139.0,9809.9,14358.2,11188.0,8371.8,,1665.0,234.0,1351.2,-35.0,-1739.0,-156.0,,751.3,-4438.0,6876.5,,2165.6,1217.9,,247.0,-46.0,771.4,235.0,-4823.3,1162.0,-1440.6,-1360.5,1138.8,-2392.8,-944.9,458.5,-404.0,-720.0,,-545.0,1688.0,3336.8,,7888.0,-441.1,4107.2,937.0,-1879.2,,True,True,True,False,True,,True,False,False,,False,True,,True,True,True,True,False,True,True,True,True,False,True,True,True,True,,True,False,False,,False,True,False,True,False,
Michigan,10522,9281.0,5572.8,9081.3,8577.0,7143.0,10069.0,,7936.2,1103.0,32569.6,,10458.9,7994.5,,8917.6,7879.0,8871.8,9854.0,6299.8,7474.0,5921.5,7022.0,8714.3,660.7,7760.1,8707.0,9094.0,9645.0,,6500.6,10451.0,1886.1,,14819.8,9606.3,,10592.0,8547.4,,-1241.0,-4949.2,-1440.7,-1945.0,-3379.0,-453.0,,-2585.8,-9419.0,22047.6,,-63.1,-2527.5,,-1604.4,-2643.0,-1650.2,-668.0,-4222.2,-3048.0,-4600.5,-3500.0,-1807.7,-9861.3,-2761.9,-1815.0,-1428.0,-877.0,,-4021.4,-71.0,-8635.9,,4297.8,-915.7,,70.0,-1974.6,,False,False,False,False,True,,False,False,False,,True,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,True,,False,True,False,,False,True,,True,False,
Minnesota,5326,5633.0,4240.6,5564.3,5571.0,4693.0,5392.0,,5137.3,1551.0,4876.1,,5685.6,4519.1,,5571.2,8052.0,6700.1,5849.0,3889.5,5106.5,5684.4,4811.5,5797.2,7199.1,4646.9,5853.9,5642.0,6149.0,,3919.0,5778.0,814.1,,5726.5,5168.2,6489.0,5949.0,5231.5,,307.0,-1085.4,238.3,245.0,-633.0,66.0,,-188.7,-3775.0,-449.9,,359.6,-806.9,,245.2,2726.0,1374.1,523.0,-1436.5,-219.5,358.4,-514.5,471.2,1873.1,-679.1,527.9,316.0,823.0,,-1407.0,452.0,-4511.9,,400.5,-157.8,1163.0,623.0,-94.5,,False,True,True,False,True,,True,False,False,,False,False,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,,False,True,False,False,True,
Mississippi,3230,3849.0,2250.8,3851.7,2961.0,2874.0,2386.0,,2922.3,2437.0,3882.8,,3514.3,3784.3,,2534.2,3256.0,2134.9,3808.0,2687.7,2311.5,2718.2,2285.0,4077.6,2636.0,3790.1,3964.4,2873.0,3459.0,,2487.2,3843.0,3726.7,,3637.9,4198.1,9196.4,3299.0,2960.7,,619.0,-979.2,621.7,-269.0,-356.0,-844.0,,-307.7,-793.0,652.8,,284.3,554.3,,-695.8,26.0,-1095.1,578.0,-542.3,-918.5,-511.8,-945.0,847.6,-594.0,560.1,734.4,-357.0,229.0,,-742.8,613.0,496.7,,407.9,968.1,5966.4,69.0,-269.3,,False,False,True,True,False,,True,False,False,,True,True,,False,True,False,True,True,False,True,False,False,True,True,False,True,True,,False,True,True,,True,False,False,True,True,
Missouri,4217,3735.0,3458.2,3861.0,3531.0,3162.0,2794.0,,3861.9,4330.0,3257.4,,3151.6,3846.3,,2772.2,3768.0,3929.7,3829.0,3485.4,2775.0,3955.9,2036.0,3082.0,1126.6,3377.2,3574.7,2991.0,2423.0,,3531.5,3652.0,2277.3,,5964.1,4442.7,4134.2,3644.0,3025.7,,-482.0,-758.8,-356.0,-686.0,-1055.0,-1423.0,,-355.1,113.0,-959.6,,-1065.4,-370.7,,-1444.8,-449.0,-287.3,-388.0,-731.6,-1442.0,-261.1,-2181.0,-1135.0,-3090.4,-839.8,-642.3,-1226.0,-1794.0,,-685.5,-565.0,-1939.7,,1747.1,225.7,-82.8,-573.0,-1191.3,,False,True,False,False,False,,True,True,False,,False,True,,False,True,True,True,False,False,True,False,False,False,False,False,False,False,,False,False,False,,False,True,True,False,False,
Montana,819,1196.0,1398.8,1203.4,1140.0,900.0,863.0,,1105.6,1062.0,1156.1,,1059.6,1652.1,,1140.1,1103.0,1367.8,1312.0,670.3,1233.0,1152.2,839.0,1089.0,1252.5,1014.9,1207.5,1112.0,1269.0,,1079.6,1177.0,187.8,,1008.6,1336.7,1261.9,1296.0,1157.0,,377.0,579.8,384.4,321.0,81.0,44.0,,286.6,243.0,337.1,,240.6,833.1,,321.1,284.0,548.8,493.0,-148.7,414.0,333.2,20.0,270.0,433.5,195.9,388.5,293.0,450.0,,260.6,358.0,-631.2,,189.6,517.7,442.9,477.0,338.0,,False,False,True,True,True,,True,True,True,,True,False,,True,True,False,False,True,False,True,True,True,False,True,False,True,False,,True,True,False,,True,False,False,False,True,
Nebraska,1933,1969.0,1912.7,1916.5,1852.0,1647.0,1739.0,,1895.7,1470.0,1827.5,,2255.2,2266.4,,1386.3,2420.0,2261.9,2162.0,1903.8,1784.0,1830.7,921.0,1670.2,2654.1,1599.0,1925.8,1550.0,2036.0,,1704.0,1416.0,431.2,,2931.1,2121.8,2928.0,2101.0,1701.9,,36.0,-20.3,-16.5,-81.0,-286.0,-194.0,,-37.3,-463.0,-105.5,,322.2,333.4,,-546.7,487.0,328.9,229.0,-29.2,-149.0,-102.3,-1012.0,-262.8,721.1,-334.0,-7.2,-383.0,103.0,,-229.0,-517.0,-1501.8,,998.1,188.8,995.0,168.0,-231.1,,True,True,False,False,False,,False,False,False,,False,False,,False,False,False,False,True,False,False,False,False,False,False,True,False,False,,False,False,False,,False,False,False,False,False,
Nevada,2472,2817.0,2317.0,2746.2,2174.0,1856.0,2174.0,,2494.4,1896.0,2384.6,,2929.4,2972.8,,1848.8,2110.0,1903.9,2935.0,2386.2,2217.0,2129.2,1506.0,2537.9,1424.5,1984.4,2602.8,2134.0,1776.0,,1525.6,2812.0,2473.9,,4368.9,3527.9,3495.3,2993.0,1986.1,,345.0,-155.0,274.2,-298.0,-616.0,-298.0,,22.4,-576.0,-87.4,,457.4,500.8,,-623.2,-362.0,-568.1,463.0,-85.8,-255.0,-342.8,-966.0,65.9,-1047.5,-487.6,130.8,-338.0,-696.0,,-946.4,340.0,1.9,,1896.9,1055.9,1023.3,521.0,-485.9,,True,True,True,False,True,,True,False,True,,False,False,,False,False,False,False,True,True,True,False,True,False,False,True,True,False,,False,True,True,,False,False,False,False,False,
New Hampshire,1529,2005.0,1970.0,2062.4,1990.0,1792.0,1842.0,,1981.8,779.0,2140.3,,1720.9,1924.8,,1870.3,2022.0,3059.1,2119.0,1260.9,2126.5,2424.8,1776.0,2005.6,1110.5,1903.9,2026.7,1947.0,2114.0,,1904.2,1844.0,1550.7,,2485.0,1587.5,2592.5,2039.0,1878.8,,476.0,441.0,533.4,461.0,263.0,313.0,,452.8,-750.0,611.3,,191.9,395.8,,341.3,493.0,1530.1,590.0,-268.1,597.5,895.8,247.0,476.6,-418.5,374.9,497.7,418.0,585.0,,375.2,315.0,21.7,,956.0,58.5,1063.5,510.0,349.8,,True,False,True,True,True,,True,False,False,,True,True,,True,False,False,False,True,False,False,True,False,True,True,False,True,False,,True,True,True,,False,True,False,False,True,
New Jersey,23123,22592.0,18655.9,23235.3,20243.0,17517.0,21790.0,,20103.0,16922.0,18552.1,,23123.2,26152.4,,20387.8,20428.0,21576.6,22018.0,12128.9,20582.0,16752.0,18607.5,22562.4,16334.2,17830.4,20171.4,20864.0,16298.0,,18299.5,21890.0,12750.2,,21471.9,20232.1,27484.8,21654.0,20243.2,,-531.0,-4467.1,112.3,-2880.0,-5606.0,-1333.0,,-3020.0,-6201.0,-4570.9,,0.2,3029.4,,-2735.2,-2695.0,-1546.4,-1105.0,-10994.1,-2541.0,-6371.0,-4515.5,-560.6,-6788.8,-5292.6,-2951.6,-2259.0,-6825.0,,-4823.5,-1233.0,-10372.8,,-1651.1,-2890.9,4361.8,-1469.0,-2879.8,,False,True,False,False,False,,False,False,False,,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
New Mexico,1854,2413.0,1943.2,2475.6,2120.0,1830.0,1774.0,,2224.7,2115.0,2112.4,,1758.7,817.8,,2063.9,2473.0,2290.3,2611.0,1609.5,1608.0,2375.2,1489.0,2119.9,746.2,1565.0,2142.1,2019.0,2170.0,,2186.4,2483.0,1121.4,,3318.4,2611.4,3606.5,2122.0,1959.7,,559.0,89.2,621.6,266.0,-24.0,-80.0,,370.7,261.0,258.4,,-95.3,-1036.2,,209.9,619.0,436.3,757.0,-244.5,-246.0,521.2,-365.0,265.9,-1107.8,-289.0,288.1,165.0,316.0,,332.4,629.0,-732.6,,1464.4,757.4,1752.5,268.0,105.7,,True,False,True,True,True,,True,True,True,,True,False,,True,False,True,False,True,True,True,True,True,False,True,True,True,True,,True,False,False,,False,False,False,True,True,
New York,50953,50605.0,46000.1,50993.3,46107.0,44646.0,46107.0,,47494.5,27547.0,46290.6,,45525.0,76956.9,,49999.6,49823.0,68562.0,48578.0,31645.5,40996.5,42177.0,43230.0,54704.2,36160.7,41787.6,47640.9,44318.0,39105.0,,45001.7,49827.0,51398.5,,51469.4,43075.4,59333.1,45289.0,49175.7,,-348.0,-4952.9,40.3,-4846.0,-6307.0,-4846.0,,-3458.5,-23406.0,-4662.4,,-5428.0,26003.9,,-953.4,-1130.0,17609.0,-2375.0,-19307.5,-9956.5,-8776.0,-7723.0,3751.2,-14792.3,-9165.4,-3312.1,-6635.0,-11848.0,,-5951.3,-1126.0,445.5,,516.4,-7877.6,8380.1,-5664.0,-1777.3,,False,True,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
North Carolina,13628,18452.0,16593.8,18006.4,17047.0,13377.0,16470.0,,17919.0,10487.0,20785.5,,15685.7,18578.3,,15393.3,17311.0,19314.2,17499.0,12478.7,19286.5,16756.9,9065.5,13789.2,15801.7,17188.9,15900.9,15407.0,15440.0,,14553.2,17174.0,24157.6,,18074.1,15981.1,18371.4,18065.0,16092.9,,4824.0,2965.8,4378.4,3419.0,-251.0,2842.0,,4291.0,-3141.0,7157.5,,2057.7,4950.3,,1765.3,3683.0,5686.2,3871.0,-1149.3,5658.5,3128.9,-4562.5,161.2,2173.7,3560.9,2272.9,1779.0,1812.0,,925.2,3546.0,10529.6,,4446.1,2353.1,4743.4,4437.0,2464.9,,True,True,True,True,True,,True,True,False,,True,False,,True,True,False,True,True,False,True,True,True,True,True,True,True,True,,True,True,False,,True,True,True,True,True,
North Dakota,577,552.0,427.1,544.0,517.0,652.0,541.0,,493.4,93.0,416.7,,392.7,478.9,,575.9,706.0,2425.4,573.0,440.8,472.0,468.6,352.0,528.5,342.1,416.0,595.4,648.0,704.0,,458.3,498.0,94.5,,543.3,561.3,,622.0,532.5,,-25.0,-149.9,-33.0,-60.0,75.0,-36.0,,-83.6,-484.0,-160.3,,-184.3,-98.1,,-1.1,129.0,1848.4,-4.0,-136.2,-105.0,-108.4,-225.0,-48.5,-234.9,-161.0,18.4,71.0,127.0,,-118.7,-79.0,-482.5,,-33.7,-15.7,,45.0,-44.5,,False,False,False,False,False,,False,False,False,,False,False,,True,False,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,,False,True,,False,False,
Ohio,11582,13848.0,19469.3,13770.1,12044.0,9874.0,11978.0,,13661.6,9448.0,15284.3,,11407.7,10315.3,,10604.5,15461.0,11645.4,13925.0,9875.3,13801.5,11988.2,8573.5,11233.3,6578.3,9822.5,13026.4,11389.0,12870.0,,7995.3,13773.0,7784.6,,14121.3,13528.1,,14134.0,10915.3,,2266.0,7887.3,2188.1,462.0,-1708.0,396.0,,2079.6,-2134.0,3702.3,,-174.3,-1266.7,,-977.5,3879.0,63.4,2343.0,-1706.7,2219.5,406.2,-3008.5,-348.7,-5003.7,-1759.5,1444.4,-193.0,1288.0,,-3586.7,2191.0,-3797.4,,2539.3,1946.1,,2552.0,-666.7,,False,True,True,True,True,,True,True,False,,True,True,,True,False,True,False,True,True,True,False,True,False,True,True,True,True,,False,True,False,,False,True,,False,True,
Oklahoma,4734,5484.0,5425.9,5478.3,4751.0,4135.0,4031.0,,5099.2,5941.0,7288.9,,4016.4,4435.8,,3683.2,5841.0,3794.8,5715.0,4728.1,3500.5,4514.7,2755.0,4587.2,5881.6,4869.1,4917.0,3912.0,2361.0,,4545.0,6345.0,5638.6,,6510.1,5347.6,,4083.0,4273.1,,750.0,691.9,744.3,17.0,-599.0,-703.0,,365.2,1207.0,2554.9,,-717.6,-298.2,,-1050.8,1107.0,-939.2,981.0,-5.9,-1233.5,-219.3,-1979.0,-146.8,1147.6,135.1,183.0,-822.0,-2373.0,,-189.0,1611.0,904.6,,1776.1,613.6,,-651.0,-460.9,,True,True,True,True,True,,True,False,False,,True,True,,False,False,False,False,True,False,True,False,True,False,True,True,False,False,,True,False,False,,False,True,,True,True,
Oregon,1764,2604.0,1726.7,2627.6,2494.0,2190.0,2469.0,,2585.8,2237.0,2753.8,,2470.2,2867.6,,2473.0,2751.0,2877.9,2840.0,1897.6,2745.5,2419.6,1998.0,2602.4,1395.0,2324.4,2690.1,2501.0,2469.0,,2165.5,2584.0,4236.9,,2556.7,2710.4,2007.7,3134.0,2164.3,,840.0,-37.3,863.6,730.0,426.0,705.0,,821.8,473.0,989.8,,706.2,1103.6,,709.0,987.0,1113.9,1076.0,133.6,981.5,655.6,234.0,838.4,-369.0,560.4,926.1,737.0,705.0,,401.5,820.0,2472.9,,792.7,946.4,243.7,1370.0,400.3,,True,False,True,True,True,,True,True,False,,True,False,,True,False,False,False,True,False,True,True,True,True,True,False,True,True,,True,True,False,,True,False,True,False,True,
Pennsylvania,17596,17619.0,13016.0,18432.4,15594.0,14780.0,14714.0,,16161.1,7798.0,14829.8,,15647.8,18876.1,,14780.2,16730.0,16832.8,16694.0,13253.9,17747.0,14265.5,12326.5,17161.8,15594.0,13604.7,16519.2,15625.0,13176.0,,16171.7,16833.0,18228.8,,18598.1,15229.5,14488.6,16949.0,14671.8,,23.0,-4580.0,836.4,-2002.0,-2816.0,-2882.0,,-1434.9,-9798.0,-2766.2,,-1948.2,1280.1,,-2815.8,-866.0,-763.2,-902.0,-4342.1,151.0,-3330.5,-5269.5,-434.2,-2002.0,-3991.3,-1076.8,-1971.0,-4420.0,,-1424.3,-763.0,632.8,,1002.1,-2366.5,-3107.4,-647.0,-2924.2,,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
Rhode Island,2499,2477.0,1900.9,2532.2,1895.0,1593.0,1849.0,,2098.6,1361.0,46124.2,,2197.2,0.0,,1895.3,2002.0,1793.0,2418.0,1447.0,1965.5,1801.1,1819.0,2031.8,1488.8,1994.7,2209.3,1759.0,2230.0,,1686.6,2714.0,895.0,,3445.3,1733.6,1547.6,2063.0,1511.0,,-22.0,-598.1,33.2,-604.0,-906.0,-650.0,,-400.4,-1138.0,43625.2,,-301.8,-2499.0,,-603.7,-497.0,-706.0,-81.0,-1052.0,-533.5,-697.9,-680.0,-467.2,-1010.2,-504.3,-289.7,-740.0,-269.0,,-812.4,215.0,-1604.0,,946.3,-765.4,-951.4,-436.0,-988.0,,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
South Carolina,9385,13795.0,14885.2,13744.1,12969.0,10651.0,11964.0,,14385.2,9974.0,15959.2,,11770.7,10963.4,,11193.9,22682.0,16396.4,12398.0,7707.5,12526.5,13357.1,9277.0,11221.8,12267.5,12570.4,12479.3,11819.0,11112.0,,13617.3,12969.0,16131.2,,14035.3,12684.0,17115.0,14272.0,12499.4,,4410.0,5500.2,4359.1,3584.0,1266.0,2579.0,,5000.2,589.0,6574.2,,2385.7,1578.4,,1808.9,13297.0,7011.4,3013.0,-1677.5,3141.5,3972.1,-108.0,1836.8,2882.5,3185.4,3094.3,2434.0,1727.0,,4232.3,3584.0,6746.2,,4650.3,3299.0,7730.0,4887.0,3114.4,,False,True,True,True,True,,False,True,False,,True,True,,True,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,False,True,False,False,True,
South Dakota,1085,1128.0,678.4,1127.1,1014.0,822.0,977.0,,963.5,559.0,1131.6,,1134.5,1471.4,,1010.7,1228.0,1267.3,1240.0,554.4,866.5,871.9,833.0,1049.8,365.8,880.7,1123.4,1119.0,1266.0,,820.6,1124.0,362.4,,1053.1,1086.1,,1153.0,1048.7,,43.0,-406.6,42.1,-71.0,-263.0,-108.0,,-121.5,-526.0,46.6,,49.5,386.4,,-74.3,143.0,182.3,155.0,-530.6,-218.5,-213.1,-252.0,-35.2,-719.2,-204.3,38.4,34.0,181.0,,-264.4,39.0,-722.6,,-31.9,1.1,,68.0,-36.3,,False,True,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,True,False,False,True,True,False,,False,True,False,,True,True,,False,True,
Tennessee,8319,9879.0,4787.1,10081.0,8214.0,7039.0,6972.0,,8214.3,2038.0,8778.8,,10131.8,7517.9,,7928.0,8841.0,8117.4,9891.0,6841.2,6675.5,6987.9,5540.5,8636.5,8488.7,7089.0,8984.9,8606.0,6890.0,,6709.9,10603.0,8012.7,,11126.6,9266.0,18404.6,8755.0,8527.9,,1560.0,-3531.9,1762.0,-105.0,-1280.0,-1347.0,,-104.7,-6281.0,459.8,,1812.8,-801.1,,-391.0,522.0,-201.6,1572.0,-1477.8,-1643.5,-1331.1,-2778.5,317.5,169.7,-1230.0,665.9,287.0,-1429.0,,-1609.1,2284.0,-306.3,,2807.6,947.0,10085.6,436.0,208.9,,False,False,True,True,True,,True,False,True,,False,True,,True,True,True,False,True,False,True,False,True,True,True,True,True,True,,False,False,True,,False,True,False,True,True,
Texas,43328,55547.0,40230.9,55724.1,42413.0,33207.0,20453.0,,44427.8,63243.0,34193.5,,41729.3,29523.0,,30310.7,44546.0,17166.2,51314.0,40966.5,24173.5,43107.0,21771.0,41262.8,22836.1,36732.6,44057.8,42043.0,44255.0,,28563.0,55010.0,46728.9,,65953.3,54348.7,93015.3,44044.0,42413.1,,12219.0,-3097.1,12396.1,-915.0,-10121.0,-22875.0,,1099.8,19915.0,-9134.5,,-1598.7,-13805.0,,-13017.3,1218.0,-26161.8,7986.0,-2361.5,-19154.5,-221.0,-21557.0,-2065.2,-20491.9,-6595.4,729.8,-1285.0,927.0,,-14765.0,11682.0,3400.9,,22625.3,11020.7,49687.3,716.0,-914.9,,True,False,True,True,False,,True,False,True,,True,False,,False,True,False,True,True,False,True,False,True,False,True,True,True,True,,False,True,True,,False,True,False,True,True,
Utah,3668,4736.0,5488.8,4733.9,4422.0,3383.0,3106.0,,4712.9,3291.0,6038.9,,3672.5,4504.7,,3871.4,4788.0,4619.9,4382.0,2734.2,4067.0,4897.7,2799.5,3900.6,4120.2,4352.1,4269.1,3882.0,4961.0,,4563.2,4519.0,3463.4,,4386.2,3260.3,6076.9,4669.0,2623.2,,1068.0,1820.8,1065.9,754.0,-285.0,-562.0,,1044.9,-377.0,2370.9,,4.5,836.7,,203.4,1120.0,951.9,714.0,-933.8,399.0,1229.7,-868.5,232.6,452.2,684.1,601.1,214.0,1293.0,,895.2,851.0,-204.6,,718.2,-407.7,2408.9,1001.0,-1044.8,,False,True,True,True,True,,True,True,False,,True,True,,True,False,True,True,True,True,False,True,True,True,True,True,True,False,,True,True,True,,True,True,False,True,True,
Vermont,866,739.0,936.4,741.8,727.0,632.0,679.0,,739.8,738.0,863.7,,712.1,929.9,,643.3,758.0,1324.6,739.0,435.4,779.5,674.3,628.0,633.9,662.2,703.9,737.1,700.0,938.0,,690.4,742.0,897.2,,645.2,608.1,785.9,687.0,678.8,,-127.0,70.4,-124.2,-139.0,-234.0,-187.0,,-126.2,-128.0,-2.3,,-153.9,63.9,,-222.7,-108.0,458.6,-127.0,-430.6,-86.5,-191.7,-238.0,-232.1,-203.8,-162.1,-128.9,-166.0,72.0,,-175.6,-124.0,31.2,,-220.8,-257.9,-80.1,-179.0,-187.2,,True,True,False,False,False,,True,False,True,,False,True,,False,True,False,False,False,True,False,False,False,False,False,False,False,True,,False,True,True,,False,False,True,False,False,
Virginia,10223,12502.0,18378.7,12451.5,10843.0,10109.0,10350.0,,12675.1,7496.0,12170.3,,8883.9,10128.2,,9381.9,11560.0,14518.3,11641.0,9081.9,13722.0,10125.8,8418.5,10839.8,10007.8,11348.6,11367.1,9641.0,8516.0,,9401.3,10000.0,22190.3,,13066.7,12086.8,17568.6,10154.0,10843.0,,2279.0,8155.7,2228.5,620.0,-114.0,127.0,,2452.1,-2727.0,1947.3,,-1339.1,-94.8,,-841.1,1337.0,4295.3,1418.0,-1141.1,3499.0,-97.2,-1804.5,616.8,-215.2,1125.6,1144.1,-582.0,-1707.0,,-821.7,-223.0,11967.3,,2843.7,1863.8,7345.6,-69.0,620.0,,False,True,True,True,True,,False,False,True,,True,True,,True,True,False,True,True,False,True,True,True,True,True,True,True,True,,True,True,False,,False,True,False,True,True,
Washington,4759,5979.0,4828.5,6122.4,5320.0,4830.0,5466.0,,5778.1,6000.0,4391.4,,5789.5,5652.4,,4675.8,5818.0,7223.0,6056.0,4023.3,5427.5,4616.3,3897.0,5318.6,2457.1,4828.2,5289.2,5626.0,4434.0,,5857.9,5866.0,9773.8,,6163.5,5712.2,8487.2,6081.0,5320.0,,1220.0,69.5,1363.4,561.0,71.0,707.0,,1019.1,1241.0,-367.6,,1030.5,893.4,,-83.2,1059.0,2464.0,1297.0,-735.7,668.5,-142.7,-862.0,559.6,-2301.9,69.2,530.2,867.0,-325.0,,1098.9,1107.0,5014.8,,1404.5,953.2,3728.2,1322.0,561.0,,True,False,True,True,True,,True,False,True,,True,True,,True,True,False,False,True,True,True,True,True,False,True,True,True,True,,True,True,False,,False,True,False,False,True,
West Virginia,1710,2216.0,1473.9,2344.4,1844.0,1746.0,1504.0,,1904.9,875.0,2033.9,,2504.6,2375.6,,1628.9,2322.0,1625.8,2331.0,1495.7,2177.5,1353.6,2222.0,2129.5,1355.3,1482.7,2078.8,1819.0,1852.0,,1559.4,2270.0,1908.6,,2686.1,1991.4,1724.0,2081.0,1723.6,,506.0,-236.1,634.4,134.0,36.0,-206.0,,194.9,-835.0,323.9,,794.6,665.6,,-81.1,612.0,-84.2,621.0,-214.3,467.5,-356.4,512.0,419.5,-354.7,-227.3,368.8,109.0,142.0,,-150.6,560.0,198.6,,976.1,281.4,14.0,371.0,13.6,,True,False,True,True,True,,True,False,True,,False,False,,True,False,True,False,True,True,True,False,True,True,True,True,True,True,,True,False,True,,False,True,True,True,True,
