,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,17591,20440.0,17961.7,20566.4,18531.0,16464.0,20149.0,,19783.4,8969.0,15762.6,,20826.6,21843.1,,18025.3,14953.0,23634.8,20052.0,12027.2,14743.0,15536.7,17208.0,21341.9,26336.9,17123.3,18475.0,18840.0,16720.0,,12328.2,19440.0,21354.6,,24395.3,20792.0,28649.2,22548.0,18656.0,,2849.0,370.7,2975.4,940.0,-1127.0,2558.0,,2192.4,-8622.0,-1828.4,,3235.6,4252.1,,434.3,-2638.0,6043.8,2461.0,-5563.8,-2848.0,-2054.3,-383.0,3750.9,8745.9,-467.7,884.0,1249.0,-871.0,,-5262.8,1849.0,3763.6,,6804.3,3201.0,11058.2,4957.0,1065.0,,True,False,True,True,True,,True,False,True,,False,False,,True,True,False,True,False,True,True,True,False,False,True,True,True,True,,False,True,False,,False,False,False,False,True,
Hawaii,355,408.0,183.9,406.2,328.0,309.0,418.0,,310.5,185.0,322.6,,473.1,725.3,,351.7,,272.7,413.0,549.7,313.5,298.1,339.5,357.9,209.8,304.8,429.6,342.0,888.0,,231.2,463.0,728.3,,526.1,347.1,617.9,333.0,299.6,,53.0,-171.1,51.2,-27.0,-46.0,63.0,,-44.5,-170.0,-32.4,,118.1,370.3,,-3.3,,-82.3,58.0,194.7,-41.5,-56.9,-15.5,2.9,-145.2,-50.2,74.6,-13.0,533.0,,-123.8,108.0,373.3,,171.1,-7.9,262.9,-22.0,-55.4,,False,True,True,True,False,,True,False,True,,False,False,,True,,False,False,False,True,False,True,True,False,True,False,True,False,,False,False,False,,False,True,False,True,False,
Idaho,1791,1990.0,1424.2,1944.6,1697.0,1406.0,1656.0,,1824.0,880.0,4630.3,,1999.5,1595.5,,1714.9,1644.0,2178.2,2025.0,1312.1,1558.5,1184.0,1176.0,1638.5,1566.3,1570.0,1796.8,1852.0,1792.0,,1339.3,2118.0,1286.4,,1970.7,1834.5,1988.4,1967.0,1697.1,,199.0,-366.8,153.6,-94.0,-385.0,-135.0,,33.0,-911.0,2839.3,,208.5,-195.5,,-76.1,-147.0,387.2,234.0,-478.9,-232.5,-607.0,-615.0,-152.5,-224.7,-221.0,5.8,61.0,1.0,,-451.7,327.0,-504.6,,179.7,43.5,197.4,176.0,-93.9,,False,True,True,False,True,,True,False,False,,False,True,,True,True,False,False,False,False,False,False,True,False,False,True,True,True,,False,False,False,,True,True,True,True,True,
Illinois,11820,12631.0,10969.0,12974.5,10806.0,9928.0,11626.0,,11592.0,8239.0,10150.7,,12026.9,12322.0,,10194.0,12130.0,10806.4,11111.0,10114.0,11232.5,9561.0,10290.0,11627.1,3324.0,10590.0,11831.6,10893.0,11020.0,,8717.9,12844.0,8366.1,,12645.0,13857.4,10661.2,11824.0,10453.3,,811.0,-851.0,1154.5,-1014.0,-1892.0,-194.0,,-228.0,-3581.0,-1669.3,,206.9,502.0,,-1626.0,310.0,-1013.6,-709.0,-1706.0,-587.5,-2259.0,-1530.0,-192.9,-8496.0,-1230.0,11.6,-927.0,-800.0,,-3102.1,1024.0,-3453.9,,825.0,2037.4,-1158.8,4.0,-1366.7,,False,False,False,False,True,,True,False,False,,True,True,,False,True,False,True,False,True,False,False,True,False,False,True,False,True,,False,False,False,,False,False,False,True,False,
Indiana,5574,6282.0,5831.4,6094.4,5544.0,5315.0,5094.0,,6238.5,5198.0,5833.2,,5470.5,5861.3,,4998.8,6869.0,5543.9,6460.0,4833.4,5881.0,5063.3,3866.0,5659.5,4220.6,5322.8,5960.9,5049.0,4818.0,,7246.6,5943.0,2746.3,,12293.1,6716.1,4798.6,5987.0,4956.7,,708.0,257.4,520.4,-30.0,-259.0,-480.0,,664.5,-376.0,259.2,,-103.5,287.3,,-575.2,1295.0,-30.1,886.0,-740.6,307.0,-510.7,-1708.0,85.5,-1353.4,-251.2,386.9,-525.0,-756.0,,1672.6,369.0,-2827.7,,6719.1,1142.1,-775.4,413.0,-617.3,,True,True,True,True,True,,True,True,True,,True,True,,True,False,True,False,False,True,True,False,True,False,True,True,True,False,,False,True,False,,False,False,False,True,True,
Iowa,3247,4089.0,2941.6,4125.5,3886.0,4836.0,3750.0,,18430.1,10604.0,3710.1,,11340.1,4415.2,,3414.9,7047.0,12489.1,4146.0,3998.8,2782.5,3285.2,1127.5,4578.1,5166.5,2989.1,9281.0,10545.0,3535.0,,4834.9,,367.1,,3785.6,3957.7,13237.6,4212.0,3125.2,,842.0,-305.4,878.5,639.0,1589.0,503.0,,15183.1,7357.0,463.1,,8093.1,1168.2,,167.9,3800.0,9242.1,899.0,751.8,-464.5,38.2,-2119.5,1331.1,1919.5,-257.9,6034.0,7298.0,288.0,,1587.9,,-2879.8,,538.6,710.7,9990.6,965.0,-121.8,,True,False,True,False,True,,False,False,True,,False,False,,True,False,False,False,True,True,True,False,False,False,True,False,False,True,,False,,False,,True,True,False,False,True,
Kansas,2191,2782.0,2357.4,2668.0,2718.0,2709.0,2541.0,,3513.5,604.0,2154.2,,2018.3,90.2,,2871.7,4625.0,6495.4,3136.0,2434.2,2122.5,2746.6,1248.0,2032.0,1216.6,3018.9,3003.4,2687.0,2470.0,,3045.8,2825.0,1164.5,,4091.3,3108.8,3308.0,2718.0,2077.5,,591.0,166.4,477.0,527.0,518.0,350.0,,1322.5,-1587.0,-36.8,,-172.7,-2100.8,,680.7,2434.0,4304.4,945.0,243.2,-68.5,555.6,-943.0,-159.0,-974.4,827.9,812.4,496.0,279.0,,854.8,634.0,-1026.5,,1900.3,917.8,1117.0,527.0,-113.5,,True,True,True,True,True,,False,False,True,,True,False,,False,False,False,False,True,True,True,False,True,False,False,False,True,True,,False,False,False,,False,False,False,True,True,
Kentucky,6237,7929.0,6227.4,7945.7,6867.0,5745.0,6168.0,,7697.1,4458.0,21805.8,,8794.2,8433.8,,6159.3,6946.0,6976.2,7955.0,5375.4,6122.0,6866.2,4525.5,6383.0,7822.2,6679.9,6856.0,6803.0,5876.0,,6444.2,7722.0,2711.5,,7730.3,7065.4,8433.0,7794.0,6624.7,,1692.0,-9.6,1708.7,630.0,-492.0,-69.0,,1460.1,-1779.0,15568.8,,2557.2,2196.8,,-77.7,709.0,739.2,1718.0,-861.6,-115.0,629.2,-1711.5,146.0,1585.2,442.9,619.0,566.0,-361.0,,207.2,1485.0,-3525.5,,1493.3,828.4,2196.0,1557.0,387.7,,True,False,True,True,True,,True,False,False,,False,False,,True,True,True,False,True,True,True,False,True,True,True,True,True,True,,True,True,False,,True,True,False,True,True,
Louisiana,4453,6305.0,2958.1,6255.9,4963.0,3998.0,4711.0,,5203.4,3185.0,58394.8,,7538.1,0.0,,4966.3,4828.0,2829.6,6788.0,4197.2,2818.5,5215.1,3562.0,5343.7,,3634.7,5634.8,3885.0,5716.0,,2813.3,6651.0,8825.4,,9712.1,6416.1,11777.4,4959.0,4904.8,,1852.0,-1494.9,1802.9,510.0,-455.0,258.0,,750.4,-1268.0,53941.8,,3085.1,-4453.0,,513.3,375.0,-1623.4,2335.0,-255.8,-1634.5,762.1,-891.0,890.7,,-818.3,1181.8,-568.0,1263.0,,-1639.7,2198.0,4372.4,,5259.1,1963.1,7324.4,506.0,451.8,,True,True,True,True,True,,True,True,False,,False,False,,True,True,True,False,True,True,True,True,True,,True,True,True,True,,True,False,False,,False,False,False,True,True,
Maine,1146,1126.0,741.0,1140.2,990.0,921.0,1013.0,,922.8,304.0,1124.7,,1172.9,1316.6,,985.7,975.0,779.4,1115.0,968.2,1034.0,760.5,1278.0,1099.2,410.0,989.6,1083.0,981.0,1540.0,,551.9,1056.0,1498.3,,1419.0,974.2,1398.4,1038.0,783.2,,-20.0,-405.0,-5.8,-156.0,-225.0,-133.0,,-223.2,-842.0,-21.3,,26.9,170.6,,-160.3,-171.0,-366.6,-31.0,-177.8,-112.0,-385.5,132.0,-46.8,-736.0,-156.4,-63.0,-165.0,394.0,,-594.1,-90.0,352.3,,273.0,-171.8,252.4,-108.0,-362.8,,False,True,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
